mode,role,domain,feature_set_id,config_id,calibration,threshold_policy,threshold,seed,n_features,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,train_precision,train_recall,train_balanced_accuracy,val_precision,val_recall,val_balanced_accuracy,overfit_gap_train_val_ba,generalization_gap_val_holdout_ba,overfit_warning,baseline_holdout_precision,baseline_holdout_recall,baseline_holdout_ba,baseline_holdout_pr_auc,baseline_holdout_brier,delta_vs_baseline_precision,delta_vs_baseline_ba,delta_vs_baseline_pr_auc,delta_vs_baseline_brier,material_gain_vs_baseline,quality_label,ceiling_status,should_keep_improving,final_status,notes,prev_feature_set_id,prev_config_id,prev_precision,prev_recall,prev_balanced_accuracy,prev_pr_auc,prev_brier,prev_quality_label,prev_final_status,delta_precision,delta_recall,delta_balanced_accuracy,delta_pr_auc,delta_brier,comparison_result,drop_methodologically_acceptable,new_replaces_previous_as_primary
psychologist_2_3,psychologist,anxiety,precision_oriented_subset,rf_precision_push,isotonic,balanced,0.2299999999999999,20261101,41,0.9058823529411764,0.8953488372093024,0.9796954314720812,0.937522134340692,0.9005847953216374,0.9898182032817848,0.930287612715468,0.0302180148379456,0.9657794676806084,0.9844961240310076,0.9884409554165192,0.9506172839506172,0.8953488372093024,0.9425982764726716,0.0458426789438476,0.0050761421319796,no,0.9493670886075948,0.872093023255814,0.9309703694959272,0.964800534777542,0.0295723683041729,-0.0434847356664184,0.0065517648447646,-0.034512922062074,0.0006456465337727,no,muy_bueno,ceiling_confirmed,no_practical_ceiling_confirmed,FROZEN_PRIMARY,clean_universe_no_external_scores,compact_robust_subset,rf_positive_push_strong,0.9195402298850576,0.9302325581395348,0.9562330303388028,0.9424957504846044,0.0246913026023776,muy_bueno,FROZEN_PRIMARY,-0.013657876943881209,-0.0348837209302324,-0.01871089599811082,-0.012208137769136429,0.005526712235567999,worse,yes_alignment_gain,yes
psychologist_full,psychologist,anxiety,precision_oriented_subset,rf_precision_push,isotonic,default_0_5,0.5,20261101,61,0.9156626506024096,0.8837209302325582,0.9822335025380712,0.9329772163853146,0.8994082840236687,0.9911610199504192,0.9442183163908962,0.026760853373639,0.9728682170542636,0.9728682170542636,0.9834730256168104,0.95,0.8837209302325582,0.9367843229842994,0.0466887026325109,0.0038071065989847,no,0.948051948051948,0.8488372093023255,0.9193424625191832,0.9639696451092472,0.0311691461492946,-0.0323892974495384,0.0136347538661315,-0.0197513287183509,-0.0044082927756556,yes,muy_bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores,balanced_subset,rf_positive_push_strong,0.9176470588235294,0.9069767441860463,0.9446051233620588,0.941091223712369,0.0285183362553577,muy_bueno,FROZEN_PRIMARY,-0.001984408221119782,-0.02325581395348819,-0.011627906976744207,0.003127092678527177,-0.0017574828817186992,worse,yes_alignment_gain,yes
caregiver_1_3,caregiver,conduct,precision_oriented_subset,rf_baseline,none,recall_constrained,0.59,20261101,20,0.9019607843137256,0.8625,0.953125,0.9078125,0.8817891373801917,0.97841796875,0.9500801871541836,0.0563854385479201,1.0,0.9603340292275574,0.9801670146137786,0.9251700680272108,0.8553459119496856,0.91053899958855,0.0696280150252286,0.0027264995885499,no,0.8805031446540881,0.875,0.9078125,0.9470554141527294,0.059860580396651,0.0214576396596374,0.0,0.0030247730014542,-0.0034751418487308,yes,bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores,full_eligible,rf_baseline,0.8841463414634146,0.90625,0.9234375,0.9328964221876328,0.0562454836327849,aceptable,FROZEN_WITH_CAVEAT,0.017814442850310974,-0.043749999999999956,-0.015625,0.01718376496655083,0.00013995491513520142,worse,yes_alignment_gain,yes
caregiver_2_3,caregiver,conduct,engineered_compact,rf_baseline,isotonic,recall_constrained,0.5049999999999999,20261119,43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0012744324646449,1.0,1.0,1.0,0.9937106918238994,0.9937106918238994,0.9952977135131956,0.0047022864868042,0.0047022864868042,no,1.0,0.99375,0.996875,0.9999611801242236,0.0179367142298888,0.0,0.003125,3.881987577647461e-05,-0.0166622817652439,yes,muy_bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores,stability_pruned_subset,rf_positive_push_strong,1.0,1.0,1.0,1.0,0.000454750391761,muy_bueno,FROZEN_PRIMARY,0.0,0.0,0.0,0.0,0.0008196820728839,tie_noise,na_or_not_drop,yes
caregiver_full,caregiver,conduct,engineered_compact,rf_balanced_subsample,isotonic,precision_min_recall,0.5049999999999999,20261101,53,1.0,0.99375,1.0,0.996875,0.9968652037617556,1.0,1.0,0.0013267998081757,1.0,1.0,1.0,0.9937106918238994,0.9937106918238994,0.9952977135131956,0.0047022864868042,0.0015772864868042,no,1.0,0.98125,0.990625,0.9999221176242234,0.0205727599388269,0.0,0.0062499999999999,7.78823757765501e-05,-0.0192459601306511,yes,muy_bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores,stability_pruned_subset,rf_positive_push_strong,1.0,1.0,1.0,1.0,0.0004159654265815,muy_bueno,FROZEN_PRIMARY,0.0,-0.006249999999999978,-0.0031250000000000444,0.0,0.0009108343815941999,tie_noise,na_or_not_drop,yes
psychologist_1_3,psychologist,conduct,compact_subset,rf_recall_guard,sigmoid,recall_constrained,0.6449999999999999,20261101,27,0.9090909090909092,0.8125,0.959375,0.8859375,0.858085808580858,0.97728515625,0.9542627941351364,0.0585440516294588,1.0,0.9791231732776616,0.9895615866388308,0.9357142857142856,0.8238993710691824,0.8979309939458062,0.0916305926930246,0.0119934939458061,yes,0.8860759493670886,0.875,0.909375,0.9553047258451356,0.0582668546696387,0.0230149597238205,-0.0234375,-0.0010419317099992,0.00027719695982,no,aceptable,near_ceiling,no,FROZEN_WITH_CAVEAT,clean_universe_no_external_scores,full_eligible,rf_baseline,0.9161290322580644,0.8875,0.9234375,0.9407784034032624,0.0595823634736541,aceptable,FROZEN_WITH_CAVEAT,-0.007038123167155241,-0.07499999999999996,-0.03749999999999998,0.013484390731874019,-0.001038311844195304,worse,yes_alignment_gain,yes_with_caveat
psychologist_2_3,psychologist,conduct,engineered_compact,rf_balanced_subsample,isotonic,recall_constrained,0.5049999999999999,20261101,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0010954785521607,1.0,1.0,1.0,0.9937106918238994,0.9937106918238994,0.9952977135131956,0.0047022864868042,0.0047022864868042,no,1.0,0.98125,0.990625,0.9997699212240568,0.019818721955486,0.0,0.009375,0.0002300787759431,-0.0187232434033252,yes,muy_bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores,stability_pruned_subset,rf_positive_push_strong,1.0,1.0,1.0,1.0,0.0006574820874469,muy_bueno,FROZEN_PRIMARY,0.0,0.0,0.0,0.0,0.00043799646471379995,tie_noise,na_or_not_drop,yes
psychologist_full,psychologist,conduct,engineered_compact,rf_baseline,isotonic,recall_constrained,0.5049999999999999,20261119,62,1.0,0.99375,1.0,0.996875,0.9968652037617556,1.0,1.0,0.001248309268289,1.0,1.0,1.0,0.9937106918238994,0.9937106918238994,0.9952977135131956,0.0047022864868042,0.0015772864868042,no,0.9935064935064936,0.95625,0.9765625,0.9992337351393148,0.0230899072340253,0.0064935064935064,0.0203124999999999,0.0007662648606852,-0.0218415979657363,yes,muy_bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores,balanced_subset,rf_positive_push_strong,1.0,1.0,1.0,1.0,6.22018176959984e-06,muy_bueno,FROZEN_PRIMARY,0.0,-0.006249999999999978,-0.0031250000000000444,0.0,0.0012420890865194,tie_noise,na_or_not_drop,yes
caregiver_1_3,caregiver,depression,precision_oriented_subset,rf_baseline,none,recall_constrained,0.5299999999999999,20261101,20,0.8059701492537313,0.6585365853658537,0.9673366834170856,0.8129366343914696,0.7248322147651006,0.958282264983454,0.764765007527117,0.0600670985657974,0.98744769874477,0.963265306122449,0.9803774229357014,0.8356164383561644,0.7439024390243902,0.8568758426277729,0.1235015803079284,0.0439392082363033,yes,0.8055555555555556,0.7073170731707317,0.8360705968868734,0.7888509174527968,0.0610034820558506,0.0004145936981757,-0.0231339624954037,-0.0240859099256798,-0.0009363834900532,no,malo,near_ceiling,only_if_new_signal,HOLD_FOR_LIMITATION,clean_universe_no_external_scores,full_eligible,rf_recall_guard__balanced_subsample,0.8227848101265823,0.7926829268292683,0.8787535237161417,0.7961550386138578,0.0542202988605283,malo,HOLD_FOR_LIMITATION,-0.016814660872850995,-0.13414634146341464,-0.06581688932467211,-0.03139003108674088,0.0058467997052691,worse,yes_alignment_gain,no
caregiver_2_3,caregiver,depression,full_eligible,rf_precision_push,isotonic,recall_constrained,0.2149999999999999,20261119,98,0.8313253012048193,0.8414634146341463,0.964824120603015,0.9031437676185808,0.8363636363636363,0.9573630346856232,0.8434143874736915,0.0454553863622029,0.9409448818897638,0.9755102040816328,0.9814789514132012,0.8539325842696629,0.926829268292683,0.9470829758548842,0.034395975558317,0.0439392082363034,no,0.8888888888888888,0.7804878048780488,0.8801936511827431,0.8593944780351532,0.0488891009890781,-0.0575635876840695,0.0229501164358376,-0.0159800905614617,-0.0034337146268752,yes,malo,marginal_room_left,only_if_new_signal,HOLD_FOR_LIMITATION,clean_universe_no_external_scores,balanced_subset,rf_precision_push,0.8,0.8780487804878049,0.9164113249172692,0.8823485733137757,0.0446227214578062,aceptable,HOLD_FOR_LIMITATION,0.031325301204819245,-0.03658536585365857,-0.013267557298688337,-0.038934185840084234,0.0008326649043967002,worse,yes_alignment_gain,no
caregiver_full,caregiver,depression,engineered_pruned,rf_precision_push,isotonic,precision_min_recall,0.5049999999999999,20261101,85,0.8481012658227848,0.8170731707317073,0.9698492462311558,0.8934612084814315,0.8322981366459627,0.9732657188380928,0.8665383358161101,0.0460333133377602,0.9484126984126984,0.9755102040816328,0.9823157714968832,0.8987341772151899,0.8658536585365854,0.9228765780120112,0.059439193484872,0.0294153695305797,no,0.8732394366197183,0.7560975609756098,0.8667422478244883,0.86001980524993,0.04689075478381,-0.0251381707969334,0.0267189606569432,0.00651853056618,-0.0008574414460498,yes,aceptable,marginal_room_left,yes,FROZEN_WITH_CAVEAT,clean_universe_no_external_scores,precision_oriented_subset,rf_positive_push_strong,0.8043478260869565,0.902439024390244,0.9286064468684888,0.9115860387174166,0.0379881228624139,aceptable,HOLD_FOR_LIMITATION,0.04375343973582824,-0.08536585365853677,-0.0351452383870573,-0.04504770290130655,0.008045190475346298,worse,yes_alignment_gain,yes_with_caveat
psychologist_1_3,psychologist,depression,stability_pruned_subset,rf_baseline,isotonic,default_0_5,0.5,20261101,30,0.7974683544303798,0.7682926829268293,0.9597989949748744,0.8640458389508519,0.782608695652174,0.9483852187768108,0.7681311253035743,0.0565304346753685,0.9878048780487804,0.9918367346938776,0.9946631372214156,0.8333333333333334,0.7926829268292683,0.8800098051231768,0.1146533320982389,0.0159639661723249,yes,0.7866666666666666,0.7195121951219512,0.8396555950484128,0.8033035924988325,0.0576213433359125,0.0108016877637131,0.024390243902439,-0.0351724671952582,-0.0010909086605439,yes,malo,marginal_room_left,only_if_new_signal,HOLD_FOR_LIMITATION,clean_universe_no_external_scores,balanced_subset,rf_recall_guard,0.7674418604651163,0.8048780487804879,0.8773133962495404,0.801131217211973,0.0572914138464961,malo,HOLD_FOR_LIMITATION,0.030026493965263468,-0.03658536585365857,-0.01326755729868856,-0.0330000919083987,-0.0007609791711276001,worse,yes_alignment_gain,no
psychologist_2_3,psychologist,depression,full_eligible,rf_pos_weight_mid,isotonic,recall_constrained,0.5049999999999999,20261101,102,0.8271604938271605,0.8170731707317073,0.964824120603015,0.8909486456673612,0.8220858895705522,0.9556777791396004,0.8330408560571644,0.0479028069363223,0.9457364341085271,0.9959183673469388,0.9921014430876952,0.875,0.8536585365853658,0.9142664542223312,0.0778349888653642,0.0233178085549699,yes,0.8873239436619719,0.7682926829268293,0.8740960902071333,0.8437866843676272,0.04841563439892,-0.0601634498348113,0.0168525554602279,-0.0107458283104627,-0.0005128274625976,yes,malo,marginal_room_left,only_if_new_signal,HOLD_FOR_LIMITATION,clean_universe_no_external_scores,stability_pruned_subset,rf_positive_push_strong,0.8918918918918919,0.8048780487804879,0.8923887731339626,0.8795058636783943,0.0436441818097012,aceptable,FROZEN_WITH_CAVEAT,-0.06473139806473138,0.012195121951219412,-0.001440127466601382,-0.04646500762122996,0.0042586251266210975,tie_noise,na_or_not_drop,no
psychologist_full,psychologist,depression,engineered_full,rf_pos_weight_mid,sigmoid,balanced,0.3449999999999999,20261101,161,0.8375,0.8170731707317073,0.9673366834170856,0.8922049270743964,0.8271604938271605,0.9846488540262286,0.9406015747168404,0.0391595556582478,0.976,0.9959183673469388,0.9954487234224234,0.9113924050632912,0.8780487804878049,0.9302304203946562,0.0652183030277672,0.0380254933202598,no,0.9104477611940298,0.7439024390243902,0.8644135310699841,0.8981755376513814,0.046838858502606,-0.0729477611940297,0.0277913960044122,0.042426037065459,-0.0076793028443582,yes,aceptable,marginal_room_left,yes,FROZEN_WITH_CAVEAT,clean_universe_no_external_scores,full_eligible,rf_precision_push,0.8255813953488372,0.8658536585365854,0.9140826081627652,0.947748794869404,0.0336535311155698,aceptable,HOLD_FOR_LIMITATION,0.01191860465116279,-0.04878048780487809,-0.02187768108836885,-0.007147220152563638,0.005506024542678005,worse,yes_alignment_gain,yes_with_caveat
caregiver_1_3,caregiver,elimination,engineered_compact,rf_pos_weight_mid,none,precision_min_recall,0.7999999999999999,20261119,26,0.9411764705882352,0.6153846153846154,0.9953271028037384,0.805355859094177,0.7441860465116279,0.9909013299784328,0.8786487353369938,0.0219286973310881,1.0,0.8451612903225807,0.9225806451612903,1.0,0.6923076923076923,0.8461538461538461,0.0764267990074442,0.0407979870596691,yes,0.8333333333333334,0.6730769230769231,0.8283608914450036,0.8715836876493683,0.034085153490601,0.1078431372549019,-0.0230050323508266,0.0070650476876255,-0.0121564561595128,yes,malo,marginal_room_left,only_if_new_signal,HOLD_FOR_LIMITATION,clean_universe_no_external_scores,compact_robust_subset,rf_precision_push__shallow_precision,0.8070175438596491,0.8846153846153846,0.9294572250179728,0.9432765741870176,0.0219352257182143,aceptable,HOLD_FOR_LIMITATION,0.1341589267285861,-0.26923076923076916,-0.12410136592379584,-0.06462783885002377,-6.528387126201324e-06,worse,yes_alignment_gain,no
caregiver_2_3,caregiver,elimination,engineered_compact,rf_recall_guard,isotonic,balanced,0.2049999999999999,20261101,43,0.925925925925926,0.9615384615384616,0.9906542056074766,0.9760963335729692,0.9433962264150944,0.9970794392523366,0.955947602524266,0.010039232809337,0.9872611464968152,1.0,0.9992217898832684,0.9807692307692308,0.9807692307692308,0.98921639108555,0.0100053987977185,0.0131200575125808,no,0.9615384615384616,0.9615384615384616,0.9784327821711,0.9565621748864778,0.0155874517399411,-0.0356125356125356,-0.0023364485981308,-0.0006145723622117,-0.0055482189306041,no,muy_bueno,ceiling_confirmed,no_practical_ceiling_confirmed,FROZEN_PRIMARY,clean_universe_no_external_scores,precision_oriented_subset,rf_positive_push_strong,0.981132075471698,1.0,0.9988317757009346,1.0,0.0001472358949656,muy_bueno,CEILING_CONFIRMED_BEST_PRACTICAL_POINT,-0.055206149545771965,-0.038461538461538436,-0.02273544212796541,-0.04405239747573397,0.0098919969143714,worse,yes_alignment_gain,yes
caregiver_full,caregiver,elimination,engineered_compact,rf_baseline,isotonic,precision_min_recall,0.5049999999999999,20261101,53,0.9615384615384616,0.9615384615384616,0.9953271028037384,0.9784327821711,0.9615384615384616,0.997214234363767,0.9582613967229352,0.0081337265474628,1.0,1.0,1.0,1.0,0.9230769230769232,0.9615384615384616,0.0384615384615384,0.0168943206326384,no,0.925925925925926,0.9615384615384616,0.9760963335729692,0.9550129416014176,0.0160765292187545,0.0356125356125356,0.0023364485981308,0.0032484551215177,-0.0079428026712916,yes,muy_bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores,precision_oriented_subset,rf_positive_push_strong,0.981132075471698,1.0,0.9988317757009346,1.0,0.0008258331826545,muy_bueno,FROZEN_PRIMARY,-0.019593613933236442,-0.038461538461538436,-0.020398993529834653,-0.0417386032770648,0.0073078933648083,worse,yes_alignment_gain,yes
psychologist_1_3,psychologist,elimination,engineered_compact,rf_regularized,sigmoid,precision_min_recall,0.6749999999999999,20261101,30,0.85,0.6538461538461539,0.985981308411215,0.8199137311286844,0.7391304347826086,0.9902048885693746,0.8828019558333814,0.0237666558492356,0.9858156028368794,0.896774193548387,0.947608886657462,1.0,0.6730769230769231,0.8365384615384616,0.1110704251190004,0.0166247304097771,yes,0.8378378378378378,0.5961538461538461,0.7910675772825306,0.8711771003138509,0.0369915152385598,0.0121621621621621,0.0288461538461537,0.0116248555195305,-0.0132248593893241,yes,malo,marginal_room_left,only_if_new_signal,HOLD_FOR_LIMITATION,clean_universe_no_external_scores,full_eligible,rf_baseline,0.7884615384615384,0.7884615384615384,0.8813803019410495,0.8737563002188758,0.0312365922167518,malo,HOLD_FOR_LIMITATION,0.06153846153846154,-0.13461538461538458,-0.06146657081236517,0.009045655614505543,-0.0074699363675162014,worse,yes_alignment_gain,no
