candidate_id,domain,mode,stress_type,scenario,holdout_precision,holdout_recall,holdout_specificity,holdout_balanced_accuracy,holdout_f1,holdout_roc_auc,holdout_pr_auc,holdout_brier,delta_precision_vs_baseline,delta_recall_vs_baseline,delta_balanced_accuracy_vs_baseline,delta_pr_auc_vs_baseline,delta_brier_vs_baseline
depression__caregiver_2_3,depression,caregiver_2_3,missingness,missing_ratio_0.10,0.864406779661017,0.6219512195121951,0.9798994974874372,0.8009253584998162,0.723404255319149,0.961790660620174,0.8024103860652388,0.05964534930214039,0.017184557438794767,-0.12195121951219512,-0.05720676553499204,-0.060545600029348945,0.0076405168910657975
depression__caregiver_2_3,depression,caregiver_2_3,missingness,missing_ratio_0.20,0.9069767441860465,0.47560975609756095,0.9899497487437185,0.7327797524206398,0.624,0.9579911753891408,0.8358830280791218,0.06988454247766376,0.05975452196382425,-0.2682926829268293,-0.12535237161416846,-0.027072958015465942,0.01787971006658917
depression__caregiver_2_3,depression,caregiver_2_3,mode_shortening,truncate_to_caregiver_1_3,0.0,0.0,1.0,0.5,0.0,0.939575928422601,0.7405747860573304,0.1359338162470543,-0.8472222222222222,-0.7439024390243902,-0.3581321240348082,-0.12238120003725739,0.08392898383597971
depression__caregiver_2_3,depression,caregiver_2_3,threshold_sensitivity,threshold_shift_+0.05,0.8472222222222222,0.7439024390243902,0.9723618090452262,0.8581321240348082,0.7922077922077922,0.9696041181517343,0.8629559860945878,0.05200483241107459,0.0,0.0,0.0,0.0,0.0
depression__caregiver_2_3,depression,caregiver_2_3,threshold_sensitivity,threshold_shift_+0.10,0.8472222222222222,0.7439024390243902,0.9723618090452262,0.8581321240348082,0.7922077922077922,0.9696041181517343,0.8629559860945878,0.05200483241107459,0.0,0.0,0.0,0.0,0.0
depression__caregiver_2_3,depression,caregiver_2_3,threshold_sensitivity,threshold_shift_-0.05,0.8378378378378378,0.7560975609756098,0.9698492462311558,0.8629734036033827,0.7948717948717948,0.9696041181517343,0.8629559860945878,0.05200483241107459,-0.009384384384384381,0.012195121951219523,0.004841279568574497,0.0,0.0
depression__caregiver_2_3,depression,caregiver_2_3,threshold_sensitivity,threshold_shift_-0.10,0.8378378378378378,0.7560975609756098,0.9698492462311558,0.8629734036033827,0.7948717948717948,0.9696041181517343,0.8629559860945878,0.05200483241107459,-0.009384384384384381,0.012195121951219523,0.004841279568574497,0.0,0.0
depression__caregiver_full,depression,caregiver_full,missingness,missing_ratio_0.05,0.859375,0.6707317073170732,0.9773869346733668,0.8240593209952201,0.7534246575342466,0.9674286064468685,0.8514836186453345,0.05529473820223156,0.023758561643835607,-0.07317073170731703,-0.032816521632552886,-0.018492971986474815,0.00436301594430432
depression__caregiver_full,depression,caregiver_full,missingness,missing_ratio_0.10,0.8545454545454545,0.573170731707317,0.9798994974874372,0.7765351145973771,0.6861313868613139,0.9653450177717857,0.8297371764477343,0.059559087854504075,0.018929016189290104,-0.1707317073170732,-0.08034072803039582,-0.04023941418407506,0.008627365596576834
depression__caregiver_full,depression,caregiver_full,missingness,missing_ratio_0.20,0.7666666666666667,0.2804878048780488,0.9824120603015075,0.6314499325897782,0.4107142857142857,0.9519855374433142,0.7495415307452016,0.08537178523971709,-0.06894977168949767,-0.46341463414634143,-0.22542591003799473,-0.12043505988660774,0.034440062981789844
depression__caregiver_full,depression,caregiver_full,mode_shortening,truncate_to_caregiver_1_3,0.0,0.0,1.0,0.5,0.0,0.9449227846549823,0.7660002389554497,0.14834166169078009,-0.8356164383561644,-0.7439024390243902,-0.35687584262777294,-0.10397635167635966,0.09740993943285284
depression__caregiver_full,depression,caregiver_full,mode_shortening,truncate_to_caregiver_2_3,0.8676470588235294,0.7195121951219512,0.9773869346733668,0.848449564897659,0.7866666666666666,0.9640887363647506,0.8482168737627064,0.05797968458345095,0.032030620467365045,-0.024390243902439046,-0.008426277730113951,-0.02175971686910294,0.00704796232552371
depression__caregiver_full,depression,caregiver_full,threshold_sensitivity,threshold_shift_+0.05,0.8309859154929577,0.7195121951219512,0.9698492462311558,0.8446807206765534,0.7712418300653595,0.9715651427871063,0.8699765906318093,0.05093172225792724,-0.004630522863206643,-0.024390243902439046,-0.012195121951219523,0.0,0.0
depression__caregiver_full,depression,caregiver_full,threshold_sensitivity,threshold_shift_+0.10,0.855072463768116,0.7195121951219512,0.9748743718592965,0.8471932834906238,0.7814569536423841,0.9715651427871063,0.8699765906318093,0.05093172225792724,0.019456025411951572,-0.024390243902439046,-0.009682559137149105,0.0,0.0
depression__caregiver_full,depression,caregiver_full,threshold_sensitivity,threshold_shift_-0.05,0.8356164383561644,0.7439024390243902,0.9698492462311558,0.8568758426277729,0.7870967741935484,0.9715651427871063,0.8699765906318093,0.05093172225792724,0.0,0.0,0.0,0.0,0.0
depression__caregiver_full,depression,caregiver_full,threshold_sensitivity,threshold_shift_-0.10,0.8378378378378378,0.7560975609756098,0.9698492462311558,0.8629734036033827,0.7948717948717948,0.9715651427871063,0.8699765906318093,0.05093172225792724,0.002221399481673436,0.012195121951219523,0.0060975609756097615,0.0,0.0
depression__psychologist_full,depression,psychologist_full,missingness,missing_ratio_0.05,0.9016393442622951,0.6707317073170732,0.9849246231155779,0.8278281652163255,0.7692307692307693,0.9728214241941415,0.8947948574072766,0.049424133336388155,0.011014344262295084,-0.024390243902438935,-0.01093884054418437,-0.005562672083319287,0.0026885932454467076
