precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,objective,round_id,mode,domain,family,feature_variant,threshold_policy,threshold,abstention_band,calibration,target_variant,seed,status,error,n_features,abstention_coverage,high_conf_precision,input_missing_ratio
0.8629032258064516,0.9304347826086956,0.9005847953216374,0.9155097889651664,0.895397489539749,0.9782354436816679,0.9591369712178661,0.05863779944317288,0.9371351943175926,3,caregiver,depression,catboost,engineered,recall_guarded,0.16999999999999998,0.05,isotonic,baseline,11,ok,,28,0.9685314685314685,0.8617886178861789,0.04507992007992009
0.8629032258064516,0.9304347826086956,0.9005847953216374,0.9155097889651664,0.895397489539749,0.9782354436816679,0.9591369712178661,0.05863779944317288,0.9370652642476626,3,caregiver,depression,catboost,engineered,recall_guarded,0.16999999999999998,0.08,isotonic,baseline,11,ok,,28,0.965034965034965,0.8617886178861789,0.04507992007992009
0.8629032258064516,0.9304347826086956,0.9005847953216374,0.9155097889651664,0.895397489539749,0.9782354436816679,0.9591369712178661,0.05863779944317288,0.9369953341777325,3,caregiver,depression,catboost,engineered,recall_guarded,0.16999999999999998,0.1,isotonic,baseline,11,ok,,28,0.9615384615384616,0.8688524590163934,0.04507992007992009
0.8629032258064516,0.9304347826086956,0.9005847953216374,0.9155097889651664,0.895397489539749,0.9782354436816679,0.9591369712178661,0.05863779944317288,0.9369953341777325,3,caregiver,depression,catboost,engineered,recall_guarded,0.16999999999999998,0.12,isotonic,baseline,11,ok,,28,0.9615384615384616,0.8688524590163934,0.04507992007992009
0.9339622641509434,0.8608695652173913,0.9590643274853801,0.9099669463513858,0.8959276018099548,0.9807526061530638,0.9626756147329618,0.056983534759100604,0.9254724386412153,3,caregiver,depression,catboost,engineered,balanced,0.27,0.03,isotonic,baseline,29,ok,,28,0.916083916083916,0.9339622641509434,0.04507992007992009
0.9339622641509434,0.8608695652173913,0.9590643274853801,0.9099669463513858,0.8959276018099548,0.9807526061530638,0.9626756147329618,0.056983534759100604,0.9254724386412153,3,caregiver,depression,catboost,engineered,balanced,0.27,0.05,isotonic,baseline,29,ok,,28,0.916083916083916,0.9339622641509434,0.04507992007992009
0.9339622641509434,0.8608695652173913,0.9590643274853801,0.9099669463513858,0.8959276018099548,0.9807526061530638,0.9626756147329618,0.056983534759100604,0.9254724386412153,3,caregiver,depression,catboost,engineered,balanced,0.27,0.08,isotonic,baseline,29,ok,,28,0.916083916083916,0.9339622641509434,0.04507992007992009
0.9339622641509434,0.8608695652173913,0.9590643274853801,0.9099669463513858,0.8959276018099548,0.9807526061530638,0.9626756147329618,0.056983534759100604,0.9254724386412153,3,caregiver,depression,catboost,engineered,balanced,0.27,0.1,isotonic,baseline,29,ok,,28,0.916083916083916,0.9339622641509434,0.04507992007992009
0.9339622641509434,0.8608695652173913,0.9590643274853801,0.9099669463513858,0.8959276018099548,0.9807526061530638,0.9626756147329618,0.056983534759100604,0.9254724386412153,3,caregiver,depression,catboost,engineered,balanced,0.27,0.12,isotonic,baseline,29,ok,,28,0.916083916083916,0.9339622641509434,0.04507992007992009
0.9339622641509434,0.8608695652173913,0.9590643274853801,0.9099669463513858,0.8959276018099548,0.9807526061530638,0.9626756147329618,0.056983534759100604,0.9254724386412153,3,caregiver,depression,catboost,engineered,precision_guarded,0.27,0.03,isotonic,baseline,29,ok,,28,0.916083916083916,0.9339622641509434,0.04507992007992009
0.9339622641509434,0.8608695652173913,0.9590643274853801,0.9099669463513858,0.8959276018099548,0.9807526061530638,0.9626756147329618,0.056983534759100604,0.9254724386412153,3,caregiver,depression,catboost,engineered,precision_guarded,0.27,0.05,isotonic,baseline,29,ok,,28,0.916083916083916,0.9339622641509434,0.04507992007992009
0.9339622641509434,0.8608695652173913,0.9590643274853801,0.9099669463513858,0.8959276018099548,0.9807526061530638,0.9626756147329618,0.056983534759100604,0.9254724386412153,3,caregiver,depression,catboost,engineered,precision_guarded,0.27,0.08,isotonic,baseline,29,ok,,28,0.916083916083916,0.9339622641509434,0.04507992007992009
0.9339622641509434,0.8608695652173913,0.9590643274853801,0.9099669463513858,0.8959276018099548,0.9807526061530638,0.9626756147329618,0.056983534759100604,0.9254724386412153,3,caregiver,depression,catboost,engineered,precision_guarded,0.27,0.1,isotonic,baseline,29,ok,,28,0.916083916083916,0.9339622641509434,0.04507992007992009
0.9339622641509434,0.8608695652173913,0.9590643274853801,0.9099669463513858,0.8959276018099548,0.9807526061530638,0.9626756147329618,0.056983534759100604,0.9254724386412153,3,caregiver,depression,catboost,engineered,precision_guarded,0.27,0.12,isotonic,baseline,29,ok,,28,0.916083916083916,0.9339622641509434,0.04507992007992009
0.8538461538461538,0.9652173913043478,0.8888888888888888,0.9270531400966183,0.9061224489795918,0.9807526061530638,0.9626756147329618,0.056983534759100604,0.9512470229360706,3,caregiver,depression,catboost,engineered,recall_guarded,0.12,0.03,isotonic,baseline,29,ok,,28,1.0,0.8538461538461538,0.04507992007992009
0.8538461538461538,0.9652173913043478,0.8888888888888888,0.9270531400966183,0.9061224489795918,0.9807526061530638,0.9626756147329618,0.056983534759100604,0.9512470229360706,3,caregiver,depression,catboost,engineered,recall_guarded,0.12,0.05,isotonic,baseline,29,ok,,28,1.0,0.8538461538461538,0.04507992007992009
0.8538461538461538,0.9652173913043478,0.8888888888888888,0.9270531400966183,0.9061224489795918,0.9807526061530638,0.9626756147329618,0.056983534759100604,0.9494987711878188,3,caregiver,depression,catboost,engineered,recall_guarded,0.12,0.08,isotonic,baseline,29,ok,,28,0.9125874125874126,0.8538461538461538,0.04507992007992009
0.8538461538461538,0.9652173913043478,0.8888888888888888,0.9270531400966183,0.9061224489795918,0.9807526061530638,0.9626756147329618,0.056983534759100604,0.9463519180409656,3,caregiver,depression,catboost,engineered,recall_guarded,0.12,0.1,isotonic,baseline,29,ok,,28,0.7552447552447552,0.8538461538461538,0.04507992007992009
0.8538461538461538,0.9652173913043478,0.8888888888888888,0.9270531400966183,0.9061224489795918,0.9807526061530638,0.9626756147329618,0.056983534759100604,0.9462120579011055,3,caregiver,depression,catboost,engineered,recall_guarded,0.12,0.12,isotonic,baseline,29,ok,,28,0.7482517482517482,0.8538461538461538,0.04507992007992009
0.8776978417266187,0.7577639751552795,0.864,0.8108819875776397,0.8133333333333334,0.8633788819875776,0.8752855692947126,0.1490765349028044,0.8157804651084668,1,caregiver,elimination,lightgbm,compact,balanced,0.405,0.1,isotonic,elimination_any_baseline,11,ok,,20,0.6293706293706294,0.9304347826086956,0.02482517482517483
0.9304347826086956,0.6645962732919255,0.936,0.8002981366459627,0.7753623188405797,0.8633788819875776,0.8752855692947126,0.1490765349028044,0.7906326175728308,1,caregiver,elimination,lightgbm,compact,precision_guarded,0.505,0.15,isotonic,elimination_any_baseline,11,ok,,20,0.6293706293706294,0.9304347826086956,0.02482517482517483
0.6787330316742082,0.9316770186335404,0.432,0.6818385093167701,0.7853403141361257,0.8633788819875776,0.8752855692947126,0.1490765349028044,0.8029650601685981,1,caregiver,elimination,lightgbm,compact,recall_guarded,0.145,0.03,isotonic,elimination_any_baseline,11,ok,,20,0.8356643356643356,0.6787330316742082,0.02482517482517483
0.7461139896373057,0.8944099378881988,0.608,0.7512049689440994,0.8135593220338984,0.8799006211180124,0.8998706446315464,0.1356692469342928,0.8258682259220926,1,caregiver,elimination,lightgbm,engineered,balanced,0.25,0.03,isotonic,elimination_any_baseline,11,ok,,27,0.8356643356643356,0.7461139896373057,0.0214970214970215
