domain,mode,role,active_model_id,shortcut_dominance_flag,dominance_type,top1_importance_share,top3_importance_share,top1_drop_abs_ba,model_balanced_accuracy
conduct,caregiver_2_3,caregiver,conduct__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.09090909090909091,0.21212121212121213,0.0015625000000001332,0.9109375
conduct,caregiver_full,caregiver,conduct__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.138721554490652,0.33790848670875406,0.03125,0.909375
conduct,psychologist_1_3,psychologist,conduct__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.11322947589903516,0.31327182505859785,0.012499999999999956,0.91875
conduct,psychologist_2_3,psychologist,conduct__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.16276543544273814,0.36697041269134756,0.02187500000000009,0.909375
conduct,psychologist_full,psychologist,conduct__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.15748928436718632,0.3223052181956102,0.010937500000000044,0.909375
depression,caregiver_1_3,caregiver,depression__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.15978089670605133,0.3575467043268944,0.10705968868733917,0.9408015688197083
depression,caregiver_2_3,caregiver,depression__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.13381408399877523,0.29596125200865603,0.06688932467214115,0.9226927319524452
depression,caregiver_full,caregiver,depression__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.22839666405867878,0.43579817868859316,0.15565633043265104,0.9176676063243044
depression,psychologist_1_3,psychologist,depression__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.31664181085597704,0.6581310060288672,0.2107182252727049,0.9456428483882828
depression,psychologist_2_3,psychologist,depression__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.11840419367615317,0.31757048777628366,0.07782816521632552,0.9239490133594803
depression,psychologist_full,psychologist,depression__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.10063189914037589,0.2083680580268676,0.057022919475425926,0.9199963230788086
elimination,caregiver_1_3,caregiver,elimination__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,yes,top_feature_or_top3_dominance,0.41818181818181815,1.0,0.4282890007189073,0.9282890007189073
elimination,caregiver_2_3,caregiver,elimination__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.3829787234042553,0.851063829787234,0.4294572250179727,0.9294572250179727
elimination,caregiver_full,caregiver,elimination__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.39978525731816406,0.7041919976217663,0.4128324946081955,0.9609094176851186
elimination,psychologist_1_3,psychologist,elimination__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.4315960937258791,0.8021695660438484,0.4128324946081956,0.9597411933860532
elimination,psychologist_2_3,psychologist,elimination__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.34556106277147514,0.7222729292250056,0.414000718907261,0.9620776419841841
elimination,psychologist_full,psychologist,elimination__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.40334351682006975,0.7021865984315462,0.403217109992811,0.9597411933860532
