mode,domain,profile_name,config_id,seed,n_features,calibration,threshold_policy,threshold,val_objective,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,missingness_sensitivity,partial_questionnaire_sensitivity,uncertainty_rate,high_conf_precision,high_conf_coverage,input_missing_ratio
caregiver,adhd,hardened_missing,rf_hardened,83,22,isotonic,precision_guarded,0.645,0.9228519989189452,0.9562043795620438,0.8136645962732919,0.952,0.8828322981366459,0.8791946308724832,0.9557018633540374,0.9609378578130148,0.08205870241080297,0.019527950310558984,0.011999999999999844,0.03496503496503497,0.9555555555555556,0.9615384615384616,0.04243483788938334
caregiver,adhd,hardened_missing,rf_precision,11,22,isotonic,precision_guarded,0.45000000000000007,0.9218490777193693,0.95,0.8260869565217391,0.944,0.8850434782608696,0.8837209302325582,0.9479503105590062,0.9532078335489595,0.08593665000754921,0.029416149068323016,0.009204968944099445,0.15384615384615385,0.95,0.8461538461538461,0.04243483788938334
caregiver,adhd,hardened_missing,rf_precision,29,22,isotonic,precision_guarded,0.63,0.9182720297747071,0.9558823529411765,0.8074534161490683,0.952,0.8797267080745341,0.8754208754208754,0.9485962732919255,0.9552050261906988,0.0868242961957653,0.007577639751552789,0.008472049689440986,0.024475524475524476,0.9558823529411765,0.972027972027972,0.04243483788938334
caregiver,adhd,hardened_missing,rf_precision,47,22,isotonic,precision_guarded,0.605,0.9205406968329423,0.9492753623188406,0.8136645962732919,0.944,0.8788322981366459,0.8762541806020067,0.9493664596273292,0.9567006773738127,0.08671988724683236,0.013788819875776293,0.008049689440993713,0.03146853146853147,0.9492753623188406,0.9685314685314685,0.04243483788938334
caregiver,adhd,hardened_missing,rf_precision,83,22,isotonic,precision_guarded,0.505,0.9221483597015289,0.9565217391304348,0.8198757763975155,0.952,0.8859378881987577,0.882943143812709,0.9505341614906833,0.9557851991637678,0.08346399454524248,0.005416149068322995,0.01296894409937882,0.12237762237762238,0.9565217391304348,0.8776223776223776,0.04243483788938334
caregiver,adhd,hardened_missing,rf_recall,11,22,isotonic,precision_guarded,0.405,0.9321682204751491,0.9366197183098591,0.8260869565217391,0.928,0.8770434782608696,0.8778877887788779,0.9521987577639752,0.9542734732340548,0.08638004494915089,0.012993788819875784,0.0036521739130435105,0.13986013986013987,0.9366197183098591,0.8391608391608392,0.04243483788938334
caregiver,adhd,hardened_missing,rf_recall,29,22,isotonic,precision_guarded,0.5750000000000001,0.9246219741362516,0.9496402877697842,0.8198757763975155,0.944,0.8819378881987577,0.88,0.9513788819875777,0.953661413580424,0.08397011976053538,0.007155279503105572,0.0040496894409937645,0.017482517482517484,0.9496402877697842,0.9790209790209791,0.04243483788938334
caregiver,adhd,hardened_missing,rf_recall,47,22,isotonic,precision_guarded,0.67,0.9262260440757762,0.9496402877697842,0.8198757763975155,0.944,0.8819378881987577,0.88,0.9524223602484472,0.9545210703632607,0.08330114221943645,0.01773913043478259,0.007341614906832272,0.006993006993006993,0.9496402877697842,0.993006993006993,0.04243483788938334
caregiver,adhd,hardened_missing,rf_recall,83,22,isotonic,precision_guarded,0.45000000000000007,0.9261247523125355,0.9370629370629371,0.8322981366459627,0.928,0.8801490683229813,0.881578947368421,0.9520745341614908,0.9531793145447539,0.08258737438703585,0.0005217391304348507,0.0005217391304348507,0.14335664335664336,0.9370629370629371,0.8566433566433567,0.04243483788938334
caregiver,adhd,hardened_missing,rf_stability,11,22,isotonic,precision_guarded,0.41500000000000004,0.9260464812719055,0.9310344827586207,0.8385093167701864,0.92,0.8792546583850932,0.8823529411764706,0.9521242236024845,0.9544646990598565,0.0833460609006548,0.004521739130434854,-0.0028198757763974736,0.14335664335664336,0.9375,0.8566433566433567,0.04243483788938334
