slot_key,domain,ablation,n_features,threshold,recall,specificity,fpr,fnr,precision,npv,f1,f2,pr_auc,roc_auc,balanced_accuracy,mcc,brier,gap_train_holdout_recall,gap_train_holdout_f2,gap_train_holdout_ba
conduct/caregiver/caregiver_2_3,conduct,no_target_proxy_candidates,15,0.41000000000000003,1.0,0.996875,0.003125,0.0,0.9937888198757764,1.0,0.9968847352024922,0.9987515605493132,0.9992177331965124,0.9996289062500001,0.9984375,0.9953307137899766,0.0033532083724903137,0.0,2.6030847594116224e-06,1.6259105098948012e-06
conduct/caregiver/caregiver_full,conduct,no_target_proxy_candidates,22,0.48000000000000004,1.0,0.996875,0.003125,0.0,0.9937888198757764,1.0,0.9968847352024922,0.9987515605493132,0.9990847500137279,0.9995703125,0.9984375,0.9953307137899766,0.0038188095685123104,0.0,0.0004140631469736755,0.0005219172736733446
conduct/psychologist/psychologist_1_3,conduct,no_target_proxy_candidates,8,0.21000000000000002,0.96875,0.828125,0.171875,0.03125,0.7380952380952381,0.9814814814814815,0.8378378378378378,0.9117647058823529,0.9179496727288678,0.9598437500000001,0.8984375,0.7572401854185358,0.07630165512126948,0.022899269311064674,0.009492082325560092,9.264974398193182e-05
conduct/psychologist/psychologist_2_3,conduct,no_target_proxy_candidates,16,0.5700000000000001,1.0,0.996875,0.003125,0.0,0.9937888198757764,1.0,0.9968847352024922,0.9987515605493132,0.9991293928708709,0.9995898437499999,0.9984375,0.9953307137899766,0.0033843322056095124,0.0,2.6030847594116224e-06,1.6259105098948012e-06
conduct/psychologist/psychologist_full,conduct,no_target_proxy_candidates,23,0.45,1.0,0.996875,0.003125,0.0,0.9937888198757764,1.0,0.9968847352024922,0.9987515605493132,0.9990847500137279,0.9995703125,0.9984375,0.9953307137899766,0.0036815885799210083,0.0,0.0004140631469736755,0.0005219172736733446
depression/caregiver/caregiver_1_3,depression,no_target_proxy_candidates,10,0.5700000000000001,0.975609756097561,0.949748743718593,0.05025125628140704,0.024390243902439025,0.8,0.9947368421052631,0.8791208791208791,0.9345794392523364,0.8887106422223056,0.9829329574702782,0.962679249908077,0.8575642786165675,0.04944904219023849,0.020507715281234407,0.01113823956804283,0.007303961717486929
depression/caregiver/caregiver_2_3,depression,no_target_proxy_candidates,18,0.59,0.975609756097561,0.9522613065326633,0.04773869346733668,0.024390243902439025,0.8080808080808081,0.994750656167979,0.8839779005524862,0.936768149882904,0.8881842844277638,0.9845262899865179,0.9639355313151121,0.8630898469136924,0.05481272791400382,0.02458934793429568,0.015819533282113496,0.010182649409211653
depression/caregiver/caregiver_full,depression,no_target_proxy_candidates,29,0.53,0.975609756097561,0.9547738693467337,0.04522613065326633,0.024390243902439025,0.8163265306122449,0.9947643979057592,0.8888888888888888,0.9389671361502347,0.9070846920149838,0.9864566736119622,0.9651918127221473,0.8686919584292006,0.0460233269047649,0.004181184668989535,0.003980565909987188,0.002112431151134242
depression/psychologist/psychologist_1_3,depression,no_target_proxy_candidates,8,0.5199999999999999,0.9878048780487805,0.9296482412060302,0.07035175879396985,0.012195121951219513,0.7431192660550459,0.9973045822102425,0.8481675392670157,0.9267734553775744,0.900915479146274,0.980113984556931,0.9587265596274053,0.8241991077170853,0.053260387445347265,0.004131408661025349,0.0005628481523628492,0.00036262828080801945
depression/psychologist/psychologist_2_3,depression,no_target_proxy_candidates,19,0.5087201845616577,0.9878048780487805,0.9396984924623115,0.06030150753768844,0.012195121951219513,0.7714285714285715,0.9973333333333333,0.8663101604278075,0.9353348729792147,0.9067812869009318,0.9854761612942763,0.963751685255546,0.8444105978652766,0.04715084936199449,0.012294673967147784,0.003392542574595203,0.0014092745258561523
