slot_key,domain,ablation,n_features,threshold,recall,specificity,fpr,fnr,precision,npv,f1,f2,pr_auc,roc_auc,balanced_accuracy,mcc,brier,gap_train_holdout_recall,gap_train_holdout_f2,gap_train_holdout_ba
anxiety/psychologist/psychologist_2_3,anxiety,no_top1,32,0.38,0.9418604651162791,0.9441624365482234,0.05583756345177665,0.05813953488372093,0.7864077669902912,0.986737400530504,0.8571428571428571,0.9060402684563758,0.9443518690176451,0.9870735450360052,0.9430114508322512,0.8276619628415111,0.037987615012876404,0.03100775193798444,0.02773949344838622,0.017618935190650387
anxiety/psychologist/psychologist_full,anxiety,no_top1,48,0.38,0.9418604651162791,0.9441624365482234,0.05583756345177665,0.05813953488372093,0.7864077669902912,0.986737400530504,0.8571428571428571,0.9060402684563758,0.941502218297877,0.9853618226891749,0.9430114508322512,0.8276619628415111,0.03854556951502811,0.03100775193798444,0.03333098902865417,0.021003029945303564
conduct/caregiver/caregiver_1_3,conduct,no_top1,7,0.05832545199397526,0.98125,0.809375,0.190625,0.01875,0.7201834862385321,0.9885496183206107,0.8306878306878307,0.9149184149184149,0.9124103561769228,0.9589648437499999,0.8953125,0.7485600248424119,0.07619010475345593,0.014574634655532437,0.006000731991585684,0.01758748756297257
conduct/caregiver/caregiver_2_3,conduct,no_top1,14,0.06999999999999999,0.98125,0.83125,0.16875,0.01875,0.7440758293838863,0.9888475836431226,0.8463611859838275,0.9224441833137486,0.9261235104672312,0.9663769531249999,0.90625,0.7716866417688236,0.07471218735514783,0.01666231732776624,0.013342817469336743,0.009459540557743673
conduct/caregiver/caregiver_full,conduct,no_top1,21,0.13,0.96875,0.865625,0.134375,0.03125,0.7828282828282829,0.9822695035460993,0.8659217877094972,0.9248210023866349,0.9252375805832433,0.96595703125,0.9171875,0.7989858981897773,0.07392300581723399,0.02498695198329859,0.021501065207798487,0.01568513832255458
conduct/psychologist/psychologist_1_3,conduct,no_top1,7,0.2790159249370751,0.9375,0.859375,0.140625,0.0625,0.7692307692307693,0.9649122807017544,0.8450704225352113,0.8982035928143713,0.9141257287243579,0.955849609375,0.8984375,0.7648661601319409,0.07899595355674546,0.03744780793319413,0.020364463833936974,0.00631007722362098
conduct/psychologist/psychologist_2_3,conduct,no_top1,15,0.06539252979999667,0.98125,0.83125,0.16875,0.01875,0.7440758293838863,0.9888475836431226,0.8463611859838275,0.9224441833137486,0.9290599328310392,0.966640625,0.90625,0.7716866417688236,0.07434451442802874,0.01666231732776624,0.011879507069363249,0.007378375105090207
conduct/psychologist/psychologist_full,conduct,no_top1,22,0.1133033733028838,0.975,0.859375,0.140625,0.025,0.7761194029850746,0.985663082437276,0.8642659279778393,0.9274673008323425,0.9239847421493522,0.96609375,0.9171875,0.7972529468583192,0.07401028645891244,0.01873695198329861,0.015480401227879415,0.0110025160540842
depression/caregiver/caregiver_1_3,depression,no_top1,9,0.42000000000000004,1.0,0.8944723618090452,0.10552763819095477,0.0,0.6612903225806451,1.0,0.7961165048543689,0.9070796460176991,0.8323353379176526,0.971197450667974,0.9472361809045227,0.7690942183375032,0.06209861565764228,0.024489795918367308,0.00925845894031363,0.006343003549898807
depression/caregiver/caregiver_2_3,depression,no_top1,17,0.55,0.975609756097561,0.9296482412060302,0.07035175879396985,0.024390243902439025,0.7407407407407407,0.9946236559139785,0.8421052631578947,0.9174311926605504,0.8793032253981438,0.9820750091923031,0.9526289986517955,0.815901036280758,0.05940276858643873,0.020507715281234407,0.0033686926605502876,0.0026930410051384523
depression/caregiver/caregiver_full,depression,no_top1,28,0.48000000000000004,0.975609756097561,0.9221105527638191,0.07788944723618091,0.024390243902439025,0.7207207207207207,0.994579945799458,0.8290155440414507,0.9111617312072892,0.8770788389829965,0.9796237283980881,0.94886015443069,0.8013363434147023,0.05208532690390892,0.008063713290194174,0.023671472826845896,0.014524697417999222
depression/psychologist/psychologist_1_3,depression,no_top1,7,0.4149808841947732,0.9634146341463414,0.8618090452261307,0.13819095477386933,0.036585365853658534,0.5895522388059702,0.9913294797687862,0.7314814814814815,0.854978354978355,0.8809365636852695,0.9698952077460473,0.912611839686236,0.6923563743351145,0.07077753112513087,0.032503733200597296,0.03294013119340622,0.02258583771108269
depression/psychologist/psychologist_2_3,depression,no_top1,18,0.45,0.9878048780487805,0.9221105527638191,0.07788944723618091,0.012195121951219513,0.7232142857142857,0.9972826086956522,0.8350515463917526,0.9204545454545454,0.8680887027558638,0.9770498835641622,0.9549577154062998,0.8096858909948714,0.054709026164244175,0.00811348929815825,0.012980802670932823,0.008273434794366263
depression/psychologist/psychologist_full,depression,no_top1,39,0.46,0.9878048780487805,0.914572864321608,0.08542713567839195,0.012195121951219513,0.7043478260869566,0.9972602739726028,0.8223350253807107,0.9142212189616253,0.8926859418653267,0.9794705233484495,0.9511888711851942,0.7956855744328426,0.05240995386758414,0.012195121951219523,0.030994830421090636,0.01910401584409438
elimination/caregiver/caregiver_1_3,elimination,no_top1,2,0.01,0.9807692307692307,0.9532710280373832,0.04672897196261682,0.019230769230769232,0.7183098591549296,0.9975550122249389,0.8292682926829268,0.9139784946236559,0.7540873082067759,0.9687949317038103,0.967020129403307,0.8177081445932991,0.03330218267611852,0.019230769230769273,0.009740218129621891,0.008077146861284468
elimination/caregiver/caregiver_2_3,elimination,no_top1,5,0.43,0.9615384615384616,0.9626168224299065,0.037383177570093455,0.038461538461538464,0.7575757575757576,0.9951690821256038,0.847457627118644,0.9124087591240876,0.7759786846661191,0.9645713515456507,0.9620776419841841,0.8340582240407053,0.03074534544156435,0.019106699751860967,0.003253891478322113,0.005676845275763176
elimination/caregiver/caregiver_full,elimination,no_top1,8,0.060000000000000005,1.0,0.9509345794392523,0.04906542056074766,0.0,0.7123287671232876,1.0,0.832,0.9252669039145908,0.7801287601179671,0.9805895039539898,0.9754672897196262,0.8230298029760919,0.030993388661256182,0.0,0.00044590152795598303,1.909160333102289e-05
elimination/psychologist/psychologist_1_3,elimination,no_top1,3,0.62,0.7884615384615384,0.9626168224299065,0.037383177570093455,0.21153846153846154,0.7192982456140351,0.9739952718676123,0.7522935779816514,0.7735849056603774,0.5754334258663711,0.8739216391085549,0.8755391804457224,0.7216077596082099,0.05838103305529731,0.10831265508684862,0.07917583053594157,0.05105803305998857
elimination/psychologist/psychologist_2_3,elimination,no_top1,7,0.04,1.0,0.9509345794392523,0.04906542056074766,0.0,0.7123287671232876,1.0,0.832,0.9252669039145908,0.7767265088298602,0.9807018332135155,0.9754672897196262,0.8230298029760919,0.029982850853147242,0.0,0.001548191161312995,0.0003700134550347345
elimination/psychologist/psychologist_full,elimination,no_top1,11,0.67,1.0,0.9579439252336449,0.04205607476635514,0.0,0.7428571428571429,1.0,0.8524590163934426,0.935251798561151,0.7641176540496787,0.9790393601725378,0.9789719626168225,0.8435730480026148,0.03686561964897863,0.0,0.004879649701607258,0.0015400560020364384
