slot_key,domain,role,mode,current_threshold,recommended_threshold,threshold_decision,leakage_audit_status,target_proxy_audit_status,split_contamination_status,high_separability_alert,high_separability_validated,conduct_impairment_global_present,decision,correction_applied,unresolved_issue
anxiety/psychologist/psychologist_full,anxiety,psychologist,psychologist_full,0.4099999999999999,0.4099999999999999,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,yes,yes,no,keep_current_model_and_threshold_high_separability_validated,none,no
conduct/caregiver/caregiver_1_3,conduct,caregiver,caregiver_1_3,0.05,0.05,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,yes,yes,yes,keep_current_model_and_threshold_high_separability_validated,none,no
conduct/caregiver/caregiver_2_3,conduct,caregiver,caregiver_2_3,0.58,0.58,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,yes,yes,yes,keep_current_model_and_threshold_high_separability_validated,none,no
conduct/caregiver/caregiver_full,conduct,caregiver,caregiver_full,0.59,0.59,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,yes,yes,yes,keep_current_model_and_threshold_high_separability_validated,none,no
conduct/psychologist/psychologist_1_3,conduct,psychologist,psychologist_1_3,0.3799999999999999,0.3799999999999999,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,no,yes,no,retain_current_because_ablation_not_better,none,no
conduct/psychologist/psychologist_2_3,conduct,psychologist,psychologist_2_3,0.72,0.72,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,yes,yes,yes,keep_current_model_and_threshold_high_separability_validated,none,no
conduct/psychologist/psychologist_full,conduct,psychologist,psychologist_full,0.5499999999999999,0.5499999999999999,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,yes,yes,yes,keep_current_model_and_threshold_high_separability_validated,none,no
depression/caregiver/caregiver_1_3,depression,caregiver,caregiver_1_3,0.62,0.62,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,yes,yes,no,keep_current_model_and_threshold_high_separability_validated,none,no
depression/caregiver/caregiver_2_3,depression,caregiver,caregiver_2_3,0.5599999999999999,0.5599999999999999,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,yes,yes,no,keep_current_model_and_threshold_high_separability_validated,none,no
depression/caregiver/caregiver_full,depression,caregiver,caregiver_full,0.4665848789491877,0.4665848789491877,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,yes,yes,no,keep_current_model_and_threshold_high_separability_validated,none,no
depression/psychologist/psychologist_1_3,depression,psychologist,psychologist_1_3,0.5199999999999999,0.5199999999999999,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,yes,yes,no,keep_current_model_and_threshold_high_separability_validated,none,no
depression/psychologist/psychologist_2_3,depression,psychologist,psychologist_2_3,0.5099999999999999,0.5099999999999999,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,yes,yes,no,keep_current_model_and_threshold_high_separability_validated,none,no
depression/psychologist/psychologist_full,depression,psychologist,psychologist_full,0.4399999999999999,0.4399999999999999,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,yes,yes,no,keep_current_model_and_threshold_high_separability_validated,none,no
elimination/caregiver/caregiver_1_3,elimination,caregiver,caregiver_1_3,0.05,0.05,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,yes,yes,no,keep_current_model_and_threshold_high_separability_validated,none,no
elimination/caregiver/caregiver_2_3,elimination,caregiver,caregiver_2_3,0.13,0.13,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,yes,yes,no,keep_current_model_and_threshold_high_separability_validated,none,no
elimination/caregiver/caregiver_full,elimination,caregiver,caregiver_full,0.1099999999999999,0.1099999999999999,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,yes,yes,no,keep_current_model_and_threshold_high_separability_validated,none,no
elimination/psychologist/psychologist_1_3,elimination,psychologist,psychologist_1_3,0.4899999999999999,0.4899999999999999,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,yes,yes,no,keep_current_model_and_threshold_high_separability_validated,none,no
elimination/psychologist/psychologist_2_3,elimination,psychologist,psychologist_2_3,0.0999999999999999,0.0999999999999999,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,yes,yes,no,keep_current_model_and_threshold_high_separability_validated,none,no
elimination/psychologist/psychologist_full,elimination,psychologist,psychologist_full,0.4799999999999999,0.4799999999999999,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,yes,yes,no,keep_current_model_and_threshold_high_separability_validated,none,no
