trial_id,threshold,precision,recall,specificity,balanced_accuracy
V5_T07_compact_best_combined,0.7,0.9859154929577465,0.8695652173913043,0.984,0.9267826086956521
V5_T07_compact_best_combined,0.75,0.9859154929577465,0.8695652173913043,0.984,0.9267826086956521
V5_T07_compact_best_combined,0.8,0.9928057553956835,0.8571428571428571,0.992,0.9245714285714286
V5_T08_two_stage_filter,0.09999999999999998,0.9666666666666667,0.9006211180124224,0.96,0.9303105590062112
V5_T08_two_stage_filter,0.14999999999999997,0.9863013698630136,0.8944099378881988,0.984,0.9392049689440993
V5_T08_two_stage_filter,0.19999999999999998,0.9863013698630136,0.8944099378881988,0.984,0.9392049689440993
V5_T08_two_stage_filter,0.25,0.993103448275862,0.8944099378881988,0.992,0.9432049689440993
V5_T08_two_stage_filter,0.3,1.0,0.8881987577639752,1.0,0.9440993788819876
V5_T08_two_stage_filter,0.35,1.0,0.024844720496894408,1.0,0.5124223602484472
V5_T08_two_stage_filter,0.4,1.0,0.024844720496894408,1.0,0.5124223602484472
V5_T08_two_stage_filter,0.45,1.0,0.024844720496894408,1.0,0.5124223602484472
V5_T08_two_stage_filter,0.5,1.0,0.024844720496894408,1.0,0.5124223602484472
V5_T09_abstention_ready_refit,0.39999999999999997,0.9666666666666667,0.9006211180124224,0.96,0.9303105590062112
V5_T09_abstention_ready_refit,0.44999999999999996,0.9664429530201343,0.8944099378881988,0.96,0.9272049689440993
V5_T09_abstention_ready_refit,0.5,0.972972972972973,0.8944099378881988,0.968,0.9312049689440993
V5_T09_abstention_ready_refit,0.55,0.9795918367346939,0.8944099378881988,0.976,0.9352049689440993
V5_T09_abstention_ready_refit,0.6,0.9863013698630136,0.8944099378881988,0.984,0.9392049689440993
V5_T09_abstention_ready_refit,0.65,0.9863013698630136,0.8944099378881988,0.984,0.9392049689440993
V5_T09_abstention_ready_refit,0.7,0.9863013698630136,0.8944099378881988,0.984,0.9392049689440993
V5_T09_abstention_ready_refit,0.75,0.9929078014184397,0.8695652173913043,0.992,0.9307826086956521
V5_T09_abstention_ready_refit,0.8,0.9928057553956835,0.8571428571428571,0.992,0.9245714285714286
V5_T10_research_context_optional,0.3499999999999999,0.9477124183006536,0.9006211180124224,0.936,0.9183105590062113
V5_T10_research_context_optional,0.3999999999999999,0.9731543624161074,0.9006211180124224,0.968,0.9343105590062112
V5_T10_research_context_optional,0.44999999999999996,0.9795918367346939,0.8944099378881988,0.976,0.9352049689440993
V5_T10_research_context_optional,0.49999999999999994,0.9863013698630136,0.8944099378881988,0.984,0.9392049689440993
V5_T10_research_context_optional,0.5499999999999999,0.993103448275862,0.8944099378881988,0.992,0.9432049689440993
V5_T10_research_context_optional,0.6,0.9929577464788732,0.8757763975155279,0.992,0.933888198757764
V5_T10_research_context_optional,0.6499999999999999,1.0,0.8385093167701864,1.0,0.9192546583850931
V5_T10_research_context_optional,0.7,1.0,0.7950310559006211,1.0,0.8975155279503105
V5_T10_research_context_optional,0.75,1.0,0.7639751552795031,1.0,0.8819875776397516
V5_T11_stop_condition_control,0.7,0.9859154929577465,0.8695652173913043,0.984,0.9267826086956521
V5_T11_stop_condition_control,0.73125,0.9857142857142858,0.8571428571428571,0.984,0.9205714285714286
V5_T11_stop_condition_control,0.7625,0.9857142857142858,0.8571428571428571,0.984,0.9205714285714286
V5_T11_stop_condition_control,0.79375,0.9927536231884058,0.8509316770186336,0.992,0.9214658385093168
V5_T11_stop_condition_control,0.825,0.9927007299270073,0.84472049689441,0.992,0.918360248447205
V5_T11_stop_condition_control,0.85625,0.9924242424242424,0.8136645962732919,0.992,0.9028322981366459
V5_T11_stop_condition_control,0.8875,0.9921875,0.7888198757763976,0.992,0.8904099378881988
V5_T11_stop_condition_control,0.91875,1.0,0.782608695652174,1.0,0.8913043478260869
V5_T11_stop_condition_control,0.95,1.0,0.7515527950310559,1.0,0.8757763975155279
V5_T12_best_honest_candidate_final,0.39999999999999997,0.9602649006622517,0.9006211180124224,0.952,0.9263105590062112
V5_T12_best_honest_candidate_final,0.44999999999999996,0.9666666666666667,0.9006211180124224,0.96,0.9303105590062112
V5_T12_best_honest_candidate_final,0.5,0.9664429530201343,0.8944099378881988,0.96,0.9272049689440993
V5_T12_best_honest_candidate_final,0.55,0.9795918367346939,0.8944099378881988,0.976,0.9352049689440993
V5_T12_best_honest_candidate_final,0.6,0.9863013698630136,0.8944099378881988,0.984,0.9392049689440993
V5_T12_best_honest_candidate_final,0.65,0.9861111111111112,0.8819875776397516,0.984,0.9329937888198758
V5_T12_best_honest_candidate_final,0.7,0.9859154929577465,0.8695652173913043,0.984,0.9267826086956521
V5_T12_best_honest_candidate_final,0.75,0.9858156028368794,0.8633540372670807,0.984,0.9236770186335403
V5_T12_best_honest_candidate_final,0.8,0.9927536231884058,0.8509316770186336,0.992,0.9214658385093168
