mode,route,variant,domain,config_id,seed,n_features,calibration,threshold,val_objective,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,missingness_sensitivity,partial_questionnaire_sensitivity,direct_fill_pct,derived_fill_pct,imputed_fill_pct,remaining_missing_pct
psychologist,P,professional_full_coverage,adhd,rf_deep_650,47,35,isotonic,0.505,0.8993363426260292,0.9370629370629371,0.8322981366459627,0.928,0.8801490683229813,0.881578947368421,0.9534906832298138,0.9573230788162501,0.08289539504994171,-0.008844720496894443,-0.00018633540372675617,1.0,0.0,0.0,0.36333666333666326
psychologist,P,professional_full_coverage,adhd,rf_deep_650,83,35,isotonic,0.505,0.8985650936721126,0.9183673469387755,0.8385093167701864,0.904,0.8712546583850932,0.8766233766233766,0.9526708074534163,0.9566798966823702,0.08465303917672351,0.004472049689441038,-0.007739130434782582,1.0,0.0,0.0,0.36333666333666326
psychologist,P,professional_full_coverage,conduct,rf_compact_350,11,23,isotonic,0.16999999999999998,0.9482888934202178,0.9324324324324325,0.8625,0.9757281553398058,0.9191140776699029,0.8961038961038961,0.981371359223301,0.9486837468771255,0.04157599791964432,0.006553398058252391,0.009132281553398125,1.0,0.0,0.0,0.033140772271207056
psychologist,P,professional_full_coverage,conduct,rf_compact_350,29,23,isotonic,0.255,0.9482888934202178,0.9452054794520548,0.8625,0.9805825242718447,0.9215412621359224,0.9019607843137255,0.9801881067961166,0.9449736901566779,0.042127836919354227,0.022208737864077732,0.007251213592233019,1.0,0.0,0.0,0.033140772271207056
psychologist,P,professional_full_coverage,conduct,rf_compact_350,47,23,isotonic,0.185,0.9482888934202178,0.9324324324324325,0.8625,0.9757281553398058,0.9191140776699029,0.8961038961038961,0.973240291262136,0.9378577366105968,0.043952783112636624,-0.010800970873786397,0.0025485436893203928,1.0,0.0,0.0,0.033140772271207056
psychologist,P,professional_full_coverage,conduct,rf_compact_350,83,23,isotonic,0.205,0.9482888934202178,0.92,0.8625,0.970873786407767,0.9166868932038835,0.8903225806451613,0.9746055825242719,0.9408693229225387,0.04481419199641639,0.006917475728155376,0.00030339805825241317,1.0,0.0,0.0,0.033140772271207056
psychologist,P,professional_full_coverage,conduct,rf_stability_500,11,23,isotonic,0.255,0.9482888934202178,0.9333333333333333,0.875,0.9757281553398058,0.9253640776699029,0.9032258064516129,0.9805218446601942,0.9458728859951887,0.04243226582988374,0.003458737864077688,0.009162621359223244,1.0,0.0,0.0,0.033140772271207056
psychologist,P,professional_full_coverage,conduct,rf_stability_500,29,23,isotonic,0.205,0.9525544204126939,0.9583333333333334,0.8625,0.9854368932038835,0.9239684466019418,0.9078947368421053,0.9797026699029127,0.9434056604315225,0.042904894599886736,-0.006978155339805836,0.014168689320388395,1.0,0.0,0.0,0.033140772271207056
psychologist,P,professional_full_coverage,conduct,rf_stability_500,47,23,isotonic,0.255,0.9525544204126939,0.9583333333333334,0.8625,0.9854368932038835,0.9239684466019418,0.9078947368421053,0.9739684466019418,0.9373954426930737,0.044062893599385755,0.0006674757281552868,0.007069174757281582,1.0,0.0,0.0,0.033140772271207056
psychologist,P,professional_full_coverage,conduct,rf_stability_500,83,23,isotonic,0.205,0.9482888934202178,0.9324324324324325,0.8625,0.9757281553398058,0.9191140776699029,0.8961038961038961,0.9743021844660196,0.9399000397836264,0.044930304826861535,0.007949029126213647,0.008100728155339798,1.0,0.0,0.0,0.033140772271207056
psychologist,P,professional_full_coverage,conduct,rf_deep_650,11,23,isotonic,0.16999999999999998,0.9482888934202178,0.9324324324324325,0.8625,0.9757281553398058,0.9191140776699029,0.8961038961038961,0.975121359223301,0.9421245084356622,0.04192146062923484,-0.00455097087378642,0.0025485436893204483,1.0,0.0,0.0,0.033140772271207056
psychologist,P,professional_full_coverage,conduct,rf_deep_650,29,23,isotonic,0.16999999999999998,0.9482888934202178,0.9452054794520548,0.8625,0.9805825242718447,0.9215412621359224,0.9019607843137255,0.9644114077669903,0.9328600127965326,0.04379707306255633,-0.005582524271844691,0.009830097087378642,1.0,0.0,0.0,0.033140772271207056
psychologist,P,professional_full_coverage,conduct,rf_deep_650,47,23,isotonic,0.16999999999999998,0.9482888934202178,0.9583333333333334,0.8625,0.9854368932038835,0.9239684466019418,0.9078947368421053,0.9588288834951456,0.9265933427609302,0.04381156019758439,0.006553398058252391,0.009830097087378642,1.0,0.0,0.0,0.033140772271207056
psychologist,P,professional_full_coverage,conduct,rf_deep_650,83,23,isotonic,0.185,0.9482888934202178,0.9324324324324325,0.8625,0.9757281553398058,0.9191140776699029,0.8961038961038961,0.9648058252427184,0.9342582846499301,0.04248922558791367,-0.0017597087378640186,0.0020327669902913126,1.0,0.0,0.0,0.033140772271207056
psychologist,P,professional_full_coverage,elimination,rf_compact_350,11,17,isotonic,0.505,0.8600839676329673,0.9272727272727272,0.6335403726708074,0.936,0.7847701863354037,0.7527675276752768,0.8579378881987577,0.860764345282139,0.15030606509714883,-0.014111801242235988,0.13356521739130434,1.0,0.0,0.0,0.03187988482106129
psychologist,P,professional_full_coverage,elimination,rf_compact_350,29,17,isotonic,0.505,0.8604582234722378,0.9252336448598131,0.6149068322981367,0.936,0.7754534161490684,0.7388059701492538,0.8766211180124223,0.8819049775552372,0.14896681600627032,-0.01721739130434774,0.12714285714285717,1.0,0.0,0.0,0.03187988482106129
psychologist,P,professional_full_coverage,elimination,rf_compact_350,47,17,isotonic,0.39,0.8586823590228666,0.9007633587786259,0.7329192546583851,0.896,0.8144596273291926,0.8082191780821918,0.8742360248447205,0.8791154836537858,0.14504682384560955,-0.0030062111801241187,0.16219875776397524,1.0,0.0,0.0,0.03187988482106129
psychologist,P,professional_full_coverage,elimination,rf_compact_350,83,17,isotonic,0.42000000000000004,0.8638214427604866,0.926605504587156,0.6273291925465838,0.936,0.781664596273292,0.7481481481481481,0.8713540372670807,0.876590960753419,0.14996958291812126,-0.045590062111801166,0.12872049689441,1.0,0.0,0.0,0.03187988482106129
psychologist,P,professional_full_coverage,elimination,rf_stability_500,11,17,isotonic,0.505,0.8563707596751075,0.926605504587156,0.6273291925465838,0.936,0.781664596273292,0.7481481481481481,0.8779627329192546,0.8866891342034848,0.14849142982505764,-0.019006211180124133,0.13711801242236032,1.0,0.0,0.0,0.03187988482106129
psychologist,P,professional_full_coverage,elimination,rf_stability_500,29,17,isotonic,0.41000000000000003,0.8631079404476614,0.9292035398230089,0.6521739130434783,0.936,0.7940869565217392,0.7664233576642335,0.8610434782608696,0.8556524451442041,0.14912251437670745,0.0005714285714286671,0.13980124223602497,1.0,0.0,0.0,0.03187988482106129
psychologist,P,professional_full_coverage,elimination,rf_stability_500,47,17,isotonic,0.505,0.8597431399282937,0.9272727272727272,0.6335403726708074,0.936,0.7847701863354037,0.7527675276752768,0.8783850931677019,0.8852038451998829,0.14549988935455885,-0.022111801242235996,0.14022360248447208,1.0,0.0,0.0,0.03187988482106129
psychologist,P,professional_full_coverage,elimination,rf_stability_500,83,17,isotonic,0.505,0.8600839676329673,0.9259259259259259,0.6211180124223602,0.936,0.7785590062111801,0.7434944237918215,0.8847701863354036,0.8876654726164599,0.145323159329915,-0.034111801242236006,0.13601242236024846,1.0,0.0,0.0,0.03187988482106129
psychologist,P,professional_full_coverage,elimination,rf_deep_650,11,17,isotonic,0.505,0.8570874820019215,0.9252336448598131,0.6149068322981367,0.936,0.7754534161490684,0.7388059701492538,0.8710559006211179,0.8784194408197544,0.14763935940460954,-0.03363975155279497,0.1255900621118013,1.0,0.0,0.0,0.03187988482106129
psychologist,P,professional_full_coverage,elimination,rf_deep_650,29,17,isotonic,0.405,0.8671772235638184,0.926605504587156,0.6273291925465838,0.936,0.781664596273292,0.7481481481481481,0.8699378881987577,0.8720346071566811,0.15208340409430482,-0.01537888198757753,0.12319254658385104,1.0,0.0,0.0,0.03187988482106129
psychologist,P,professional_full_coverage,elimination,rf_deep_650,47,17,isotonic,0.505,0.8600839676329673,0.9259259259259259,0.6211180124223602,0.936,0.7785590062111801,0.7434944237918215,0.8669813664596274,0.8700929941891145,0.14881633882013454,-0.03363975155279497,0.12669565217391304,1.0,0.0,0.0,0.03187988482106129
psychologist,P,professional_full_coverage,elimination,rf_deep_650,83,17,isotonic,0.505,0.856712174638499,0.9279279279279279,0.639751552795031,0.936,0.7878757763975155,0.7573529411764706,0.8708571428571428,0.8756012030232573,0.14505859793317138,-0.04253416149068334,0.14111801242236016,1.0,0.0,0.0,0.03187988482106129
