input_key,domain,source_instrument_or_origin,source_type,direct_question_yes_no,derivable_yes_no,system_filled_yes_no,missing_allowed_yes_no,caregiver_mode_covered_yes_no,psychologist_mode_covered_yes_no,risk_if_approximated,notes
cbcl_081,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_082,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_083,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_084,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_085,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_086,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_087,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_088,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_089,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_090,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_091,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_092,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_093,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_094,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_095,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_096,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_097,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_098,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_099,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_100,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_101,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_102,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_103,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_104,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_105,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_106,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_107,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_108,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_109,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_110,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_111,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_112,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_113,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_114,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_115,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_116,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_117,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_118,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_aggressive_behavior_proxy,adhd|anxiety|conduct|depression|elimination,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_anxious_depressed_proxy,adhd|anxiety|conduct|depression|elimination,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_attention_problems_proxy,adhd|anxiety|conduct|depression|elimination,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_externalizing_proxy,adhd|anxiety|conduct|depression|elimination,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_internalizing_proxy,adhd|anxiety|conduct|depression|elimination,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_rule_breaking_proxy,adhd|anxiety|conduct|depression|elimination,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
conners_cognitive_problems,adhd,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
conners_conduct_problems,adhd,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
conners_hyperactivity,adhd,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
conners_total,adhd,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
has_ari_p,conduct,master_inference_ready_strict,system_filled,no,no,yes,no,yes,yes,low,
has_ari_sr,conduct,master_inference_ready_strict,system_filled,no,no,yes,no,yes,yes,low,
has_cbcl,adhd|anxiety|conduct|depression|elimination,master_inference_ready_strict,system_filled,no,no,yes,no,yes,yes,low,
has_conners,adhd,master_inference_ready_strict,system_filled,no,no,yes,no,yes,yes,low,
has_icut,conduct,master_inference_ready_strict,system_filled,no,no,yes,no,yes,yes,low,
has_scared_p,anxiety,master_inference_ready_strict,system_filled,no,no,yes,no,yes,yes,low,
has_scared_sr,anxiety,master_inference_ready_strict,system_filled,no,no,yes,no,yes,yes,low,
has_sdq,adhd|anxiety|conduct|depression|elimination,master_inference_ready_strict,system_filled,no,no,yes,no,yes,yes,low,
has_swan,adhd,master_inference_ready_strict,system_filled,no,no,yes,no,yes,yes,low,
has_ysr,adhd,master_inference_ready_strict,system_filled,no,no,yes,no,yes,yes,low,
icut_total,conduct,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
mfq_p_total,depression,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
release,adhd|anxiety|conduct|elimination,master_inference_ready_strict,system_filled,no,no,yes,no,yes,yes,low,
scared_p_01,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_02,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_03,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_04,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_05,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_06,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_07,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_08,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_09,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_10,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_11,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_12,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_13,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_14,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_15,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_16,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_17,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_18,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_19,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_20,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_21,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_22,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_23,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_24,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_25,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_26,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_27,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_28,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_29,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_30,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_31,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_32,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_33,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_34,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_35,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_36,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_37,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_38,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_39,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_40,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_41,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_generalized_anxiety,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_panic_somatic,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_possible_anxiety_disorder_cut25,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_school_avoidance,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_separation_anxiety,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_social_anxiety,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_p_total,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
scared_sr_01,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_02,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_03,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_04,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_05,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_06,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_07,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_08,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_09,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_10,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_11,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_12,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_13,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_14,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_15,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_16,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_17,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_18,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_19,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_20,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_21,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_22,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_23,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_24,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_25,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_26,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_27,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_28,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_29,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_30,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_31,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_32,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_33,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_34,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_35,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_36,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_37,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_38,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_39,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_40,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_41,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_generalized_anxiety,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_panic_somatic,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_possible_anxiety_disorder_cut25,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_school_avoidance,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_separation_anxiety,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_social_anxiety,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
scared_sr_total,anxiety,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
sdq_01,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_02,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_03,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_04,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_05,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_06,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_07,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_08,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_09,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_10,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_11,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_12,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_13,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_14,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_15,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_16,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_17,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_18,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_19,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_20,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_21,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_22,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_23,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_24,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_25,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_conduct_problems,adhd|anxiety|conduct|depression|elimination,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_emotional_symptoms,adhd|anxiety|conduct|depression|elimination,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_hyperactivity_inattention,adhd|anxiety|conduct|depression|elimination,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_impact,adhd|anxiety|conduct|depression|elimination,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
