mode,domain,feature_set,family,n_features,calibration,threshold,fit_seconds,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,seed_std_balanced_accuracy,stability,uncertain_rate,uncertainty_usefulness,output_realism_score,operational_complexity,maintenance_complexity,objective
caregiver,elimination,missingness_aware_clean,lightgbm,24,isotonic,0.225,0.2890007495880127,0.8095238095238095,0.84472049689441,0.744,0.794360248447205,0.8267477203647416,0.8702608695652173,0.9071697528325611,0.14222652593333115,0.005801689991188322,high,0.34615384615384615,0.0505050505050505,0.7979020979020979,2.3714285714285714,2.9058823529411764,0.833103247540456
caregiver,elimination,baseline_clean_no_shortcuts,lightgbm,21,isotonic,0.405,0.217987060546875,0.9,0.7267080745341615,0.896,0.8113540372670808,0.8041237113402062,0.8698385093167702,0.903412204756291,0.1478680773953776,0.0013052873805599664,high,0.1258741258741259,0.344,0.8632867132867132,2.3,2.8176470588235296,0.8304746179379459
caregiver,elimination,impact_burden_clean,lightgbm,25,isotonic,0.5050000000000001,0.36299848556518555,0.9022556390977443,0.7453416149068323,0.896,0.8206708074534161,0.8163265306122449,0.8730683229813665,0.9063534346718718,0.14100817726659257,0.006390209366699142,high,0.02097902097902098,0.1476190476190476,0.8216783216783217,2.395238095238095,2.9352941176470586,0.8292297114290783
caregiver,elimination,compact_clinical_clean,lightgbm,21,isotonic,0.43000000000000005,0.34400153160095215,0.90625,0.7204968944099379,0.904,0.8122484472049689,0.8027681660899654,0.865664596273292,0.8965998525734029,0.14401529015342823,0.005037661486730753,high,0.08041958041958042,0.3979170110762109,0.8395104895104895,2.3,2.8176470588235296,0.8225272995176064
caregiver,elimination,hybrid_clean_best_effort,lightgbm,33,isotonic,0.45000000000000007,0.4089996814727783,0.8652482269503546,0.7577639751552795,0.848,0.8028819875776397,0.8079470198675497,0.8634037267080744,0.901932700047759,0.1455104702555538,0.005177420918402713,high,0.15384615384615385,0.32438016528925623,0.7800699300699301,2.585714285714286,3.1705882352941175,0.8211506833620202
caregiver,elimination,source_semantics_clean,lightgbm,33,isotonic,0.45000000000000007,0.45699357986450195,0.8652482269503546,0.7577639751552795,0.848,0.8028819875776397,0.8079470198675497,0.8634037267080744,0.901932700047759,0.1455104702555538,0.005177420918402713,high,0.15384615384615385,0.32438016528925623,0.7800699300699301,2.585714285714286,3.1705882352941175,0.8211506833620202
caregiver,elimination,proxy_pruned_clean,xgboost,14,isotonic,0.42500000000000004,0.19598603248596191,0.8531468531468531,0.7577639751552795,0.832,0.7948819875776397,0.8026315789473685,0.8660621118012423,0.891336561914367,0.14733461618972038,0.006077749688411363,high,0.19230769230769232,0.2805194805194805,0.893006993006993,2.3333333333333335,2.8117647058823527,0.8197991092787508
caregiver,elimination,compact_clinical_clean,xgboost,21,isotonic,0.5050000000000001,0.2389993667602539,0.8923076923076924,0.7204968944099379,0.888,0.8042484472049689,0.7972508591065293,0.8718260869565218,0.9055109741386489,0.1423966362430562,0.005983550042987882,high,0.055944055944055944,0.5097222222222222,0.8216783216783217,2.5,3.0176470588235293,0.8178502723638581
caregiver,elimination,impact_burden_clean,xgboost,25,isotonic,0.48000000000000004,0.27300500869750977,0.9024390243902439,0.6894409937888198,0.904,0.7967204968944099,0.7816901408450704,0.8727204968944098,0.9094914874324149,0.14224364705998174,0.003873351332064109,high,0.10139860139860139,0.5262310479001745,0.8276223776223777,2.5952380952380953,3.135294117647059,0.8137368452449868
caregiver,elimination,baseline_clean_no_shortcuts,rf,21,isotonic,0.45500000000000007,1.4975693225860596,0.9217391304347826,0.6583850931677019,0.928,0.793192546583851,0.7681159420289855,0.8810186335403726,0.9067527860891772,0.14222492948281504,0.0018856180831641283,high,0.22727272727272727,0.42714932126696836,0.8751748251748251,1.5,2.0176470588235293,0.8126285154071871
caregiver,elimination,baseline_clean_no_shortcuts,xgboost,21,isotonic,0.5050000000000001,0.2220001220703125,0.9159663865546218,0.6770186335403726,0.92,0.7985093167701863,0.7785714285714286,0.8719254658385094,0.9100538419522545,0.15345750253739576,0.006513435181380927,high,0.21328671328671328,0.2662295081967213,0.9048951048951049,2.5,3.0176470588235293,0.8118011863321088
caregiver,elimination,subtype_aware_clean,xgboost,12,isotonic,0.36500000000000005,0.17800116539001465,0.7914110429447853,0.8012422360248447,0.728,0.7646211180124223,0.7962962962962963,0.847503105590062,0.8850101400048186,0.16048184984818048,0.007761880186644438,high,0.04895104895104895,0.05777310924369747,0.8335664335664336,2.2857142857142856,2.7529411764705882,0.8056820927982274
caregiver,elimination,proxy_pruned_clean,lightgbm,14,isotonic,0.41500000000000004,0.24598908424377441,0.8175675675675675,0.7515527950310559,0.784,0.767776397515528,0.7831715210355987,0.8543354037267081,0.8920342667425268,0.15342199464423356,0.00982064030366691,high,0.17132867132867133,0.23447860156720915,0.8989510489510489,2.1333333333333333,2.611764705882353,0.8003866940749911
caregiver,elimination,subtype_aware_clean,lightgbm,12,isotonic,0.5050000000000001,0.26599955558776855,0.907563025210084,0.6708074534161491,0.912,0.7914037267080746,0.7714285714285715,0.8401490683229814,0.8813849526918508,0.15910192966676,0.004988876515698593,high,0.11888111888111888,0.24673202614379083,0.7622377622377623,2.085714285714286,2.552941176470588,0.7973231076215055
psychologist,elimination,compact_clinical_clean,rf,24,isotonic,0.37500000000000006,1.1532166004180908,0.8475609756097561,0.8633540372670807,0.8,0.8316770186335404,0.8553846153846154,0.8852422360248448,0.9121638790674771,0.13463079845418852,0.0029084952154502103,high,0.1258741258741259,0.034444444444444444,0.8513986013986015,1.5714285714285714,2.1058823529411765,0.8615209597745984
psychologist,elimination,impact_burden_clean,rf,31,isotonic,0.36000000000000004,1.1968026161193848,0.85625,0.8509316770186336,0.816,0.8334658385093168,0.8535825545171339,0.8768944099378881,0.9099187932579876,0.13665487288976252,0.0032659863237109073,high,0.10139860139860139,0.008989668589829608,0.8573426573426574,1.7380952380952381,2.3117647058823527,0.8594287102809491
psychologist,elimination,proxy_pruned_clean,rf,14,isotonic,0.405,1.0184366703033447,0.8313253012048193,0.8571428571428571,0.776,0.8165714285714285,0.8440366972477065,0.8744099378881988,0.897224341246531,0.14278942169392647,0.0033496072781673087,high,0.16433566433566432,0.09213923261817855,0.893006993006993,1.3333333333333333,1.8117647058823527,0.8519097069979186
psychologist,elimination,hybrid_clean_best_effort,rf,39,isotonic,0.36000000000000004,1.2659976482391357,0.8618421052631579,0.8136645962732919,0.832,0.8228322981366459,0.8370607028753994,0.8771180124223602,0.9155788955830211,0.13728402716418206,0.0046783047767987975,high,0.17132867132867133,0.15422371480237665,0.791958041958042,1.9285714285714286,2.5470588235294116,0.8438414226197359
psychologist,elimination,source_semantics_clean,rf,39,isotonic,0.36000000000000004,1.1907165050506592,0.8618421052631579,0.8136645962732919,0.832,0.8228322981366459,0.8370607028753994,0.8771180124223602,0.9155788955830211,0.13728402716418206,0.0046783047767987975,high,0.17132867132867133,0.15422371480237665,0.791958041958042,1.9285714285714286,2.5470588235294116,0.8438414226197359
psychologist,elimination,impact_burden_clean,xgboost,31,isotonic,0.35500000000000004,0.3190031051635742,0.8716216216216216,0.8012422360248447,0.848,0.8246211180124223,0.8349514563106796,0.8756770186335403,0.9095895234117379,0.14040069051609674,0.005688675469336692,high,0.11888111888111888,0.16479925303454718,0.8632867132867132,2.738095238095238,3.3117647058823527,0.843439789006202
psychologist,elimination,hybrid_clean_best_effort,xgboost,39,isotonic,0.30500000000000005,0.2830073833465576,0.8192771084337349,0.84472049689441,0.76,0.802360248447205,0.8318042813455657,0.8707080745341615,0.9107696570346555,0.14187569283943807,0.0032659863237109073,high,0.055944055944055944,0.12731481481481483,0.8038461538461539,2.928571428571429,3.5470588235294116,0.8413504037115916
psychologist,elimination,source_semantics_clean,xgboost,39,isotonic,0.30500000000000005,0.37298154830932617,0.8192771084337349,0.84472049689441,0.76,0.802360248447205,0.8318042813455657,0.8707080745341615,0.9107696570346555,0.14187569283943807,0.0032659863237109073,high,0.055944055944055944,0.12731481481481483,0.8038461538461539,2.928571428571429,3.5470588235294116,0.8413504037115916
psychologist,elimination,impact_burden_clean,lightgbm,31,isotonic,0.5050000000000001,0.4232189655303955,0.8992805755395683,0.7763975155279503,0.888,0.8321987577639751,0.8333333333333334,0.8734658385093166,0.9069828542087675,0.13901863644199655,0.005826756448251014,high,0.08741258741258741,0.202911877394636,0.8276223776223777,2.538095238095238,3.111764705882353,0.8408954906925235
psychologist,elimination,missingness_aware_clean,xgboost,30,isotonic,0.44500000000000006,0.1989917755126953,0.8282208588957055,0.8385093167701864,0.776,0.8072546583850932,0.8333333333333334,0.8747826086956522,0.9090452306611827,0.13796062801545422,0.005440634530620308,high,0.017482517482517484,0.21494661921708189,0.791958041958042,2.7142857142857144,3.2823529411764705,0.8387037506684568
psychologist,elimination,compact_clinical_clean,xgboost,24,isotonic,0.41000000000000003,0.233994722366333,0.8581081081081081,0.7888198757763976,0.832,0.8104099378881988,0.8220064724919094,0.8701366459627329,0.9057200025939021,0.14546214718198835,0.0026722418989652916,high,0.16083916083916083,0.211231884057971,0.8454545454545455,2.571428571428571,3.1058823529411765,0.8373157137269467
psychologist,elimination,missingness_aware_clean,rf,30,isotonic,0.5050000000000001,1.100996494293213,0.8802816901408451,0.7763975155279503,0.864,0.8201987577639751,0.8250825082508251,0.878360248447205,0.9140566342464507,0.1367157198008794,0.001463989195003233,high,0.0034965034965034965,-0.18596491228070175,0.674435038645565,1.7142857142857144,2.2823529411764705,0.8354024825538232
psychologist,elimination,missingness_aware_clean,lightgbm,30,isotonic,0.3350000000000001,0.29599547386169434,0.8354430379746836,0.8198757763975155,0.792,0.8059378881987578,0.8275862068965517,0.871304347826087,0.907416112735344,0.14297899982532206,0.00503766148673073,high,0.05944055944055944,0.23332604417231576,0.8038461538461539,2.5142857142857142,3.0823529411764707,0.8353415923458587
psychologist,elimination,baseline_clean_no_shortcuts,lightgbm,21,isotonic,0.405,0.24205970764160156,0.9,0.7267080745341615,0.896,0.8113540372670808,0.8041237113402062,0.8698385093167702,0.903412204756291,0.1478680773953776,0.0013052873805599664,high,0.1258741258741259,0.344,0.8632867132867132,2.3,2.8176470588235296,0.8304746179379459
psychologist,elimination,subtype_aware_clean,lightgbm,14,isotonic,0.3350000000000001,0.2779991626739502,0.7722222222222223,0.8633540372670807,0.672,0.7676770186335404,0.8152492668621701,0.847776397515528,0.8842059183698827,0.15662802711626123,0.0025357036674773696,high,0.0034965034965034965,0.7824561403508772,0.8573426573426574,2.1333333333333333,2.611764705882353,0.8276904779771848
psychologist,elimination,hybrid_clean_best_effort,lightgbm,39,isotonic,0.41500000000000004,0.4210197925567627,0.8397435897435898,0.8136645962732919,0.8,0.806832298136646,0.8264984227129337,0.8596024844720497,0.8978803206941497,0.14830564519206343,0.0073407448930349365,high,0.11888111888111888,0.1489262371615313,0.7384615384615385,2.7285714285714286,3.347058823529412,0.8259091519335922
psychologist,elimination,source_semantics_clean,lightgbm,39,isotonic,0.41500000000000004,0.3860001564025879,0.8397435897435898,0.8136645962732919,0.8,0.806832298136646,0.8264984227129337,0.8596024844720497,0.8978803206941497,0.14830564519206343,0.0073407448930349365,high,0.11888111888111888,0.1489262371615313,0.7384615384615385,2.7285714285714286,3.347058823529412,0.8259091519335922
psychologist,elimination,subtype_aware_clean,rf,14,isotonic,0.44000000000000006,0.9755549430847168,0.8661971830985915,0.7639751552795031,0.848,0.8059875776397516,0.8118811881188119,0.867031055900621,0.9001875707015582,0.1458686105368496,0.007163048845363572,high,0.17132867132867133,0.3013002669422199,0.8513986013986015,1.3333333333333333,1.8117647058823527,0.8238787843765194
psychologist,elimination,compact_clinical_clean,lightgbm,24,isotonic,0.35000000000000003,0.2939949035644531,0.8445945945945946,0.7763975155279503,0.816,0.7961987577639751,0.8090614886731392,0.8607701863354038,0.8984515512568862,0.14896533812337262,0.005826756448251014,high,0.14335664335664336,0.24320557491289196,0.8276223776223777,2.3714285714285714,2.9058823529411764,0.8215472139575873
psychologist,elimination,proxy_pruned_clean,xgboost,14,isotonic,0.42500000000000004,0.14700746536254883,0.8531468531468531,0.7577639751552795,0.832,0.7948819875776397,0.8026315789473685,0.8660621118012423,0.891336561914367,0.14733461618972038,0.006077749688411363,high,0.19230769230769232,0.2805194805194805,0.893006993006993,2.3333333333333335,2.8117647058823527,0.8197991092787508
psychologist,elimination,baseline_clean_no_shortcuts,rf,21,isotonic,0.45500000000000007,1.2699730396270752,0.9217391304347826,0.6583850931677019,0.928,0.793192546583851,0.7681159420289855,0.8810186335403726,0.9067527860891772,0.14222492948281504,0.0018856180831641283,high,0.22727272727272727,0.42714932126696836,0.8751748251748251,1.5,2.0176470588235293,0.8126285154071871
psychologist,elimination,baseline_clean_no_shortcuts,xgboost,21,isotonic,0.5050000000000001,0.1710062026977539,0.9159663865546218,0.6770186335403726,0.92,0.7985093167701863,0.7785714285714286,0.8719254658385094,0.9100538419522545,0.15345750253739576,0.006513435181380927,high,0.21328671328671328,0.2662295081967213,0.9048951048951049,2.5,3.0176470588235293,0.8118011863321088
psychologist,elimination,subtype_aware_clean,xgboost,14,isotonic,0.35500000000000004,0.22800016403198242,0.783625730994152,0.8322981366459627,0.704,0.7681490683229814,0.8072289156626506,0.8519006211180123,0.8898224229291384,0.15548892999114752,0.008512305470217623,high,0.07692307692307693,0.20075757575757577,0.7444055944055945,2.3333333333333335,2.8117647058823527,0.8085503812093818
psychologist,elimination,proxy_pruned_clean,lightgbm,14,isotonic,0.41500000000000004,0.20500564575195312,0.8175675675675675,0.7515527950310559,0.784,0.767776397515528,0.7831715210355987,0.8543354037267081,0.8920342667425268,0.15342199464423356,0.00982064030366691,high,0.17132867132867133,0.23447860156720915,0.8989510489510489,2.1333333333333333,2.611764705882353,0.8003866940749911
