mode,domain,target_variant,round_id,family,feature_variant,seed,status,error,n_features,config_id,calibration,threshold_policy,threshold,abstention_band,abstention_coverage,val_objective,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,high_conf_precision,input_missing_ratio
caregiver,elimination,elimination_union_internal,1,rf,engineered,11,ok,,27,rf_default,isotonic,precision_guarded,0.405,0.05,0.8426573426573427,0.9130996124516229,0.9083333333333333,0.6770186335403726,0.912,0.7945093167701863,0.7758007117437722,0.876248447204969,0.8809004372528717,0.14185556177315758,0.9159663865546218,0.0214970214970215
caregiver,elimination,elimination_union_internal,1,xgboost,base,11,ok,,16,xgboost_default,isotonic,precision_guarded,0.585,0.05,0.9195804195804196,0.9054599816133774,0.9320388349514563,0.5962732919254659,0.944,0.7701366459627329,0.7272727272727273,0.8683975155279503,0.8855782525072247,0.14749932289123535,0.9320388349514563,0.031031468531468535
caregiver,elimination,elimination_union_internal,1,xgboost,engineered,11,ok,,27,xgboost_default,isotonic,precision_guarded,0.67,0.05,0.9895104895104895,0.9099101392048146,0.9482758620689655,0.6832298136645962,0.952,0.8176149068322981,0.7942238267148014,0.8759006211180124,0.8907346613286833,0.13305138051509857,0.9482758620689655,0.0214970214970215
caregiver,elimination,elimination_union_internal,1,lightgbm,base,11,ok,,16,lightgbm_default,isotonic,precision_guarded,0.64,0.05,0.9615384615384616,0.9007852580002519,0.9320388349514563,0.5962732919254659,0.944,0.7701366459627329,0.7272727272727273,0.8592049689440993,0.8668977137978806,0.14510704394575183,0.9320388349514563,0.031031468531468535
caregiver,elimination,elimination_union_internal,1,lightgbm,engineered,11,ok,,27,lightgbm_default,isotonic,precision_guarded,0.505,0.05,0.972027972027972,0.9075463189982198,0.9401709401709402,0.6832298136645962,0.944,0.8136149068322981,0.7913669064748201,0.8770434782608696,0.8958414547407705,0.137095178588842,0.9401709401709402,0.0214970214970215
caregiver,elimination,elimination_union_internal,1,catboost,base,11,ok,,16,catboost_default,isotonic,precision_guarded,0.67,0.05,0.9370629370629371,0.9015940958614574,0.9285714285714286,0.5652173913043478,0.944,0.7546086956521738,0.7027027027027027,0.8773664596273293,0.8897344844417241,0.13925947606095904,0.9285714285714286,0.031031468531468535
caregiver,elimination,elimination_union_internal,1,catboost,engineered,11,ok,,27,catboost_default,isotonic,precision_guarded,0.65,0.05,0.9405594405594405,0.9080494958525257,0.9375,0.5590062111801242,0.952,0.7555031055900621,0.7003891050583657,0.8816397515527951,0.8936722277890081,0.1395190368954594,0.9368421052631579,0.0214970214970215
caregiver,elimination,elimination_union_internal,1,tabpfn,base,11,error,"Running on CPU with more than 1000 samples is not allowed by default due to slow performance.
To override this behavior, set the environment variable TABPFN_ALLOW_CPU_LARGE_DATASET=1 or set ignore_pretraining_limits=True.
Alternatively, consider using a GPU or the tabpfn-client API: https://github.com/PriorLabs/tabpfn-client",16,,,,,,,,,,,,,,,,,
caregiver,elimination,elimination_union_internal,1,tabpfn,engineered,11,error,"Running on CPU with more than 1000 samples is not allowed by default due to slow performance.
To override this behavior, set the environment variable TABPFN_ALLOW_CPU_LARGE_DATASET=1 or set ignore_pretraining_limits=True.
Alternatively, consider using a GPU or the tabpfn-client API: https://github.com/PriorLabs/tabpfn-client",27,,,,,,,,,,,,,,,,,
caregiver,elimination,elimination_union_internal,2,rf,base,11,ok,,16,rf_stability,isotonic,precision_guarded,0.42000000000000004,0.05,0.7692307692307693,0.9173536723532889,0.9279279279279279,0.639751552795031,0.936,0.7878757763975155,0.7573529411764706,0.8695900621118012,0.8730568579459776,0.1473940216585318,0.9279279279279279,0.031031468531468535
caregiver,elimination,elimination_union_internal,2,rf,base,29,ok,,16,rf_stability,isotonic,precision_guarded,0.54,0.05,0.9545454545454546,0.9140625940101095,0.9245283018867925,0.6086956521739131,0.936,0.7723478260869565,0.7340823970037453,0.8683478260869565,0.8737943150167379,0.14754818782595097,0.9245283018867925,0.031031468531468535
caregiver,elimination,elimination_union_internal,2,rf,engineered,11,ok,,27,rf_stability,isotonic,precision_guarded,0.405,0.05,0.8426573426573427,0.9130996124516229,0.9083333333333333,0.6770186335403726,0.912,0.7945093167701863,0.7758007117437722,0.876248447204969,0.8809004372528717,0.1418555617731576,0.9159663865546218,0.0214970214970215
caregiver,elimination,elimination_union_internal,2,rf,engineered,29,ok,,27,rf_stability,isotonic,precision_guarded,0.605,0.05,0.9825174825174825,0.9120961520368791,0.9217391304347826,0.6583850931677019,0.928,0.793192546583851,0.7681159420289855,0.8806708074534162,0.888495814545502,0.13652271877835748,0.9298245614035088,0.0214970214970215
caregiver,elimination,elimination_union_internal,3,rf,base,11,ok,,16,rf_refined,isotonic,balanced,0.42000000000000004,0.05,0.7692307692307693,0.864604628833446,0.9279279279279279,0.639751552795031,0.936,0.7878757763975155,0.7573529411764706,0.8695900621118012,0.8730568579459776,0.1473940216585318,0.9279279279279279,0.031031468531468535
caregiver,elimination,elimination_union_internal,3,rf,base,11,ok,,16,rf_refined,isotonic,precision_guarded,0.42000000000000004,0.05,0.7692307692307693,0.9173536723532889,0.9279279279279279,0.639751552795031,0.936,0.7878757763975155,0.7573529411764706,0.8695900621118012,0.8730568579459776,0.1473940216585318,0.9279279279279279,0.031031468531468535
caregiver,elimination,elimination_union_internal,3,rf,base,29,ok,,16,rf_refined,isotonic,balanced,0.39,0.15,0.7342657342657343,0.8589357120073913,0.8863636363636364,0.7267080745341615,0.88,0.8033540372670808,0.7986348122866894,0.8683478260869565,0.8737943150167379,0.14754818782595094,0.9245283018867925,0.031031468531468535
