mode,domain,stage_order,stage_label,version_ref,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,stage_note,delta_balanced_accuracy_vs_prev,delta_balanced_accuracy_vs_stage1,delta_pr_auc_vs_prev,delta_pr_auc_vs_stage1,delta_brier_vs_prev,delta_brier_vs_stage1
psychologist,adhd,1,baseline_strong_previous,final_hardening_v9_baseline,0.9241379310344828,0.8322981366459627,0.912,0.8721490683229813,0.8758169934640523,0.955527950310559,0.9571857724161492,0.0824821632110383,baseline fuerte anterior,,0.0,,0.0,,0.0
psychologist,adhd,2,last_material_improvement,final_hardening_v10,0.9241379310344828,0.8322981366459627,0.912,0.8721490683229813,0.8758169934640523,0.955527950310559,0.9571857724161492,0.0824821632110383,ultima mejora material previa,0.0,0.0,0.0,0.0,0.0,0.0
psychologist,adhd,3,final_current,questionnaire_final_ceiling_v4,0.9496350170502984,0.8167701863354037,0.944,0.8803850931677017,0.8780854582707754,0.9521987577639752,0.9543408280682516,0.0835087780964788,version final vigente,0.008236024844720413,0.008236024844720413,-0.0028449443478976155,-0.0028449443478976155,0.0010266148854405077,0.0010266148854405077
psychologist,anxiety,1,baseline_strong_previous,final_hardening_v9_baseline,0.9850746268656716,1.0,0.9954545454545456,0.9977272727272728,0.9924812030075189,0.999931129476584,0.9997738579828132,0.0028421596000618,baseline fuerte anterior,,0.0,,0.0,,0.0
psychologist,anxiety,2,last_material_improvement,final_hardening_v10,0.9850746268656716,1.0,0.9954545454545456,0.9977272727272728,0.9924812030075189,0.999931129476584,0.9997738579828132,0.0028421596000618,ultima mejora material previa,0.0,0.0,0.0,0.0,0.0,0.0
psychologist,anxiety,3,final_current,questionnaire_final_ceiling_v4,0.9848484848484848,0.9848484848484848,0.9954545454545456,0.9901515151515152,0.9848484848484848,0.9987000688705234,0.9916243819767728,0.0050413209689384,version final vigente,-0.007575757575757569,-0.007575757575757569,-0.008149476006040324,-0.008149476006040324,0.0021991613688766,0.0021991613688766
psychologist,conduct,1,baseline_strong_previous,final_hardening_v9_baseline,0.9733333333333334,0.9125,0.9902912621359224,0.9513956310679612,0.9419354838709676,0.973513349514563,0.9527984222787746,0.0340391055890754,baseline fuerte anterior,,0.0,,0.0,,0.0
psychologist,conduct,2,last_material_improvement,final_hardening_v10,0.9733333333333334,0.9125,0.9902912621359224,0.9513956310679612,0.9419354838709676,0.973513349514563,0.9527984222787746,0.0340391055890754,ultima mejora material previa,0.0,0.0,0.0,0.0,0.0,0.0
psychologist,conduct,3,final_current,questionnaire_final_ceiling_v4,0.9393581081081082,0.86875,0.9781553398058254,0.9234526699029126,0.9026125614623068,0.9763273665048544,0.9435313322596884,0.042716531738808,version final vigente,-0.027942961165048574,-0.027942961165048574,-0.00926709001908621,-0.00926709001908621,0.008677426149732603,0.008677426149732603
psychologist,depression,1,baseline_strong_previous,final_hardening_v9_baseline,0.872,0.9478260869565216,0.9064327485380116,0.9271294177472666,0.9083333333333332,0.979913551995932,0.9691357955567363,0.0557392420458664,baseline fuerte anterior,,0.0,,0.0,,0.0
psychologist,depression,2,last_material_improvement,final_hardening_v10,0.872,0.9478260869565216,0.9064327485380116,0.9271294177472666,0.9083333333333332,0.979913551995932,0.9691357955567363,0.0557392420458664,ultima mejora material previa,0.0,0.0,0.0,0.0,0.0,0.0
psychologist,depression,3,final_current,questionnaire_final_ceiling_v4,0.9359367440735364,0.8565217391304348,0.9605263157894736,0.9085240274599542,0.89445602745361,0.9759344012204424,0.952287837157802,0.0583974226486005,version final vigente,-0.01860539028731245,-0.01860539028731245,-0.016847958398934382,-0.016847958398934382,0.002658180602734095,0.002658180602734095
psychologist,elimination,1,baseline_strong_previous,elimination_baseline_pre_v12,0.9256198347107438,0.6956521739130435,0.928,0.8118260869565217,0.7943262411347518,,,0.1445763621488415,baseline fuerte anterior de linea elimination,,0.0,,,,0.0
psychologist,elimination,2,last_material_improvement,elimination_clean_rebuild_v12,0.8475609756097561,0.8633540372670807,0.8,0.8316770186335404,0.8553846153846154,,0.9121638790674772,0.1346307984541885,ultima mejora material previa,0.01985093167701868,0.01985093167701868,,0.0,-0.00994556369465302,-0.00994556369465302
psychologist,elimination,3,final_current,elimination_clean_rebuild_v12,0.8475609756097561,0.8633540372670807,0.8,0.8316770186335404,0.8553846153846154,,0.9121638790674772,0.1346307984541885,version final vigente (KEEP_V12),0.0,0.01985093167701868,0.0,0.0,0.0,-0.00994556369465302
psychologist,elimination,4,exploratory_later_version,elimination_final_push_v14,0.8475609756097561,0.8633540372670807,0.8,0.8316770186335404,0.8553846153846154,,0.9121638790674772,0.1346307984541885,exploratorio; decision formal KEEP_V12,0.0,0.01985093167701868,0.0,0.0,0.0,-0.00994556369465302
