slot_key,domain,role,mode,feature,permutation_ba_drop_mean,permutation_ba_drop_std
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,adhd_inatt_03_seems_not_listening,0.018107154668724534,0.0007165692867379669
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,adhd_inatt_02_sustained_attention_difficulty,0.010059530371513581,0.004602579649432281
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,adhd_impairment_social,-0.007193253224561769,0.007331055010472931
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,adhd_hypimp_07_blurts_out,-0.0039549112556498955,0.0039549112556498955
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,adhd_inatt_08_easily_distracted,0.010707198765295967,0.002659574468085124
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,adhd_inatt_01_attention_to_detail_errors,-0.004602579649432281,0.0020119060743027384
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,adhd_inatt_07_loses_things,0.006752287509646071,0.0
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,adhd_inatt_04_fails_to_finish_tasks,-0.0012953367875647714,0.0012953367875647714
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,adhd_hypimp_02_leaves_seat,-0.007262154117517405,0.0006476683937823857
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,adhd_hypimp_01_fidgets,-0.0012953367875647714,0.0012953367875647714
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,adhd_inatt_05_organization_difficulty,-0.009921728585602474,0.0033072428618674543
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,adhd_hypimp_04_cannot_play_quietly,0.0006476683937823857,0.0006476683937823857
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd_onset_before_12,0.17014386506449125,0.01991235806416053
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd_not_better_explained_other_mental,0.08046246279351776,0.011864733766949631
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd_impairment_home,0.027519016646455785,0.005966817329952578
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd_impairment_school,0.02083563002976524,0.013945540734207895
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd_inatt_06_avoids_sustained_effort,0.03399570058427953,0.008695292690993284
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd_inatt_09_forgetful_daily_activities,0.008047624297210898,0.006614485723734964
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd_inatt_03_seems_not_listening,0.02745011575350015,0.0034450446477786723
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd_inatt_02_sustained_attention_difficulty,0.016026347701466215,0.0039549112556498955
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd_impairment_social,0.0033761437548230355,0.004671480542387807
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd_hypimp_07_blurts_out,0.0020119060743027384,0.00330724286186751
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd_inatt_08_easily_distracted,0.004023812148605477,0.0012953367875647714
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd_inatt_01_attention_to_detail_errors,0.00272847536104065,0.005319148936170193
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd_inatt_07_loses_things,0.014083342520119002,0.007331055010472931
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd_inatt_04_fails_to_finish_tasks,0.0,0.0
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd_hypimp_02_leaves_seat,-0.0012953367875647714,0.0
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd_hypimp_01_fidgets,0.0046714805423878625,0.0006476683937823857
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd_inatt_05_organization_difficulty,0.010638297872340385,0.0012953367875647714
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd_hypimp_04_cannot_play_quietly,0.005319148936170248,0.0
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd_hypimp_05_driven_by_motor,0.0020119060743027384,0.0020119060743027384
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd_hypimp_09_interrupts_intrudes,0.007978723404255317,0.0026595744680850686
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd_context_other,0.004023812148605421,0.005319148936170193
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd_hypimp_06_talks_excessively,-0.0039549112556498955,0.002659574468085124
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd_hypimp_08_difficulty_waiting_turn,0.002659574468085124,0.002659574468085124
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd_context_home,0.0046714805423878625,0.0006476683937823857
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd_hypimp_03_runs_or_climbs_inappropriately,0.005319148936170248,0.0
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd_context_school,0.002659574468085124,0.002659574468085124
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd_not_psychosis_exclusive,0.0,0.0
anxiety/caregiver/caregiver_1_3,anxiety,caregiver,caregiver_1_3,sep_anx_impairment,0.09207885727777121,0.005813953488372103
anxiety/caregiver/caregiver_1_3,anxiety,caregiver,caregiver_1_3,gad_difficulty_controlling_worry,0.02489375516467951,0.0054450478101758515
anxiety/caregiver/caregiver_1_3,anxiety,caregiver,caregiver_1_3,gad_impairment,0.010993389210246729,0.006448471254869581
anxiety/caregiver/caregiver_1_3,anxiety,caregiver,caregiver_1_3,gad_excessive_worry_multiple_areas,0.009355447999055577,0.003541494510683474
anxiety/caregiver/caregiver_1_3,anxiety,caregiver,caregiver_1_3,social_anxiety_impairment,0.02880415535355918,0.00026561208830122585
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,sep_anx_impairment,0.04667394640538308,0.009989965765553055
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,sep_anx_duration_weeks,0.025528272931176987,0.0035414945106834184
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,agor_escape_help_cognition,0.0016379412111912073,0.0029069767441860517
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,age_years,-0.005813953488371992,0.0
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,gad_duration_months,0.00036890567819625186,0.0029069767441860517
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,gad_assoc_06_sleep_problems,0.010993389210246785,0.0006345177664974222
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,gad_difficulty_controlling_worry,0.008086412466060733,0.0022724589776886295
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,agor_avoid_or_need_companion,-0.004176012277180896,0.0029069767441860517
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,social_anxiety_duration_months,0.005813953488372103,0.0012690355329948444
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,sep_anx_03_worry_event_causing_separation,-0.0035414945106834184,0.002272458977688574
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,gad_assoc_03_concentration_difficulty,0.0029069767441860517,0.0029069767441860517
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,social_anxiety_fear_negative_evaluation,0.0012690355329949,0.005813953488372048
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,gad_assoc_05_muscle_tension,0.011627906976744207,0.005813953488372103
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,sep_anx_07_separation_nightmares,0.0006345177664974222,0.0006345177664974222
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,sep_anx_05_fear_being_alone_without_attachment,0.005813953488372103,0.0
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,gad_impairment,0.0064484712548695255,0.0064484712548695255
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,sep_anx_04_refuses_leaving_home_school,0.0029069767441860517,0.0029069767441860517
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,gad_assoc_02_fatigue,-0.0006345177664974222,0.0006345177664974222
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,gad_assoc_01_restlessness,0.008720930232558155,0.0029069767441860517
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,sep_anx_08_physical_complaints_on_separation,-0.0012690355329948444,0.0
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,agor_fear_01_public_transport,0.01516940148742768,0.003541494510683474
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,sep_anx_06_refuses_sleep_away_or_alone,0.0029069767441860517,0.0029069767441860517
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,gad_assoc_04_irritability,0.007451894699563311,0.0029069767441860517
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,social_anxiety_fear_being_observed,-0.0012690355329948444,0.0
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,gad_excessive_worry_multiple_areas,0.005179435721874681,0.0006345177664974222
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,agor_fear_03_enclosed_spaces,0.0,0.0
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,social_anxiety_impairment,0.005179435721874681,0.0006345177664974222
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,sep_anx_impairment,0.02605949710777955,0.009355447999055633
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,sep_anx_duration_weeks,0.012896942509739051,0.0
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,agor_escape_help_cognition,-0.0025380710659898,0.0
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,age_years,-5.551115123125783e-17,0.005813953488372048
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,gad_duration_months,0.0016379412111911518,0.002906976744185996
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,gad_assoc_06_sleep_problems,-0.0012690355329949,0.0012690355329949
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,gad_difficulty_controlling_worry,0.002906976744185996,0.002906976744185996
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,agor_fear_05_outside_home_alone,-0.006079565576673329,0.0035414945106835294
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,agor_avoid_or_need_companion,-0.0025380710659898,0.0
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,social_anxiety_duration_months,0.0,0.0
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,sep_anx_03_worry_event_causing_separation,0.0,0.0
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,gad_assoc_03_concentration_difficulty,0.0,0.0
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,social_anxiety_fear_negative_evaluation,0.0,0.0
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,gad_assoc_05_muscle_tension,-0.0006345177664974222,0.0006345177664974222
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,sep_anx_07_separation_nightmares,0.002272458977688574,0.0035414945106834184
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,sep_anx_05_fear_being_alone_without_attachment,-0.0012690355329948444,0.0
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,gad_impairment,0.0,0.0
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,agor_fear_04_crowds_queues,0.0,0.0
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,sep_anx_04_refuses_leaving_home_school,-0.0025380710659898,0.0
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,gad_assoc_02_fatigue,0.0,0.0
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,gad_assoc_01_restlessness,0.0,0.0
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,agor_almost_always_triggered,-0.001903553299492322,0.0006345177664974777
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,sep_anx_08_physical_complaints_on_separation,-0.0012690355329948444,0.0
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,agor_fear_01_public_transport,-0.0025380710659898,0.0
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,sep_anx_06_refuses_sleep_away_or_alone,0.0,0.0
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,gad_assoc_04_irritability,0.002272458977688574,0.002272458977688574
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,social_anxiety_fear_being_observed,0.0,0.0
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,gad_excessive_worry_multiple_areas,0.0,0.0
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,agor_fear_03_enclosed_spaces,-0.0012690355329948444,0.0
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,social_anxiety_impairment,0.0,0.0
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,social_anxiety_avoid_or_endure_intense,0.0,0.0
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,agor_duration_months,0.0032758824223823035,0.0
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,sep_anx_02_worry_losing_attachment_figures,-0.0012690355329948444,0.0
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,social_anxiety_fear_interactions,0.0,0.0
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,social_anxiety_almost_always_triggered,0.0,0.0
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,agor_impairment,0.0006345177664974777,0.0006345177664974777
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,social_anxiety_fear_performance,0.0,0.0
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,agor_fear_02_open_spaces,-0.0012690355329948444,0.0
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,sep_anx_01_distress_on_separation,0.0,0.0
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,social_anxiety_children_peer_only_flag,0.0,0.0
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,gad_difficulty_controlling_worry,0.014269271632628977,0.005179435721874681
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,sep_anx_04_refuses_leaving_home_school,0.01717624837681503,0.0022724589776886295
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,sep_anx_07_separation_nightmares,0.025528272931176987,0.002272458977688574
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,sep_anx_03_worry_event_causing_separation,0.01844528390980993,0.0035414945106835294
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,sep_anx_02_worry_losing_attachment_figures,0.006182859166568244,0.0029069767441860517
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,sep_anx_05_fear_being_alone_without_attachment,0.011996812654940403,0.0016379412111911518
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,gad_excessive_worry_multiple_areas,0.016541730610317606,0.0029069767441860517
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,sep_anx_01_distress_on_separation,0.0,0.0
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,sep_anx_08_physical_complaints_on_separation,0.01844528390980993,0.0035414945106835294
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,social_anxiety_almost_always_triggered,0.016172824932121355,0.007082989021367059
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,sep_anx_06_refuses_sleep_away_or_alone,0.005813953488372103,0.0012690355329949554
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,social_anxiety_fear_interactions,0.011627906976744207,0.0
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,sep_anx_impairment,0.031504544917955346,0.0064484712548695255
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,sep_anx_duration_weeks,0.024524849486483258,0.005813953488372103
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,age_years,-0.01516940148742768,0.0022724589776886295
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,gad_duration_months,0.006817376933065777,0.003541494510683474
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,agor_escape_help_cognition,-0.00026561208830122585,0.002272458977688574
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,gad_difficulty_controlling_worry,0.0074518946995632,0.004176012277180896
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,gad_assoc_06_sleep_problems,0.00845531814425693,0.0006345177664974777
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,social_anxiety_duration_months,0.009089835910754407,0.0
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,sep_anx_04_refuses_leaving_home_school,-0.0054450478101758515,0.0029069767441860517
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,social_anxiety_fear_negative_evaluation,0.011627906976744096,0.0
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,gad_impairment,0.002906976744185996,0.002906976744185996
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,gad_assoc_05_muscle_tension,0.008086412466060622,0.003541494510683474
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,agor_avoid_or_need_companion,0.003910400188879726,0.0006345177664974222
