slot_key,domain,role,mode,train_recall,holdout_recall,gap_train_holdout_recall,train_f2,holdout_f2,gap_train_holdout_f2,train_pr_auc,holdout_pr_auc,gap_train_holdout_pr_auc,train_balanced_accuracy,holdout_balanced_accuracy,gap_train_holdout_ba,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_pr_auc_mean,cv_pr_auc_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,seed_stability_f1_std
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,0.9922480620155039,0.9651162790697675,0.02713178294573637,0.9609609609609607,0.9410430839002267,0.019917877060734,0.9898165811443682,0.975020175202338,0.014796405942030244,0.9775115098571597,0.9647916420729548,0.012719867784204975,0.9041698449021104,0.0374052166648308,0.8899355619925187,0.02033985913213517,0.9572175059896616,0.012519819830198136,0.9381239109235038,0.016919772007160674,0.015513349328551595
anxiety/psychologist/psychologist_full,anxiety,psychologist,psychologist_full,0.9922480620155039,0.9651162790697675,0.02713178294573637,0.9638554216867471,0.9453302961275627,0.018525125559184397,0.9921124018584424,0.9745363432434598,0.01757605861498257,0.9792035572344863,0.9673297131389447,0.011873844095541597,0.8983218916857361,0.03263275215428491,0.8847513098811445,0.024328337080019753,0.9580657766170498,0.010116393889865145,0.9345638066069455,0.01410949664709684,0.015301182238022605
conduct/caregiver/caregiver_1_3,conduct,caregiver,caregiver_1_3,1.0,1.0,0.0,0.9966708281315023,0.9962640099626401,0.000406818168862233,0.9999476241185039,0.9985714042970324,0.0013762198214715138,0.9958376690946931,0.9953125,0.0005251690946930232,1.0,0.0,0.9930033198837913,0.003291460017754205,0.9998669333518686,9.409850063528588e-05,0.9964907672889901,0.0016534143938133038,0.003265559868387093
conduct/caregiver/caregiver_2_3,conduct,caregiver,caregiver_2_3,1.0,1.0,0.0,0.9991656236962869,0.9987515605493132,0.0004140631469736755,0.9999956506610995,0.9992177331965124,0.0007779174645871079,0.9989594172736733,0.9984375,0.0005219172736733446,1.0,0.0,0.9945753915764975,0.004765793768990778,0.9997582642572022,0.00019647682371803717,0.9972677595628415,0.002406094458613967,0.0032172730339230355
conduct/caregiver/caregiver_full,conduct,caregiver,caregiver_full,1.0,1.0,0.0,0.9995826377295491,0.9987515605493132,0.0008310771802358952,0.9999956506610996,0.9990847500137279,0.0009109006473717596,0.9994797086368366,0.9984375,0.0010422086368365724,0.998435054773083,0.0022131667642771237,0.993791103600544,0.0047711517847552325,0.9996567738430896,0.000267748408724574,0.9964852869493831,0.002530412576378609,0.003623706032271914
conduct/psychologist/psychologist_1_3,conduct,psychologist,psychologist_1_3,0.9624217118997912,0.925,0.037421711899791155,0.9227381905524419,0.8958837772397096,0.026854413312732306,0.9613491763054953,0.9179496727288678,0.043399503576627474,0.9182556010071277,0.903125,0.015130601007127709,0.9059630318599227,0.013774925651338855,0.8672103309903564,0.006610656893699943,0.9397511594286647,0.008267296104103207,0.9073468992826283,0.005948370992991406,0.005226869380254777
conduct/psychologist/psychologist_2_3,conduct,psychologist,psychologist_2_3,1.0,1.0,0.0,0.9995826377295491,0.9987515605493132,0.0008310771802358952,1.0,0.9991293928708709,0.0008706071291291195,0.9994797086368366,0.9984375,0.0010422086368365724,1.0,0.0,0.9937910778510073,0.003928599827497132,0.9997491630893575,0.00022929539464936906,0.9968783514631531,0.0019911440849238156,0.0031851960853704567
conduct/psychologist/psychologist_full,conduct,psychologist,psychologist_full,1.0,1.0,0.0,0.9991656236962869,0.9987515605493132,0.0004140631469736755,1.0,0.9990847500137279,0.0009152499862721264,0.9989594172736733,0.9984375,0.0005219172736733446,0.998435054773083,0.0022131667642771237,0.9937837650228442,0.0039257531998910305,0.9997689208547197,0.00017072376833131192,0.9964861989121457,0.0019132896376919922,0.002403192986101594
depression/caregiver/caregiver_1_3,depression,caregiver,caregiver_1_3,0.926530612244898,0.9512195121951219,-0.02468889995022394,0.9051036682615631,0.9263657957244654,-0.021262127462902347,0.9490619240457685,0.8887106422223056,0.06035128182346294,0.9436000341559219,0.9567655349920333,-0.013165500836111454,0.9174311926605504,0.052435560243064956,0.8198423987897673,0.026800847376204116,0.8972171516521605,0.036392575202240145,0.9257589108312168,0.02287377003883793,0.030479022236446565
depression/caregiver/caregiver_2_3,depression,caregiver,caregiver_2_3,0.9673469387755103,0.9878048780487805,-0.02045793927327022,0.9286833855799372,0.9375,-0.008816614420062763,0.9328529724823139,0.8881842844277638,0.044668688054550154,0.9589872769191359,0.9650079666625813,-0.006020689743445384,0.9480122324159023,0.0114423773295839,0.8202368631740495,0.009750140508590025,0.9105609382433527,0.021278631084089235,0.936655205975685,0.004555719127855504,0.015157566595578069
depression/caregiver/caregiver_full,depression,caregiver,caregiver_full,0.9836734693877551,0.9878048780487805,-0.004131408661025349,0.9399375975039002,0.9353348729792147,0.004602724524685464,0.9655258924394103,0.9070846920149838,0.058441200424426576,0.9663137221415763,0.963751685255546,0.0025620368860302944,0.9143730886850152,0.031186663691698993,0.836414442982604,0.013902619253733246,0.9112995650578778,0.019844193734509803,0.9292518299671153,0.013059961584845087,0.02231460932091008
depression/psychologist/psychologist_1_3,depression,psychologist,psychologist_1_3,0.9836734693877551,0.9878048780487805,-0.004131408661025349,0.9262106072252115,0.9267734553775744,-0.0005628481523628492,0.9397965824584708,0.900915479146274,0.03888110331219674,0.9583639313465973,0.9587265596274053,-0.00036262828080801945,0.9602446483180428,0.011442377329583938,0.8267058935180792,0.021308780632025154,0.8772742786770867,0.015210633113839564,0.9427714139267552,0.00917147620493646,0.02335993189009174
depression/psychologist/psychologist_2_3,depression,psychologist,psychologist_2_3,0.9755102040816327,0.9878048780487805,-0.012294673967147784,0.9394654088050315,0.9353348729792147,0.004130535825816795,0.9599998409456567,0.9067812869009318,0.053218554044724864,0.9655793698232431,0.963751685255546,0.0018276845676971076,0.9204892966360857,0.018851418969324064,0.8349088065900542,0.014178924852585182,0.9109016076341544,0.024782724303913508,0.931054441161734,0.0105249365017835,0.015075613101888707
depression/psychologist/psychologist_full,depression,psychologist,psychologist_full,1.0,0.9878048780487805,0.012195121951219523,0.9540498442367601,0.9288990825688073,0.025150761667952826,0.9831805371723087,0.9310858536275399,0.05209468354476876,0.9753138075313807,0.9599828410344404,0.015330966496940324,0.9113149847094801,0.015593331845849503,0.8430902970701298,0.018501095290735188,0.9229735820289439,0.019510010084653216,0.9299198903459516,0.010457153392604564,0.021721667224667878
elimination/caregiver/caregiver_1_3,elimination,caregiver,caregiver_1_3,1.0,0.9807692307692307,0.019230769230769273,0.9292565947242206,0.9139784946236559,0.01527810010056474,0.7917063012006781,0.7540873082067759,0.037618992993902145,0.9770428015564203,0.967020129403307,0.010022672153113366,0.9855072463768115,0.011833283781561253,0.8493369374769308,0.026939916797329478,0.7071030653322469,0.047676997056389274,0.9723216325287444,0.0026010832601093526,2.319180260577507e-16
elimination/caregiver/caregiver_2_3,elimination,caregiver,caregiver_2_3,1.0,1.0,0.0,0.9292565947242206,0.9285714285714286,0.0006851661527920161,0.7982366698558354,0.7922870115350823,0.005949658320753115,0.9770428015564203,0.9766355140186915,0.00040728753772878434,0.9951690821256038,0.006831949576681597,0.8531031088612773,0.008733350072518681,0.7513574341529349,0.012425458271163531,0.9771525504031405,0.0029588668150513035,0.012290152414409772
elimination/caregiver/caregiver_full,elimination,caregiver,caregiver_full,1.0,1.0,0.0,0.9292565947242206,0.9252669039145908,0.003989690809629853,0.8335131117906007,0.7955300811290841,0.03798303066151665,0.9770428015564203,0.9754672897196262,0.0015755118367941634,0.9951690821256038,0.006831949576681597,0.8514031827711074,0.011028333541829681,0.7506208196221772,0.02378623445793704,0.9768606648222882,0.0029796588766106678,0.009945304968128958
elimination/psychologist/psychologist_1_3,elimination,psychologist,psychologist_1_3,1.0,1.0,0.0,0.9292565947242206,0.9252669039145908,0.003989690809629853,0.7457500923264112,0.7823001440564918,-0.036550051730080635,0.9770428015564203,0.9754672897196262,0.0015755118367941634,1.0,0.0,0.8565499072940604,0.03217615078557934,0.7567933095899896,0.044420805533669824,0.9795680093403386,0.005172225670364644,2.319180260577507e-16
elimination/psychologist/psychologist_2_3,elimination,psychologist,psychologist_2_3,1.0,1.0,0.0,0.9292565947242206,0.9285714285714286,0.0006851661527920161,0.8149895583021495,0.8147693393102241,0.00022021899192536942,0.9770428015564203,0.9766355140186915,0.00040728753772878434,0.9903381642512077,0.013663899153363246,0.8500226069842283,0.026441983413077085,0.7269952793306139,0.05323907073737966,0.9744452058850902,0.001465698464349452,0.004395692850477529
elimination/psychologist/psychologist_full,elimination,psychologist,psychologist_full,1.0,1.0,0.0,0.9270334928229665,0.9252669039145908,0.0017665889083757769,0.8140881791945699,0.7807261765292479,0.033362002665321966,0.9762645914396887,0.9754672897196262,0.0007973017200625376,1.0,0.0,0.8548905753555278,0.03353391467428712,0.7235182188991058,0.046274880255266514,0.9792761237594863,0.005413671042320888,0.00803839653623568
