slot_key,domain,role,mode,metric_name,registered_value,recomputed_value,abs_delta,within_tolerance
conduct/caregiver/caregiver_full,conduct,caregiver,caregiver_full,f1,0.9968847352024922,0.9968847352024922,0.0,yes
conduct/caregiver/caregiver_full,conduct,caregiver,caregiver_full,f2,0.9987515605493132,0.9987515605493132,0.0,yes
conduct/caregiver/caregiver_full,conduct,caregiver,caregiver_full,pr_auc,0.9990847500137279,0.9990847500137279,0.0,yes
conduct/caregiver/caregiver_full,conduct,caregiver,caregiver_full,roc_auc,0.9995703125,0.9995703125,0.0,yes
conduct/caregiver/caregiver_full,conduct,caregiver,caregiver_full,brier,0.0038188095685123104,0.0038188095685123104,0.0,yes
conduct/caregiver/caregiver_full,conduct,caregiver,caregiver_full,threshold,0.59,0.59,0.0,yes
conduct/psychologist/psychologist_1_3,conduct,psychologist,psychologist_1_3,precision,0.7956989247311828,0.7956989247311828,0.0,yes
conduct/psychologist/psychologist_1_3,conduct,psychologist,psychologist_1_3,recall,0.925,0.925,0.0,yes
conduct/psychologist/psychologist_1_3,conduct,psychologist,psychologist_1_3,specificity,0.88125,0.88125,0.0,yes
conduct/psychologist/psychologist_1_3,conduct,psychologist,psychologist_1_3,balanced_accuracy,0.903125,0.903125,0.0,yes
conduct/psychologist/psychologist_1_3,conduct,psychologist,psychologist_1_3,f1,0.8554913294797688,0.8554913294797688,0.0,yes
conduct/psychologist/psychologist_1_3,conduct,psychologist,psychologist_1_3,f2,0.8958837772397096,0.8958837772397096,0.0,yes
conduct/psychologist/psychologist_1_3,conduct,psychologist,psychologist_1_3,pr_auc,0.9179496727288678,0.9179496727288678,0.0,yes
conduct/psychologist/psychologist_1_3,conduct,psychologist,psychologist_1_3,roc_auc,0.9598437500000001,0.9598437500000001,0.0,yes
conduct/psychologist/psychologist_1_3,conduct,psychologist,psychologist_1_3,brier,0.07630165512126948,0.07630165512126948,0.0,yes
conduct/psychologist/psychologist_1_3,conduct,psychologist,psychologist_1_3,threshold,0.37999999999999995,0.37999999999999995,0.0,yes
conduct/psychologist/psychologist_2_3,conduct,psychologist,psychologist_2_3,precision,0.9937888198757764,0.9937888198757764,0.0,yes
conduct/psychologist/psychologist_2_3,conduct,psychologist,psychologist_2_3,recall,1.0,1.0,0.0,yes
conduct/psychologist/psychologist_2_3,conduct,psychologist,psychologist_2_3,specificity,0.996875,0.996875,0.0,yes
conduct/psychologist/psychologist_2_3,conduct,psychologist,psychologist_2_3,balanced_accuracy,0.9984375,0.9984375,0.0,yes
conduct/psychologist/psychologist_2_3,conduct,psychologist,psychologist_2_3,f1,0.9968847352024922,0.9968847352024922,0.0,yes
conduct/psychologist/psychologist_2_3,conduct,psychologist,psychologist_2_3,f2,0.9987515605493132,0.9987515605493132,0.0,yes
conduct/psychologist/psychologist_2_3,conduct,psychologist,psychologist_2_3,pr_auc,0.9991293928708709,0.9991293928708709,0.0,yes
conduct/psychologist/psychologist_2_3,conduct,psychologist,psychologist_2_3,roc_auc,0.9995898437499999,0.9995898437499999,0.0,yes
conduct/psychologist/psychologist_2_3,conduct,psychologist,psychologist_2_3,brier,0.003384332205609512,0.003384332205609512,0.0,yes
conduct/psychologist/psychologist_2_3,conduct,psychologist,psychologist_2_3,threshold,0.72,0.72,0.0,yes
conduct/psychologist/psychologist_full,conduct,psychologist,psychologist_full,precision,0.9937888198757764,0.9937888198757764,0.0,yes
conduct/psychologist/psychologist_full,conduct,psychologist,psychologist_full,recall,1.0,1.0,0.0,yes
conduct/psychologist/psychologist_full,conduct,psychologist,psychologist_full,specificity,0.996875,0.996875,0.0,yes
conduct/psychologist/psychologist_full,conduct,psychologist,psychologist_full,balanced_accuracy,0.9984375,0.9984375,0.0,yes
conduct/psychologist/psychologist_full,conduct,psychologist,psychologist_full,f1,0.9968847352024922,0.9968847352024922,0.0,yes
conduct/psychologist/psychologist_full,conduct,psychologist,psychologist_full,f2,0.9987515605493132,0.9987515605493132,0.0,yes
conduct/psychologist/psychologist_full,conduct,psychologist,psychologist_full,pr_auc,0.9990847500137279,0.9990847500137279,0.0,yes
conduct/psychologist/psychologist_full,conduct,psychologist,psychologist_full,roc_auc,0.9995703125,0.9995703125,0.0,yes
conduct/psychologist/psychologist_full,conduct,psychologist,psychologist_full,brier,0.0036815885799210096,0.0036815885799210096,0.0,yes
conduct/psychologist/psychologist_full,conduct,psychologist,psychologist_full,threshold,0.5499999999999999,0.5499999999999999,0.0,yes
depression/caregiver/caregiver_1_3,depression,caregiver,caregiver_1_3,precision,0.8387096774193549,0.8387096774193549,0.0,yes
depression/caregiver/caregiver_1_3,depression,caregiver,caregiver_1_3,recall,0.9512195121951219,0.9512195121951219,0.0,yes
depression/caregiver/caregiver_1_3,depression,caregiver,caregiver_1_3,specificity,0.9623115577889447,0.9623115577889447,0.0,yes
depression/caregiver/caregiver_1_3,depression,caregiver,caregiver_1_3,balanced_accuracy,0.9567655349920333,0.9567655349920333,0.0,yes
depression/caregiver/caregiver_1_3,depression,caregiver,caregiver_1_3,f1,0.8914285714285715,0.8914285714285715,0.0,yes
depression/caregiver/caregiver_1_3,depression,caregiver,caregiver_1_3,f2,0.9263657957244654,0.9263657957244654,0.0,yes
depression/caregiver/caregiver_1_3,depression,caregiver,caregiver_1_3,pr_auc,0.8887106422223056,0.8887106422223056,0.0,yes
depression/caregiver/caregiver_1_3,depression,caregiver,caregiver_1_3,roc_auc,0.9829329574702782,0.9829329574702782,0.0,yes
