domain,role,feature,ranking_position,ranking_score,impurity_mean,impurity_std,permutation_mean,permutation_std,feature_label_human,questionnaire_section_suggested
adhd,psychologist,adhd_not_psychosis_exclusive,27,4.896011568865909e-05,8.160019281443181e-05,4.0951035961116295e-06,0.0,0.0,Adhd not psychosis exclusive,por_confirmar
conduct,caregiver,conduct_impairment_global,1,0.6163181379119589,0.36974378694441346,0.0340362152970598,0.3890186915887851,0.009029859519191247,Conduct impairment global,por_confirmar
conduct,caregiver,conduct_09_property_destruction,2,0.04668575352584099,0.07649336676814233,0.003737328556803224,0.0007788161993769749,0.0007788161993769749,Conduct 09 property destruction,por_confirmar
conduct,caregiver,conduct_03_weapon_use,3,0.046480987436089825,0.07681020117268672,0.0042985514021817465,0.00038940809968848744,0.00038940809968848744,Conduct 03 weapon use,por_confirmar
conduct,caregiver,conduct_06_steals_confronting_victim,4,0.04258748126944143,0.0696629130074764,0.001962950326310324,0.0007788161993769749,0.0007788161993769749,Conduct 06 steals confronting victim,por_confirmar
conduct,caregiver,conduct_15_truancy_before_13,5,0.02912841701097363,0.04854736168495606,0.0014090891732974273,0.0,0.0,Conduct 15 truancy before 13,por_confirmar
conduct,caregiver,conduct_08_fire_setting,6,0.026792632854682176,0.043996276870340634,0.008486352147267139,0.00038940809968848744,0.00038940809968848744,Conduct 08 fire setting,por_confirmar
conduct,caregiver,conduct_01_bullies_threatens_intimidates,7,0.024865639450221914,0.0407846211962402,0.0035279439486474644,0.00038940809968848744,0.00038940809968848744,Conduct 01 bullies threatens intimidates,por_confirmar
conduct,caregiver,conduct_05_physical_cruelty_animals,8,0.023935342259409773,0.039234125878219964,0.0024158578700813303,0.00038940809968848744,0.00038940809968848744,Conduct 05 physical cruelty animals,por_confirmar
conduct,caregiver,conduct_11_lies_to_obtain_or_avoid,9,0.020955559770456076,0.0342678217299638,0.0009963688003176204,0.00038940809968848744,0.00038940809968848744,Conduct 11 lies to obtain or avoid,por_confirmar
conduct,caregiver,conduct_07_forced_sex,10,0.019551498802250912,0.031269608895492185,0.008571242465583207,0.0007788161993769749,0.0007788161993769749,Conduct 07 forced sex,por_confirmar
conduct,caregiver,conduct_14_runs_away_overnight,11,0.018707805017775796,0.03052156380883,0.000496602914104495,0.00038940809968848744,0.00038940809968848744,Conduct 14 runs away overnight,por_confirmar
conduct,caregiver,conduct_12_steals_without_confrontation,12,0.015949482000717666,0.026582470001196117,0.005946737892923899,-0.00038940809968848744,0.0011682242990654623,Conduct 12 steals without confrontation,por_confirmar
conduct,caregiver,conduct_02_initiates_fights,13,0.013108174066991555,0.021188845557522925,0.007133492412178763,0.00038940809968848744,0.00038940809968848744,Conduct 02 initiates fights,por_confirmar
conduct,caregiver,conduct_13_stays_out_at_night_before_13,14,0.011724246238505584,0.018882299176712972,0.0010876888366129584,0.00038940809968848744,0.00038940809968848744,Conduct 13 stays out at night before 13,por_confirmar
conduct,caregiver,conduct_lpe_04_shallow_deficient_affect,15,0.008911406787295531,0.014852344645492555,0.0025407240680522334,-0.00038940809968848744,0.00038940809968848744,Conduct lpe 04 shallow deficient affect,por_confirmar
conduct,caregiver,conduct_10_breaks_into_house_building_car,16,0.008597223395952567,0.014328705659920948,0.008765454834809295,0.0,0.0,Conduct 10 breaks into house building car,por_confirmar
conduct,caregiver,conduct_lpe_02_callous_lack_empathy,17,0.007413566754428165,0.012355944590713612,0.007559159381590977,0.0,0.0,Conduct lpe 02 callous lack empathy,por_confirmar
conduct,caregiver,conduct_lpe_01_lack_remorse_guilt,18,0.006784725311627084,0.011307875519378474,0.006394375482767402,0.0,0.0,Conduct lpe 01 lack remorse guilt,por_confirmar
conduct,caregiver,conduct_04_physical_cruelty_people,19,0.004577383465066195,0.007628972441776994,0.006275077468213548,0.0,0.0,Conduct 04 physical cruelty people,por_confirmar
conduct,caregiver,conduct_lpe_03_unconcerned_performance,20,0.004467388827525392,0.007445648045875655,0.001880368631467814,0.0,0.0,Conduct lpe 03 unconcerned performance,por_confirmar
conduct,caregiver,age_years,21,0.0016557954266206622,0.002759659044367771,0.00025810545934900594,0.0,0.0,Edad en años cumplidos,Datos básicos
conduct,caregiver,conduct_onset_before_10,22,0.0008013524161681104,0.0013355873602801842,1.9699496273284954e-05,0.0,0.0,Conduct onset before 10,por_confirmar
conduct,psychologist,conduct_impairment_global,1,0.6173108425861081,0.36484454350254375,0.010972165778156703,0.39252336448598135,0.01720742961264915,Conduct impairment global,por_confirmar
conduct,psychologist,conduct_09_property_destruction,2,0.04910685361897312,0.07918495017259158,0.008658462750845091,0.0015723270440251569,0.0015723270440251569,Conduct 09 property destruction,por_confirmar
conduct,psychologist,conduct_06_steals_confronting_victim,3,0.04641937988952969,0.07736563314921616,0.0019399041175038013,0.0,0.0,Conduct 06 steals confronting victim,por_confirmar
conduct,psychologist,conduct_03_weapon_use,4,0.04114801673630813,0.06858002789384689,0.000601269784834165,0.0,0.0,Conduct 03 weapon use,por_confirmar
conduct,psychologist,conduct_08_fire_setting,5,0.03860134946894126,0.06433558244823544,0.009414302542224803,0.0,0.0,Conduct 08 fire setting,por_confirmar
conduct,psychologist,conduct_15_truancy_before_13,6,0.02238076963594196,0.037301282726569934,0.0026116439549175585,-0.0007788161993769749,0.0007788161993769749,Conduct 15 truancy before 13,por_confirmar
conduct,psychologist,conduct_11_lies_to_obtain_or_avoid,7,0.022063540875610358,0.036772568126017265,0.008723356574440044,0.0,0.0,Conduct 11 lies to obtain or avoid,por_confirmar
conduct,psychologist,conduct_02_initiates_fights,8,0.021687301474098458,0.036145502456830764,0.014729613995359244,0.0,0.0,Conduct 02 initiates fights,por_confirmar
conduct,psychologist,conduct_01_bullies_threatens_intimidates,9,0.019501898920311057,0.032503164867185096,0.002892740084207265,0.0,0.0,Conduct 01 bullies threatens intimidates,por_confirmar
conduct,psychologist,conduct_05_physical_cruelty_animals,10,0.018848078835280488,0.03141346472546748,0.013389475017184946,0.0,0.0,Conduct 05 physical cruelty animals,por_confirmar
conduct,psychologist,conduct_12_steals_without_confrontation,11,0.01694306128413005,0.028238435473550087,0.002909994435578814,-0.0007788161993769749,0.0007788161993769749,Conduct 12 steals without confrontation,por_confirmar
conduct,psychologist,conduct_14_runs_away_overnight,12,0.01654374921858929,0.027572915364315484,0.0009557311610491767,0.0,0.0,Conduct 14 runs away overnight,por_confirmar
conduct,psychologist,conduct_07_forced_sex,13,0.016542712250873563,0.027571187084789273,0.0073679022164468595,0.0,0.0,Conduct 07 forced sex,por_confirmar
conduct,psychologist,conduct_lpe_02_callous_lack_empathy,14,0.011347745530244155,0.018912909217073594,0.006776830176306718,0.0,0.0,Conduct lpe 02 callous lack empathy,por_confirmar
conduct,psychologist,conduct_13_stays_out_at_night_before_13,15,0.010815106457485487,0.01802517742914248,0.0011150096501597272,0.0,0.0,Conduct 13 stays out at night before 13,por_confirmar
