slot_key,domain,role,mode,old_active_model_id,new_active_model_id,old_precision,new_precision,delta_precision,old_recall,new_recall,delta_recall,old_f1,new_f1,delta_f1,old_f2,new_f2,delta_f2,old_specificity,new_specificity,delta_specificity,old_pr_auc,new_pr_auc,delta_pr_auc,old_brier,new_brier,delta_brier,old_n_features,new_n_features,old_cross_domain_feature_count,new_cross_domain_feature_count,cross_domain_reduction,old_eng_feature_count,new_eng_feature_count,eng_reduction,promotion_reason
depression/caregiver/caregiver_2_3,depression,caregiver,caregiver_2_3,depression__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,depression__caregiver_2_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.8470588235294118,0.7788461538461539,-0.0682126696832579,0.8780487804878049,0.9878048780487805,0.1097560975609756,0.8622754491017964,0.8709677419354839,0.008692292833687443,0.8716707021791766,0.9375,0.06582929782082336,0.9673366834170856,0.9422110552763819,-0.025125628140703626,0.8580435913991299,0.8881842844277638,0.03014069302863387,0.046501106971563,0.05481272791400382,0.008311620942440825,69,18,49,0,49,0,0,0,domain_strict_specialization_and_rf_guardrails
depression/caregiver/caregiver_full,depression,caregiver,caregiver_full,depression__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,depression__caregiver_full__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.8089887640449438,0.7714285714285715,-0.037560192616372334,0.8780487804878049,0.9878048780487805,0.1097560975609756,0.8421052631578947,0.8663101604278075,0.024204897269912817,0.8633093525179857,0.9353348729792147,0.07202552046122901,0.957286432160804,0.9396984924623115,-0.017587939698492483,0.8627960639110135,0.9070846920149838,0.04428862810397027,0.0415852128828982,0.0460233269047649,0.004438114021866696,27,29,0,0,0,0,0,0,domain_strict_specialization_and_rf_guardrails
depression/psychologist/psychologist_1_3,depression,psychologist,psychologist_1_3,depression__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,depression__psychologist_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.8020833333333334,0.7431192660550459,-0.05896406727828751,0.9390243902439024,0.9878048780487805,0.04878048780487809,0.8651685393258427,0.8481675392670157,-0.017001000058826987,0.9080188679245284,0.9267734553775744,0.018754587453046034,0.9522613065326632,0.9296482412060302,-0.022613065326632986,0.8626651727760357,0.900915479146274,0.038250306370238296,0.0466243194907455,0.053260387445347265,0.006636067954601768,11,8,0,0,0,0,0,0,domain_strict_specialization_and_rf_guardrails
depression/psychologist/psychologist_2_3,depression,psychologist,psychologist_2_3,depression__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,depression__psychologist_2_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.8571428571428571,0.7714285714285715,-0.08571428571428563,0.8780487804878049,0.9878048780487805,0.1097560975609756,0.8674698795180723,0.8663101604278075,-0.0011597190902647991,0.8737864077669902,0.9353348729792147,0.06154846521222446,0.9698492462311558,0.9396984924623115,-0.03015075376884424,0.8578131325823328,0.9067812869009318,0.04896815431859902,0.0489051667165241,0.04715084936199448,-0.0017543173545296192,83,19,63,0,63,0,0,0,domain_strict_specialization_and_rf_guardrails
depression/psychologist/psychologist_full,depression,psychologist,psychologist_full,depression__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,depression__psychologist_full__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.7849462365591398,0.75,-0.034946236559139754,0.8902439024390244,0.9878048780487805,0.09756097560975607,0.8342857142857143,0.8526315789473684,0.01834586466165411,0.8669833729216152,0.9288990825688073,0.06191570964719206,0.949748743718593,0.9321608040201005,-0.017587939698492483,0.8245791776503679,0.9310858536275399,0.106506675977172,0.0487516434420852,0.04442889358511561,-0.004322749856969586,150,40,111,0,111,0,0,0,domain_strict_specialization_and_rf_guardrails
elimination/caregiver/caregiver_1_3,elimination,caregiver,caregiver_1_3,elimination__caregiver_1_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,elimination__caregiver_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.8363636363636363,0.7183098591549296,-0.11805377720870669,0.8846153846153846,0.9807692307692307,0.09615384615384615,0.8598130841121495,0.8292682926829268,-0.03054479142922273,0.8745247148288974,0.9139784946236559,0.0394537797947585,0.9789719626168224,0.9532710280373832,-0.025700934579439227,0.8932926272751122,0.7540873082067759,-0.13920531906833622,0.0728182623595568,0.03330218267611852,-0.039516079683438274,4,2,0,0,0,0,0,0,domain_strict_specialization_and_rf_guardrails
elimination/caregiver/caregiver_2_3,elimination,caregiver,caregiver_2_3,elimination__caregiver_2_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,elimination__caregiver_2_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.734375,0.7222222222222222,-0.01215277777777779,0.903846153846154,1.0,0.09615384615384603,0.8103448275862069,0.8387096774193549,0.02836484983314802,0.8639705882352942,0.9285714285714286,0.06460084033613445,0.9602803738317756,0.9532710280373832,-0.007009345794392385,0.8606195074052196,0.7922870115350823,-0.06833249587013734,0.1285448510648098,0.030989772186931143,-0.09755507887787868,7,6,0,0,0,0,0,0,domain_strict_specialization_and_rf_guardrails
elimination/caregiver/caregiver_full,elimination,caregiver,caregiver_full,elimination__caregiver_full__hybrid_elimination_v15_caregiver_full_metric_rescue__rf__same_inputs_v14,elimination__caregiver_full__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.7384615384615385,0.7123287671232876,-0.02613277133825087,0.9230769230769232,1.0,0.07692307692307676,0.8205128205128205,0.832,0.011487179487179477,0.8791208791208793,0.9252669039145908,0.04614602479371144,0.9602803738317756,0.9509345794392523,-0.009345794392523255,0.7475032983542711,0.7955300811290841,0.04802678277481298,0.0296692139878511,0.03174248120040075,0.002073267212549648,9,9,0,0,0,0,0,0,domain_strict_specialization_and_rf_guardrails
elimination/psychologist/psychologist_1_3,elimination,psychologist,psychologist_1_3,elimination__psychologist_1_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,elimination__psychologist_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.7246376811594203,0.7123287671232876,-0.012308914036132657,0.9615384615384616,1.0,0.038461538461538436,0.8264462809917356,0.832,0.005553719008264402,0.9025270758122744,0.9252669039145908,0.02273982810231634,0.955607476635514,0.9509345794392523,-0.004672897196261738,0.7274331146368022,0.7823001440564918,0.054867029419689684,0.0308011804790885,0.037790504455449465,0.0069893239763609664,5,4,0,0,0,0,0,0,domain_strict_specialization_and_rf_guardrails
elimination/psychologist/psychologist_2_3,elimination,psychologist,psychologist_2_3,elimination__psychologist_2_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,elimination__psychologist_2_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.7352941176470589,0.7222222222222222,-0.013071895424836666,0.9615384615384616,1.0,0.038461538461538436,0.8333333333333334,0.8387096774193549,0.005376344086021501,0.9057971014492754,0.9285714285714286,0.022774327122153215,0.9579439252336448,0.9532710280373832,-0.004672897196261627,0.6970361089101744,0.8147693393102241,0.11773323040004968,0.0362578171802471,0.029795515064161775,-0.006462302116085325,9,8,0,0,0,0,0,0,domain_strict_specialization_and_rf_guardrails
