slot_key,domain,role,mode,probability_mean,probability_std,probability_min,probability_max,probability_p05,probability_p25,probability_p50,probability_p75,probability_p95,predicted_positive_rate
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,0.21302303732530323,0.32863926283978967,0.0001609114635101262,0.997138103886734,0.0001609114635101262,0.0026390232334551314,0.042186629876775905,0.23388826484889955,0.9660906188616103,0.20208333333333334
anxiety/psychologist/psychologist_full,anxiety,psychologist,psychologist_full,0.21486189074699252,0.32600166814582504,3.5511363636363635e-05,0.9983585766563767,6.911351417399804e-05,0.003953362177726041,0.04754412939795416,0.23870280240792552,0.9683640423383849,0.19791666666666666
conduct/caregiver/caregiver_1_3,conduct,caregiver,caregiver_1_3,0.33302018269153055,0.46206962739380686,0.0014804864571990892,0.9955660914586267,0.0014804864571990892,0.0014804864571990892,0.002276216757738493,0.988683518777097,0.9955495470176444,0.33958333333333335
conduct/caregiver/caregiver_2_3,conduct,caregiver,caregiver_2_3,0.33277304342666014,0.46079959556651684,0.0009341168531036346,0.9977695972437216,0.0009341168531036346,0.0009386593659561418,0.0015550547392513925,0.9889424204403107,0.9977461464183565,0.33541666666666664
conduct/caregiver/caregiver_full,conduct,caregiver,caregiver_full,0.3329712439520493,0.46049884614001657,0.0007793191976928699,0.9982636196444328,0.0007793191976928699,0.0007892062657335551,0.0014096918219281775,0.9878429165611028,0.9981959814431793,0.33541666666666664
conduct/psychologist/psychologist_1_3,conduct,psychologist,psychologist_1_3,0.352990575273637,0.4020147964988804,0.001950715043991564,0.9965279175195297,0.001950715043991564,0.001950715043991564,0.10039732272945934,0.8090566842620976,0.9953701081013336,0.3875
conduct/psychologist/psychologist_2_3,conduct,psychologist,psychologist_2_3,0.33327873920711426,0.46250533542437394,0.0013560050403109592,0.995849377351783,0.0013561636689319678,0.0013582829991254366,0.001865647404647476,0.9876996760394688,0.9958368063518006,0.33541666666666664
conduct/psychologist/psychologist_full,conduct,psychologist,psychologist_full,0.3336143389437139,0.4608440159118671,0.0007496164056166317,0.9983689541542397,0.0007498191173031373,0.0007611314564464298,0.0013490224358847988,0.9895227561352311,0.9982931950259579,0.33541666666666664
depression/caregiver/caregiver_1_3,depression,caregiver,caregiver_1_3,0.23247067227104798,0.3466382685655594,0.00010547346543032233,0.9910262955443162,0.00022369244978536924,0.0005142202732804587,0.016602528281467042,0.41204540342585705,0.9762768182273502,0.19375
depression/caregiver/caregiver_2_3,depression,caregiver,caregiver_2_3,0.2478316280859372,0.33043695097095893,0.0028299888141104356,0.9722097487753424,0.00292092076363074,0.0032543532341828833,0.046793924240492696,0.4564078132878222,0.9483775771178126,0.21666666666666667
depression/caregiver/caregiver_full,depression,caregiver,caregiver_full,0.22314071572713143,0.3252722941088143,1e-06,0.9930997630198638,1e-06,1e-06,0.020654177730026,0.3958145785748568,0.9541300831224592,0.21875
depression/psychologist/psychologist_1_3,depression,psychologist,psychologist_1_3,0.23272805536073418,0.3559500306042645,1e-06,0.9954658895439091,1e-06,1e-06,0.005631137557663878,0.3959987181296225,0.9824629961019802,0.22708333333333333
depression/psychologist/psychologist_2_3,depression,psychologist,psychologist_2_3,0.2279821934570353,0.33397206166603716,1e-06,0.9896820155518138,1e-06,0.00012267734318858458,0.018586180500359813,0.4092350279916692,0.9584927618897126,0.21875
depression/psychologist/psychologist_full,depression,psychologist,psychologist_full,0.2187191946915673,0.3236660372706267,1e-06,0.9949020261663336,1e-06,1e-06,0.02066612501951173,0.3805098053420616,0.9512031107795226,0.225
elimination/caregiver/caregiver_1_3,elimination,caregiver,caregiver_1_3,0.10495027287816815,0.24726979313800881,0.003330265135010181,0.8347257111354232,0.003330265135010181,0.003330265135010181,0.003330265135010181,0.003330265135010181,0.7466407599250315,0.14791666666666667
elimination/caregiver/caregiver_2_3,elimination,caregiver,caregiver_2_3,0.1012784675383829,0.24119159031546553,0.003690594793215374,0.8023234040200574,0.003690594793215374,0.003690594793215374,0.003690594793215374,0.003690594793215374,0.7425209378400871,0.15
elimination/caregiver/caregiver_full,elimination,caregiver,caregiver_full,0.10182188919435618,0.24257030178512623,0.0031712648663169258,0.7928112525326738,0.0031712648663169258,0.0031712648663169258,0.0031712648663169258,0.0031712648663169258,0.7554566150496633,0.15208333333333332
elimination/psychologist/psychologist_1_3,elimination,psychologist,psychologist_1_3,0.17230636096862603,0.29944458642467914,0.046205589044719386,0.961962305322325,0.046205589044719386,0.046205589044719386,0.046205589044719386,0.046205589044719386,0.9355589413781761,0.15208333333333332
elimination/psychologist/psychologist_2_3,elimination,psychologist,psychologist_2_3,0.10162246559782326,0.24094986684647915,0.0030154712771892586,0.7963528945386575,0.0030154712771892586,0.0030154712771892586,0.0030154712771892586,0.0030154712771892586,0.7461111042481219,0.15
elimination/psychologist/psychologist_full,elimination,psychologist,psychologist_full,0.15145609631304957,0.3193652193568668,0.010510473824370257,0.984045660031189,0.010510473824370257,0.010510473824370257,0.010510473824370257,0.015545850286382315,0.9456219796772137,0.15208333333333332
