mode,domain,ablation,k,removed_features,precision,recall,balanced_accuracy,pr_auc,brier,delta_ba,delta_pr_auc
psychologist_2_3,adhd,drop_topk,3,eng_adhd_core_mean|eng_externalizing_index|adhd_onset_before_12,0.6285714285714286,0.7021276595744681,0.8005456950722081,0.6221173369159789,0.090913706672748,-0.07678315510969025,-0.11162164060643875
psychologist_2_3,conduct,baseline,0,,1.0,1.0,1.0,1.0,0.0010954785521607457,,
psychologist_2_3,conduct,drop_topk,1,conduct_impairment_global,0.935251798561151,0.8125,0.8921875,0.9378611213048582,0.055296673366064135,-0.10781249999999998,-0.062138878695141786
psychologist_2_3,conduct,drop_topk,3,conduct_impairment_global|eng_conduct_core_mean|eng_externalizing_index,0.9338235294117647,0.79375,0.8828125,0.9391183766918076,0.05912558164409069,-0.1171875,-0.060881623308192356
psychologist_2_3,elimination,baseline,0,,0.9615384615384616,0.9615384615384616,0.9784327821711,0.9577045405984319,0.008223382420301186,,
psychologist_2_3,elimination,drop_topk,1,eng_elimination_intensity,0.9444444444444444,0.9807692307692307,0.9868799424874191,0.9553322178892364,0.006938588381628892,0.008447160316319091,-0.002372322709195518
psychologist_2_3,elimination,drop_topk,3,eng_elimination_intensity|enuresis_distress_impairment|enuresis_event_frequency_per_week,0.7183098591549296,0.9807692307692307,0.967020129403307,0.7179322147989974,0.03194499717878987,-0.011412652767793019,-0.23977232579943453
psychologist_2_3,anxiety,baseline,0,,0.9058823529411765,0.8953488372093024,0.9375221343406919,0.9302876127154679,0.03021801483794562,,
psychologist_2_3,anxiety,drop_topk,1,sep_anx_impairment,0.8876404494382022,0.9186046511627907,0.9466119702514462,0.9314607252816299,0.029755753226255552,0.009089835910754296,0.0011731125661620379
psychologist_2_3,anxiety,drop_topk,3,sep_anx_impairment|sep_anx_duration_weeks|agor_escape_help_cognition,0.8586956521739131,0.9186046511627907,0.9428048636524613,0.9358077431491991,0.031856509954806364,0.00528272931176943,0.00552013043373123
psychologist_2_3,depression,baseline,0,,0.8271604938271605,0.8170731707317073,0.8909486456673612,0.8330408560571644,0.047902806936322345,,
psychologist_2_3,depression,drop_topk,1,mdd_duration_weeks,0.8192771084337349,0.8292682926829268,0.8957899252359358,0.8482046002235849,0.0456986158238259,0.004841279568574608,0.015163744166420523
