mode,role,domain,winner_feature_set_id,winner_config_id,winner_seed,calibration,threshold_policy,threshold,policy_score,is_selected_policy,val_precision,val_recall,val_balanced_accuracy,val_pr_auc,val_brier,holdout_precision,holdout_recall,holdout_balanced_accuracy,holdout_pr_auc,holdout_brier
caregiver_2_3,caregiver,anxiety,compact_subset,rf_pos_weight_mid,20261119,isotonic,precision_min_recall,0.7549999999999999,0.9360970941269144,no,0.948051948051948,0.8488372093023255,0.9193424625191831,0.9538103766537347,0.02455911877862503,0.8928571428571429,0.872093023255814,0.9246251918309527,0.9524808419049929,0.03067558229537218
caregiver_2_3,caregiver,anxiety,compact_subset,rf_pos_weight_mid,20261119,isotonic,recall_constrained,0.33499999999999996,0.9283089573215424,no,0.9382716049382716,0.8837209302325582,0.9355152874513044,0.9538103766537347,0.02455911877862503,0.8735632183908046,0.8837209302325582,0.9279010742533349,0.9524808419049929,0.03067558229537218
caregiver_2_3,caregiver,depression,full_eligible,rf_precision_push,20261119,isotonic,default_0_5,0.5,0.8226402285925432,no,0.8539325842696629,0.926829268292683,0.9470829758548842,0.908645368182044,0.03089765528163105,0.8292682926829268,0.8292682926829268,0.897046206642971,0.8434143874736915,0.045455386362202914
caregiver_2_3,caregiver,depression,full_eligible,rf_precision_push,20261119,isotonic,balanced,0.21499999999999997,0.9184335435895717,no,0.8539325842696629,0.926829268292683,0.9470829758548842,0.908645368182044,0.03089765528163105,0.8313253012048193,0.8414634146341463,0.9031437676185807,0.8434143874736915,0.045455386362202914
caregiver_2_3,caregiver,depression,full_eligible,rf_precision_push,20261119,isotonic,precision_oriented,0.73,0.8949361262432223,no,0.9591836734693877,0.573170731707317,0.7840728030395882,0.908645368182044,0.03089765528163105,0.9322033898305084,0.6707317073170732,0.8303407280303958,0.8434143874736915,0.045455386362202914
caregiver_2_3,caregiver,depression,full_eligible,rf_precision_push,20261119,isotonic,recall_guard,0.21499999999999997,0.9029397803212565,no,0.8539325842696629,0.926829268292683,0.9470829758548842,0.908645368182044,0.03089765528163105,0.8313253012048193,0.8414634146341463,0.9031437676185807,0.8434143874736915,0.045455386362202914
caregiver_2_3,caregiver,depression,full_eligible,rf_precision_push,20261119,isotonic,precision_min_recall,0.21499999999999997,0.880139660036378,no,0.8539325842696629,0.926829268292683,0.9470829758548842,0.908645368182044,0.03089765528163105,0.8313253012048193,0.8414634146341463,0.9031437676185807,0.8434143874736915,0.045455386362202914
caregiver_2_3,caregiver,depression,full_eligible,rf_precision_push,20261119,isotonic,recall_constrained,0.21499999999999997,0.8944762856142537,yes,0.8539325842696629,0.926829268292683,0.9470829758548842,0.908645368182044,0.03089765528163105,0.8313253012048193,0.8414634146341463,0.9031437676185807,0.8434143874736915,0.045455386362202914
caregiver_full,caregiver,adhd,engineered_compact,rf_balanced_subsample,20261119,isotonic,default_0_5,0.5,0.7899162620979392,no,0.819047619047619,0.9148936170212766,0.9328354095469078,0.8358258710797926,0.04401627886070803,0.7403846153846154,0.8191489361702128,0.8746003748208577,0.7118788252075036,0.06872181309614778
caregiver_full,caregiver,adhd,engineered_compact,rf_balanced_subsample,20261119,isotonic,balanced,0.13999999999999999,0.9064271217352731,no,0.782608695652174,0.9574468085106383,0.9463399845661999,0.8358258710797926,0.04401627886070803,0.7016129032258065,0.925531914893617,0.914838496306912,0.7118788252075036,0.06872181309614778
caregiver_full,caregiver,adhd,engineered_compact,rf_balanced_subsample,20261119,isotonic,precision_oriented,0.4049999999999999,0.8495693272697571,no,0.819047619047619,0.9148936170212766,0.9328354095469078,0.8358258710797926,0.04401627886070803,0.7403846153846154,0.8191489361702128,0.8746003748208577,0.7118788252075036,0.06872181309614778
caregiver_full,caregiver,adhd,engineered_compact,rf_balanced_subsample,20261119,isotonic,recall_guard,0.13999999999999999,0.8783908764044003,no,0.782608695652174,0.9574468085106383,0.9463399845661999,0.8358258710797926,0.04401627886070803,0.7016129032258065,0.925531914893617,0.914838496306912,0.7118788252075036,0.06872181309614778
