mode,domain,feature_set,family,n_features,calibration,threshold,uncertainty_band,fit_seconds,seed_std_balanced_accuracy,stability,operational_complexity,maintenance_complexity,objective
caregiver,elimination,impact_focused,xgboost,38,isotonic,0.2,0.08,0.16203594207763672,0.003293089368055243,high,2.95,3.4857142857142853,0.9552394577823642
caregiver,elimination,burden_composites,rf,37,isotonic,0.2,0.08,0.8457427024841309,0.007884675585183163,high,1.925,2.457142857142857,0.9551123087337193
caregiver,elimination,source_semantics_aware,xgboost,36,isotonic,0.2,0.08,0.17855072021484375,0.0037712361663282566,high,2.9,3.4285714285714284,0.9543793121354806
caregiver,elimination,subtype_aware,xgboost,38,isotonic,0.2,0.08,0.1686253547668457,0.004988876515698593,high,2.95,3.4857142857142853,0.9531185531099121
caregiver,elimination,missingness_aware,xgboost,38,isotonic,0.2,0.08,0.17159795761108398,0.0037712361663282566,high,2.95,3.4857142857142853,0.9525862284219292
caregiver,elimination,context_comorbidity_aware,xgboost,38,isotonic,0.3350000000000001,0.08,0.20310163497924805,0.0017141456819613624,high,2.95,3.4857142857142853,0.9512751045167779
caregiver,elimination,missingness_aware,rf,38,isotonic,0.2,0.08,0.742041826248169,0.004592548805262484,high,1.95,2.4857142857142853,0.9486688454709682
caregiver,elimination,hybrid_engineered_best_effort,lightgbm,52,isotonic,0.23500000000000001,0.08,0.2486255168914795,0.0033496072781673087,high,3.1,3.6857142857142855,0.9466344104479749
caregiver,elimination,hybrid_engineered_best_effort,xgboost,52,isotonic,0.20500000000000002,0.08,0.23109006881713867,0.0018856180831641283,high,3.3,3.8857142857142857,0.9459634522486535
caregiver,elimination,context_comorbidity_aware,rf,38,isotonic,0.2,0.08,0.8482680320739746,0.0018856180831641283,high,1.95,2.4857142857142853,0.9457192799326366
caregiver,elimination,source_semantics_aware,rf,36,isotonic,0.5050000000000001,0.08,0.8163290023803711,0.0018856180831641283,high,1.9,2.4285714285714284,0.9336033131465519
caregiver,elimination,baseline_current,xgboost,17,isotonic,0.5050000000000001,0.08,0.16158556938171387,0.0034282913639226927,high,2.425,2.8857142857142857,0.8461309267721931
caregiver,elimination,baseline_current,lightgbm,17,isotonic,0.44000000000000006,0.08,0.19514846801757812,0.005656854249492385,high,2.225,2.6857142857142855,0.8099806340320875
caregiver,elimination,baseline_current,rf,17,isotonic,0.43000000000000005,0.08,0.9632995128631592,0.001463989195003233,high,1.425,1.8857142857142857,0.7936018170511631
psychologist,elimination,compact_clinical_engineered,lightgbm,25,isotonic,0.29000000000000004,0.08,0.18209195137023926,0.0,high,2.425,2.914285714285714,0.9660118129566065
psychologist,elimination,proxy_pruned,lightgbm,15,isotonic,0.2,0.08,0.1730961799621582,0.0018856180831641283,high,2.175,2.6285714285714286,0.965729327571341
psychologist,elimination,subtype_aware,rf,50,isotonic,0.2,0.08,0.7859134674072266,0.0017141456819613624,high,2.25,2.8285714285714287,0.9638667443041791
psychologist,elimination,proxy_pruned,xgboost,15,isotonic,0.20500000000000002,0.08,0.13005447387695312,0.006390209366699194,high,2.375,2.8285714285714283,0.963731399234795
psychologist,elimination,proxy_pruned,rf,15,isotonic,0.22000000000000003,0.08,0.7549319267272949,1.1102230246251565e-16,high,1.375,1.8285714285714287,0.9625722995987387
psychologist,elimination,compact_clinical_engineered,xgboost,25,isotonic,0.255,0.08,0.16609692573547363,0.004926624478516679,high,2.625,3.1142857142857143,0.9613589232119063
psychologist,elimination,compact_clinical_engineered,rf,25,isotonic,0.2,0.08,0.7597894668579102,0.01137119452455153,medium,1.625,2.1142857142857143,0.9577013439535512
psychologist,elimination,impact_focused,rf,50,isotonic,0.2,0.08,0.8838632106781006,0.0018856180831641283,high,2.25,2.8285714285714287,0.9573576737187413
psychologist,elimination,hybrid_engineered_best_effort,rf,72,isotonic,0.2,0.08,1.1628527641296387,0.0032659863237109073,high,2.8,3.457142857142857,0.955909496845897
psychologist,elimination,missingness_aware,lightgbm,50,isotonic,0.5050000000000001,0.08,0.21903443336486816,0.0029084952154501673,high,3.05,3.6285714285714286,0.9537072251465745
psychologist,elimination,impact_focused,lightgbm,50,isotonic,0.3350000000000001,0.08,0.24361658096313477,0.0017141456819613464,high,3.05,3.6285714285714286,0.9534504802464357
psychologist,elimination,subtype_aware,lightgbm,50,isotonic,0.5050000000000001,0.08,0.19603466987609863,0.0018856180831641283,high,3.05,3.6285714285714286,0.95343112612666
psychologist,elimination,burden_composites,lightgbm,50,isotonic,0.23500000000000001,0.08,0.20814013481140137,0.00042162888816084317,high,3.05,3.6285714285714286,0.9533166305921407
psychologist,elimination,burden_composites,rf,50,isotonic,0.2,0.08,0.8573470115661621,0.0021279937807211907,high,2.25,2.8285714285714287,0.9532782198043803
psychologist,elimination,context_comorbidity_aware,lightgbm,50,isotonic,0.275,0.08,0.2422492504119873,0.001885618083164076,high,3.05,3.6285714285714286,0.9524835419238099
psychologist,elimination,subtype_aware,xgboost,50,isotonic,0.24000000000000002,0.08,0.20180821418762207,0.0018856180831641283,high,3.25,3.8285714285714287,0.9495246366607494
psychologist,elimination,missingness_aware,xgboost,50,isotonic,0.2,0.08,0.217512845993042,0.0062928733879772224,high,3.25,3.8285714285714287,0.9491988357288793
psychologist,elimination,burden_composites,xgboost,50,isotonic,0.20500000000000002,0.08,0.22860288619995117,0.0065319726474218145,high,3.25,3.8285714285714287,0.9491675547736375
psychologist,elimination,source_semantics_aware,xgboost,56,isotonic,0.2,0.08,0.26570606231689453,0.0036372421906851614,high,3.4,4.0,0.948388165123451
psychologist,elimination,source_semantics_aware,lightgbm,56,isotonic,0.2,0.08,0.21537518501281738,0.0049888765156985435,high,3.2,3.8000000000000003,0.947838567191638
psychologist,elimination,impact_focused,xgboost,50,isotonic,0.2,0.08,0.21526098251342773,0.0053890458420506665,high,3.25,3.8285714285714287,0.9468331723190808
psychologist,elimination,context_comorbidity_aware,xgboost,50,isotonic,0.2,0.08,0.2311539649963379,0.0017141456819613464,high,3.25,3.8285714285714287,0.9462202444035696
psychologist,elimination,context_comorbidity_aware,rf,50,isotonic,0.2,0.08,0.8747453689575195,0.004988876515698593,high,2.25,2.8285714285714287,0.9441910397635505
psychologist,elimination,source_semantics_aware,rf,56,isotonic,0.2,0.08,0.8625168800354004,0.003579096398499613,high,2.4,3.0,0.9439730974151729
psychologist,elimination,hybrid_engineered_best_effort,lightgbm,72,isotonic,0.2,0.08,0.28560543060302734,0.0021279937807211573,high,3.6,4.257142857142857,0.9417831284373535
psychologist,elimination,missingness_aware,rf,50,isotonic,0.2,0.08,0.8535623550415039,0.004988876515698593,high,2.25,2.8285714285714287,0.9392249830288069
psychologist,elimination,hybrid_engineered_best_effort,xgboost,72,isotonic,0.2,0.08,0.41944074630737305,0.004988876515698593,high,3.8,4.457142857142857,0.9377879798336453
psychologist,elimination,baseline_current,xgboost,20,isotonic,0.3350000000000001,0.08,0.1690666675567627,0.0021279937807211907,high,2.5,2.971428571428571,0.8331094123725713
psychologist,elimination,baseline_current,rf,20,isotonic,0.4700000000000001,0.08,0.8280348777770996,0.0029084952154501673,high,1.5,1.9714285714285715,0.8259637621389841
psychologist,elimination,baseline_current,lightgbm,20,isotonic,0.44000000000000006,0.08,0.21610069274902344,0.006170433635539286,high,2.3,2.7714285714285714,0.8227386053355122
