mode,domain,feature_set,family,n_features,feature_preview,calibration,threshold,uncertainty_band,fit_seconds,val_precision,val_recall,val_specificity,val_balanced_accuracy,val_f1,val_roc_auc,val_pr_auc,val_brier,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,tp,fp,fn,tn,seed_std_balanced_accuracy,stability,output_realism_score,uncertain_rate,uncertainty_usefulness,overconfident_error_rate,operational_complexity,maintenance_complexity,objective
caregiver,elimination,missingness_aware,rf,38,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems,isotonic,0.2,0.08,0.742041826248169,0.9863013698630136,0.8944099378881988,0.984,0.9392049689440993,0.9381107491856677,0.9608447204968944,0.9787477819401275,0.055127395507945195,0.9615384615384616,0.9316770186335404,0.952,0.9418385093167702,0.9463722397476341,0.9630062111801242,0.9777425997933054,0.05284947692677031,150,6,11,119,0.004592548805262484,high,0.9643356643356643,0.2727272727272727,0.07692307692307693,0.02097902097902098,1.95,2.4857142857142853,0.9486688454709682
caregiver,elimination,hybrid_engineered_best_effort,lightgbm,52,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems,isotonic,0.23500000000000001,0.08,0.2486255168914795,1.0,0.8944099378881988,1.0,0.9472049689440993,0.9442622950819672,0.9593540372670807,0.9788713127906953,0.050905306985623726,0.9805194805194806,0.937888198757764,0.976,0.956944099378882,0.9587301587301588,0.969391304347826,0.9850589315366983,0.039684017364974025,151,3,10,122,0.0033496072781673087,high,0.9821678321678322,0.06993006993006994,0.05864661654135339,0.01048951048951049,3.1,3.6857142857142855,0.9466344104479749
caregiver,elimination,hybrid_engineered_best_effort,xgboost,52,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems,isotonic,0.20500000000000002,0.08,0.23109006881713867,1.0,0.8944099378881988,1.0,0.9472049689440993,0.9442622950819672,0.960273291925466,0.9781173594280889,0.0511581186109488,0.9869281045751634,0.937888198757764,0.984,0.960944099378882,0.9617834394904459,0.9768447204968944,0.9873598521987125,0.036027752417149665,151,2,10,123,0.0018856180831641283,high,0.9940559440559441,0.2097902097902098,0.07345132743362832,0.0034965034965034965,3.3,3.8857142857142857,0.9459634522486535
caregiver,elimination,context_comorbidity_aware,rf,38,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems,isotonic,0.2,0.08,0.8482680320739746,0.993103448275862,0.8944099378881988,0.992,0.9432049689440993,0.9411764705882353,0.9634037267080745,0.9797747335579265,0.0534085797243692,0.9798657718120806,0.906832298136646,0.976,0.941416149068323,0.9419354838709677,0.9692173913043477,0.9825324842026302,0.053704515467752637,146,3,15,122,0.0018856180831641283,high,0.9821678321678322,0.24475524475524477,0.16256613756613758,0.01048951048951049,1.95,2.4857142857142853,0.9457192799326366
caregiver,elimination,source_semantics_aware,rf,36,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems,isotonic,0.5050000000000001,0.08,0.8163290023803711,1.0,0.8819875776397516,1.0,0.9409937888198758,0.9372937293729373,0.9609937888198758,0.978627183886539,0.05410233415348505,0.9794520547945206,0.8881987577639752,0.976,0.9320993788819876,0.9315960912052117,0.9634534161490683,0.9766018431532385,0.054008263374489426,143,3,18,122,0.0018856180831641283,high,0.9167832167832168,0.02097902097902098,0.7761904761904762,0.04895104895104895,1.9,2.4285714285714284,0.9336033131465519
caregiver,elimination,baseline_current,xgboost,17,age_years|sex_assigned_at_birth|site|release|has_cbcl|cbcl_aggressive_behavior_proxy|cbcl_anxious_depressed_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|cbcl_rule_breaking_proxy|has_sdq|sdq_conduct_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_impact|sdq_total_difficulties,isotonic,0.5050000000000001,0.08,0.16158556938171387,0.9333333333333333,0.782608695652174,0.928,0.855304347826087,0.8513513513513513,0.9104347826086957,0.9452554486044833,0.11073641153855068,0.9014084507042254,0.7950310559006211,0.888,0.8415155279503106,0.8448844884488449,0.8759006211180125,0.9121919955732394,0.1393158316611077,128,14,33,111,0.0034282913639226927,high,0.791958041958042,0.038461538461538464,0.1127272727272727,0.12237762237762238,2.425,2.8857142857142857,0.8461309267721931
caregiver,elimination,baseline_current,lightgbm,17,age_years|sex_assigned_at_birth|site|release|has_cbcl|cbcl_aggressive_behavior_proxy|cbcl_anxious_depressed_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|cbcl_rule_breaking_proxy|has_sdq|sdq_conduct_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_impact|sdq_total_difficulties,isotonic,0.44000000000000006,0.08,0.19514846801757812,0.9461538461538461,0.7639751552795031,0.944,0.8539875776397515,0.845360824742268,0.9052919254658385,0.9412203732863744,0.11401534038179956,0.9391304347826087,0.6708074534161491,0.944,0.8074037267080745,0.782608695652174,0.8643229813664596,0.8999981765759297,0.14801597783454373,108,7,53,118,0.005656854249492385,high,0.893006993006993,0.15034965034965034,0.43736242702650974,0.06293706293706294,2.225,2.6857142857142855,0.8099806340320875
caregiver,elimination,baseline_current,rf,17,age_years|sex_assigned_at_birth|site|release|has_cbcl|cbcl_aggressive_behavior_proxy|cbcl_anxious_depressed_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|cbcl_rule_breaking_proxy|has_sdq|sdq_conduct_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_impact|sdq_total_difficulties,isotonic,0.43000000000000005,0.08,0.9632995128631592,0.968503937007874,0.7639751552795031,0.968,0.8659875776397515,0.8541666666666666,0.9274534161490684,0.9538887554752371,0.09988555862681738,0.9196428571428571,0.639751552795031,0.928,0.7838757763975155,0.7545787545787546,0.883304347826087,0.9091282405172153,0.14631786172937097,103,9,58,116,0.001463989195003233,high,0.887062937062937,0.3076923076923077,0.41666666666666663,0.06643356643356643,1.425,1.8857142857142857,0.7936018170511631
psychologist,elimination,compact_clinical_engineered,lightgbm,25,age_years|sex_assigned_at_birth|site|release|cbcl_108|cbcl_112|sdq_impact|sdq_conduct_problems|cbcl_internalizing_proxy|cbcl_externalizing_proxy|scared_p_total|ari_p_symptom_total|conners_total|swan_total|v11_core_sum|v11_core_mean|v11_core_balance_diff|v11_parent_nonmissing_ratio|v11_parent_source_count|v11_parent_impact_combo,isotonic,0.29000000000000004,0.08,0.18209195137023926,1.0,0.8944099378881988,1.0,0.9472049689440993,0.9442622950819672,0.9613167701863354,0.9793017373269105,0.05029317088140616,1.0,0.937888198757764,1.0,0.968944099378882,0.967948717948718,0.9735900621118012,0.9862807778140408,0.03422938188684162,151,0,10,125,0.0,high,0.9643356643356643,0.07692307692307693,0.10984848484848483,0.02097902097902098,2.425,2.914285714285714,0.9660118129566065
psychologist,elimination,proxy_pruned,lightgbm,15,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|cbcl_108|cbcl_112|sdq_impact|sdq_conduct_problems|sdq_total_difficulties|v11_core_sum|v11_core_mean|v11_core_missing_count|v11_parent_nonmissing_ratio,isotonic,0.2,0.08,0.1730961799621582,1.0,0.8944099378881988,1.0,0.9472049689440993,0.9442622950819672,0.9556770186335404,0.975948189698518,0.05158566923272807,0.993421052631579,0.937888198757764,0.992,0.964944099378882,0.9648562300319489,0.9719503105590063,0.9852344424620342,0.03506129166800665,151,1,10,124,0.0018856180831641283,high,0.9940559440559441,0.3916083916083916,0.06886288998357964,0.0034965034965034965,2.175,2.6285714285714286,0.965729327571341
