candidate_id,domain,mode,calibration_method,threshold_policy,threshold,val_selection_score,val_brier,val_ece,holdout_precision,holdout_recall,holdout_specificity,holdout_balanced_accuracy,holdout_f1,holdout_roc_auc,holdout_pr_auc,holdout_brier,overfit_gap_train_val_ba,generalization_gap_val_holdout_ba,delta_holdout_brier_vs_none,delta_holdout_balanced_accuracy_vs_none,delta_holdout_pr_auc_vs_none,calibration_recommended
anxiety__caregiver_full,anxiety,caregiver_full,none,precision_oriented,0.61,0.9482708084763944,0.022311297263063704,0.022539697281035463,0.9418604651162791,0.9418604651162791,0.9873096446700508,0.9645850548931649,0.9418604651162791,0.9935662849722582,0.9571307953536649,0.020612872489575797,0.01240506827214416,-0.005813953488372103,0.0,0.0,0.0,no
anxiety__caregiver_full,anxiety,caregiver_full,sigmoid,precision_oriented,0.49499999999999994,0.9482708084763944,0.022279894640639786,0.03720763963344316,0.9418604651162791,0.9418604651162791,0.9873096446700508,0.9645850548931649,0.9418604651162791,0.9935662849722582,0.9571307953536649,0.020586584402355848,0.01240506827214416,-0.005813953488372103,-2.6288087219949324e-05,0.0,0.0,no
conduct__caregiver_2_3,conduct,caregiver_2_3,isotonic,balanced,0.05,1.0,1.0000000000383407e-12,9.99999999972578e-07,0.9814814814814815,1.0,0.9906542056074766,0.9953271028037383,0.9906542056074766,1.0,1.0,0.001195853073814591,-0.0010405827263266776,0.004672897196261738,-0.0010011118750595208,0.0,0.0,yes
conduct__caregiver_2_3,conduct,caregiver_2_3,none,balanced,0.3449999999999999,1.0,0.0008453363522639236,0.006429365541036486,0.9814814814814815,1.0,0.9906542056074766,0.9953271028037383,0.9906542056074766,1.0,1.0,0.0021969649488741117,-0.0015608740894901274,0.004672897196261738,0.0,0.0,0.0,no
conduct__caregiver_2_3,conduct,caregiver_2_3,sigmoid,balanced,0.185,1.0,0.0011652263431184374,0.030120935351307707,0.9814814814814815,1.0,0.9906542056074766,0.9953271028037383,0.9906542056074766,1.0,1.0,0.002790160840341575,-0.0015608740894901274,0.004672897196261738,0.0005931958914674631,0.0,0.0,no
conduct__psychologist_2_3,conduct,psychologist_2_3,isotonic,balanced,0.05,1.0,1.0000000000383407e-12,9.99999999972578e-07,0.9875776397515528,1.0,0.9937694704049844,0.9968847352024922,0.99375,1.0,1.0,0.0012856785452305278,-0.0005202913631634498,0.0031152647975077885,-0.0010394596305883582,0.0,0.0,yes
conduct__psychologist_2_3,conduct,psychologist_2_3,none,balanced,0.38499999999999995,1.0,0.0009835410257719608,0.0062494937542358926,0.9875776397515528,1.0,0.9937694704049844,0.9968847352024922,0.99375,1.0,1.0,0.002325138175818886,-0.0005202913631634498,0.0031152647975077885,0.0,0.0,0.0,no
conduct__psychologist_2_3,conduct,psychologist_2_3,sigmoid,balanced,0.22999999999999998,1.0,0.0012480389281164853,0.030310323893750508,0.9814814814814815,1.0,0.9906542056074766,0.9953271028037383,0.9906542056074766,1.0,1.0,0.00299111194684658,-0.0010405827263266776,0.004672897196261738,0.0006659737710276942,-0.0015576323987539498,0.0,no
conduct__psychologist_full,conduct,psychologist_full,isotonic,balanced,0.05,1.0,1.0000000000383407e-12,9.99999999972578e-07,0.9814814814814815,1.0,0.9906542056074766,0.9953271028037383,0.9906542056074766,1.0,1.0,0.0011761822594189176,-0.0005202913631634498,0.004672897196261738,-0.0011517625461687135,0.0,0.0,yes
conduct__psychologist_full,conduct,psychologist_full,none,balanced,0.37999999999999995,1.0,0.0010191548976192573,0.006207318307926103,0.9814814814814815,1.0,0.9906542056074766,0.9953271028037383,0.9906542056074766,1.0,1.0,0.002327944805587631,-0.0005202913631634498,0.004672897196261738,0.0,0.0,0.0,no
conduct__psychologist_full,conduct,psychologist_full,sigmoid,balanced,0.22499999999999998,1.0,0.0012696162855039752,0.030354544978355866,0.9814814814814815,1.0,0.9906542056074766,0.9953271028037383,0.9906542056074766,1.0,1.0,0.002915150754205691,-0.0005202913631634498,0.004672897196261738,0.0005872059486180599,0.0,0.0,no
depression__caregiver_2_3,depression,caregiver_2_3,isotonic,precision_oriented,0.4699999999999999,0.9484072514536573,0.02377152371748249,7.833333333249411e-07,0.8472222222222222,0.7439024390243902,0.9723618090452262,0.8581321240348082,0.7922077922077922,0.9516331658291458,0.796664399881825,0.05874128321387562,0.03466349033478777,0.053989459492584824,0.006736450802801025,0.0,-0.06629158621276277,yes
depression__caregiver_2_3,depression,caregiver_2_3,none,precision_oriented,0.59,0.94859734063799,0.027791822106823273,0.027983162793141933,0.8472222222222222,0.7439024390243902,0.9723618090452262,0.8581321240348082,0.7922077922077922,0.9696041181517343,0.8629559860945878,0.05200483241107459,0.03508190037662884,0.053989459492584824,0.0,0.0,0.0,no
depression__caregiver_2_3,depression,caregiver_2_3,sigmoid,precision_oriented,0.5349999999999999,0.94859734063799,0.02979980534029849,0.04303582063523975,0.8472222222222222,0.7439024390243902,0.9723618090452262,0.8581321240348082,0.7922077922077922,0.9696041181517343,0.8629559860945878,0.054845551259676203,0.03466349033478777,0.053989459492584824,0.0028407188486016116,0.0,0.0,no
depression__caregiver_full,depression,caregiver_full,isotonic,precision_oriented,0.5049999999999999,0.9498222571854635,0.0229007936515999,8.0624999995493e-07,0.8356164383561644,0.7439024390243902,0.9698492462311558,0.8568758426277729,0.7870967741935484,0.9630009805123178,0.8009673595525459,0.055813359529068955,0.039214766912364474,0.05524574089962009,0.004881637271141714,0.0,-0.06900923107926338,yes
depression__caregiver_full,depression,caregiver_full,none,precision_oriented,0.615,0.9498830830208054,0.02771805107631627,0.031614094816085916,0.8356164383561644,0.7439024390243902,0.9698492462311558,0.8568758426277729,0.7870967741935484,0.9715651427871063,0.8699765906318093,0.05093172225792724,0.039214766912364474,0.05524574089962009,0.0,0.0,0.0,no
depression__caregiver_full,depression,caregiver_full,sigmoid,precision_oriented,0.59,0.9498830830208054,0.029946623384741612,0.05295730491280885,0.8356164383561644,0.7439024390243902,0.9698492462311558,0.8568758426277729,0.7870967741935484,0.9715651427871063,0.8699765906318093,0.05462529610789056,0.039214766912364474,0.05524574089962009,0.0036935738499633206,0.0,0.0,no
depression__psychologist_full,depression,psychologist_full,isotonic,precision_oriented,0.5049999999999999,0.9566891622759117,0.020837450593708295,8.229166666731293e-07,0.890625,0.6951219512195121,0.9824120603015075,0.8387670057605099,0.7808219178082192,0.9702628998651796,0.8685128595689193,0.04902728669032593,0.03515842885648346,0.06851329819830854,0.0022917465993844838,0.0,-0.03184466992167656,yes
depression__psychologist_full,depression,psychologist_full,none,precision_oriented,0.6599999999999999,0.9573852618863183,0.02663193285810752,0.03181066637409548,0.890625,0.6951219512195121,0.9824120603015075,0.8387670057605099,0.7808219178082192,0.9753952690280672,0.9003575294905959,0.04673554009094145,0.03515842885648346,0.06851329819830854,0.0,0.0,0.0,no
depression__psychologist_full,depression,psychologist_full,sigmoid,precision_oriented,0.6499999999999999,0.9573852618863183,0.029297992937809377,0.05491637991435841,0.890625,0.6951219512195121,0.9824120603015075,0.8387670057605099,0.7808219178082192,0.9753952690280672,0.9003575294905959,0.05073206834858023,0.03515842885648346,0.06851329819830854,0.0039965282576387845,0.0,0.0,no
elimination__caregiver_2_3,elimination,caregiver_2_3,isotonic,balanced,0.25499999999999995,0.9849928109273902,0.003437500000970833,9.708333332983796e-07,0.9615384615384616,0.9615384615384616,0.9953271028037384,0.9784327821711,0.9615384615384616,0.9983824586628325,0.9745323800251808,0.00600145350535929,0.010005398797718557,0.01078360891444996,-0.009182122646588499,0.0,0.044974092056383363,yes
elimination__caregiver_2_3,elimination,caregiver_2_3,none,balanced,0.4149999999999999,0.9849928109273902,0.011824736901063636,0.033764004137213845,0.9615384615384616,0.9615384615384616,0.9953271028037384,0.9784327821711,0.9615384615384616,0.9973939611790079,0.9295582879687975,0.015183576151947788,0.010005398797718557,0.01078360891444996,0.0,0.0,0.0,no
elimination__caregiver_2_3,elimination,caregiver_2_3,sigmoid,balanced,0.27499999999999997,0.9849928109273902,0.012017257369586885,0.045552323685241425,0.9615384615384616,0.9615384615384616,0.9953271028037384,0.9784327821711,0.9615384615384616,0.997393961179008,0.9295582879687976,0.015685256481295227,0.010005398797718557,0.01078360891444996,0.0005016803293474391,0.0,1.1102230246251565e-16,no
elimination__caregiver_full,elimination,caregiver_full,isotonic,recall_constrained,0.25499999999999995,0.9876095085470086,0.0034375000009708332,9.70833333324764e-07,0.9607843137254902,0.9423076923076923,0.9953271028037384,0.9688173975557153,0.9514563106796117,0.9974613587347233,0.9598999040175511,0.008053752964194064,0.018841664172403405,0.011951833213515561,-0.007182183871855107,0.0,0.015946619435660336,yes
elimination__caregiver_full,elimination,caregiver_full,none,recall_constrained,0.48999999999999994,0.9876095085470086,0.012938266262478786,0.03396283109509826,0.9607843137254902,0.9423076923076923,0.9953271028037384,0.9688173975557153,0.9514563106796117,0.9973040977713874,0.9439532845818908,0.015235936836049171,0.018841664172403405,0.011951833213515561,0.0,0.0,0.0,no
elimination__caregiver_full,elimination,caregiver_full,sigmoid,recall_constrained,0.37499999999999994,0.9876095085470086,0.012384898281387809,0.042940664962078,0.9607843137254902,0.9423076923076923,0.9953271028037384,0.9688173975557153,0.9514563106796117,0.9973040977713874,0.9439532845818908,0.014374201201382556,0.018841664172403405,0.011951833213515561,-0.000861735634666615,0.0,0.0,no
elimination__psychologist_full,elimination,psychologist_full,isotonic,recall_constrained,0.4049999999999999,0.9815659340659341,0.004351851852822686,9.708333333249354e-07,0.9574468085106383,0.8653846153846154,0.9953271028037384,0.930355859094177,0.9090909090909091,0.9968997124370956,0.952275555899417,0.011423276899059982,0.028846153846153855,0.040797987059669194,-0.003641740480636254,0.0,-0.03130587987349065,yes
elimination__psychologist_full,elimination,psychologist_full,none,recall_constrained,0.5299999999999999,0.9815988071757302,0.013198745969115267,0.03187771158061909,0.9574468085106383,0.8653846153846154,0.9953271028037384,0.930355859094177,0.9090909090909091,0.9983375269590222,0.9835814357729077,0.015065017379696236,0.028846153846153855,0.040797987059669194,0.0,0.0,0.0,no
elimination__psychologist_full,elimination,psychologist_full,sigmoid,recall_constrained,0.43499999999999994,0.9815988071757302,0.01267831292330743,0.042667325474321505,0.9574468085106383,0.8653846153846154,0.9953271028037384,0.930355859094177,0.9090909090909091,0.9983375269590222,0.9835814357729076,0.014707353504908482,0.028846153846153855,0.040797987059669194,-0.00035766387478775377,0.0,-1.1102230246251565e-16,no
