domain,mode,weight_policy,best_ba,best_f1,best_pr_auc,best_selection
anxiety,psychologist_full,none,0.983502538071066,0.9297297297297298,0.9777125143452416,0.9168963062416509
anxiety,psychologist_full,class_minor_boost,0.9746192893401016,0.9230769230769231,0.9735187142888254,0.908549802912046
anxiety,psychologist_full,combined_aggressive,0.9776885845826939,0.9239130434782609,0.973701351852929,0.9052636167374398
conduct,caregiver_full,mode_fragile,0.9984375,0.9968847352024922,1.0000000000000002,0.9519280584265595
conduct,caregiver_full,none,1.0,1.0,1.0000000000000002,0.9519280584265595
conduct,caregiver_full,cost_asym,0.9984375,0.9968847352024922,1.0,0.9519213048070414
conduct,caregiver_full,class_minor_boost,1.0,1.0,1.0,0.9459611629144058
conduct,psychologist_full,mode_fragile,0.9984375,0.9968847352024922,1.0,0.9519213048070414
conduct,psychologist_full,none,1.0,1.0,1.0,0.9519213048070414
conduct,psychologist_full,cost_asym,0.9984375,0.9968847352024922,1.0,0.9519076600494614
conduct,psychologist_full,class_minor_boost,1.0,1.0,1.0,0.9459611629144058
depression,caregiver_1_3,mode_fragile,0.8995281284471137,0.7717391304347826,0.8177676720141132,0.846446231017377
depression,caregiver_1_3,none,0.9267986272827552,0.7979274611398963,0.8424977855679714,0.8448429275805791
depression,caregiver_1_3,cost_asym,0.9104669689912979,0.7659574468085106,0.8135110717904843,0.8430046316589895
depression,caregiver_1_3,class_minor_boost,0.9232136291212159,0.8,0.8372407510080537,0.8355069195036962
depression,caregiver_2_3,cost_asym,0.9284226008089227,0.8383233532934131,0.9186463865705374,0.8794684544369046
depression,caregiver_2_3,none,0.9257261919352862,0.8452380952380952,0.9207473302877129,0.8794275352917975
depression,caregiver_2_3,mode_fragile,0.9269824733423213,0.8333333333333334,0.9181797733355469,0.8750558858711213
depression,caregiver_2_3,class_minor_boost,0.9320075989704621,0.8488372093023255,0.9222208882828997,0.8670235830125033
depression,caregiver_2_3,combined_aggressive,0.9354087510724354,0.8235294117647058,0.9152440639072866,0.8555121628037426
depression,caregiver_full,cost_asym,0.962679249908077,0.8791208791208791,0.9435005017854363,0.8878033047708699
depression,caregiver_full,mode_fragile,0.9651918127221473,0.8888888888888888,0.9399681594965681,0.8876805979713844
depression,caregiver_full,none,0.9651918127221473,0.8888888888888888,0.9399681594965681,0.8876805979713844
depression,caregiver_full,class_minor_boost,0.9381051599460718,0.8604651162790697,0.9362409030830273,0.870889190399532
