mode,domain,feature_set_id,config_id,calibration,threshold_policy,threshold,precision_boot_mean,precision_boot_ci_low,precision_boot_ci_high,recall_boot_mean,recall_boot_ci_low,recall_boot_ci_high,balanced_accuracy_boot_mean,balanced_accuracy_boot_ci_low,balanced_accuracy_boot_ci_high,pr_auc_boot_mean,pr_auc_boot_ci_low,pr_auc_boot_ci_high,brier_boot_mean,brier_boot_ci_low,brier_boot_ci_high
psychologist_1_3,conduct,compact_subset,rf_recall_guard,sigmoid,recall_constrained,0.6449999999999999,0.9088931453622443,0.8561083743842365,0.9550757575757576,0.8134023698581745,0.7529271082458147,0.864030250686509,0.8864552460983748,0.8534058830171635,0.916625453629142,0.955037437020518,0.9311803848699713,0.9746534422815971,0.05829245677157765,0.045435412361269314,0.07135942609124733
psychologist_1_3,elimination,engineered_compact,rf_regularized,sigmoid,precision_min_recall,0.6749999999999999,0.8450756003145046,0.7144325657894737,0.9545454545454546,0.6531694510536478,0.5131944444444445,0.7896355098389982,0.8193055338690928,0.7480494476498181,0.8886439116587277,0.8856908031915602,0.7898716580829076,0.9679745350470724,0.02412121136302298,0.016421869832995088,0.03318144559213585
psychologist_1_3,anxiety,engineered_full,rf_precision_push,isotonic,precision_min_recall,0.61,0.9549496991176933,0.899825550187869,1.0,0.7193424369607041,0.629122760800843,0.8122060643564357,0.855949881879112,0.8096124730683103,0.9022543349486665,0.9164658300732338,0.8715900534757651,0.9553592656427571,0.035550894152070286,0.023687263834783884,0.04850285419915652
psychologist_1_3,depression,stability_pruned_subset,rf_baseline,isotonic,default_0_5,0.5,0.7956246290752952,0.6925547996976568,0.8792673035328046,0.77124356475123,0.6867369186046511,0.8685699319015191,0.865452717512749,0.8258395328508906,0.9174124888585542,0.7701906773645419,0.6708485914740087,0.8647965703369211,0.055664565539136214,0.04095591482682204,0.07150470991150365
psychologist_2_3,adhd,engineered_pruned,rf_regularized,isotonic,precision_min_recall,0.5049999999999999,0.7295645575947692,0.6491228070175439,0.8091457870276825,0.8282303808469098,0.7553191489361702,0.8979347826086957,0.8766165508140221,0.8392479273198048,0.9141592442645075,0.7371622334877579,0.6400008945046629,0.8241574499074992,0.06787877590036326,0.05172055047927148,0.08376227325380568
psychologist_2_3,conduct,engineered_compact,rf_balanced_subsample,isotonic,recall_constrained,0.5049999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001086086382642342,0.00027024709394070205,0.0023266800982297857
psychologist_2_3,elimination,engineered_pruned,rf_recall_guard,isotonic,precision_min_recall,0.5049999999999999,0.9597004733175394,0.902972027972028,1.0,0.9640877856617734,0.8976966873706004,1.0,0.9795606861133855,0.9471298108284409,0.9988452655889146,0.9558852273325398,0.899881089879039,0.9982634918191414,0.00851823534142992,0.003050580243082725,0.01532354406861735
psychologist_2_3,anxiety,precision_oriented_subset,rf_precision_push,isotonic,balanced,0.22999999999999998,0.9065485784890732,0.8369946917109025,0.9629629629629629,0.8970722837410599,0.8333238636363637,0.9568337484433375,0.9384953919047505,0.9073230195752864,0.9685013597513598,0.9318968183061921,0.8747950141975231,0.972506070180277,0.029747629464138777,0.01812367934944957,0.044496395951547536
psychologist_2_3,depression,full_eligible,rf_pos_weight_mid,isotonic,recall_constrained,0.5049999999999999,0.8279058965789029,0.7454938354328599,0.9107051282051282,0.8182758440654363,0.7484913793103448,0.9,0.8919034526048683,0.8556659845988104,0.9336105769230769,0.8353582304010514,0.7496696086287511,0.9125497679009967,0.04695457898235334,0.03360001959205973,0.06322179943528326
psychologist_full,adhd,engineered_full,rf_precision_push,isotonic,precision_min_recall,0.5049999999999999,0.9277498689387386,0.8786375661375662,0.9779127992183684,0.839766267834794,0.7727272727272727,0.9074423390208352,0.9119123076627758,0.8774141452029673,0.9470052868464123,0.9255310105140259,0.8764504921158168,0.9693648031891244,0.03045492766489283,0.01760380319236705,0.04251111150555071
psychologist_full,conduct,engineered_compact,rf_baseline,isotonic,recall_constrained,0.5049999999999999,1.0,1.0,1.0,0.9942984287197509,0.9803244324045407,1.0,0.9971492143598756,0.9901622162022704,1.0,1.0,1.0,1.0,0.0012117940449326116,0.0003623936163281476,0.002514086324648772
psychologist_full,elimination,engineered_compact,rf_baseline,isotonic,precision_min_recall,0.5049999999999999,0.9392567847589166,0.8748154580981329,1.0,0.9640877856617734,0.8976966873706004,1.0,0.9782207960790962,0.9454418876667342,0.9982964213405703,0.9723909608296825,0.928418024489738,0.9983804748578535,0.009483479829361822,0.003723181627227508,0.016525286113535886
psychologist_full,anxiety,precision_oriented_subset,rf_precision_push,isotonic,default_0_5,0.5,0.9158866361257632,0.85,0.9661206896551724,0.8848675134914709,0.8177280550774527,0.948076923076923,0.9336276862846347,0.8986894755593408,0.9648622690249402,0.9455987078166523,0.8986532830519329,0.9801803577499738,0.02643713240408491,0.016136329925350072,0.03920467821603175
psychologist_full,depression,engineered_full,rf_pos_weight_mid,sigmoid,balanced,0.3449999999999999,0.8367527525564795,0.7434078309078309,0.9236111111111112,0.8152610621179393,0.7346432605421687,0.8930033450143359,0.8914790113355944,0.8499147597948469,0.9315472123844333,0.9401718871980527,0.9041111259671754,0.9700159702594464,0.03873793644084279,0.027256064983321334,0.051459694243440046
