input_key,domains_used,type_tags,instrument_or_source,caregiver_direct_yes_no,psychologist_admin_yes_no,must_be_self_report_yes_no,derived_from_items_yes_no,system_filled_yes_no,caregiver_answerable_yes_no,psychologist_answerable_yes_no,presence_flag_yes_no
cbcl_039,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_040,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_041,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_042,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_043,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_044,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_045,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_046,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_047,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_048,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_049,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_050,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_051,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_052,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_053,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_054,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_055,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_056,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_057,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_058,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_059,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_060,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_061,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_062,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_063,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_064,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_065,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_066,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_067,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_068,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_069,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_070,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_071,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_072,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_073,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_074,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_075,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_076,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_077,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_078,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_079,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_080,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_081,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_082,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_083,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_084,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_085,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_086,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_087,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_088,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_089,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_090,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_091,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_092,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_093,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_094,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_095,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_096,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_097,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_098,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_099,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_100,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_101,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_102,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_103,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_104,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_105,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_106,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_107,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_108,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_109,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_110,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_111,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_112,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_113,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_114,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_115,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_116,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_117,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_118,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
