domain,mode,threshold_policy,threshold,val_balanced_accuracy,val_pr_auc
adhd,psychologist_1_3,default_0_5,0.5,0.7740044119354464,0.7173242077730424
adhd,psychologist_1_3,balanced,0.16999999999999998,0.9113549285963078,0.7173242077730424
adhd,psychologist_2_3,default_0_5,0.5,0.8080808080808081,0.7617969645588343
adhd,psychologist_2_3,balanced,0.24999999999999994,0.930570068501103,0.7617969645588343
adhd,psychologist_2_3,default_0_5,0.5,0.7908394287704632,0.7417316573734846
adhd,psychologist_2_3,balanced,0.21999999999999997,0.9353303146406595,0.7417316573734846
adhd,psychologist_2_3,default_0_5,0.5,0.8946940671078603,0.7425728016161237
adhd,psychologist_2_3,balanced,0.13999999999999999,0.9329501915708812,0.7425728016161237
adhd,psychologist_2_3,default_0_5,0.5,0.8960873098804134,0.740313256746657
adhd,psychologist_2_3,balanced,0.4499999999999999,0.9058980610704749,0.740313256746657
adhd,psychologist_2_3,default_0_5,0.5,0.8598049460118425,0.7754101167807316
adhd,psychologist_2_3,balanced,0.26999999999999996,0.934633693254383,0.7754101167807316
adhd,psychologist_2_3,default_0_5,0.5,0.8523743178915593,0.7752411238558246
adhd,psychologist_2_3,balanced,0.24,0.9444444444444444,0.7752411238558246
adhd,psychologist_2_3,default_0_5,0.5,0.8913270637408568,0.7222980983769505
adhd,psychologist_2_3,balanced,0.12,0.9494949494949495,0.7222980983769505
adhd,psychologist_2_3,default_0_5,0.5,0.8862765586903518,0.7305748023664183
adhd,psychologist_2_3,balanced,0.35999999999999993,0.8967839312666899,0.7305748023664183
adhd,psychologist_2_3,default_0_5,0.5,0.8889469406710786,0.7247909285070386
adhd,psychologist_2_3,balanced,0.13999999999999999,0.9410774410774411,0.7247909285070386
depression,caregiver_1_3,default_0_5,0.5,0.8338831650002538,0.839697461183131
depression,caregiver_1_3,balanced,0.29,0.9278790031974826,0.839697461183131
depression,caregiver_1_3,default_0_5,0.5,0.837435923463432,0.8347960671353787
depression,caregiver_1_3,balanced,0.26999999999999996,0.9298837740445618,0.8347960671353787
depression,caregiver_1_3,default_0_5,0.5,0.8921737806425417,0.7836818950025571
depression,caregiver_1_3,balanced,0.08,0.9252398111962645,0.7836818950025571
depression,caregiver_1_3,default_0_5,0.5,0.8970968887986601,0.7854975173588887
depression,caregiver_1_3,balanced,0.5499999999999999,0.9017408516469574,0.7854975173588887
depression,caregiver_1_3,default_0_5,0.5,0.8635740750139573,0.8349742550606376
depression,caregiver_1_3,balanced,0.22999999999999998,0.9289702075826016,0.8349742550606376
depression,caregiver_1_3,default_0_5,0.5,0.8635740750139573,0.8432632220856783
depression,caregiver_1_3,balanced,0.22999999999999998,0.934527736892859,0.8432632220856783
depression,caregiver_1_3,default_0_5,0.5,0.9116631984976906,0.8442261235665005
depression,caregiver_1_3,balanced,0.08,0.9396284829721362,0.8442261235665005
depression,caregiver_1_3,default_0_5,0.5,0.8997360807998782,0.8333600816050443
depression,caregiver_1_3,balanced,0.4599999999999999,0.9063848144952545,0.8333600816050443
depression,caregiver_1_3,default_0_5,0.5,0.8471806323910065,0.8471964339564289
depression,caregiver_1_3,balanced,0.25999999999999995,0.9469116378216516,0.8471964339564289
depression,caregiver_2_3,default_0_5,0.5,0.8764147591737299,0.8689677411258054
depression,caregiver_2_3,balanced,0.35999999999999993,0.9475460589757905,0.8689677411258054
depression,caregiver_2_3,default_0_5,0.5,0.8600213165507791,0.8596890933455749
depression,caregiver_2_3,balanced,0.41999999999999993,0.9291478455057606,0.8596890933455749
depression,caregiver_2_3,default_0_5,0.5,0.9296046287367405,0.8625250150651101
depression,caregiver_2_3,balanced,0.22999999999999998,0.9643962848297214,0.8625250150651101
depression,caregiver_2_3,default_0_5,0.5,0.9032888392630565,0.8015799871194326
depression,caregiver_2_3,balanced,0.3999999999999999,0.91503831903771,0.8015799871194326
depression,caregiver_2_3,default_0_5,0.5,0.8733187839415317,0.8535566620367593
depression,caregiver_2_3,balanced,0.26999999999999996,0.9433588793584733,0.8535566620367593
depression,caregiver_2_3,default_0_5,0.5,0.8600213165507791,0.8627598975964469
depression,caregiver_2_3,balanced,0.29,0.9418108917423742,0.8627598975964469
depression,caregiver_2_3,default_0_5,0.5,0.9311526163528396,0.7979830453856982
depression,caregiver_2_3,balanced,0.19999999999999996,0.9608435263665431,0.7979830453856982
depression,caregiver_2_3,default_0_5,0.5,0.8946353347206009,0.8395805707062517
depression,caregiver_2_3,balanced,0.73,0.9163071613459879,0.8395805707062517
depression,caregiver_2_3,default_0_5,0.5,0.9143023904989087,0.8701827752539089
depression,caregiver_2_3,balanced,0.32999999999999996,0.959295538750444,0.8701827752539089
depression,caregiver_full,default_0_5,0.5,0.8682180378622545,0.8764879729618293
depression,caregiver_full,balanced,0.32999999999999996,0.959295538750444,0.8764879729618293
depression,caregiver_full,default_0_5,0.5,0.8420798863117291,0.8472010984044899
depression,caregiver_full,balanced,0.3,0.9391716997411561,0.8472010984044899
depression,caregiver_full,default_0_5,0.5,0.9490940465918896,0.8751147234780121
depression,caregiver_full,balanced,0.20999999999999996,0.9608435263665431,0.8751147234780121
depression,caregiver_full,default_0_5,0.5,0.9059280312642745,0.8082380509035836
depression,caregiver_full,balanced,0.29,0.9232350403491854,0.8082380509035836
depression,caregiver_full,default_0_5,0.5,0.9639395015987413,0.8496631717689167
depression,caregiver_full,default_0_5,0.5,0.9490940465918896,0.8758049617350605
depression,caregiver_full,default_0_5,0.5,0.9654874892148404,0.8308846515593089
depression,caregiver_full,default_0_5,0.5,0.8666700502461554,0.8518780004868058
depression,caregiver_full,balanced,0.25999999999999995,0.9500076130538497,0.8518780004868058
depression,caregiver_full,default_0_5,0.5,0.8682180378622545,0.8593369155363864
depression,caregiver_full,balanced,0.30999999999999994,0.9531035882860478,0.8593369155363864
depression,caregiver_full,default_0_5,0.5,0.9424453128965132,0.8623026958757407
depression,caregiver_full,balanced,0.3999999999999999,0.9572907679033649,0.8623026958757407
depression,caregiver_full,default_0_5,0.5,0.9203167030401462,0.8282937020411536
depression,caregiver_full,balanced,0.4499999999999999,0.9285134243516215,0.8282937020411536
depression,caregiver_full,default_0_5,0.5,0.8717707963254326,0.844468545499799
depression,caregiver_full,balanced,0.10999999999999999,0.9561995635182459,0.844468545499799
depression,psychologist_1_3,default_0_5,0.5,0.8522813784702836,0.8354310734900786
depression,psychologist_1_3,balanced,0.29,0.9263310155813835,0.8354310734900786
depression,psychologist_1_3,default_0_5,0.5,0.8307871897680557,0.8095607000817793
depression,psychologist_1_3,balanced,0.26999999999999996,0.9252398111962645,0.8095607000817793
depression,psychologist_1_3,default_0_5,0.5,0.8906257930264426,0.785836380535496
depression,psychologist_1_3,balanced,0.13,0.9263310155813835,0.785836380535496
depression,psychologist_1_3,default_0_5,0.5,0.8889001674871847,0.7928498103242708
depression,psychologist_1_3,balanced,0.30999999999999994,0.9000152261076992,0.7928498103242708
depression,psychologist_1_3,default_0_5,0.5,0.8733187839415317,0.8330229412827858
depression,psychologist_1_3,balanced,0.24,0.937166928894077,0.8330229412827858
depression,psychologist_1_3,default_0_5,0.5,0.8553773537024818,0.8316572637600868
depression,psychologist_1_3,balanced,0.20999999999999996,0.9380804953560371,0.8316572637600868
depression,psychologist_1_3,default_0_5,0.5,0.9147591737298888,0.8338522910479856
depression,psychologist_1_3,balanced,0.15999999999999998,0.9418108917423742,0.8338522910479856
depression,psychologist_1_3,default_0_5,0.5,0.9176775110389281,0.8445450981644081
depression,psychologist_1_3,balanced,0.4699999999999999,0.9176775110389281,0.8445450981644081
depression,psychologist_1_3,default_0_5,0.5,0.8702228087093336,0.8562034513116745
depression,psychologist_1_3,balanced,0.21999999999999997,0.9504643962848297,0.8562034513116745
depression,psychologist_2_3,default_0_5,0.5,0.8682180378622545,0.8656725259356195
depression,psychologist_2_3,balanced,0.22999999999999998,0.9380804953560371,0.8656725259356195
depression,psychologist_2_3,default_0_5,0.5,0.8830634928691062,0.8550680626476156
depression,psychologist_2_3,balanced,0.41999999999999993,0.9291478455057606,0.8550680626476156
depression,psychologist_2_3,default_0_5,0.5,0.9214079074252652,0.8322253056004613
depression,psychologist_2_3,balanced,0.27999999999999997,0.959295538750444,0.8322253056004613
depression,psychologist_2_3,default_0_5,0.5,0.9114855605745318,0.7732722034987005
depression,psychologist_2_3,balanced,0.19999999999999996,0.914403897883571,0.7732722034987005
depression,psychologist_2_3,default_0_5,0.5,0.8600213165507791,0.8574873470987713
depression,psychologist_2_3,balanced,0.24999999999999994,0.9469116378216516,0.8574873470987713
depression,psychologist_2_3,default_0_5,0.5,0.8682180378622545,0.8544136064544492
depression,psychologist_2_3,balanced,0.25999999999999995,0.9391716997411561,0.8544136064544492
depression,psychologist_2_3,default_0_5,0.5,0.9490940465918896,0.7978789536021035
depression,psychologist_2_3,balanced,0.10999999999999999,0.9628482972136223,0.7978789536021035
depression,psychologist_2_3,default_0_5,0.5,0.897731309952799,0.8113441186373936
depression,psychologist_2_3,balanced,0.3499999999999999,0.9130335481906309,0.8113441186373936
depression,psychologist_2_3,default_0_5,0.5,0.9194031365781861,0.8243272956547428
depression,psychologist_2_3,balanced,0.33999999999999997,0.9541947926711668,0.8243272956547428
depression,psychologist_full,default_0_5,0.5,0.8600213165507791,0.8944978501950097
depression,psychologist_full,balanced,0.30999999999999994,0.9500076130538497,0.8944978501950097
depression,psychologist_full,default_0_5,0.5,0.8502766076232047,0.8720332455133719
depression,psychologist_full,balanced,0.30999999999999994,0.9402629041262751,0.8720332455133719
depression,psychologist_full,default_0_5,0.5,0.9327006039689387,0.9237200574502888
depression,psychologist_full,balanced,0.33999999999999997,0.9623915139826422,0.9237200574502888
depression,psychologist_full,default_0_5,0.5,0.8890778054103436,0.8220504003709418
depression,psychologist_full,balanced,0.19,0.916586306653809,0.8220504003709418
depression,psychologist_full,default_0_5,0.5,0.8748667715576308,0.8876992966945946
depression,psychologist_full,balanced,0.32999999999999996,0.9459980713596914,0.8876992966945946
depression,psychologist_full,default_0_5,0.5,0.8764147591737299,0.8803583651139688
depression,psychologist_full,balanced,0.35999999999999993,0.9475460589757905,0.8803583651139688
depression,psychologist_full,default_0_5,0.5,0.9521900218240877,0.8991921349797265
depression,psychologist_full,balanced,0.08,0.9613003095975232,0.8991921349797265
depression,psychologist_full,default_0_5,0.5,0.8941785514896208,0.8283575315852272
depression,psychologist_full,balanced,0.29,0.9141247525757499,0.8283575315852272
depression,psychologist_full,default_0_5,0.5,0.9291478455057606,0.8746962825204252
depression,psychologist_full,balanced,0.41999999999999993,0.9701314520631377,0.8746962825204252
elimination,caregiver_1_3,default_0_5,0.5,0.8496168582375478,0.8374945526930853
elimination,caregiver_1_3,balanced,0.08,0.9683908045977012,0.8374945526930853
elimination,caregiver_1_3,default_0_5,0.5,0.7207854406130267,0.867820151841809
elimination,caregiver_1_3,balanced,0.15999999999999998,0.9545019157088123,0.867820151841809
elimination,caregiver_1_3,default_0_5,0.5,0.9339080459770115,0.8802746287528642
elimination,caregiver_1_3,balanced,0.38999999999999996,0.9755747126436782,0.8802746287528642
elimination,caregiver_1_3,default_0_5,0.5,0.8936781609195402,0.864923013513615
elimination,caregiver_1_3,balanced,0.24,0.9334291187739463,0.864923013513615
elimination,caregiver_1_3,default_0_5,0.5,0.9602490421455938,0.8673773928515294
elimination,caregiver_1_3,default_0_5,0.5,0.9588122605363985,0.8780820817063997
elimination,caregiver_1_3,default_0_5,0.5,0.9339080459770115,0.8948467700187342
elimination,caregiver_1_3,default_0_5,0.5,0.9818007662835249,0.9441317354674772
elimination,caregiver_1_3,balanced,0.41999999999999993,0.9913793103448276,0.9441317354674772
elimination,caregiver_1_3,default_0_5,0.5,0.9846743295019157,0.966804408530678
elimination,caregiver_1_3,balanced,0.43999999999999995,0.9971264367816092,0.966804408530678
elimination,caregiver_1_3,default_0_5,0.5,0.9942528735632183,0.9616884995146908
elimination,caregiver_1_3,balanced,0.62,0.9971264367816092,0.9616884995146908
elimination,caregiver_1_3,default_0_5,0.5,0.9636015325670497,0.9698305550991014
elimination,caregiver_1_3,balanced,0.24999999999999994,0.9798850574712643,0.9698305550991014
elimination,caregiver_1_3,default_0_5,0.5,0.9971264367816092,0.9728992097450089
elimination,caregiver_1_3,balanced,0.49999999999999994,0.9971264367816092,0.9728992097450089
elimination,psychologist_1_3,default_0_5,0.5,0.7844827586206897,0.8355946527811718
elimination,psychologist_1_3,balanced,0.21999999999999997,0.9712643678160919,0.8355946527811718
elimination,psychologist_1_3,default_0_5,0.5,0.625,0.8834709633418605
elimination,psychologist_1_3,balanced,0.10999999999999999,0.9396551724137931,0.8834709633418605
elimination,psychologist_1_3,default_0_5,0.5,0.9602490421455938,0.8864271395302944
elimination,psychologist_1_3,balanced,0.05,0.9698275862068966,0.8864271395302944
elimination,psychologist_1_3,default_0_5,0.5,0.8951149425287357,0.8555535098436633
elimination,psychologist_1_3,balanced,0.26999999999999996,0.9195402298850575,0.8555535098436633
elimination,psychologist_1_3,default_0_5,0.5,0.9650383141762452,0.9316262617957661
elimination,psychologist_1_3,balanced,0.36999999999999994,0.985632183908046,0.9316262617957661
elimination,psychologist_1_3,default_0_5,0.5,0.9707854406130267,0.9796643695126197
elimination,psychologist_1_3,balanced,0.42999999999999994,0.9971264367816092,0.9796643695126197
elimination,psychologist_1_3,default_0_5,0.5,0.9956896551724138,0.9573030395226132
elimination,psychologist_1_3,balanced,0.5599999999999999,0.9971264367816092,0.9573030395226132
elimination,psychologist_1_3,default_0_5,0.5,0.9760536398467433,0.9750324142015829
elimination,psychologist_1_3,balanced,0.36999999999999994,0.9870689655172413,0.9750324142015829
elimination,psychologist_1_3,default_0_5,0.5,0.9956896551724138,0.9740762977642022
elimination,psychologist_1_3,balanced,0.4499999999999999,0.9956896551724138,0.9740762977642022
anxiety,caregiver_1_3,default_0_5,0.5,0.7864877161055506,0.8523851860246463
anxiety,caregiver_1_3,balanced,0.21999999999999997,0.9165605095541401,0.8523851860246463
anxiety,caregiver_1_3,default_0_5,0.5,0.8047315741583257,0.851425261002749
anxiety,caregiver_1_3,balanced,0.24,0.9165605095541401,0.851425261002749
anxiety,caregiver_1_3,default_0_5,0.5,0.8523202911737944,0.8367381099101918
anxiety,caregiver_1_3,balanced,0.13,0.8950864422202002,0.8367381099101918
anxiety,caregiver_1_3,default_0_5,0.5,0.9221110100090992,0.8751061954855196
anxiety,caregiver_1_3,balanced,0.5099999999999999,0.9268880800727934,0.8751061954855196
anxiety,caregiver_1_3,default_0_5,0.5,0.8721565059144677,0.85562804485061
anxiety,caregiver_1_3,default_0_5,0.5,0.8586897179253867,0.8304510956327797
anxiety,caregiver_1_3,default_0_5,0.5,0.880891719745223,0.8490704604047502
anxiety,caregiver_1_3,default_0_5,0.5,0.8293448589626933,0.8520048714434931
anxiety,caregiver_1_3,balanced,0.26999999999999996,0.9292993630573249,0.8520048714434931
anxiety,caregiver_1_3,default_0_5,0.5,0.8277525022747952,0.8642749869601236
anxiety,caregiver_1_3,balanced,0.22999999999999998,0.9395814376706096,0.8642749869601236
anxiety,caregiver_1_3,default_0_5,0.5,0.8610555050045496,0.8601956805089558
anxiety,caregiver_1_3,balanced,0.14999999999999997,0.9078252957233849,0.8601956805089558
anxiety,caregiver_1_3,default_0_5,0.5,0.9165605095541401,0.8802764147103455
anxiety,caregiver_1_3,balanced,0.37999999999999995,0.932393084622384,0.8802764147103455
anxiety,caregiver_1_3,default_0_5,0.5,0.8547315741583257,0.86625374758341
anxiety,caregiver_1_3,balanced,0.12,0.9292538671519563,0.86625374758341
