mode,domain,feature_set_id,config_id,seed,calibration_method,val_brier,val_ece
caregiver_2_3,adhd,engineered_full,rf_pos_weight_mid,20261119,isotonic,0.04540274064240706,6.958333333651739e-07
caregiver_2_3,adhd,engineered_compact,rf_regularized,20261101,none,0.04896863328308729,0.027761107347811613
caregiver_2_3,adhd,engineered_compact,rf_regularized,20261101,sigmoid,0.04872720936391499,0.037741621038461605
caregiver_2_3,adhd,engineered_compact,rf_regularized,20261101,isotonic,0.043527346458884696,7.291666666823109e-07
caregiver_2_3,adhd,engineered_compact,rf_regularized,20261119,none,0.04933576835315369,0.029191036352128448
caregiver_2_3,adhd,engineered_compact,rf_regularized,20261119,sigmoid,0.049492616130077244,0.044626521031320365
caregiver_2_3,adhd,engineered_compact,rf_regularized,20261119,isotonic,0.0441434195457689,7.208333333478986e-07
caregiver_2_3,conduct,engineered_compact,rf_baseline,20261101,none,0.010184578428577062,0.04622199296974068
caregiver_2_3,conduct,engineered_compact,rf_baseline,20261101,sigmoid,0.006332886283477554,0.04199398533154991
caregiver_2_3,conduct,engineered_compact,rf_baseline,20261101,isotonic,0.002777777778761111,9.833333333424991e-07
caregiver_2_3,conduct,engineered_compact,rf_baseline,20261119,none,0.010473255818347755,0.046984816492304
caregiver_2_3,conduct,engineered_compact,rf_baseline,20261119,sigmoid,0.006006663274361942,0.040593974915245405
caregiver_2_3,conduct,engineered_compact,rf_baseline,20261119,isotonic,0.0026041666676541665,9.875000000092857e-07
caregiver_2_3,conduct,engineered_pruned,rf_recall_guard,20261101,none,0.012153993403173583,0.05189889547125537
caregiver_2_3,conduct,engineered_pruned,rf_recall_guard,20261101,sigmoid,0.007312187321627706,0.044060320111373986
caregiver_2_3,conduct,engineered_pruned,rf_recall_guard,20261101,isotonic,0.002893518519495602,9.77083333307625e-07
caregiver_2_3,conduct,engineered_pruned,rf_recall_guard,20261119,none,0.012796113943033486,0.051782734612207656
caregiver_2_3,conduct,engineered_pruned,rf_recall_guard,20261119,sigmoid,0.008001740665025068,0.043133368115367
caregiver_2_3,conduct,engineered_pruned,rf_recall_guard,20261119,isotonic,0.002827380953362202,9.81250000045882e-07
caregiver_2_3,elimination,engineered_compact,rf_recall_guard,20261101,none,0.011263617315577734,0.03225114545006423
caregiver_2_3,elimination,engineered_compact,rf_recall_guard,20261101,sigmoid,0.010169137238229096,0.04084572660358469
caregiver_2_3,elimination,engineered_compact,rf_recall_guard,20261101,isotonic,0.003333333334312499,9.791666666259987e-07
caregiver_2_3,elimination,engineered_compact,rf_recall_guard,20261119,none,0.011320115130617796,0.029564284348769954
caregiver_2_3,elimination,engineered_compact,rf_recall_guard,20261119,sigmoid,0.010501360855167622,0.037198687702939104
caregiver_2_3,elimination,engineered_compact,rf_recall_guard,20261119,isotonic,0.004444444445421527,9.770833332935307e-07
caregiver_2_3,elimination,compact_subset,rf_recall_guard,20261101,none,0.011946907383257507,0.03643506647445191
caregiver_2_3,elimination,compact_subset,rf_recall_guard,20261101,sigmoid,0.011179448686638678,0.04168663734979453
caregiver_2_3,elimination,compact_subset,rf_recall_guard,20261101,isotonic,0.005026455027415442,9.604166666501588e-07
caregiver_2_3,elimination,compact_subset,rf_recall_guard,20261119,none,0.011025653447861996,0.03389682068180404
caregiver_2_3,elimination,compact_subset,rf_recall_guard,20261119,sigmoid,0.010817155746454326,0.03968799756942417
caregiver_2_3,elimination,compact_subset,rf_recall_guard,20261119,isotonic,0.00444444444541736,9.729166666381376e-07
caregiver_2_3,anxiety,compact_subset,rf_pos_weight_mid,20261101,none,0.030187021580886087,0.028823871409327923
caregiver_2_3,anxiety,compact_subset,rf_pos_weight_mid,20261101,sigmoid,0.03104982218011685,0.04671348240768699
caregiver_2_3,anxiety,compact_subset,rf_pos_weight_mid,20261101,isotonic,0.02529335699872577,7.541666666674354e-07
caregiver_2_3,anxiety,compact_subset,rf_pos_weight_mid,20261119,none,0.030040523587445335,0.027706743263745146
caregiver_2_3,anxiety,compact_subset,rf_pos_weight_mid,20261119,sigmoid,0.030919721391792426,0.0461048297979491
caregiver_2_3,anxiety,compact_subset,rf_pos_weight_mid,20261119,isotonic,0.02455911877862503,7.562499999779231e-07
