domain,mode,role,active_model_id,model_input_feature,mapping_type,full_question_feature_reused,questionnaire_item_id,question_text_primary_sha256,visible_in_mode_after_sync,input_master_present,visible_question_row_present,input_master_is_direct_input,input_master_is_transparent_derived,unmapped_reason
conduct,psychologist_2_3,psychologist,conduct__psychologist_2_3__conduct_honest_retrain_v1__rf__engineered_compact_no_shortcuts_v1,eng_mood_discrepancy,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
conduct,psychologist_full,psychologist,conduct__psychologist_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,eng_adhd_context_spread,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
conduct,psychologist_full,psychologist,conduct__psychologist_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,eng_adhd_core_mean,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
conduct,psychologist_full,psychologist,conduct__psychologist_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,eng_anxiety_core_mean,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
conduct,psychologist_full,psychologist,conduct__psychologist_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,eng_depression_core_mean,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
conduct,psychologist_full,psychologist,conduct__psychologist_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,eng_elimination_intensity,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
conduct,psychologist_full,psychologist,conduct__psychologist_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,eng_externalizing_index,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
conduct,psychologist_full,psychologist,conduct__psychologist_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,eng_internalizing_index,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
conduct,psychologist_full,psychologist,conduct__psychologist_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,eng_mood_discrepancy,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
depression,caregiver_1_3,caregiver,depression__caregiver_1_3__hybrid_structural_mode_rescue_v1__rf__structural_ranked_1_3,mdd_01_depressed_or_irritable_mood,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
depression,caregiver_1_3,caregiver,depression__caregiver_1_3__hybrid_structural_mode_rescue_v1__rf__structural_ranked_1_3,mdd_04_sleep_change,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
depression,caregiver_2_3,caregiver,depression__caregiver_2_3__hybrid_structural_mode_rescue_v1__extra_trees__structural_compact_2_3,mdd_01_depressed_or_irritable_mood,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
depression,caregiver_2_3,caregiver,depression__caregiver_2_3__hybrid_structural_mode_rescue_v1__extra_trees__structural_compact_2_3,mdd_04_sleep_change,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
depression,psychologist_2_3,psychologist,depression__psychologist_2_3__hybrid_structural_mode_rescue_v1__extra_trees__structural_compact_2_3,mdd_01_depressed_or_irritable_mood,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
depression,psychologist_2_3,psychologist,depression__psychologist_2_3__hybrid_structural_mode_rescue_v1__extra_trees__structural_compact_2_3,mdd_04_sleep_change,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
depression,psychologist_full,psychologist,depression__psychologist_full__v6_hotfix_v1__hgb__no_shortcut_v1,conduct_no_antisocial_personality_if_18plus,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
depression,psychologist_full,psychologist,depression__psychologist_full__v6_hotfix_v1__hgb__no_shortcut_v1,mdd_01_depressed_or_irritable_mood,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
depression,psychologist_full,psychologist,depression__psychologist_full__v6_hotfix_v1__hgb__no_shortcut_v1,mdd_04_sleep_change,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
depression,psychologist_full,psychologist,depression__psychologist_full__v6_hotfix_v1__hgb__no_shortcut_v1,mdd_no_mania_hypomania_history,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
depression,psychologist_full,psychologist,depression__psychologist_full__v6_hotfix_v1__hgb__no_shortcut_v1,mdd_not_due_substance_medical,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
depression,psychologist_full,psychologist,depression__psychologist_full__v6_hotfix_v1__hgb__no_shortcut_v1,mdd_not_psychotic_explained,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
