domain,role,mode,active_model_id,config_id,calibration,threshold_policy,threshold,val_brier,brier,val_ece,holdout_ece
conduct,caregiver,caregiver_2_3,conduct__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_guardrail_very_random,none,recall_target_guard,0.5199999999999999,0.1351730178014781,0.1324384607101465,0.2690062666363594,0.2601071357600292
conduct,caregiver,caregiver_full,conduct__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_balanced_regularized,none,recall_target_guard,0.5499999999999999,0.06114477063402705,0.06396054965694395,0.058991075892547123,0.049596526746125136
conduct,psychologist,psychologist_1_3,conduct__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_balanced_regularized,none,recall_target_guard,0.4599999999999999,0.05736282211922891,0.058995019228393855,0.0564311783310863,0.05103213104684424
conduct,psychologist,psychologist_2_3,conduct__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_calibrated_regularized,none,f1_ba_conservative,0.62,0.0607617343923784,0.0634952314087904,0.06573675899427979,0.05667026470270464
conduct,psychologist,psychologist_full,conduct__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_balanced_regularized,none,f1_ba_conservative,0.59,0.0602441251332408,0.06382669650700531,0.057691238551818534,0.0536353617041523
depression,caregiver,caregiver_1_3,depression__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_balanced_regularized,none,recall_target_guard,0.58,0.056772400169887334,0.05637131723100386,0.07756310956331494,0.06898483151739984
depression,caregiver,caregiver_2_3,depression__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_calibrated_regularized,none,recall_target_guard,0.58,0.061530609898648336,0.05908261495768612,0.08165231762347216,0.07787124115265179
depression,caregiver,caregiver_full,depression__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_calibrated_regularized,isotonic,recall_target_guard,0.4699999999999999,0.039656658479406574,0.04158521288289829,0.024758833069290047,0.020328594457187026
depression,psychologist,psychologist_1_3,depression__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_recall_guarded,none,max_f1_precision_guard,0.5499999999999999,0.05523473332892803,0.05064473656435475,0.06203589728896377,0.050624732037268916
depression,psychologist,psychologist_2_3,depression__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_calibrated_regularized,none,recall_target_guard,0.57,0.05845430921018778,0.05469919705174863,0.08502177158502289,0.07848684262570874
depression,psychologist,psychologist_full,depression__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_calibrated_regularized,sigmoid,recall_target_guard,0.3627106869338548,0.051594469537091917,0.048751643442085275,0.03390631493790834,0.02215994143825881
elimination,caregiver,caregiver_1_3,elimination__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_guardrail_randomized,none,f1_ba_conservative,0.72,0.07873889256709957,0.07581351210595827,0.2227051526850799,0.22909757565799804
elimination,caregiver,caregiver_2_3,elimination__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_guardrail_randomized,none,f1_ba_conservative,0.58,0.135682140030561,0.1324794453750367,0.29216223851274326,0.3086418793585316
elimination,caregiver,caregiver_full,elimination__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_calibrated_regularized,isotonic,max_f1_precision_guard,0.62,0.02988524554237625,0.029487449009540125,0.014666027540442259,0.004849413723945362
elimination,psychologist,psychologist_1_3,elimination__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_calibrated_regularized,isotonic,f1_ba_conservative,0.7629906025428413,0.028231418228411347,0.031089486969279757,0.006705892069888387,0.010247249215788037
elimination,psychologist,psychologist_2_3,elimination__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_calibrated_regularized,none,f1_ba_conservative,0.8799999999999999,0.03580105918463901,0.03625781718024713,0.043951087184187346,0.043886055551538954
elimination,psychologist,psychologist_full,elimination__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_calibrated_regularized,isotonic,recall_target_guard,0.6799999999999999,0.03225293329381482,0.029570457099249485,0.02320945847213955,0.011688232346174126
