mode,role,domain,winner_feature_set_id,winner_config_id,winner_seed,calibration,threshold_policy,threshold,policy_score,is_selected_policy,val_precision,val_recall,val_balanced_accuracy,val_pr_auc,val_brier,holdout_precision,holdout_recall,holdout_balanced_accuracy,holdout_pr_auc,holdout_brier
caregiver_2_3,caregiver,elimination,precision_oriented_subset,rf_recall_guard,20260513,isotonic,precision_oriented,0.25499999999999995,0.9840331684850017,no,0.9807692307692307,0.9807692307692307,0.9892163910855499,0.9952979712595097,0.003437500000970833,0.9615384615384616,0.9615384615384616,0.9784327821711,0.9745323800251808,0.00600145350535929
caregiver_2_3,caregiver,elimination,precision_oriented_subset,rf_recall_guard,20260513,isotonic,recall_constrained,0.25499999999999995,0.9840804800878489,no,0.9807692307692307,0.9807692307692307,0.9892163910855499,0.9952979712595097,0.003437500000970833,0.9615384615384616,0.9615384615384616,0.9784327821711,0.9745323800251808,0.00600145350535929
caregiver_full,caregiver,adhd,top_importance_filtered,rf_precision_push,20260412,isotonic,balanced,0.05,0.919123652322696,no,0.7642276422764228,1.0,0.9624352331606217,0.7965907847311213,0.04431388070097827,0.7692307692307693,0.9574468085106383,0.9437493109910704,0.7682683726908224,0.053526811538877436
caregiver_full,caregiver,adhd,top_importance_filtered,rf_precision_push,20260412,isotonic,default_0_5,0.5,0.8582528639198596,yes,0.775,0.9893617021276596,0.959706757799581,0.7965907847311213,0.04431388070097827,0.7699115044247787,0.925531914893617,0.9290872009701245,0.7682683726908224,0.053526811538877436
caregiver_full,caregiver,adhd,top_importance_filtered,rf_precision_push,20260412,isotonic,precision_oriented,0.33499999999999996,0.827987046741872,no,0.775,0.9893617021276596,0.959706757799581,0.7965907847311213,0.04431388070097827,0.7631578947368421,0.925531914893617,0.9277918641825598,0.7682683726908224,0.053526811538877436
caregiver_full,caregiver,adhd,top_importance_filtered,rf_precision_push,20260412,isotonic,recall_constrained,0.33499999999999996,0.8606669056145518,no,0.775,0.9893617021276596,0.959706757799581,0.7965907847311213,0.04431388070097827,0.7631578947368421,0.925531914893617,0.9277918641825598,0.7682683726908224,0.053526811538877436
caregiver_full,caregiver,anxiety,precision_oriented_subset,rf_precision_push,20260429,sigmoid,balanced,0.235,0.951984917050523,no,0.8842105263157894,0.9767441860465116,0.9744127021603116,0.9764435245196501,0.022279894640639786,0.8936170212765957,0.9767441860465116,0.9756817376933066,0.9571307953536649,0.020586584402355848
caregiver_full,caregiver,anxiety,precision_oriented_subset,rf_precision_push,20260429,sigmoid,default_0_5,0.5,0.9490116916482617,no,0.9404761904761905,0.9186046511627907,0.9529571479164207,0.9764435245196501,0.022279894640639786,0.9411764705882353,0.9302325581395349,0.9587711014047928,0.9571307953536649,0.020586584402355848
caregiver_full,caregiver,anxiety,precision_oriented_subset,rf_precision_push,20260429,sigmoid,precision_oriented,0.49499999999999994,0.9477000376110893,yes,0.9411764705882353,0.9302325581395349,0.9587711014047928,0.9764435245196501,0.022279894640639786,0.9418604651162791,0.9418604651162791,0.9645850548931649,0.9571307953536649,0.020586584402355848
caregiver_full,caregiver,anxiety,precision_oriented_subset,rf_precision_push,20260429,sigmoid,recall_constrained,0.49499999999999994,0.9463852122712794,no,0.9411764705882353,0.9302325581395349,0.9587711014047928,0.9764435245196501,0.022279894640639786,0.9418604651162791,0.9418604651162791,0.9645850548931649,0.9571307953536649,0.020586584402355848
caregiver_full,caregiver,conduct,precision_oriented_subset,rf_precision_push,20260412,isotonic,balanced,0.05,1.0,yes,1.0,1.0,1.0,1.0,1.0000000000383407e-12,0.9814814814814815,1.0,0.9953271028037383,1.0,0.0012183968777585486
caregiver_full,caregiver,conduct,precision_oriented_subset,rf_precision_push,20260412,isotonic,default_0_5,0.5,0.99999999999994,no,1.0,1.0,1.0,1.0,1.0000000000383407e-12,0.99375,1.0,0.9984423676012462,1.0,0.0012183968777585486
caregiver_full,caregiver,conduct,precision_oriented_subset,rf_precision_push,20260412,isotonic,precision_oriented,0.05,1.0,no,1.0,1.0,1.0,1.0,1.0000000000383407e-12,0.9814814814814815,1.0,0.9953271028037383,1.0,0.0012183968777585486
caregiver_full,caregiver,conduct,precision_oriented_subset,rf_precision_push,20260412,isotonic,recall_constrained,0.05,0.9999999999999999,no,1.0,1.0,1.0,1.0,1.0000000000383407e-12,0.9814814814814815,1.0,0.9953271028037383,1.0,0.0012183968777585486
caregiver_full,caregiver,depression,full_eligible,rf_precision_push,20260412,none,balanced,0.30499999999999994,0.9247382991417342,no,0.8735632183908046,0.926829268292683,0.9495955386689545,0.9618079539053066,0.02771805107631627,0.7790697674418605,0.8170731707317073,0.8846672386321852,0.8699765906318093,0.05093172225792724
caregiver_full,caregiver,depression,full_eligible,rf_precision_push,20260412,none,default_0_5,0.5,0.927018307330694,no,0.9444444444444444,0.8292682926829268,0.9096090207133227,0.9618079539053066,0.02771805107631627,0.8378378378378378,0.7560975609756098,0.8629734036033827,0.8699765906318093,0.05093172225792724
