mode,role,domain,winner_feature_set_id,winner_config_id,winner_calibration,winner_threshold_policy,winner_threshold,winner_seed,n_features,top_features,selection_score,ceiling_status,material_improvement_vs_baseline,overfit_warning
caregiver_full,caregiver,adhd,top_importance_filtered,rf_precision_push,isotonic,default_0_5,0.5,20260412,118,adhd_inattention_symptom_count|adhd_hyperimpulsive_symptom_count|adhd_onset_before_12|sdq_total_difficulties|sdq_hyperactivity_inattention|swan_total,0.797444848608563,marginal_room_left,yes,yes
caregiver_full,caregiver,anxiety,precision_oriented_subset,rf_precision_push,sigmoid,precision_oriented,0.49499999999999994,20260429,68,scared_p_total|scared_p_separation_anxiety|mfq_p_total|sep_anx_symptom_count|sep_anx_impairment|scared_p_panic_somatic,0.8918700746648583,marginal_room_left,yes,no
caregiver_full,caregiver,conduct,precision_oriented_subset,rf_precision_push,isotonic,balanced,0.05,20260412,68,conduct_impairment_global|conduct_symptom_count_12m|conduct_aggression_count|conduct_recent_6m_count|ari_p_symptom_total|icut_total,0.93999999999994,marginal_room_left,yes,no
caregiver_full,caregiver,depression,full_eligible,rf_precision_push,none,precision_oriented,0.615,20260412,169,mdd_symptom_count|mdd_impairment|mdd_duration_weeks|pdd_symptom_count|mfq_p_total|mdd_core_symptom_met,0.8783317135660313,marginal_room_left,yes,yes
caregiver_full,caregiver,elimination,precision_oriented_subset,rf_recall_guard,isotonic,recall_constrained,0.25499999999999995,20260412,68,enuresis_distress_impairment|enuresis_event_frequency_per_week|enuresis_duration_months_consecutive|enuresis_nocturnal|enuresis_primary_course|encopresis_event_frequency_per_month,0.9251353181859623,marginal_room_left,yes,no
psychologist_1_3,psychologist,adhd,full_eligible,rf_balanced_subsample,isotonic,recall_constrained,0.27499999999999997,20260513,71,adhd_inattention_symptom_count|adhd_hyperimpulsive_symptom_count|conduct_aggression_count|conduct_symptom_count_12m|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_09_forgetful_daily_activities,0.7287890866367366,marginal_room_left,yes,yes
psychologist_1_3,psychologist,anxiety,balanced_subset,rf_large_subsample,isotonic,precision_oriented,0.565,20260513,39,sep_anx_symptom_count|mdd_symptom_count|gad_difficulty_controlling_worry|gad_excessive_worry_multiple_areas|sep_anx_07_separation_nightmares|sep_anx_01_distress_on_separation,0.8644324739518576,ceiling_reached,no,no
psychologist_1_3,psychologist,conduct,full_eligible,rf_recall_guard,isotonic,recall_constrained,0.33499999999999996,20260513,71,conduct_aggression_count|conduct_symptom_count_12m|conduct_recent_6m_count|conduct_serious_rule_violation_count|conduct_deceit_theft_count|adhd_inattention_symptom_count,0.8667460129302467,ceiling_reached,no,yes
psychologist_1_3,psychologist,depression,full_eligible,rf_large_subsample,isotonic,recall_constrained,0.33499999999999996,20260412,71,mdd_symptom_count|mdd_core_symptom_met|mdd_02_loss_of_interest_or_pleasure|mdd_01_depressed_or_irritable_mood|mdd_07_worthlessness_or_excessive_guilt|mdd_05_psychomotor_change,0.8282779110792269,ceiling_reached,no,yes
psychologist_1_3,psychologist,elimination,precision_oriented_subset,rf_precision_push,isotonic,recall_constrained,0.37999999999999995,20260513,28,enuresis_event_frequency_per_week|encopresis_event_frequency_per_month|sep_anx_symptom_count|adhd_inatt_07_loses_things|social_anxiety_almost_always_triggered|sep_anx_08_physical_complaints_on_separation,0.8470114555758135,marginal_room_left,yes,no
psychologist_2_3,psychologist,adhd,top_importance_filtered,rf_precision_push,isotonic,default_0_5,0.5,20260412,95,adhd_inattention_symptom_count|adhd_hyperimpulsive_symptom_count|adhd_onset_before_12|sdq_total_difficulties|sdq_hyperactivity_inattention|sdq_peer_problems,0.7854669947532569,marginal_room_left,yes,yes
psychologist_2_3,psychologist,anxiety,balanced_subset,rf_precision_push,isotonic,precision_oriented,0.5049999999999999,20260429,75,scared_p_separation_anxiety|mfq_p_total|sep_anx_symptom_count|scared_p_panic_somatic|sep_anx_impairment|scared_p_generalized_anxiety,0.8940885631204998,marginal_room_left,yes,no
psychologist_2_3,psychologist,conduct,precision_oriented_subset,rf_precision_push,isotonic,balanced,0.05,20260412,54,conduct_impairment_global|conduct_aggression_count|conduct_symptom_count_12m|conduct_recent_6m_count|ari_p_symptom_total|conduct_serious_rule_violation_count,0.93999999999994,ceiling_reached,no,no
psychologist_2_3,psychologist,depression,top_importance_filtered,rf_precision_push,isotonic,precision_oriented,0.42999999999999994,20260513,95,mdd_symptom_count|mdd_impairment|mfq_p_total|mdd_duration_weeks|mdd_core_symptom_met|pdd_duration_months_child,0.8759386647904549,marginal_room_left,yes,yes
psychologist_2_3,psychologist,elimination,compact_robust_subset,rf_baseline,isotonic,precision_oriented,0.5049999999999999,20260513,61,enuresis_distress_impairment|enuresis_event_frequency_per_week|enuresis_duration_months_consecutive|encopresis_event_frequency_per_month|encopresis_duration_months_consecutive|age_years,0.9233137057195533,marginal_room_left,yes,yes
psychologist_full,psychologist,adhd,balanced_subset,rf_precision_push,isotonic,balanced,0.05,20260429,111,adhd_inattention_symptom_count|adhd_not_better_explained_other_mental|adhd_hyperimpulsive_symptom_count|adhd_onset_before_12|sdq_total_difficulties|swan_inattention_total,0.9297483601800589,marginal_room_left,yes,no
psychologist_full,psychologist,anxiety,balanced_subset,rf_precision_push,none,recall_constrained,0.585,20260412,111,scared_p_separation_anxiety|mfq_p_total|sep_anx_symptom_count|scared_p_panic_somatic|sep_anx_impairment|scared_p_school_avoidance,0.8839227757431237,marginal_room_left,yes,no
psychologist_full,psychologist,conduct,precision_oriented_subset,rf_precision_push,isotonic,balanced,0.05,20260412,81,conduct_impairment_global|conduct_aggression_count|conduct_symptom_count_12m|conduct_recent_6m_count|ari_p_symptom_total|ari_sr_symptom_total,0.93999999999994,marginal_room_left,yes,no
psychologist_full,psychologist,depression,top_importance_filtered,rf_precision_push,none,precision_oriented,0.6599999999999999,20260513,141,mdd_symptom_count|mdd_impairment|mdd_duration_weeks|mfq_p_total|pdd_symptom_count|pdd_duration_months_child,0.881291492449732,marginal_room_left,yes,yes
psychologist_full,psychologist,elimination,precision_oriented_subset,rf_recall_guard,isotonic,recall_constrained,0.4049999999999999,20260429,81,enuresis_distress_impairment|enuresis_event_frequency_per_week|enuresis_duration_months_consecutive|enuresis_primary_course|enuresis_nocturnal|encopresis_event_frequency_per_month,0.922021197853746,marginal_room_left,yes,no
