mode,domain,feature_set_id,config_id,seed,calibration_method,val_brier,val_ece,stage,val_precision_at_0_5,val_recall_at_0_5,val_balanced_accuracy_at_0_5,holdout_precision_at_0_5,holdout_recall_at_0_5,holdout_balanced_accuracy_at_0_5
psychologist_1_3,adhd,balanced_subset,rf_regularized,20260712,isotonic,0.06887466931286723,6.979166666670862e-07,stage2,,,,,,
psychologist_1_3,adhd,balanced_subset,rf_regularized,20260729,none,0.08246361994969671,0.061142020311127185,stage2,,,,,,
psychologist_1_3,adhd,balanced_subset,rf_regularized,20260729,sigmoid,0.08059065340966928,0.06118989534916794,stage2,,,,,,
psychologist_1_3,adhd,balanced_subset,rf_regularized,20260729,isotonic,0.07022204715288796,6.937500000278797e-07,stage2,,,,,,
psychologist_1_3,adhd,full_eligible,rf_baseline,20260712,none,0.08041654029897044,0.04393002690496234,stage2,,,,,,
psychologist_1_3,adhd,full_eligible,rf_baseline,20260712,sigmoid,0.08569644531272323,0.07242991430665123,stage2,,,,,,
psychologist_1_3,adhd,full_eligible,rf_baseline,20260712,isotonic,0.07020375188452332,6.937500000275843e-07,stage2,,,,,,
psychologist_1_3,adhd,full_eligible,rf_baseline,20260729,none,0.07868956184149777,0.054685568783569845,stage2,,,,,,
psychologist_1_3,adhd,full_eligible,rf_baseline,20260729,sigmoid,0.08358718945701708,0.06366234611593005,stage2,,,,,,
psychologist_1_3,adhd,full_eligible,rf_baseline,20260729,isotonic,0.06887117427168418,6.937500000279868e-07,stage2,,,,,,
psychologist_1_3,adhd,full_eligible,rf_baseline,20260729,none,0.07868956184149777,0.054685568783569845,winner_eval,0.6132075471698113,0.6914893617021277,0.7926358725609084,0.6666666666666666,0.723404255319149,0.8176606768823724
psychologist_1_3,adhd,full_eligible,rf_baseline,20260729,sigmoid,0.08358718945701708,0.06366234611593005,winner_eval,0.6444444444444445,0.6170212765957447,0.7670598610957998,0.675,0.574468085106383,0.7535552860765076
