route,domain,feature,in_contract,mode
B,anxiety,cbcl_013,yes,imputed
C,anxiety,cbcl_013,yes,direct
A,anxiety,cbcl_014,no,missing_structural
B,anxiety,cbcl_014,yes,imputed
C,anxiety,cbcl_014,yes,direct
A,anxiety,cbcl_015,no,missing_structural
B,anxiety,cbcl_015,yes,imputed
C,anxiety,cbcl_015,yes,direct
A,anxiety,cbcl_016,no,missing_structural
B,anxiety,cbcl_016,yes,imputed
C,anxiety,cbcl_016,yes,direct
A,anxiety,cbcl_017,no,missing_structural
B,anxiety,cbcl_017,yes,imputed
C,anxiety,cbcl_017,yes,direct
A,anxiety,cbcl_018,no,missing_structural
B,anxiety,cbcl_018,yes,imputed
C,anxiety,cbcl_018,yes,direct
A,anxiety,cbcl_019,no,missing_structural
B,anxiety,cbcl_019,yes,imputed
C,anxiety,cbcl_019,yes,direct
A,anxiety,cbcl_020,no,missing_structural
B,anxiety,cbcl_020,yes,imputed
C,anxiety,cbcl_020,yes,direct
A,anxiety,cbcl_021,no,missing_structural
B,anxiety,cbcl_021,yes,imputed
C,anxiety,cbcl_021,yes,direct
A,anxiety,cbcl_022,no,missing_structural
B,anxiety,cbcl_022,yes,imputed
C,anxiety,cbcl_022,yes,direct
A,anxiety,cbcl_023,no,missing_structural
B,anxiety,cbcl_023,yes,imputed
C,anxiety,cbcl_023,yes,direct
A,anxiety,cbcl_024,no,missing_structural
B,anxiety,cbcl_024,yes,imputed
C,anxiety,cbcl_024,yes,direct
A,anxiety,cbcl_025,yes,direct
B,anxiety,cbcl_025,yes,direct
C,anxiety,cbcl_025,yes,direct
A,anxiety,cbcl_026,no,missing_structural
B,anxiety,cbcl_026,yes,imputed
C,anxiety,cbcl_026,yes,direct
A,anxiety,cbcl_027,no,missing_structural
B,anxiety,cbcl_027,yes,imputed
C,anxiety,cbcl_027,yes,direct
A,anxiety,cbcl_028,no,missing_structural
B,anxiety,cbcl_028,yes,imputed
C,anxiety,cbcl_028,yes,direct
A,anxiety,cbcl_029,no,missing_structural
B,anxiety,cbcl_029,yes,imputed
C,anxiety,cbcl_029,yes,direct
A,anxiety,cbcl_030,no,missing_structural
B,anxiety,cbcl_030,yes,imputed
C,anxiety,cbcl_030,yes,direct
A,anxiety,cbcl_031,no,missing_structural
B,anxiety,cbcl_031,yes,imputed
C,anxiety,cbcl_031,yes,direct
A,anxiety,cbcl_032,no,missing_structural
B,anxiety,cbcl_032,yes,imputed
C,anxiety,cbcl_032,yes,direct
A,anxiety,cbcl_033,no,missing_structural
B,anxiety,cbcl_033,yes,imputed
C,anxiety,cbcl_033,yes,direct
A,anxiety,cbcl_034,no,missing_structural
B,anxiety,cbcl_034,yes,imputed
C,anxiety,cbcl_034,yes,direct
A,anxiety,cbcl_035,no,missing_structural
B,anxiety,cbcl_035,yes,imputed
C,anxiety,cbcl_035,yes,direct
A,anxiety,cbcl_036,no,missing_structural
B,anxiety,cbcl_036,yes,imputed
C,anxiety,cbcl_036,yes,direct
A,anxiety,cbcl_037,no,missing_structural
B,anxiety,cbcl_037,yes,imputed
C,anxiety,cbcl_037,yes,direct
A,anxiety,cbcl_038,no,missing_structural
B,anxiety,cbcl_038,yes,imputed
C,anxiety,cbcl_038,yes,direct
A,anxiety,cbcl_039,no,missing_structural
B,anxiety,cbcl_039,yes,imputed
C,anxiety,cbcl_039,yes,direct
A,anxiety,cbcl_040,no,missing_structural
B,anxiety,cbcl_040,yes,imputed
C,anxiety,cbcl_040,yes,direct
A,anxiety,cbcl_041,no,missing_structural
B,anxiety,cbcl_041,yes,imputed
C,anxiety,cbcl_041,yes,direct
A,anxiety,cbcl_042,no,missing_structural
B,anxiety,cbcl_042,yes,imputed
C,anxiety,cbcl_042,yes,direct
A,anxiety,cbcl_043,no,missing_structural
B,anxiety,cbcl_043,yes,imputed
C,anxiety,cbcl_043,yes,direct
A,anxiety,cbcl_044,no,missing_structural
B,anxiety,cbcl_044,yes,imputed
C,anxiety,cbcl_044,yes,direct
A,anxiety,cbcl_045,no,missing_structural
B,anxiety,cbcl_045,yes,imputed
C,anxiety,cbcl_045,yes,direct
A,anxiety,cbcl_046,no,missing_structural
B,anxiety,cbcl_046,yes,imputed
C,anxiety,cbcl_046,yes,direct
A,anxiety,cbcl_047,no,missing_structural
B,anxiety,cbcl_047,yes,imputed
C,anxiety,cbcl_047,yes,direct
A,anxiety,cbcl_048,no,missing_structural
B,anxiety,cbcl_048,yes,imputed
C,anxiety,cbcl_048,yes,direct
A,anxiety,cbcl_049,no,missing_structural
B,anxiety,cbcl_049,yes,imputed
C,anxiety,cbcl_049,yes,direct
A,anxiety,cbcl_050,no,missing_structural
B,anxiety,cbcl_050,yes,imputed
C,anxiety,cbcl_050,yes,direct
A,anxiety,cbcl_051,no,missing_structural
B,anxiety,cbcl_051,yes,imputed
C,anxiety,cbcl_051,yes,direct
A,anxiety,cbcl_052,no,missing_structural
B,anxiety,cbcl_052,yes,imputed
C,anxiety,cbcl_052,yes,direct
A,anxiety,cbcl_053,no,missing_structural
B,anxiety,cbcl_053,yes,imputed
C,anxiety,cbcl_053,yes,direct
A,anxiety,cbcl_054,no,missing_structural
B,anxiety,cbcl_054,yes,imputed
C,anxiety,cbcl_054,yes,direct
A,anxiety,cbcl_055,no,missing_structural
B,anxiety,cbcl_055,yes,imputed
C,anxiety,cbcl_055,yes,direct
A,anxiety,cbcl_056,no,missing_structural
B,anxiety,cbcl_056,yes,imputed
C,anxiety,cbcl_056,yes,direct
A,anxiety,cbcl_057,yes,direct
B,anxiety,cbcl_057,yes,direct
C,anxiety,cbcl_057,yes,direct
A,anxiety,cbcl_058,yes,direct
B,anxiety,cbcl_058,yes,direct
C,anxiety,cbcl_058,yes,direct
A,anxiety,cbcl_059,no,missing_structural
B,anxiety,cbcl_059,yes,imputed
C,anxiety,cbcl_059,yes,direct
A,anxiety,cbcl_060,yes,direct
B,anxiety,cbcl_060,yes,direct
C,anxiety,cbcl_060,yes,direct
A,anxiety,cbcl_061,yes,direct
B,anxiety,cbcl_061,yes,direct
C,anxiety,cbcl_061,yes,direct
A,anxiety,cbcl_062,yes,direct
B,anxiety,cbcl_062,yes,direct
C,anxiety,cbcl_062,yes,direct
A,anxiety,cbcl_063,yes,direct
B,anxiety,cbcl_063,yes,direct
C,anxiety,cbcl_063,yes,direct
A,anxiety,cbcl_064,yes,direct
B,anxiety,cbcl_064,yes,direct
C,anxiety,cbcl_064,yes,direct
A,anxiety,cbcl_065,yes,direct
B,anxiety,cbcl_065,yes,direct
C,anxiety,cbcl_065,yes,direct
A,anxiety,cbcl_066,yes,direct
B,anxiety,cbcl_066,yes,direct
C,anxiety,cbcl_066,yes,direct
A,anxiety,cbcl_067,no,missing_structural
B,anxiety,cbcl_067,yes,imputed
C,anxiety,cbcl_067,yes,direct
A,anxiety,cbcl_068,no,missing_structural
B,anxiety,cbcl_068,yes,imputed
C,anxiety,cbcl_068,yes,direct
A,anxiety,cbcl_069,no,missing_structural
B,anxiety,cbcl_069,yes,imputed
C,anxiety,cbcl_069,yes,direct
A,anxiety,cbcl_070,yes,direct
B,anxiety,cbcl_070,yes,direct
C,anxiety,cbcl_070,yes,direct
A,anxiety,cbcl_071,no,missing_structural
B,anxiety,cbcl_071,yes,imputed
C,anxiety,cbcl_071,yes,direct
A,anxiety,cbcl_072,no,missing_structural
B,anxiety,cbcl_072,yes,imputed
C,anxiety,cbcl_072,yes,direct
A,anxiety,cbcl_073,no,missing_structural
B,anxiety,cbcl_073,yes,imputed
C,anxiety,cbcl_073,yes,direct
A,anxiety,cbcl_074,no,missing_structural
B,anxiety,cbcl_074,yes,imputed
C,anxiety,cbcl_074,yes,direct
A,anxiety,cbcl_075,no,missing_structural
B,anxiety,cbcl_075,yes,imputed
C,anxiety,cbcl_075,yes,direct
A,anxiety,cbcl_076,no,missing_structural
B,anxiety,cbcl_076,yes,imputed
C,anxiety,cbcl_076,yes,direct
A,anxiety,cbcl_077,no,missing_structural
B,anxiety,cbcl_077,yes,imputed
C,anxiety,cbcl_077,yes,direct
A,anxiety,cbcl_078,no,missing_structural
B,anxiety,cbcl_078,yes,imputed
C,anxiety,cbcl_078,yes,direct
A,anxiety,cbcl_079,no,missing_structural
B,anxiety,cbcl_079,yes,imputed
C,anxiety,cbcl_079,yes,direct
A,anxiety,cbcl_080,no,missing_structural
B,anxiety,cbcl_080,yes,imputed
C,anxiety,cbcl_080,yes,direct
A,anxiety,cbcl_081,no,missing_structural
B,anxiety,cbcl_081,yes,imputed
C,anxiety,cbcl_081,yes,direct
A,anxiety,cbcl_082,no,missing_structural
B,anxiety,cbcl_082,yes,imputed
C,anxiety,cbcl_082,yes,direct
A,anxiety,cbcl_083,no,missing_structural
B,anxiety,cbcl_083,yes,imputed
C,anxiety,cbcl_083,yes,direct
A,anxiety,cbcl_084,no,missing_structural
B,anxiety,cbcl_084,yes,imputed
C,anxiety,cbcl_084,yes,direct
A,anxiety,cbcl_085,no,missing_structural
B,anxiety,cbcl_085,yes,imputed
C,anxiety,cbcl_085,yes,direct
A,anxiety,cbcl_086,no,missing_structural
B,anxiety,cbcl_086,yes,imputed
C,anxiety,cbcl_086,yes,direct
A,anxiety,cbcl_087,no,missing_structural
B,anxiety,cbcl_087,yes,imputed
C,anxiety,cbcl_087,yes,direct
A,anxiety,cbcl_088,no,missing_structural
B,anxiety,cbcl_088,yes,imputed
C,anxiety,cbcl_088,yes,direct
A,anxiety,cbcl_089,no,missing_structural
B,anxiety,cbcl_089,yes,imputed
C,anxiety,cbcl_089,yes,direct
A,anxiety,cbcl_090,no,missing_structural
B,anxiety,cbcl_090,yes,imputed
C,anxiety,cbcl_090,yes,direct
A,anxiety,cbcl_091,no,missing_structural
B,anxiety,cbcl_091,yes,imputed
C,anxiety,cbcl_091,yes,direct
A,anxiety,cbcl_092,no,missing_structural
B,anxiety,cbcl_092,yes,imputed
C,anxiety,cbcl_092,yes,direct
A,anxiety,cbcl_093,no,missing_structural
B,anxiety,cbcl_093,yes,imputed
C,anxiety,cbcl_093,yes,direct
A,anxiety,cbcl_094,no,missing_structural
B,anxiety,cbcl_094,yes,imputed
C,anxiety,cbcl_094,yes,direct
A,anxiety,cbcl_095,no,missing_structural
B,anxiety,cbcl_095,yes,imputed
C,anxiety,cbcl_095,yes,direct
A,anxiety,cbcl_096,no,missing_structural
B,anxiety,cbcl_096,yes,imputed
C,anxiety,cbcl_096,yes,direct
A,anxiety,cbcl_097,no,missing_structural
B,anxiety,cbcl_097,yes,imputed
C,anxiety,cbcl_097,yes,direct
A,anxiety,cbcl_098,no,missing_structural
B,anxiety,cbcl_098,yes,imputed
C,anxiety,cbcl_098,yes,direct
A,anxiety,cbcl_099,no,missing_structural
B,anxiety,cbcl_099,yes,imputed
C,anxiety,cbcl_099,yes,direct
A,anxiety,cbcl_100,no,missing_structural
B,anxiety,cbcl_100,yes,imputed
C,anxiety,cbcl_100,yes,direct
A,anxiety,cbcl_101,no,missing_structural
B,anxiety,cbcl_101,yes,imputed
C,anxiety,cbcl_101,yes,direct
A,anxiety,cbcl_102,no,missing_structural
B,anxiety,cbcl_102,yes,imputed
C,anxiety,cbcl_102,yes,direct
A,anxiety,cbcl_103,no,missing_structural
B,anxiety,cbcl_103,yes,imputed
C,anxiety,cbcl_103,yes,direct
A,anxiety,cbcl_104,no,missing_structural
B,anxiety,cbcl_104,yes,imputed
C,anxiety,cbcl_104,yes,direct
A,anxiety,cbcl_105,no,missing_structural
B,anxiety,cbcl_105,yes,imputed
C,anxiety,cbcl_105,yes,direct
A,anxiety,cbcl_106,no,missing_structural
B,anxiety,cbcl_106,yes,imputed
C,anxiety,cbcl_106,yes,direct
A,anxiety,cbcl_107,no,missing_structural
B,anxiety,cbcl_107,yes,imputed
C,anxiety,cbcl_107,yes,direct
A,anxiety,cbcl_108,no,missing_structural
B,anxiety,cbcl_108,yes,imputed
C,anxiety,cbcl_108,yes,direct
A,anxiety,cbcl_109,no,missing_structural
B,anxiety,cbcl_109,yes,imputed
C,anxiety,cbcl_109,yes,direct
A,anxiety,cbcl_110,no,missing_structural
B,anxiety,cbcl_110,yes,imputed
C,anxiety,cbcl_110,yes,direct
A,anxiety,cbcl_111,no,missing_structural
B,anxiety,cbcl_111,yes,imputed
C,anxiety,cbcl_111,yes,direct
A,anxiety,cbcl_112,no,missing_structural
B,anxiety,cbcl_112,yes,imputed
C,anxiety,cbcl_112,yes,direct
A,anxiety,cbcl_113,no,missing_structural
B,anxiety,cbcl_113,yes,imputed
C,anxiety,cbcl_113,yes,direct
A,anxiety,cbcl_114,no,missing_structural
B,anxiety,cbcl_114,yes,imputed
C,anxiety,cbcl_114,yes,direct
A,anxiety,cbcl_115,no,missing_structural
B,anxiety,cbcl_115,yes,imputed
C,anxiety,cbcl_115,yes,direct
A,anxiety,cbcl_116,no,missing_structural
B,anxiety,cbcl_116,yes,imputed
C,anxiety,cbcl_116,yes,direct
A,anxiety,cbcl_117,no,missing_structural
B,anxiety,cbcl_117,yes,imputed
C,anxiety,cbcl_117,yes,direct
A,anxiety,cbcl_118,no,missing_structural
B,anxiety,cbcl_118,yes,imputed
C,anxiety,cbcl_118,yes,direct
A,anxiety,cbcl_aggressive_behavior_proxy,yes,direct
B,anxiety,cbcl_aggressive_behavior_proxy,yes,direct
C,anxiety,cbcl_aggressive_behavior_proxy,yes,direct
A,anxiety,cbcl_anxious_depressed_proxy,yes,direct
B,anxiety,cbcl_anxious_depressed_proxy,yes,direct
C,anxiety,cbcl_anxious_depressed_proxy,yes,direct
A,anxiety,cbcl_attention_problems_proxy,yes,direct
B,anxiety,cbcl_attention_problems_proxy,yes,direct
C,anxiety,cbcl_attention_problems_proxy,yes,direct
A,anxiety,cbcl_externalizing_proxy,yes,direct
B,anxiety,cbcl_externalizing_proxy,yes,direct
C,anxiety,cbcl_externalizing_proxy,yes,direct
A,anxiety,cbcl_internalizing_proxy,yes,direct
B,anxiety,cbcl_internalizing_proxy,yes,direct
C,anxiety,cbcl_internalizing_proxy,yes,direct
A,anxiety,cbcl_rule_breaking_proxy,yes,direct
B,anxiety,cbcl_rule_breaking_proxy,yes,direct
C,anxiety,cbcl_rule_breaking_proxy,yes,direct
A,anxiety,has_sdq,no,missing_structural
B,anxiety,has_sdq,yes,imputed
C,anxiety,has_sdq,yes,direct
A,anxiety,sdq_01,no,missing_structural
B,anxiety,sdq_01,yes,imputed
C,anxiety,sdq_01,yes,direct
A,anxiety,sdq_02,no,missing_structural
B,anxiety,sdq_02,yes,imputed
C,anxiety,sdq_02,yes,direct
A,anxiety,sdq_03,no,missing_structural
B,anxiety,sdq_03,yes,imputed
C,anxiety,sdq_03,yes,direct
A,anxiety,sdq_04,no,missing_structural
B,anxiety,sdq_04,yes,imputed
C,anxiety,sdq_04,yes,direct
A,anxiety,sdq_05,no,missing_structural
B,anxiety,sdq_05,yes,imputed
C,anxiety,sdq_05,yes,direct
A,anxiety,sdq_06,no,missing_structural
B,anxiety,sdq_06,yes,imputed
C,anxiety,sdq_06,yes,direct
A,anxiety,sdq_07,no,missing_structural
B,anxiety,sdq_07,yes,imputed
C,anxiety,sdq_07,yes,direct
A,anxiety,sdq_08,no,missing_structural
B,anxiety,sdq_08,yes,imputed
C,anxiety,sdq_08,yes,direct
A,anxiety,sdq_09,no,missing_structural
B,anxiety,sdq_09,yes,imputed
C,anxiety,sdq_09,yes,direct
A,anxiety,sdq_10,no,missing_structural
B,anxiety,sdq_10,yes,imputed
C,anxiety,sdq_10,yes,direct
A,anxiety,sdq_11,no,missing_structural
B,anxiety,sdq_11,yes,imputed
C,anxiety,sdq_11,yes,direct
A,anxiety,sdq_12,no,missing_structural
B,anxiety,sdq_12,yes,imputed
C,anxiety,sdq_12,yes,direct
A,anxiety,sdq_13,no,missing_structural
B,anxiety,sdq_13,yes,imputed
C,anxiety,sdq_13,yes,direct
A,anxiety,sdq_14,no,missing_structural
B,anxiety,sdq_14,yes,imputed
C,anxiety,sdq_14,yes,direct
A,anxiety,sdq_15,no,missing_structural
B,anxiety,sdq_15,yes,imputed
C,anxiety,sdq_15,yes,direct
A,anxiety,sdq_16,no,missing_structural
B,anxiety,sdq_16,yes,imputed
C,anxiety,sdq_16,yes,direct
A,anxiety,sdq_17,no,missing_structural
B,anxiety,sdq_17,yes,imputed
C,anxiety,sdq_17,yes,direct
A,anxiety,sdq_18,no,missing_structural
B,anxiety,sdq_18,yes,imputed
C,anxiety,sdq_18,yes,direct
A,anxiety,sdq_19,no,missing_structural
B,anxiety,sdq_19,yes,imputed
C,anxiety,sdq_19,yes,direct
A,anxiety,sdq_20,no,missing_structural
B,anxiety,sdq_20,yes,imputed
C,anxiety,sdq_20,yes,direct
A,anxiety,sdq_21,no,missing_structural
B,anxiety,sdq_21,yes,imputed
C,anxiety,sdq_21,yes,direct
A,anxiety,sdq_22,no,missing_structural
B,anxiety,sdq_22,yes,imputed
C,anxiety,sdq_22,yes,direct
A,anxiety,sdq_23,no,missing_structural
B,anxiety,sdq_23,yes,imputed
C,anxiety,sdq_23,yes,direct
A,anxiety,sdq_24,no,missing_structural
B,anxiety,sdq_24,yes,imputed
C,anxiety,sdq_24,yes,direct
A,anxiety,sdq_25,no,missing_structural
B,anxiety,sdq_25,yes,imputed
C,anxiety,sdq_25,yes,direct
A,anxiety,sdq_conduct_problems,yes,direct
B,anxiety,sdq_conduct_problems,yes,direct
C,anxiety,sdq_conduct_problems,yes,direct
A,anxiety,sdq_emotional_symptoms,yes,direct
B,anxiety,sdq_emotional_symptoms,yes,direct
C,anxiety,sdq_emotional_symptoms,yes,direct
A,anxiety,sdq_hyperactivity_inattention,yes,direct
B,anxiety,sdq_hyperactivity_inattention,yes,direct
C,anxiety,sdq_hyperactivity_inattention,yes,direct
A,anxiety,sdq_impact,yes,direct
B,anxiety,sdq_impact,yes,direct
C,anxiety,sdq_impact,yes,direct
A,anxiety,sdq_peer_problems,yes,direct
B,anxiety,sdq_peer_problems,yes,direct
C,anxiety,sdq_peer_problems,yes,direct
A,anxiety,sdq_prosocial_behavior,yes,direct
B,anxiety,sdq_prosocial_behavior,yes,direct
C,anxiety,sdq_prosocial_behavior,yes,direct
A,anxiety,sdq_total_difficulties,yes,direct
B,anxiety,sdq_total_difficulties,yes,direct
C,anxiety,sdq_total_difficulties,yes,direct
A,depression,cbcl_internalizing_proxy,yes,direct
B,depression,cbcl_internalizing_proxy,yes,direct
C,depression,cbcl_internalizing_proxy,yes,direct
A,depression,cbcl_anxious_depressed_proxy,yes,direct
B,depression,cbcl_anxious_depressed_proxy,yes,direct
C,depression,cbcl_anxious_depressed_proxy,yes,direct
A,depression,mfq_p_total,yes,direct
B,depression,mfq_p_total,yes,direct
C,depression,mfq_p_total,no,excluded_self_or_noncaregiver
A,depression,sdq_total_difficulties,yes,direct
B,depression,sdq_total_difficulties,yes,direct
C,depression,sdq_total_difficulties,yes,direct
A,depression,sdq_peer_problems,yes,direct
B,depression,sdq_peer_problems,yes,direct
C,depression,sdq_peer_problems,yes,direct
A,depression,sdq_emotional_symptoms,yes,direct
B,depression,sdq_emotional_symptoms,yes,direct
C,depression,sdq_emotional_symptoms,yes,direct
A,depression,sdq_hyperactivity_inattention,yes,direct
B,depression,sdq_hyperactivity_inattention,yes,direct
C,depression,sdq_hyperactivity_inattention,yes,direct
A,depression,sdq_conduct_problems,yes,direct
B,depression,sdq_conduct_problems,yes,direct
C,depression,sdq_conduct_problems,yes,direct
A,depression,sdq_prosocial_behavior,yes,direct
B,depression,sdq_prosocial_behavior,yes,direct
C,depression,sdq_prosocial_behavior,yes,direct
A,depression,sdq_impact,yes,direct
B,depression,sdq_impact,yes,direct
C,depression,sdq_impact,yes,direct
A,depression,cbcl_attention_problems_proxy,yes,direct
B,depression,cbcl_attention_problems_proxy,yes,direct
C,depression,cbcl_attention_problems_proxy,yes,direct
A,depression,cbcl_externalizing_proxy,yes,direct
B,depression,cbcl_externalizing_proxy,yes,direct
C,depression,cbcl_externalizing_proxy,yes,direct
A,depression,cbcl_aggressive_behavior_proxy,yes,direct
B,depression,cbcl_aggressive_behavior_proxy,yes,direct
C,depression,cbcl_aggressive_behavior_proxy,yes,direct
A,depression,cbcl_rule_breaking_proxy,yes,direct
B,depression,cbcl_rule_breaking_proxy,yes,direct
C,depression,cbcl_rule_breaking_proxy,yes,direct
A,depression,age_years,yes,direct
B,depression,age_years,yes,direct
C,depression,age_years,yes,direct
A,depression,has_cbcl,yes,direct
B,depression,has_cbcl,yes,direct
C,depression,has_cbcl,yes,direct
A,depression,has_sdq,no,missing_structural
B,depression,has_sdq,yes,imputed
C,depression,has_sdq,yes,direct
A,depression,sex_assigned_at_birth,yes,direct
B,depression,sex_assigned_at_birth,yes,direct
C,depression,sex_assigned_at_birth,yes,direct
