trial_id,domain,mode,feature_set_id,model_family,config,calibration,threshold_policy,threshold,n_features,val_balanced_accuracy,val_pr_auc,val_precision,val_recall,holdout_precision,holdout_recall,holdout_specificity,holdout_balanced_accuracy,holdout_f1,holdout_roc_auc,holdout_pr_auc,holdout_brier,train_balanced_accuracy,overfit_gap_train_val_ba
61,adhd,psychologist_2_3,full_eligible,rf,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,default_0_5,0.5,102,0.8080808080808081,0.7617969645588343,0.7945205479452054,0.6666666666666666,0.7792207792207793,0.6896551724137931,0.9567430025445293,0.8231990874791613,0.7317073170731707,0.963469918984528,0.7638984312586401,0.06487162760416666,1.0,0.19191919191919193
62,adhd,psychologist_2_3,full_eligible,rf,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,balanced,0.24999999999999994,102,0.930570068501103,0.7617969645588343,0.7304347826086957,0.9655172413793104,0.6335877862595419,0.9540229885057471,0.8778625954198473,0.9159427919627972,0.7614678899082569,0.963469918984528,0.7638984312586401,0.06487162760416666,0.9887096774193549,0.05813960891825187
63,adhd,psychologist_2_3,full_eligible,extra_trees,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,default_0_5,0.5,102,0.7908394287704632,0.7417316573734846,0.7857142857142857,0.632183908045977,0.7948717948717948,0.7126436781609196,0.9592875318066157,0.8359656049837676,0.7515151515151515,0.963469918984528,0.762917097884013,0.06491639322916667,1.0,0.2091605712295368
64,adhd,psychologist_2_3,full_eligible,extra_trees,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,balanced,0.21999999999999997,102,0.9353303146406595,0.7417316573734846,0.7107438016528925,0.9885057471264368,0.5862068965517241,0.9770114942528736,0.8473282442748091,0.9121698692638414,0.7327586206896551,0.963469918984528,0.762917097884013,0.06491639322916667,1.0,0.06466968535934048
65,adhd,psychologist_2_3,full_eligible,hgb,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 250, ""random_state"": 20270413}",none,default_0_5,0.5,102,0.8946940671078603,0.7425728016161237,0.7524752475247525,0.8735632183908046,0.6788990825688074,0.8505747126436781,0.910941475826972,0.880758094235325,0.7551020408163265,0.9595800064344419,0.7796554933566822,0.0714089821091395,1.0,0.10530593289213974
66,adhd,psychologist_2_3,full_eligible,hgb,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 250, ""random_state"": 20270413}",none,balanced,0.13999999999999999,102,0.9329501915708812,0.7425728016161237,0.7203389830508474,0.9770114942528736,0.6287878787878788,0.9540229885057471,0.8753180661577609,0.9146705273317539,0.7579908675799086,0.9595800064344419,0.7796554933566822,0.0714089821091395,0.9862903225806452,0.05334013100976398
67,adhd,psychologist_2_3,full_eligible,logreg,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""solver"": ""liblinear""}",none,default_0_5,0.5,102,0.8960873098804134,0.740313256746657,0.7155963302752294,0.896551724137931,0.6259541984732825,0.9425287356321839,0.8753180661577609,0.9089234008949724,0.7522935779816514,0.9496943640139218,0.7173064560791992,0.08735145339851383,0.9399411508282476,0.04385384094783418
68,adhd,psychologist_2_3,full_eligible,logreg,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""solver"": ""liblinear""}",none,balanced,0.4499999999999999,102,0.9058980610704749,0.740313256746657,0.7142857142857143,0.9195402298850575,0.5985401459854015,0.9425287356321839,0.8600508905852418,0.9012898131087128,0.7321428571428571,0.9496943640139218,0.7173064560791992,0.08735145339851383,0.9397667829119442,0.033868721841469274
69,adhd,psychologist_2_3,boosted_eng_full,rf,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,default_0_5,0.5,120,0.8598049460118425,0.7754101167807316,0.8170731707317073,0.7701149425287356,0.788235294117647,0.7701149425287356,0.9541984732824428,0.8621567079055892,0.7790697674418605,0.9639817495832237,0.7780687726024217,0.0617419921875,1.0,0.14019505398815746
70,adhd,psychologist_2_3,boosted_eng_full,rf,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,balanced,0.26999999999999996,120,0.934633693254383,0.7754101167807316,0.7264957264957265,0.9770114942528736,0.672,0.9655172413793104,0.8956743002544529,0.9305957708168817,0.7924528301886793,0.9639817495832237,0.7780687726024217,0.0617419921875,0.9911290322580646,0.056495339003681644
