mode,domain,winner_feature_set_id,winner_config_id,winner_seed,ablation_case,impacted_features,precision,recall,balanced_accuracy,pr_auc,brier,delta_balanced_accuracy_vs_winner,delta_precision_vs_winner,delta_recall_vs_winner
psychologist_2_3,depression,stability_pruned_subset,rf_positive_push_strong,20260729,drop_top_5,mdd_symptom_count|mdd_duration_weeks|mdd_impairment|mdd_core_symptom_met|pdd_duration_months_child,0.0,0.0,0.5,0.7105997723366254,0.1297296778799123,-0.3923887731339626,-0.8918918918918919,-0.8048780487804879
psychologist_2_3,elimination,balanced_subset,rf_positive_push_strong,20260712,drop_top_1,enuresis_distress_impairment,0.9736842105263158,0.7115384615384616,0.8546010064701653,0.7427884615384616,0.031725638733590994,-0.14423076923076927,-0.007447864945382299,-0.28846153846153844
psychologist_2_3,elimination,balanced_subset,rf_positive_push_strong,20260712,drop_top_3,enuresis_distress_impairment|enuresis_event_frequency_per_week|enuresis_duration_months_consecutive,0.875,0.1346153846153846,0.5661394680086269,0.2283653846153846,0.09418691067088017,-0.4326923076923077,-0.10613207547169812,-0.8653846153846154
psychologist_2_3,elimination,balanced_subset,rf_positive_push_strong,20260712,drop_top_5,enuresis_distress_impairment|enuresis_event_frequency_per_week|enuresis_duration_months_consecutive|encopresis_event_frequency_per_month|encopresis_duration_months_consecutive,0.0,0.0,0.5,0.10833333333333334,0.10833311666766665,-0.4988317757009346,-0.9811320754716981,-1.0
psychologist_full,adhd,full_eligible,rf_positive_push_strong,20260729,drop_top_1,adhd_inattention_symptom_count,0.9625,0.8191489361702128,0.905688457722412,0.8413128084098325,0.04031430152765513,-0.07719656046742362,0.01404639175257738,-0.15957446808510634
psychologist_full,adhd,full_eligible,rf_positive_push_strong,20260729,drop_top_3,adhd_inattention_symptom_count|adhd_hyperimpulsive_symptom_count|adhd_not_better_explained_other_mental,0.0,0.0,0.5,0.19583333333333333,0.19583294166766665,-0.48288501818983565,-0.9484536082474226,-0.9787234042553191
psychologist_full,adhd,full_eligible,rf_positive_push_strong,20260729,drop_top_5,adhd_inattention_symptom_count|adhd_hyperimpulsive_symptom_count|adhd_not_better_explained_other_mental|adhd_onset_before_12|sdq_total_difficulties,0.0,0.0,0.5,0.19583333333333333,0.19583294166766665,-0.48288501818983565,-0.9484536082474226,-0.9787234042553191
psychologist_full,anxiety,balanced_subset,rf_positive_push_strong,20260729,drop_top_1,scared_p_total,0.9452054794520548,0.8023255813953488,0.8960866485656946,0.9228756975521428,0.05176618403670446,-0.048518474796364064,0.027558420628525426,-0.10465116279069764
psychologist_full,anxiety,balanced_subset,rf_positive_push_strong,20260729,drop_top_3,scared_p_total|mfq_p_total|sep_anx_symptom_count,0.0,0.0,0.5,0.8275973825131433,0.14713426389702816,-0.4446051233620587,-0.9176470588235294,-0.9069767441860465
psychologist_full,anxiety,balanced_subset,rf_positive_push_strong,20260729,drop_top_5,scared_p_total|mfq_p_total|sep_anx_symptom_count|sep_anx_impairment|scared_p_school_avoidance,0.0,0.0,0.5,0.7498480615329681,0.15401122471494896,-0.4446051233620587,-0.9176470588235294,-0.9069767441860465
psychologist_full,conduct,balanced_subset,rf_positive_push_strong,20260712,drop_top_1,conduct_impairment_global,0.0,0.0,0.5,0.3333333333333333,0.33333266666766664,-0.5,-1.0,-1.0
psychologist_full,conduct,balanced_subset,rf_positive_push_strong,20260712,drop_top_3,conduct_impairment_global|conduct_recent_6m_count|ari_p_symptom_total,0.0,0.0,0.5,0.3333333333333333,0.33333266666766664,-0.5,-1.0,-1.0
psychologist_full,conduct,balanced_subset,rf_positive_push_strong,20260712,drop_top_5,conduct_impairment_global|conduct_recent_6m_count|ari_p_symptom_total|icut_total|ari_sr_symptom_total,0.0,0.0,0.5,0.3333333333333333,0.33333266666766664,-0.5,-1.0,-1.0
psychologist_full,depression,full_eligible,rf_precision_push,20260712,drop_top_1,mdd_symptom_count,0.9459459459459459,0.4268292682926829,0.7109020713322711,0.8351393144605785,0.09086358234450899,-0.20318053683049397,0.12036455059710871,-0.43902439024390244
psychologist_full,depression,full_eligible,rf_precision_push,20260712,drop_top_3,mdd_symptom_count|mdd_impairment|mdd_duration_weeks,0.9655172413793104,0.34146341463414637,0.6694754259100381,0.824426147429937,0.09781175486310927,-0.24460718225272704,0.13993584603047315,-0.524390243902439
psychologist_full,depression,full_eligible,rf_precision_push,20260712,drop_top_5,mdd_symptom_count|mdd_impairment|mdd_duration_weeks|pdd_duration_months_child|mdd_core_symptom_met,1.0,0.07317073170731707,0.5365853658536586,0.7982570405906114,0.11397209490601559,-0.37749724230910653,0.17441860465116277,-0.7926829268292683
psychologist_full,elimination,precision_oriented_subset,rf_positive_push_strong,20260712,drop_top_1,enuresis_distress_impairment,0.9736842105263158,0.7115384615384616,0.8546010064701653,0.7427884615384616,0.031789575966526235,-0.14423076923076927,-0.007447864945382299,-0.28846153846153844
psychologist_full,elimination,precision_oriented_subset,rf_positive_push_strong,20260712,drop_top_3,enuresis_distress_impairment|enuresis_event_frequency_per_week|enuresis_duration_months_consecutive,0.875,0.1346153846153846,0.5661394680086269,0.2283653846153846,0.09382776643373747,-0.4326923076923077,-0.10613207547169812,-0.8653846153846154
psychologist_full,elimination,precision_oriented_subset,rf_positive_push_strong,20260712,drop_top_5,enuresis_distress_impairment|enuresis_event_frequency_per_week|enuresis_duration_months_consecutive|encopresis_event_frequency_per_month|encopresis_duration_months_consecutive,0.0,0.0,0.5,0.10833333333333334,0.10833311666766665,-0.4988317757009346,-0.9811320754716981,-1.0
