domain,role,mode,active_model_id,precision_boot_mean,precision_boot_ci_low,precision_boot_ci_high,recall_boot_mean,recall_boot_ci_low,recall_boot_ci_high,balanced_accuracy_boot_mean,balanced_accuracy_boot_ci_low,balanced_accuracy_boot_ci_high,f1_boot_mean,f1_boot_ci_low,f1_boot_ci_high,brier_boot_mean,brier_boot_ci_low,brier_boot_ci_high
anxiety,psychologist,psychologist_2_3,anxiety__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8408875799379434,0.7751759848382294,0.9036268361115696,0.8349986147305479,0.7322663252240718,0.9136065943992773,0.9002861597101119,0.8556631814112057,0.9370031687377804,0.8369076727707234,0.7698611111111111,0.8984757757212846,0.12151920795561928,0.11488335429967743,0.12777290476518474
anxiety,psychologist,psychologist_full,anxiety__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8751483310868611,0.7994852941176471,0.9352994227994227,0.6846795580899562,0.5943130630630631,0.784305709534368,0.8316860429032247,0.791026574323988,0.8807404034801365,0.7669125419771547,0.7056460084033613,0.8316460647785948,0.15811442785761667,0.15272151926109304,0.16333020371602333
conduct,caregiver,caregiver_1_3,conduct__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8703541131757391,0.8292224475997296,0.9205201048951048,0.9170829975277648,0.879969696969697,0.9528434684684685,0.9243664823108475,0.8948872329855936,0.9475450094975463,0.892861674233864,0.86027651978447,0.9284812082835591,0.05474346327183227,0.043355297018636864,0.06574848980865695
conduct,caregiver,caregiver_2_3,conduct__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8178040861343838,0.7529000304785126,0.8737689393939394,0.9302170245140193,0.894322416713721,0.9675479775002068,0.9132144210468995,0.8905118460351019,0.9316270745358339,0.8700620781821655,0.8308170810610962,0.9019831932773109,0.13164162500998403,0.12585613672628138,0.13695221420777093
conduct,caregiver,caregiver_full,conduct__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8700256528468845,0.8311882360904291,0.9250042517006803,0.8849002894624742,0.8484136668700427,0.9235679847841473,0.9093737860186113,0.8861198675308349,0.9291030688914911,0.8771240709431807,0.850299575285671,0.9085808209589521,0.06094793442628919,0.04841085111853233,0.07402039629880046
conduct,psychologist,psychologist_1_3,conduct__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8846085101701696,0.8361842105263158,0.9268404907975458,0.895310271301331,0.8385003410763653,0.9416475292999683,0.9182260009995022,0.8894405047462636,0.9417053341667061,0.8895910177767782,0.8571428571428571,0.9279164800716524,0.07056404574891165,0.059538670512676695,0.08379363760065021
conduct,psychologist,psychologist_2_3,conduct__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8637621275545444,0.80696405648267,0.910785934744268,0.8878368377530702,0.8322699040090344,0.9282127715951245,0.9086116982388086,0.8815562658952564,0.9319646818972237,0.8752996061528142,0.8403508017506641,0.9085252775809118,0.06304043551801777,0.05113334588003989,0.07747807563133717
conduct,psychologist,psychologist_full,conduct__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8594633840012292,0.818680023006135,0.912000891265597,0.8931087047290507,0.8486792264752792,0.9325591216216216,0.9100511811524512,0.8831386114954792,0.9310721790400641,0.8756683768653133,0.8432307150680645,0.9075571844917425,0.061005235887251284,0.04951993008867213,0.07353173320222527
depression,caregiver,caregiver_1_3,depression__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8178657619387348,0.7344844253490871,0.9011664959599408,0.9289222836445546,0.8788533834586466,0.9875218023255814,0.9426024447668692,0.9130915857353911,0.9709643034597194,0.8691018133303006,0.8133352815117866,0.9190029407645988,0.05101342392149394,0.04236085642313087,0.06170627807786737
depression,caregiver,caregiver_2_3,depression__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8464327928342961,0.7526854007316262,0.9195854320030995,0.8764443537586907,0.7888095238095237,0.9416053921568626,0.9218064238370947,0.883855981416957,0.9562674845262901,0.8601765762414597,0.7964935729723581,0.9115829257447753,0.046574653181016876,0.037349480240994486,0.05707923657990286
