trial_id,threshold,val_precision,val_balanced_accuracy,val_recall,test_precision,test_balanced_accuracy,test_recall,test_specificity
V3_T05_calibration_refinement,0.75,0.9850746268656716,0.9019378881987578,0.8198757763975155,0.927536231884058,0.8575155279503106,0.7950310559006211,0.92
V3_T05_calibration_refinement,0.8,0.9847328244274809,0.8926211180124224,0.8012422360248447,0.9323308270676691,0.8490931677018634,0.7701863354037267,0.928
V3_T05_calibration_refinement,0.85,0.984375,0.8833043478260869,0.782608695652174,0.9512195121951219,0.8393540372670807,0.7267080745341615,0.952
V3_T06_threshold_refinement,0.2,0.930635838150289,0.952,1.0,0.875,0.9079999999999999,1.0,0.816
V3_T06_threshold_refinement,0.25,0.9470588235294117,0.964,1.0,0.9096045197740112,0.9359999999999999,1.0,0.872
V3_T06_threshold_refinement,0.3,0.9757575757575757,0.984,1.0,0.9252873563218391,0.948,1.0,0.896
V3_T06_threshold_refinement,0.35,0.9877300613496932,0.992,1.0,0.9470588235294117,0.964,1.0,0.928
V3_T06_threshold_refinement,0.4,0.9877300613496932,0.992,1.0,0.9698795180722891,0.98,1.0,0.96
V3_T06_threshold_refinement,0.44999999999999996,0.9938271604938271,0.996,1.0,0.9757575757575757,0.984,1.0,0.968
V3_T06_threshold_refinement,0.5,0.9938271604938271,0.996,1.0,0.9817073170731707,0.988,1.0,0.976
V3_T06_threshold_refinement,0.55,0.9938271604938271,0.996,1.0,0.9938271604938271,0.996,1.0,0.992
V3_T06_threshold_refinement,0.6,1.0,1.0,1.0,1.0,0.9875776397515528,0.9751552795031055,1.0
V3_T06_threshold_refinement,0.6499999999999999,1.0,0.984472049689441,0.968944099378882,1.0,0.9751552795031055,0.9503105590062112,1.0
V3_T06_threshold_refinement,0.7,1.0,0.9720496894409938,0.9440993788819876,1.0,0.9440993788819876,0.8881987577639752,1.0
V3_T06_threshold_refinement,0.75,1.0,0.9503105590062112,0.9006211180124224,1.0,0.9068322981366459,0.8136645962732919,1.0
V3_T06_threshold_refinement,0.8,1.0,0.8913043478260869,0.782608695652174,1.0,0.8726708074534162,0.7453416149068323,1.0
V3_T06_threshold_refinement,0.85,1.0,0.8695652173913043,0.7391304347826086,1.0,0.8229813664596273,0.6459627329192547,1.0
V3_T07_abstention_assisted_operating_mode,0.2,0.8,0.8200496894409938,0.9440993788819876,0.7810945273631841,0.8115776397515528,0.9751552795031055,0.648
V3_T07_abstention_assisted_operating_mode,0.25,0.8361581920903954,0.8436273291925466,0.9192546583850931,0.806282722513089,0.8302608695652174,0.9565217391304348,0.704
V3_T07_abstention_assisted_operating_mode,0.3,0.8719512195121951,0.8600993788819875,0.8881987577639752,0.8406593406593407,0.8591552795031057,0.9503105590062112,0.768
V3_T07_abstention_assisted_operating_mode,0.35,0.9166666666666666,0.8920993788819875,0.8881987577639752,0.8514285714285714,0.8587329192546584,0.9254658385093167,0.792
V3_T07_abstention_assisted_operating_mode,0.4,0.9470198675496688,0.9120993788819876,0.8881987577639752,0.891566265060241,0.8876273291925465,0.9192546583850931,0.856
V3_T07_abstention_assisted_operating_mode,0.44999999999999996,0.9527027027027027,0.9098881987577639,0.8757763975155279,0.9006211180124224,0.8863105590062113,0.9006211180124224,0.872
V3_T07_abstention_assisted_operating_mode,0.5,0.9645390070921985,0.902360248447205,0.84472049689441,0.9210526315789473,0.8867826086956522,0.8695652173913043,0.904
V3_T07_abstention_assisted_operating_mode,0.55,0.9779411764705882,0.9010434782608696,0.8260869565217391,0.9225352112676056,0.862832298136646,0.8136645962732919,0.912
V3_T07_abstention_assisted_operating_mode,0.6,0.9846153846153847,0.8895155279503105,0.7950310559006211,0.9333333333333333,0.855304347826087,0.782608695652174,0.928
V3_T07_abstention_assisted_operating_mode,0.6499999999999999,0.984251968503937,0.8801987577639752,0.7763975155279503,0.9596774193548387,0.8495652173913043,0.7391304347826086,0.96
V3_T07_abstention_assisted_operating_mode,0.7,0.9918032786885246,0.8717763975155279,0.7515527950310559,0.9741379310344828,0.8389316770186335,0.7018633540372671,0.976
V3_T07_abstention_assisted_operating_mode,0.75,0.9914529914529915,0.856248447204969,0.7204968944099379,0.9722222222222222,0.8140869565217391,0.6521739130434783,0.976
V3_T07_abstention_assisted_operating_mode,0.8,0.9912280701754386,0.8469316770186335,0.7018633540372671,0.9893617021276596,0.7848198757763976,0.577639751552795,0.992
V3_T07_abstention_assisted_operating_mode,0.85,1.0,0.829192546583851,0.6583850931677019,1.0,0.7515527950310559,0.5031055900621118,1.0
V3_T08_ultra_compact_thesis_variant,0.2,0.5629370629370629,0.5,1.0,0.5629370629370629,0.5,1.0,0.0
V3_T08_ultra_compact_thesis_variant,0.25,0.5629370629370629,0.5,1.0,0.5629370629370629,0.5,1.0,0.0
V3_T08_ultra_compact_thesis_variant,0.3,0.5629370629370629,0.5,1.0,0.5629370629370629,0.5,1.0,0.0
V3_T08_ultra_compact_thesis_variant,0.35,0.5629370629370629,0.5,1.0,0.5629370629370629,0.5,1.0,0.0
V3_T08_ultra_compact_thesis_variant,0.4,0.5629370629370629,0.5,1.0,0.5629370629370629,0.5,1.0,0.0
V3_T08_ultra_compact_thesis_variant,0.44999999999999996,0.5629370629370629,0.5,1.0,0.5629370629370629,0.5,1.0,0.0
V3_T08_ultra_compact_thesis_variant,0.5,0.5629370629370629,0.5,1.0,0.5629370629370629,0.5,1.0,0.0
V3_T08_ultra_compact_thesis_variant,0.55,0.5629370629370629,0.5,1.0,0.5629370629370629,0.5,1.0,0.0
V3_T08_ultra_compact_thesis_variant,0.6,0.0,0.5,0.0,0.0,0.5,0.0,1.0
