domain,role,mode,active_model_id,stress_type,base_f1,stress_f1,delta_f1,base_balanced_accuracy,stress_balanced_accuracy,delta_balanced_accuracy,dropped_features,top1_importance_share,top3_importance_share
conduct,caregiver,caregiver_1_3,conduct__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top3_drop,0.8902077151335311,0.8805031446540881,-0.009704570479443064,0.9265625,0.909375,-0.01718749999999991,conduct_09_property_destruction|conduct_08_fire_setting|conduct_15_truancy_before_13,0.1771339366496858,0.4058562589644231
conduct,caregiver,caregiver_2_3,conduct__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,missingness_10pct,0.8662790697674418,0.8654970760233918,-0.0007819937440500802,0.9109375,0.909375,-0.0015624999999999112,,,
conduct,caregiver,caregiver_2_3,conduct__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top1_drop,0.8662790697674418,0.8705882352941177,0.004309165526675818,0.9109375,0.9125000000000001,0.0015625000000001332,social_anxiety_duration_months,0.09090909090909091,0.21212121212121213
conduct,caregiver,caregiver_2_3,conduct__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top3_drop,0.8662790697674418,0.8807339449541285,0.014454875186686644,0.9109375,0.9140625,0.0031250000000000444,social_anxiety_duration_months|adhd_hypimp_09_interrupts_intrudes|conduct_02_initiates_fights,0.09090909090909091,0.21212121212121213
conduct,caregiver,caregiver_full,conduct__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,missingness_10pct,0.8708708708708709,0.8676923076923077,-0.003178563178563243,0.909375,0.903125,-0.006250000000000089,,,
conduct,caregiver,caregiver_full,conduct__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top1_drop,0.8708708708708709,0.8810289389067524,0.010158068035881485,0.909375,0.90625,-0.0031250000000000444,eng_externalizing_index,0.17318176246186823,0.3507839616652251
conduct,caregiver,caregiver_full,conduct__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top3_drop,0.8708708708708709,0.7941176470588235,-0.07675322381204741,0.909375,0.83125,-0.078125,eng_externalizing_index|eng_adhd_core_mean|conduct_09_property_destruction,0.17318176246186823,0.3507839616652251
conduct,psychologist,psychologist_1_3,conduct__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,missingness_10pct,0.888235294117647,0.8835820895522388,-0.004653204565408187,0.9265625,0.9203125000000001,-0.006249999999999867,,,
conduct,psychologist,psychologist_1_3,conduct__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top1_drop,0.888235294117647,0.8753799392097265,-0.012855354907920558,0.9265625,0.9109375,-0.015625,conduct_09_property_destruction,0.13579569389879492,0.3455721793912744
conduct,psychologist,psychologist_1_3,conduct__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top3_drop,0.888235294117647,0.8780487804878049,-0.010186513629842131,0.9265625,0.9125000000000001,-0.014062499999999867,conduct_09_property_destruction|conduct_08_fire_setting|conduct_15_truancy_before_13,0.13579569389879492,0.3455721793912744
conduct,psychologist,psychologist_2_3,conduct__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,missingness_10pct,0.8765432098765432,0.8516129032258064,-0.02493030665073681,0.909375,0.8843749999999999,-0.025000000000000133,,,
conduct,psychologist,psychologist_2_3,conduct__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top1_drop,0.8765432098765432,0.8698630136986302,-0.006680196177913045,0.909375,0.8890625,-0.020312500000000067,eng_externalizing_index,0.17203330059553265,0.3579314740439101
conduct,psychologist,psychologist_2_3,conduct__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top3_drop,0.8765432098765432,0.7715355805243446,-0.10500762935219865,0.909375,0.815625,-0.09375,eng_externalizing_index|eng_adhd_core_mean|conduct_15_truancy_before_13,0.17203330059553265,0.3579314740439101
conduct,psychologist,psychologist_full,conduct__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,missingness_10pct,0.8738461538461538,0.879746835443038,0.005900681596884172,0.9078124999999999,0.9078125,1.1102230246251565e-16,,,
conduct,psychologist,psychologist_full,conduct__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top1_drop,0.8738461538461538,0.8704318936877077,-0.0034142601584461474,0.9078124999999999,0.89375,-0.014062499999999867,eng_externalizing_index,0.16509260815412044,0.3272989764313847
conduct,psychologist,psychologist_full,conduct__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top3_drop,0.8738461538461538,0.7441860465116279,-0.12966010733452593,0.9078124999999999,0.796875,-0.11093749999999991,eng_externalizing_index|conduct_09_property_destruction|eng_adhd_core_mean,0.16509260815412044,0.3272989764313847
depression,caregiver,caregiver_1_3,depression__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,missingness_10pct,0.8488372093023255,0.8098159509202454,-0.03902125838208015,0.9237651672999142,0.8835948032847163,-0.04017036401519791,,,
depression,caregiver,caregiver_1_3,depression__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top1_drop,0.8488372093023255,0.7448275862068966,-0.10400962309542894,0.9237651672999142,0.8179617600196103,-0.10580340728030391,mdd_duration_weeks,0.1798300374716645,0.3668233692904771
depression,caregiver,caregiver_1_3,depression__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top3_drop,0.8488372093023255,0.43859649122807015,-0.4102407180742554,0.9237651672999142,0.6436450545409976,-0.2801201127589166,mdd_duration_weeks|mdd_impairment|mdd_05_psychomotor_change,0.1798300374716645,0.3668233692904771
depression,caregiver,caregiver_2_3,depression__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,missingness_10pct,0.847457627118644,0.8098159509202454,-0.037641676198398644,0.9321914450300282,0.8835948032847163,-0.048596641745311864,,,
depression,caregiver,caregiver_2_3,depression__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top1_drop,0.847457627118644,0.7922077922077922,-0.05524983491085178,0.9321914450300282,0.8581321240348082,-0.07405932099521995,mdd_duration_weeks,0.13782768732221812,0.28354232186403655
depression,caregiver,caregiver_2_3,depression__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top3_drop,0.847457627118644,0.5806451612903226,-0.2668124658283214,0.9321914450300282,0.7119745066797402,-0.220216938350288,mdd_duration_weeks|mdd_01_depressed_or_irritable_mood|mdd_impairment,0.13782768732221812,0.28354232186403655
depression,caregiver,caregiver_full,depression__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,missingness_10pct,0.8421052631578947,0.8205128205128205,-0.021592442645074206,0.9176676063243044,0.8776810883686726,-0.039986517955631795,,,
depression,caregiver,caregiver_full,depression__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top1_drop,0.8421052631578947,0.6717557251908397,-0.170349537967055,0.9176676063243044,0.7620112758916534,-0.15565633043265104,mdd_duration_weeks,0.22839666405867878,0.43579817868859316
depression,caregiver,caregiver_full,depression__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top3_drop,0.8421052631578947,0.024096385542168676,-0.818008877615726,0.9176676063243044,0.5060975609756098,-0.4115700453486947,mdd_duration_weeks|pdd_duration_months_child|mdd_impairment,0.22839666405867878,0.43579817868859316
depression,psychologist,psychologist_1_3,depression__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,missingness_10pct,0.8554913294797688,0.8198757763975155,-0.03561555308225328,0.929862728275524,0.8861073660987866,-0.04375536217673737,,,
depression,psychologist,psychologist_1_3,depression__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top1_drop,0.8554913294797688,0.5873015873015873,-0.2681897421781815,0.929862728275524,0.7168157862483148,-0.2130469420272092,mdd_duration_weeks,0.30357743506807755,0.6824066120185742
depression,psychologist,psychologist_1_3,depression__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top3_drop,0.8554913294797688,0.0,-0.8554913294797688,0.929862728275524,0.5,-0.42986272827552396,mdd_duration_weeks|mdd_impairment|pdd_duration_months_child,0.30357743506807755,0.6824066120185742
depression,psychologist,psychologist_2_3,depression__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,missingness_10pct,0.8604651162790697,0.802547770700637,-0.057917345578432755,0.9311190096825592,0.8690709645789925,-0.06204804510356676,,,
depression,psychologist,psychologist_2_3,depression__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top1_drop,0.8604651162790697,0.8129032258064516,-0.04756189047261816,0.9311190096825592,0.8715835273930629,-0.059535482289496344,mdd_duration_weeks,0.14560281375992495,0.31075680045535975
depression,psychologist,psychologist_2_3,depression__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top3_drop,0.8604651162790697,0.45454545454545453,-0.4059196617336152,0.9311190096825592,0.6486701801691384,-0.2824488295134209,mdd_duration_weeks|mdd_impairment|pdd_duration_months_child,0.14560281375992495,0.31075680045535975
depression,psychologist,psychologist_full,depression__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,missingness_10pct,0.8342857142857143,0.7692307692307693,-0.06505494505494502,0.9199963230788086,0.8482657188380929,-0.07173060424071576,,,
depression,psychologist,psychologist_full,depression__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top1_drop,0.8342857142857143,0.7948717948717948,-0.039413919413919474,0.9199963230788086,0.8629734036033827,-0.057022919475425926,mdd_duration_weeks,0.10063189914037589,0.2083680580268676
depression,psychologist,psychologist_full,depression__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top3_drop,0.8342857142857143,0.6715328467153284,-0.16275286757038587,0.9199963230788086,0.7691812722147322,-0.15081505086407643,mdd_duration_weeks|mdd_01_depressed_or_irritable_mood|pdd_duration_months_child,0.10063189914037589,0.2083680580268676
elimination,caregiver,caregiver_1_3,elimination__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,missingness_10pct,0.8363636363636363,0.5909090909090909,-0.24545454545454537,0.9282890007189073,0.7383177570093458,-0.18997124370956153,,,
elimination,caregiver,caregiver_1_3,elimination__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top1_drop,0.8363636363636363,0.0,-0.8363636363636363,0.9282890007189073,0.5,-0.4282890007189073,enuresis_distress_impairment,0.41818181818181815,1.0
elimination,caregiver,caregiver_1_3,elimination__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top3_drop,0.8363636363636363,0.0,-0.8363636363636363,0.9282890007189073,0.5,-0.4282890007189073,enuresis_distress_impairment|enuresis_event_frequency_per_week|enuresis_duration_months_consecutive,0.41818181818181815,1.0
elimination,caregiver,caregiver_2_3,elimination__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,missingness_10pct,0.8214285714285714,0.7843137254901961,-0.03711484593837533,0.9259525521207764,0.8729331416247305,-0.05301941049604597,,,
elimination,caregiver,caregiver_2_3,elimination__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top1_drop,0.8214285714285714,0.8478260869565217,0.026397515527950333,0.9259525521207764,0.8738317757009346,-0.05212077641984181,enuresis_primary_course,0.39473684210526316,0.868421052631579
elimination,caregiver,caregiver_2_3,elimination__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top3_drop,0.8214285714285714,0.0,-0.8214285714285714,0.9259525521207764,0.5,-0.42595255212077643,enuresis_primary_course|enuresis_duration_months_consecutive|enuresis_distress_impairment,0.39473684210526316,0.868421052631579
elimination,caregiver,caregiver_full,elimination__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,missingness_10pct,0.8333333333333334,0.7678571428571429,-0.06547619047619047,0.9597411933860532,0.8936017253774262,-0.06613946800862702,,,
elimination,caregiver,caregiver_full,elimination__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top1_drop,0.8333333333333334,0.2033898305084746,-0.6299435028248588,0.9597411933860532,0.5565240833932422,-0.403217109992811,enuresis_duration_months_consecutive,0.3097264277566705,0.7086654660154035
elimination,caregiver,caregiver_full,elimination__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top3_drop,0.8333333333333334,0.1724137931034483,-0.6609195402298851,0.9597411933860532,0.5469086987778576,-0.4128324946081956,enuresis_duration_months_consecutive|enuresis_primary_course|enuresis_nocturnal,0.3097264277566705,0.7086654660154035
elimination,psychologist,psychologist_1_3,elimination__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,missingness_10pct,0.8135593220338984,0.7567567567567568,-0.05680256527714156,0.940510424155284,0.8839863407620416,-0.05652408339324233,,,
elimination,psychologist,psychologist_1_3,elimination__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top1_drop,0.8135593220338984,0.14035087719298245,-0.6732084448409159,0.940510424155284,0.5372933141624731,-0.4032171099928109,enuresis_duration_months_consecutive,0.4842624289865905,0.7647129958238695
elimination,psychologist,psychologist_1_3,elimination__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top3_drop,0.8135593220338984,0.10714285714285714,-0.7064164648910413,0.940510424155284,0.5276779295470884,-0.4128324946081956,enuresis_duration_months_consecutive|enuresis_nocturnal|enuresis_primary_course,0.4842624289865905,0.7647129958238695
elimination,psychologist,psychologist_2_3,elimination__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,missingness_10pct,0.8376068376068376,0.7592592592592593,-0.07834757834757833,0.9524622573687994,0.8767074047447879,-0.07575485262401149,,,
elimination,psychologist,psychologist_2_3,elimination__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top1_drop,0.8376068376068376,0.17543859649122806,-0.6621682411156096,0.9524622573687994,0.5480769230769231,-0.4043853342918763,enuresis_duration_months_consecutive,0.33086422256672454,0.7173538881669071
elimination,psychologist,psychologist_2_3,elimination__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top3_drop,0.8376068376068376,0.17543859649122806,-0.6621682411156096,0.9524622573687994,0.5480769230769231,-0.4043853342918763,enuresis_duration_months_consecutive|enuresis_primary_course|enuresis_nocturnal,0.33086422256672454,0.7173538881669071
elimination,psychologist,psychologist_full,elimination__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,missingness_10pct,0.8403361344537815,0.7636363636363637,-0.07669977081741786,0.9609094176851186,0.8851545650611071,-0.07575485262401149,,,
elimination,psychologist,psychologist_full,elimination__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top1_drop,0.8403361344537815,0.17543859649122806,-0.6648975379625535,0.9609094176851186,0.5480769230769231,-0.4128324946081955,enuresis_duration_months_consecutive,0.40334351682006975,0.7021865984315462
elimination,psychologist,psychologist_full,elimination__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top3_drop,0.8403361344537815,0.17543859649122806,-0.6648975379625535,0.9609094176851186,0.5480769230769231,-0.4128324946081955,enuresis_duration_months_consecutive|enuresis_primary_course|enuresis_nocturnal,0.40334351682006975,0.7021865984315462
