mode,role,domain,winner_feature_set_id,winner_config_id,winner_calibration,winner_threshold_policy,winner_threshold,winner_seed,n_features,top_features,selection_score,ceiling_status,material_improvement_vs_baseline,overfit_warning
caregiver_full,caregiver,adhd,compact_robust_subset,rf_positive_push_strong,isotonic,default_0_5,0.5,20260712,76,adhd_inattention_symptom_count|adhd_hyperimpulsive_symptom_count|adhd_onset_before_12|sdq_total_difficulties|swan_total|sdq_hyperactivity_inattention,0.8009681685968656,marginal_room_left,yes,yes
caregiver_full,caregiver,anxiety,balanced_subset,rf_positive_push_strong,isotonic,balanced,0.145,20260729,93,scared_p_separation_anxiety|mfq_p_total|scared_p_panic_somatic|sep_anx_symptom_count|sep_anx_impairment|scared_p_generalized_anxiety,0.8873359220812511,marginal_room_left,yes,no
caregiver_full,caregiver,conduct,stability_pruned_subset,rf_positive_push_strong,isotonic,balanced,0.05,20260712,84,conduct_impairment_global|conduct_symptom_count_12m|conduct_recent_6m_count|conduct_aggression_count|ari_p_symptom_total|sdq_total_difficulties,0.93999999999994,ceiling_reached,no,no
caregiver_full,caregiver,depression,precision_oriented_subset,rf_positive_push_strong,isotonic,balanced,0.09,20260729,68,mdd_symptom_count|mdd_duration_weeks|mdd_impairment|mdd_core_symptom_met|pdd_duration_months_child|pdd_symptom_count,0.8568785861643544,marginal_room_left,yes,no
caregiver_full,caregiver,elimination,precision_oriented_subset,rf_positive_push_strong,isotonic,balanced,0.05,20260712,68,enuresis_distress_impairment|enuresis_event_frequency_per_week|enuresis_duration_months_consecutive|encopresis_event_frequency_per_month|encopresis_duration_months_consecutive|enuresis_primary_course,0.93999999999994,marginal_room_left,yes,no
psychologist_1_3,psychologist,adhd,full_eligible,rf_baseline,isotonic,default_0_5,0.5,20260729,71,adhd_inattention_symptom_count|adhd_hyperimpulsive_symptom_count|conduct_recent_6m_count|conduct_symptom_count_12m|adhd_inatt_03_seems_not_listening|adhd_inatt_01_attention_to_detail_errors,0.7163041128266353,marginal_room_left,yes,yes
psychologist_1_3,psychologist,anxiety,precision_oriented_subset,rf_recall_guard,sigmoid,balanced,0.32499999999999996,20260712,28,sep_anx_symptom_count|mdd_symptom_count|gad_difficulty_controlling_worry|sep_anx_07_separation_nightmares|sep_anx_04_refuses_leaving_home_school|gad_excessive_worry_multiple_areas,0.8634441878568098,ceiling_reached,no,no
psychologist_1_3,psychologist,conduct,full_eligible,rf_baseline,isotonic,precision_min_recall,0.5049999999999999,20260712,71,conduct_symptom_count_12m|conduct_recent_6m_count|conduct_aggression_count|conduct_destruction_count|conduct_deceit_theft_count|conduct_09_property_destruction,0.8170160660623018,marginal_room_left,yes,yes
psychologist_1_3,psychologist,depression,balanced_subset,rf_recall_guard,isotonic,default_0_5,0.5,20260712,39,mdd_symptom_count|mdd_core_symptom_met|mdd_02_loss_of_interest_or_pleasure|mdd_01_depressed_or_irritable_mood|mdd_07_worthlessness_or_excessive_guilt|mdd_03_weight_or_appetite_change,0.7868240888009382,marginal_room_left,yes,yes
psychologist_1_3,psychologist,elimination,full_eligible,rf_baseline,isotonic,default_0_5,0.5,20260712,71,enuresis_event_frequency_per_week|encopresis_event_frequency_per_month|dmdd_outbursts_frequency_per_week|sep_anx_symptom_count|conduct_symptom_count_12m|adhd_hyperimpulsive_symptom_count,0.8587004527945874,marginal_room_left,yes,yes
psychologist_2_3,psychologist,adhd,balanced_subset,rf_regularized,isotonic,balanced,0.05,20260712,75,adhd_inattention_symptom_count|adhd_hyperimpulsive_symptom_count|adhd_onset_before_12|sdq_total_difficulties|swan_hyperactive_impulsive_total|adhd_impairment_school,0.7922879682608127,marginal_room_left,yes,no
psychologist_2_3,psychologist,anxiety,compact_robust_subset,rf_positive_push_strong,isotonic,balanced,0.11499999999999999,20260729,61,scared_p_total|scared_p_separation_anxiety|mfq_p_total|sep_anx_impairment|scared_p_generalized_anxiety|sep_anx_symptom_count,0.8909989908026837,marginal_room_left,yes,no
psychologist_2_3,psychologist,conduct,stability_pruned_subset,rf_positive_push_strong,isotonic,balanced,0.05,20260712,68,conduct_impairment_global|conduct_symptom_count_12m|conduct_recent_6m_count|conduct_aggression_count|ari_p_symptom_total|icut_total,0.93999999999994,marginal_room_left,yes,no
psychologist_2_3,psychologist,depression,stability_pruned_subset,rf_positive_push_strong,isotonic,precision_min_recall,0.62,20260729,68,mdd_symptom_count|mdd_duration_weeks|mdd_impairment|mdd_core_symptom_met|pdd_duration_months_child|mfq_p_total,0.8523788486318544,marginal_room_left,yes,yes
psychologist_2_3,psychologist,elimination,balanced_subset,rf_positive_push_strong,isotonic,balanced,0.05,20260712,75,enuresis_distress_impairment|enuresis_event_frequency_per_week|enuresis_duration_months_consecutive|encopresis_event_frequency_per_month|encopresis_duration_months_consecutive|age_years,0.93999999999994,marginal_room_left,yes,no
psychologist_full,psychologist,adhd,full_eligible,rf_positive_push_strong,isotonic,balanced,0.05,20260729,202,adhd_inattention_symptom_count|adhd_hyperimpulsive_symptom_count|adhd_not_better_explained_other_mental|adhd_onset_before_12|sdq_total_difficulties|swan_total,0.9348492421725112,marginal_room_left,yes,no
psychologist_full,psychologist,anxiety,balanced_subset,rf_positive_push_strong,isotonic,default_0_5,0.5,20260729,111,scared_p_total|mfq_p_total|sep_anx_symptom_count|sep_anx_impairment|scared_p_school_avoidance|sep_anx_duration_weeks,0.8926396583229822,marginal_room_left,yes,no
psychologist_full,psychologist,conduct,balanced_subset,rf_positive_push_strong,isotonic,balanced,0.05,20260712,111,conduct_impairment_global|conduct_recent_6m_count|ari_p_symptom_total|icut_total|ari_sr_symptom_total|conduct_serious_rule_violation_count,0.93999999999994,marginal_room_left,yes,no
psychologist_full,psychologist,depression,full_eligible,rf_precision_push,none,recall_guard,0.36499999999999994,20260712,202,mdd_symptom_count|mdd_impairment|mdd_duration_weeks|pdd_duration_months_child|mdd_core_symptom_met|pdd_symptom_count,0.8604682549965468,marginal_room_left,yes,no
psychologist_full,psychologist,elimination,precision_oriented_subset,rf_positive_push_strong,isotonic,balanced,0.05,20260712,81,enuresis_distress_impairment|enuresis_event_frequency_per_week|enuresis_duration_months_consecutive|encopresis_event_frequency_per_month|encopresis_duration_months_consecutive|enuresis_primary_course,0.93999999999994,marginal_room_left,yes,no
