mode,route,variant,domain,best_config,selected_seed,n_features,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,seed_std,split_std,realism_shift_delta,missingness_sensitivity,partial_questionnaire_sensitivity,direct_fill_pct,derived_fill_pct,imputed_fill_pct,remaining_missing_pct,operational_complexity,maintenance_complexity,suspicious_perfect_score,overfit_risk,leakage_risk
caregiver,C,caregiver_clean_core,adhd,rf_stability_500,83,23,0.9248695444040413,0.8400621118012422,0.912,0.8760310559006211,0.8804010161383036,0.9525652173913044,0.9575681689366806,0.0847429765820998,0.0036586908940093,0.0007763975155279379,0.0007763975155279379,-0.004844720496894356,-0.0019627329192546117,1.0,0.0,0.0,0.04393432654302219,1,1,no,low,low
caregiver,C,caregiver_clean_core,conduct,rf_deep_650,11,22,0.9787726358148894,0.8625,0.9927184466019419,0.927609223300971,0.916953642384106,0.9824863470873786,0.947624754659706,0.03961545371423114,0.0012135922330097082,0.0012135922330096527,-0.0012135922330096527,0.010709951456310679,0.016368325242718473,1.0,0.0,0.0,0.03289891926255562,1,1,no,low,low
caregiver,C,caregiver_clean_core,elimination,rf_compact_350,83,17,0.9270938965893094,0.6319875776397514,0.936,0.7839937888198758,0.7515787153800021,0.8732298136645963,0.8786104201097196,0.14939844149518577,0.004593229645263679,0.0023291925465838137,0.0023291925465838137,0.0016770186335403892,0.13287267080745344,1.0,0.0,0.0,0.03187988482106129,1,1,no,low,low
caregiver,C,caregiver_clean_core,anxiety,rf_compact_350,11,212,0.7850694444444444,0.9545454545454546,0.9215909090909091,0.938068181818182,0.8615459882583171,0.9685261707988979,0.9212459540898176,0.03882752016878678,0.0009841197770277896,0.0005681818181817455,-0.0005681818181817455,0.021969696969697,0.056534090909091006,1.0,0.0,0.0,0.09326758147512863,2,1,no,low,low
caregiver,C,caregiver_clean_core,depression,rf_compact_350,83,18,0.854476267876493,0.9434782608695652,0.8918128654970761,0.9176455631833205,0.8967117626985214,0.9745296211543351,0.9555916966421907,0.05790444619248364,0.0037874753215674,0.002212051868802245,0.002212051868802245,0.028508771929824567,0.04737159928807527,1.0,0.0,0.0,0.06721056721056723,1,1,no,low,low
caregiver,C,caregiver_clean_plus_optional_self,adhd,rf_stability_500,83,23,0.9248695444040413,0.8400621118012422,0.912,0.8760310559006211,0.8804010161383036,0.9525652173913044,0.9575681689366806,0.08474297658209981,0.0036586908940093,0.0007763975155279379,0.0007763975155279379,-0.004844720496894356,-0.0019627329192546117,1.0,0.0,0.0,0.04393432654302219,1,2,no,low,low
caregiver,C,caregiver_clean_plus_optional_self,conduct,rf_deep_650,29,23,0.9463264325196552,0.8687499999999999,0.9805825242718447,0.9246662621359223,0.9056556220503089,0.9741884101941749,0.9430767301154215,0.040990808918776024,0.0027622556260000343,0.004156553398058316,-0.004156553398058316,0.010133495145631055,0.009541868932038858,1.0,0.0,0.0,0.033140772271207056,1,2,no,low,low
caregiver,C,caregiver_clean_plus_optional_self,elimination,rf_compact_350,83,17,0.9270938965893094,0.6319875776397514,0.936,0.7839937888198758,0.7515787153800021,0.8732298136645963,0.8786104201097196,0.1493984414951858,0.004593229645263679,0.0023291925465838137,0.0023291925465838137,0.0016770186335403892,0.13287267080745344,1.0,0.0,0.0,0.03187988482106129,1,2,no,low,low
caregiver,C,caregiver_clean_plus_optional_self,anxiety,rf_compact_350,29,214,0.8488824801730352,0.9696969696969697,0.9477272727272726,0.9587121212121211,0.9049618495440962,0.9807765151515152,0.9556105774532602,0.024271148532715087,0.006527912098338655,0.005681818181818232,-0.005681818181818232,0.01761363636363633,0.10378787878787873,1.0,0.0,0.0,0.09514084046794324,2,2,no,low,low
caregiver,C,caregiver_clean_plus_optional_self,depression,rf_compact_350,83,18,0.854476267876493,0.9434782608695652,0.8918128654970761,0.9176455631833205,0.8967117626985214,0.9745296211543351,0.9555916966421907,0.057904446192483666,0.0037874753215674,0.002212051868802245,0.002212051868802245,0.028508771929824567,0.04737159928807527,1.0,0.0,0.0,0.06721056721056723,1,2,no,low,low
