trial_id,stage,mode,role,domain,feature_set_id,config_id,seed,calibration,threshold_policy,threshold,n_features,selected_for_stage2,val_objective,overfit_gap_ba
29,stage1,caregiver_1_3,caregiver,adhd,stability_pruned_subset,rf_regularized,20261101,none,default_0_5,0.5,24,no,0.6701027880599261,0.08271781868959682
30,stage1,caregiver_1_3,caregiver,adhd,stability_pruned_subset,rf_pos_weight_mid,20261101,none,default_0_5,0.5,24,no,0.6502485733787193,0.16238562451769367
31,stage1,caregiver_1_3,caregiver,adhd,engineered_full,rf_baseline,20261101,none,default_0_5,0.5,58,no,0.6823892151506618,0.15295079557564395
32,stage1,caregiver_1_3,caregiver,adhd,engineered_full,rf_balanced_subsample,20261101,none,default_0_5,0.5,58,no,0.6836345707525238,0.12908352625583364
33,stage1,caregiver_1_3,caregiver,adhd,engineered_full,rf_precision_push,20261101,none,default_0_5,0.5,58,no,0.6832920317702555,0.11523904016462716
34,stage1,caregiver_1_3,caregiver,adhd,engineered_full,rf_recall_guard,20261101,none,default_0_5,0.5,58,no,0.6597460530952572,0.17327196560467417
35,stage1,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261101,none,default_0_5,0.5,58,yes,0.7055870266854333,0.02971006504244289
36,stage1,caregiver_1_3,caregiver,adhd,engineered_full,rf_pos_weight_mid,20261101,none,default_0_5,0.5,58,no,0.6785224038451797,0.13033292911476124
37,stage1,caregiver_1_3,caregiver,adhd,engineered_pruned,rf_baseline,20261101,none,default_0_5,0.5,38,no,0.6561801461055279,0.16474662844963817
38,stage1,caregiver_1_3,caregiver,adhd,engineered_pruned,rf_balanced_subsample,20261101,none,default_0_5,0.5,38,no,0.6832603885514433,0.11169294087384696
39,stage1,caregiver_1_3,caregiver,adhd,engineered_pruned,rf_precision_push,20261101,none,default_0_5,0.5,38,no,0.6745445794477358,0.12817403446882014
40,stage1,caregiver_1_3,caregiver,adhd,engineered_pruned,rf_recall_guard,20261101,none,default_0_5,0.5,38,no,0.6611807434845518,0.1692481534560688
41,stage1,caregiver_1_3,caregiver,adhd,engineered_pruned,rf_regularized,20261101,none,default_0_5,0.5,38,no,0.7028892647339179,0.028754639326792453
42,stage1,caregiver_1_3,caregiver,adhd,engineered_pruned,rf_pos_weight_mid,20261101,none,default_0_5,0.5,38,no,0.6736135172987715,0.1294693712563848
43,stage1,caregiver_1_3,caregiver,adhd,engineered_compact,rf_baseline,20261101,none,default_0_5,0.5,26,no,0.6303701399773615,0.1962297431374711
44,stage1,caregiver_1_3,caregiver,adhd,engineered_compact,rf_balanced_subsample,20261101,none,default_0_5,0.5,26,no,0.6664957930980224,0.13397089626281555
45,stage1,caregiver_1_3,caregiver,adhd,engineered_compact,rf_precision_push,20261101,none,default_0_5,0.5,26,no,0.6841551049465988,0.10646565979495093
46,stage1,caregiver_1_3,caregiver,adhd,engineered_compact,rf_recall_guard,20261101,none,default_0_5,0.5,26,no,0.6413177795054157,0.18961525741373597
47,stage1,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261101,none,default_0_5,0.5,26,yes,0.7081621876361237,0.023141513247345147
48,stage1,caregiver_1_3,caregiver,adhd,engineered_compact,rf_pos_weight_mid,20261101,none,default_0_5,0.5,26,no,0.6813234647714265,0.1228548855326499
49,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261101,none,default_0_5,0.5,26,yes,0.7086250179010707,0.023141513247345147
50,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261101,none,balanced,0.3549999999999999,26,yes,0.7029259329049291,0.008277293940396113
51,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261101,none,precision_oriented,0.57,26,yes,0.7067262590675011,0.04687098078124419
52,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261101,none,recall_guard,0.44499999999999995,26,yes,0.7073199725183493,0.018437878954911224
53,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261101,none,precision_min_recall,0.57,26,yes,0.7067262590675011,0.04687098078124419
54,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261101,none,recall_constrained,0.5199999999999999,26,yes,0.7100862522556733,0.02798294932569001
55,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261101,sigmoid,default_0_5,0.5,26,yes,0.6683291846650731,0.11535846837908359
56,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261101,sigmoid,balanced,0.16999999999999998,26,yes,0.7028902248895563,0.008277293940396113
57,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261101,sigmoid,precision_oriented,0.36999999999999994,26,yes,0.7087234663550325,0.036278616837540856
58,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261101,sigmoid,recall_guard,0.24999999999999994,26,yes,0.7072842645029765,0.018437878954911224
59,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261101,sigmoid,precision_min_recall,0.36999999999999994,26,yes,0.7087234663550325,0.036278616837540856
60,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261101,sigmoid,recall_constrained,0.33499999999999996,26,yes,0.7100160019259656,0.02841472825487812
61,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261101,isotonic,default_0_5,0.5,26,yes,0.7145067184519902,0.03182302575974716
62,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261101,isotonic,balanced,0.20499999999999996,26,yes,0.7076536052159705,0.008277293940396113
63,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261101,isotonic,precision_oriented,0.5049999999999999,26,yes,0.7114884736928776,0.04643920185205597
64,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261101,isotonic,recall_guard,0.29,26,yes,0.7120476448293908,0.018437878954911224
65,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261101,isotonic,precision_min_recall,0.5049999999999999,26,yes,0.7114884736928776,0.04643920185205597
66,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261101,isotonic,recall_constrained,0.33499999999999996,26,yes,0.7148139245667148,0.02798294932569001
67,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261119,none,default_0_5,0.5,26,yes,0.6940830331182013,0.02927828611325478
68,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261119,none,balanced,0.36499999999999994,26,yes,0.6995054299520443,0.010482122514974379
69,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261119,none,precision_oriented,0.5249999999999999,26,yes,0.7032770868503486,0.03109726968728177
70,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261119,none,recall_guard,0.36499999999999994,26,yes,0.6995054299520443,0.010482122514974379
71,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261119,none,precision_min_recall,0.5249999999999999,26,yes,0.7032770868503486,0.03109726968728177
72,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261119,none,recall_constrained,0.5149999999999999,26,yes,0.7044843093075891,0.02491456289273508
73,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261119,sigmoid,default_0_5,0.5,26,yes,0.6659155690476335,0.11349355087641932
74,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261119,sigmoid,balanced,0.185,26,yes,0.6994399038424846,0.010482122514974379
75,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261119,sigmoid,precision_oriented,0.33999999999999997,26,yes,0.7032115607407888,0.03109726968728177
76,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261119,sigmoid,recall_guard,0.185,26,yes,0.6994399038424846,0.010482122514974379
77,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261119,sigmoid,precision_min_recall,0.33999999999999997,26,yes,0.7032115607407888,0.03109726968728177
78,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261119,sigmoid,recall_constrained,0.33999999999999997,26,yes,0.7032115607407888,0.03109726968728177
79,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261119,isotonic,default_0_5,0.5,26,yes,0.7110684817786955,0.02491456289273508
80,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261119,isotonic,balanced,0.185,26,yes,0.7084941599464153,0.009186785727409608
81,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261119,isotonic,precision_oriented,0.5049999999999999,26,yes,0.7099303439501251,0.03023371182890522
82,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261119,isotonic,recall_guard,0.185,26,yes,0.7084941599464153,0.009186785727409608
83,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261119,isotonic,precision_min_recall,0.5049999999999999,26,yes,0.7099303439501251,0.03023371182890522
84,stage2,caregiver_1_3,caregiver,adhd,engineered_compact,rf_regularized,20261119,isotonic,recall_constrained,0.36499999999999994,26,yes,0.7110684817786955,0.02491456289273508
85,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261101,none,default_0_5,0.5,58,yes,0.7061812279862821,0.02971006504244289
86,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261101,none,balanced,0.3999999999999999,58,yes,0.7060141963516824,0.013026862161466868
87,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261101,none,precision_oriented,0.5549999999999999,58,yes,0.7119805137318491,0.042893102561275875
88,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261101,none,recall_guard,0.3999999999999999,58,yes,0.7060141963516824,0.013026862161466868
89,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261101,none,precision_min_recall,0.5549999999999999,58,yes,0.7119805137318491,0.042893102561275875
90,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261101,none,recall_constrained,0.5549999999999999,58,yes,0.7119805137318491,0.042893102561275875
91,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261101,sigmoid,default_0_5,0.5,58,yes,0.6768960517224841,0.11933634659905201
92,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261101,sigmoid,balanced,0.20999999999999996,58,yes,0.7036380582590881,0.012595083232278537
93,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261101,sigmoid,precision_oriented,0.38999999999999996,58,yes,0.7119006894653481,0.042893102561275875
94,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261101,sigmoid,recall_guard,0.20999999999999996,58,yes,0.7036380582590881,0.012595083232278537
95,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261101,sigmoid,precision_min_recall,0.38999999999999996,58,yes,0.7119006894653481,0.042893102561275875
96,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261101,sigmoid,recall_constrained,0.38999999999999996,58,yes,0.7119006894653481,0.042893102561275875
97,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261101,isotonic,default_0_5,0.5,58,yes,0.7195133260362491,0.042893102561275875
98,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261101,isotonic,balanced,0.15499999999999997,58,yes,0.7135470086560823,0.013026862161466868
99,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261101,isotonic,precision_oriented,0.3549999999999999,58,yes,0.7195478683505842,0.042461323632087655
100,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261101,isotonic,recall_guard,0.15499999999999997,58,yes,0.7135470086560823,0.013026862161466868
101,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261101,isotonic,precision_min_recall,0.3549999999999999,58,yes,0.7195478683505842,0.042461323632087655
102,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261101,isotonic,recall_constrained,0.3549999999999999,58,yes,0.7195478683505842,0.042461323632087655
103,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261119,none,default_0_5,0.5,58,yes,0.7040995812463402,0.03684819755264024
104,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261119,none,balanced,0.4099999999999999,58,yes,0.7101226751005693,0.013890420019843419
105,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261119,none,precision_oriented,0.625,58,yes,0.6952305999174568,0.08962628155660912
106,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261119,none,recall_guard,0.4099999999999999,58,yes,0.7101226751005693,0.013890420019843419
107,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261119,none,precision_min_recall,0.625,58,yes,0.6952305999174568,0.08962628155660912
108,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261119,none,recall_constrained,0.4649999999999999,58,yes,0.7128285374470447,0.020073126814390108
109,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261119,sigmoid,default_0_5,0.5,58,yes,0.6758556641892592,0.1166078712380112
110,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261119,sigmoid,balanced,0.22499999999999998,58,yes,0.7100473996454638,0.013890420019843419
111,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261119,sigmoid,precision_oriented,0.285,58,yes,0.7153681480845456,0.019209568956013667
112,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261119,sigmoid,recall_guard,0.285,58,yes,0.7153681480845456,0.019209568956013667
113,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261119,sigmoid,precision_min_recall,0.285,58,yes,0.7153681480845456,0.019209568956013667
114,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261119,sigmoid,recall_constrained,0.285,58,yes,0.7153681480845456,0.019209568956013667
115,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261119,isotonic,default_0_5,0.5,58,yes,0.7229660803213359,0.019209568956013667
116,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261119,isotonic,balanced,0.185,58,yes,0.7176453318822542,0.013890420019843419
117,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261119,isotonic,precision_oriented,0.29,58,yes,0.723000622635671,0.018777790026825336
118,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261119,isotonic,recall_guard,0.29,58,yes,0.723000622635671,0.018777790026825336
119,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261119,isotonic,precision_min_recall,0.29,58,yes,0.723000622635671,0.018777790026825336
120,stage2,caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261119,isotonic,recall_constrained,0.29,58,yes,0.723000622635671,0.018777790026825336
121,stage1,caregiver_1_3,caregiver,conduct,full_eligible,rf_baseline,20261101,none,default_0_5,0.5,49,no,0.8141751672687079,0.08772703226944101
122,stage1,caregiver_1_3,caregiver,conduct,full_eligible,rf_balanced_subsample,20261101,none,default_0_5,0.5,49,no,0.8112386414125385,0.07785790197788067
123,stage1,caregiver_1_3,caregiver,conduct,full_eligible,rf_precision_push,20261101,none,default_0_5,0.5,49,no,0.819539257346176,0.058538482535110625
124,stage1,caregiver_1_3,caregiver,conduct,full_eligible,rf_recall_guard,20261101,none,default_0_5,0.5,49,no,0.818443060000662,0.08830286052295322
125,stage1,caregiver_1_3,caregiver,conduct,full_eligible,rf_regularized,20261101,none,default_0_5,0.5,49,no,0.8170416816279011,0.0444514506097865
126,stage1,caregiver_1_3,caregiver,conduct,full_eligible,rf_pos_weight_mid,20261101,none,default_0_5,0.5,49,yes,0.8223777972688426,0.06322099224398814
127,stage1,caregiver_1_3,caregiver,conduct,compact_subset,rf_baseline,20261101,none,default_0_5,0.5,22,no,0.8182272336351974,0.08779895784927971
128,stage1,caregiver_1_3,caregiver,conduct,compact_subset,rf_balanced_subsample,20261101,none,default_0_5,0.5,22,no,0.8200660645578949,0.06534796951478183
129,stage1,caregiver_1_3,caregiver,conduct,compact_subset,rf_precision_push,20261101,none,default_0_5,0.5,22,no,0.8188772275255316,0.05545275342584599
130,stage1,caregiver_1_3,caregiver,conduct,compact_subset,rf_recall_guard,20261101,none,default_0_5,0.5,22,no,0.8151569953321974,0.08624135928863352
131,stage1,caregiver_1_3,caregiver,conduct,compact_subset,rf_regularized,20261101,none,default_0_5,0.5,22,no,0.8209193619957026,0.030891193429098296
132,stage1,caregiver_1_3,caregiver,conduct,compact_subset,rf_pos_weight_mid,20261101,none,default_0_5,0.5,22,no,0.8143775944126601,0.06637881024984582
133,stage1,caregiver_1_3,caregiver,conduct,balanced_subset,rf_baseline,20261101,none,default_0_5,0.5,27,no,0.8144122607600823,0.09248159703680381
134,stage1,caregiver_1_3,caregiver,conduct,balanced_subset,rf_balanced_subsample,20261101,none,default_0_5,0.5,27,no,0.8198924611118122,0.06846645908397186
135,stage1,caregiver_1_3,caregiver,conduct,balanced_subset,rf_precision_push,20261101,none,default_0_5,0.5,27,no,0.8202480031505026,0.05489318438317681
136,stage1,caregiver_1_3,caregiver,conduct,balanced_subset,rf_recall_guard,20261101,none,default_0_5,0.5,27,no,0.8103100053805322,0.09250451986492791
137,stage1,caregiver_1_3,caregiver,conduct,balanced_subset,rf_regularized,20261101,none,default_0_5,0.5,27,no,0.8175019180112763,0.03450710229048948
138,stage1,caregiver_1_3,caregiver,conduct,balanced_subset,rf_pos_weight_mid,20261101,none,default_0_5,0.5,27,no,0.8161144440501478,0.06479177164149563
139,stage1,caregiver_1_3,caregiver,conduct,precision_oriented_subset,rf_baseline,20261101,none,default_0_5,0.5,20,yes,0.8216434116454321,0.0804690669468523
140,stage1,caregiver_1_3,caregiver,conduct,precision_oriented_subset,rf_balanced_subsample,20261101,none,default_0_5,0.5,20,no,0.8216678862757835,0.05748802833887445
141,stage1,caregiver_1_3,caregiver,conduct,precision_oriented_subset,rf_precision_push,20261101,none,default_0_5,0.5,20,no,0.8195578953316728,0.05024006396484193
142,stage1,caregiver_1_3,caregiver,conduct,precision_oriented_subset,rf_recall_guard,20261101,none,default_0_5,0.5,20,no,0.8195131820928718,0.07786762705008932
143,stage1,caregiver_1_3,caregiver,conduct,precision_oriented_subset,rf_regularized,20261101,none,default_0_5,0.5,20,no,0.81440955791342,0.03508631863243861
144,stage1,caregiver_1_3,caregiver,conduct,precision_oriented_subset,rf_pos_weight_mid,20261101,none,default_0_5,0.5,20,no,0.8202529510741566,0.06013202144398744
145,stage1,caregiver_1_3,caregiver,conduct,stability_pruned_subset,rf_baseline,20261101,none,default_0_5,0.5,24,no,0.8198751686407739,0.08569814509734619
146,stage1,caregiver_1_3,caregiver,conduct,stability_pruned_subset,rf_balanced_subsample,20261101,none,default_0_5,0.5,24,no,0.817625626127621,0.06744878226671513
147,stage1,caregiver_1_3,caregiver,conduct,stability_pruned_subset,rf_precision_push,20261101,none,default_0_5,0.5,24,no,0.8213051495228991,0.0544154123902556
148,stage1,caregiver_1_3,caregiver,conduct,stability_pruned_subset,rf_recall_guard,20261101,none,default_0_5,0.5,24,no,0.8180632775573432,0.08520401825304313
149,stage1,caregiver_1_3,caregiver,conduct,stability_pruned_subset,rf_regularized,20261101,none,default_0_5,0.5,24,no,0.819648348541429,0.03509606062370141
150,stage1,caregiver_1_3,caregiver,conduct,stability_pruned_subset,rf_pos_weight_mid,20261101,none,default_0_5,0.5,24,no,0.8167886289242985,0.0674226346669089
151,stage1,caregiver_1_3,caregiver,conduct,engineered_full,rf_baseline,20261101,none,default_0_5,0.5,58,no,0.8108738215734358,0.08611062128960212
152,stage1,caregiver_1_3,caregiver,conduct,engineered_full,rf_balanced_subsample,20261101,none,default_0_5,0.5,58,no,0.8105565393139738,0.06677488083355809
153,stage1,caregiver_1_3,caregiver,conduct,engineered_full,rf_precision_push,20261101,none,default_0_5,0.5,58,no,0.8025562769309532,0.0657279272853517
154,stage1,caregiver_1_3,caregiver,conduct,engineered_full,rf_recall_guard,20261101,none,default_0_5,0.5,58,no,0.8127709281075803,0.0829659672015517
155,stage1,caregiver_1_3,caregiver,conduct,engineered_full,rf_regularized,20261101,none,default_0_5,0.5,58,no,0.808215291627984,0.04122190417895277
156,stage1,caregiver_1_3,caregiver,conduct,engineered_full,rf_pos_weight_mid,20261101,none,default_0_5,0.5,58,no,0.7986495587158462,0.07667035587978732
157,stage1,caregiver_1_3,caregiver,conduct,engineered_pruned,rf_baseline,20261101,none,default_0_5,0.5,38,no,0.8125566926925267,0.08137894551225533
158,stage1,caregiver_1_3,caregiver,conduct,engineered_pruned,rf_balanced_subsample,20261101,none,default_0_5,0.5,38,no,0.8113415056848405,0.06364335682520728
159,stage1,caregiver_1_3,caregiver,conduct,engineered_pruned,rf_precision_push,20261101,none,default_0_5,0.5,38,no,0.8075774096237577,0.06157207976151735
160,stage1,caregiver_1_3,caregiver,conduct,engineered_pruned,rf_recall_guard,20261101,none,default_0_5,0.5,38,no,0.8080080967459218,0.08556094063589614
161,stage1,caregiver_1_3,caregiver,conduct,engineered_pruned,rf_regularized,20261101,none,default_0_5,0.5,38,no,0.8040913754935662,0.04279918387698656
162,stage1,caregiver_1_3,caregiver,conduct,engineered_pruned,rf_pos_weight_mid,20261101,none,default_0_5,0.5,38,no,0.799480309427912,0.07197795778194649
163,stage1,caregiver_1_3,caregiver,conduct,engineered_compact,rf_baseline,20261101,none,default_0_5,0.5,26,no,0.8158961422145801,0.07930102175033804
164,stage1,caregiver_1_3,caregiver,conduct,engineered_compact,rf_balanced_subsample,20261101,none,default_0_5,0.5,26,no,0.8143883401265509,0.06261253300919722
165,stage1,caregiver_1_3,caregiver,conduct,engineered_compact,rf_precision_push,20261101,none,default_0_5,0.5,26,no,0.8077498447156418,0.05370889689487357
166,stage1,caregiver_1_3,caregiver,conduct,engineered_compact,rf_recall_guard,20261101,none,default_0_5,0.5,26,no,0.8164243830853977,0.07672571253432747
167,stage1,caregiver_1_3,caregiver,conduct,engineered_compact,rf_regularized,20261101,none,default_0_5,0.5,26,no,0.8072789871968826,0.033924807574558846
168,stage1,caregiver_1_3,caregiver,conduct,engineered_compact,rf_pos_weight_mid,20261101,none,default_0_5,0.5,26,no,0.8021236075799144,0.06782212717716585
169,stage2,caregiver_1_3,caregiver,conduct,precision_oriented_subset,rf_baseline,20261101,none,default_0_5,0.5,20,yes,0.8232527929843692,0.0804690669468523
170,stage2,caregiver_1_3,caregiver,conduct,precision_oriented_subset,rf_baseline,20261101,none,balanced,0.22999999999999998,20,yes,0.8107950522147396,0.024425375147718587
171,stage2,caregiver_1_3,caregiver,conduct,precision_oriented_subset,rf_baseline,20261101,none,precision_oriented,0.73,20,yes,0.8263943053951489,0.1024360347306561
172,stage2,caregiver_1_3,caregiver,conduct,precision_oriented_subset,rf_baseline,20261101,none,recall_guard,0.565,20,yes,0.8359461858636116,0.07639498263465772
173,stage2,caregiver_1_3,caregiver,conduct,precision_oriented_subset,rf_baseline,20261101,none,precision_min_recall,0.73,20,yes,0.8263943053951489,0.1024360347306561
