trial_id,stage,mode,role,domain,feature_set_id,config_id,seed,calibration,threshold_policy,threshold,n_features,stage_score,selected_for_stage2,train_precision,train_recall,train_specificity,train_balanced_accuracy,train_f1,train_roc_auc,train_pr_auc,train_brier,train_accuracy,val_precision,val_recall,val_specificity,val_balanced_accuracy,val_f1,val_roc_auc,val_pr_auc,val_brier,val_accuracy,val_objective,overfit_gap_ba,threshold_policy_score,holdout_precision,holdout_recall,holdout_specificity,holdout_balanced_accuracy,holdout_f1,holdout_roc_auc,holdout_pr_auc,holdout_brier,holdout_accuracy
3048,stage1,psychologist_full,psychologist,adhd,engineered_compact,rf_pos_weight_mid,20261101,none,default_0_5,0.5,62,0.8845438330474901,no,0.9755244755244755,0.9893617021276596,0.9939550949913645,0.991658398559512,0.9823943661971831,0.9998132020235426,0.9992387721284379,0.006112991202864548,0.9930555555555556,0.956989247311828,0.9468085106382979,0.9896373056994818,0.9682229081688898,0.9518716577540107,0.9970786021386837,0.9902117529258512,0.015009767364941872,0.98125,0.8845438330474901,0.023435490390622205,,,,,,,,,,
3049,stage2,psychologist_full,psychologist,adhd,engineered_pruned,rf_pos_weight_mid,20261101,none,default_0_5,0.5,100,,yes,0.9789473684210527,0.9893617021276596,0.9948186528497409,0.9920901774887003,0.9841269841269841,0.9998468869045432,0.9993748984985353,0.005805272121970185,0.99375,0.967741935483871,0.9574468085106383,0.9922279792746114,0.9748373938926249,0.9625668449197861,0.9968581192812259,0.9901990813154239,0.014341843553925374,0.9854166666666667,0.8925106940436185,0.017252783596075405,0.8938909167313045,0.88,0.9361702127659575,0.9689119170984456,0.9525410649322015,0.9072164948453608,0.9942123249917318,0.9763413728235097,0.023459402044626435,0.9625
3050,stage2,psychologist_full,psychologist,adhd,engineered_pruned,rf_pos_weight_mid,20261101,none,balanced,0.3999999999999999,100,,yes,0.9591836734693877,1.0,0.9896373056994818,0.9948186528497409,0.9791666666666666,0.9998468869045432,0.9993748984985353,0.005805272121970185,0.9916666666666667,0.9387755102040817,0.9787234042553191,0.9844559585492227,0.9815896814022709,0.9583333333333334,0.9968581192812259,0.9901990813154239,0.014341843553925374,0.9833333333333333,0.8849942374803744,0.01322897144747004,0.9700863445367123,0.875,0.9680851063829787,0.966321243523316,0.9672031749531473,0.9191919191919192,0.9942123249917318,0.9763413728235097,0.023459402044626435,0.9666666666666667
3051,stage2,psychologist_full,psychologist,adhd,engineered_pruned,rf_pos_weight_mid,20261101,none,precision_oriented,0.7649999999999999,100,,yes,1.0,0.9397163120567376,1.0,0.9698581560283688,0.9689213893967094,0.9998468869045432,0.9993748984985353,0.005805272121970185,0.9881944444444445,1.0,0.8617021276595744,1.0,0.9308510638297872,0.9257142857142857,0.9968581192812259,0.9901990813154239,0.014341843553925374,0.9729166666666667,0.8835423878616823,0.03900709219858156,0.9766962301833828,0.961038961038961,0.7872340425531915,0.9922279792746114,0.8897310109139014,0.8654970760233918,0.9942123249917318,0.9763413728235097,0.023459402044626435,0.9520833333333333
3052,stage2,psychologist_full,psychologist,adhd,engineered_pruned,rf_pos_weight_mid,20261101,none,recall_guard,0.48999999999999994,100,,yes,0.9790209790209791,0.9929078014184397,0.9948186528497409,0.9938632271340904,0.9859154929577465,0.9998468869045432,0.9993748984985353,0.005805272121970185,0.9944444444444445,0.967741935483871,0.9574468085106383,0.9922279792746114,0.9748373938926249,0.9625668449197861,0.9968581192812259,0.9901990813154239,0.014341843553925374,0.9854166666666667,0.8923688500719873,0.01902583324146545,0.9685006907841661,0.88,0.9361702127659575,0.9689119170984456,0.9525410649322015,0.9072164948453608,0.9942123249917318,0.9763413728235097,0.023459402044626435,0.9625
3053,stage2,psychologist_full,psychologist,adhd,engineered_pruned,rf_pos_weight_mid,20261101,none,precision_min_recall,0.7649999999999999,100,,yes,1.0,0.9397163120567376,1.0,0.9698581560283688,0.9689213893967094,0.9998468869045432,0.9993748984985353,0.005805272121970185,0.9881944444444445,1.0,0.8617021276595744,1.0,0.9308510638297872,0.9257142857142857,0.9968581192812259,0.9901990813154239,0.014341843553925374,0.9729166666666667,0.8835423878616823,0.03900709219858156,0.9768922485570743,0.961038961038961,0.7872340425531915,0.9922279792746114,0.8897310109139014,0.8654970760233918,0.9942123249917318,0.9763413728235097,0.023459402044626435,0.9520833333333333
3054,stage2,psychologist_full,psychologist,adhd,engineered_pruned,rf_pos_weight_mid,20261101,none,recall_constrained,0.48999999999999994,100,,yes,0.9790209790209791,0.9929078014184397,0.9948186528497409,0.9938632271340904,0.9859154929577465,0.9998468869045432,0.9993748984985353,0.005805272121970185,0.9944444444444445,0.967741935483871,0.9574468085106383,0.9922279792746114,0.9748373938926249,0.9625668449197861,0.9968581192812259,0.9901990813154239,0.014341843553925374,0.9854166666666667,0.8923688500719873,0.01902583324146545,0.9694896255223057,0.88,0.9361702127659575,0.9689119170984456,0.9525410649322015,0.9072164948453608,0.9942123249917318,0.9763413728235097,0.023459402044626435,0.9625
3055,stage2,psychologist_full,psychologist,adhd,engineered_pruned,rf_pos_weight_mid,20261101,sigmoid,default_0_5,0.5,100,,yes,0.989247311827957,0.9787234042553191,0.9974093264248705,0.9880663653400947,0.983957219251337,0.9998468869045432,0.9993748984985353,0.005864139829607926,0.99375,0.967032967032967,0.9361702127659575,0.9922279792746114,0.9641990960202844,0.9513513513513514,0.9968581192812259,0.9901990813154239,0.014667916479987561,0.98125,0.8869910109074433,0.023867269319810314,0.8889003924530281,0.90625,0.925531914893617,0.9766839378238342,0.9511079263587257,0.9157894736842105,0.9942123249917318,0.9763413728235096,0.02531523915451157,0.9666666666666667
3056,stage2,psychologist_full,psychologist,adhd,engineered_pruned,rf_pos_weight_mid,20261101,sigmoid,balanced,0.22999999999999998,100,,yes,0.9591836734693877,1.0,0.9896373056994818,0.9948186528497409,0.9791666666666666,0.9998468869045432,0.9993748984985353,0.005864139829607926,0.9916666666666667,0.9387755102040817,0.9787234042553191,0.9844559585492227,0.9815896814022709,0.9583333333333334,0.9968581192812259,0.9901990813154239,0.014667916479987561,0.9833333333333333,0.8849681516462894,0.01322897144747004,0.9700863445367123,0.875,0.9680851063829787,0.966321243523316,0.9672031749531473,0.9191919191919192,0.9942123249917318,0.9763413728235096,0.02531523915451157,0.9666666666666667
3057,stage2,psychologist_full,psychologist,adhd,engineered_pruned,rf_pos_weight_mid,20261101,sigmoid,precision_oriented,0.7649999999999999,100,,yes,1.0,0.9397163120567376,1.0,0.9698581560283688,0.9689213893967094,0.9998468869045432,0.9993748984985353,0.005864139829607926,0.9881944444444445,1.0,0.8617021276595744,1.0,0.9308510638297872,0.9257142857142857,0.9968581192812259,0.9901990813154239,0.014667916479987561,0.9729166666666667,0.8835163020275972,0.03900709219858156,0.9766962301833828,0.961038961038961,0.7872340425531915,0.9922279792746114,0.8897310109139014,0.8654970760233918,0.9942123249917318,0.9763413728235096,0.02531523915451157,0.9520833333333333
