trial_id,candidate_rank,mean_balanced_accuracy_cv,std_balanced_accuracy_cv,params_json
domain_elimination_research_full,1,1.0,0.0,"{""model__n_estimators"": 260, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 1, ""model__max_features"": null, ""model__max_depth"": 24, ""model__class_weight"": null, ""model__bootstrap"": false}"
domain_elimination_research_full,1,1.0,0.0,"{""model__n_estimators"": 260, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 4, ""model__max_features"": null, ""model__max_depth"": null, ""model__class_weight"": null, ""model__bootstrap"": false}"
domain_elimination_research_full,4,0.9545047791668999,0.005558048757395764,"{""model__n_estimators"": 120, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 2, ""model__max_features"": ""log2"", ""model__max_depth"": 16, ""model__class_weight"": ""balanced_subsample"", ""model__bootstrap"": false}"
domain_elimination_research_full,5,0.9506388837045389,0.008925824271592135,"{""model__n_estimators"": 180, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 6, ""model__max_features"": ""log2"", ""model__max_depth"": 10, ""model__class_weight"": ""balanced_subsample"", ""model__bootstrap"": false}"
domain_elimination_research_full,6,0.9287820445511722,0.0062873594602491905,"{""model__n_estimators"": 120, ""model__min_samples_split"": 2, ""model__min_samples_leaf"": 6, ""model__max_features"": ""log2"", ""model__max_depth"": 24, ""model__class_weight"": null, ""model__bootstrap"": true}"
domain_anxiety_strict_full,1,0.97972792523784,0.013532939753074074,"{""model__n_estimators"": 260, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 1, ""model__max_features"": null, ""model__max_depth"": 24, ""model__class_weight"": null, ""model__bootstrap"": false}"
domain_anxiety_strict_full,2,0.9771294269167908,0.014841663743060021,"{""model__n_estimators"": 260, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 4, ""model__max_features"": null, ""model__max_depth"": null, ""model__class_weight"": null, ""model__bootstrap"": false}"
domain_anxiety_strict_full,3,0.9683474932621916,0.007544226119894344,"{""model__n_estimators"": 180, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 6, ""model__max_features"": ""log2"", ""model__max_depth"": 10, ""model__class_weight"": ""balanced_subsample"", ""model__bootstrap"": false}"
domain_anxiety_strict_full,4,0.9662681118579712,0.010080444467120121,"{""model__n_estimators"": 120, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 2, ""model__max_features"": ""log2"", ""model__max_depth"": 16, ""model__class_weight"": ""balanced_subsample"", ""model__bootstrap"": false}"
domain_anxiety_strict_full,5,0.9570481325471683,0.009431343574750683,"{""model__n_estimators"": 180, ""model__min_samples_split"": 4, ""model__min_samples_leaf"": 2, ""model__max_features"": null, ""model__max_depth"": 10, ""model__class_weight"": ""balanced_subsample"", ""model__bootstrap"": false}"
domain_anxiety_strict_full,6,0.9565840158831406,0.023453263954597008,"{""model__n_estimators"": 120, ""model__min_samples_split"": 2, ""model__min_samples_leaf"": 6, ""model__max_features"": ""log2"", ""model__max_depth"": 24, ""model__class_weight"": null, ""model__bootstrap"": true}"
domain_anxiety_research_full,1,0.9781098022604938,0.011705014667885236,"{""model__n_estimators"": 260, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 1, ""model__max_features"": null, ""model__max_depth"": 24, ""model__class_weight"": null, ""model__bootstrap"": false}"
domain_anxiety_research_full,2,0.9771294269167908,0.014841663743060021,"{""model__n_estimators"": 260, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 4, ""model__max_features"": null, ""model__max_depth"": null, ""model__class_weight"": null, ""model__bootstrap"": false}"
domain_anxiety_research_full,3,0.9683749933885922,0.012494570003087247,"{""model__n_estimators"": 120, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 2, ""model__max_features"": ""log2"", ""model__max_depth"": 16, ""model__class_weight"": ""balanced_subsample"", ""model__bootstrap"": false}"
domain_anxiety_research_full,4,0.9667293702848453,0.010067109809627866,"{""model__n_estimators"": 180, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 6, ""model__max_features"": ""log2"", ""model__max_depth"": 10, ""model__class_weight"": ""balanced_subsample"", ""model__bootstrap"": false}"
domain_anxiety_research_full,5,0.9570481325471683,0.009431343574750683,"{""model__n_estimators"": 180, ""model__min_samples_split"": 4, ""model__min_samples_leaf"": 2, ""model__max_features"": null, ""model__max_depth"": 10, ""model__class_weight"": ""balanced_subsample"", ""model__bootstrap"": false}"
domain_anxiety_research_full,6,0.9565854450017174,0.022719599515374486,"{""model__n_estimators"": 120, ""model__min_samples_split"": 2, ""model__min_samples_leaf"": 6, ""model__max_features"": ""log2"", ""model__max_depth"": 24, ""model__class_weight"": null, ""model__bootstrap"": true}"
domain_depression_strict_full,1,0.9646893450855604,0.010821866877448101,"{""model__n_estimators"": 180, ""model__min_samples_split"": 4, ""model__min_samples_leaf"": 2, ""model__max_features"": null, ""model__max_depth"": 10, ""model__class_weight"": ""balanced_subsample"", ""model__bootstrap"": false}"
domain_depression_strict_full,2,0.9622065463283677,0.01269258725682063,"{""model__n_estimators"": 260, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 1, ""model__max_features"": null, ""model__max_depth"": 24, ""model__class_weight"": null, ""model__bootstrap"": false}"
