trial_id,n_estimators,balanced_accuracy_val,balanced_accuracy_test,precision_val,precision_test,recall_val,recall_test
domain_anxiety_strict_full,160,0.9924242424242424,0.9878787878787879,1.0,0.9701492537313433,0.9848484848484849,0.9848484848484849
domain_anxiety_strict_full,320,0.9924242424242424,0.9878787878787879,1.0,0.9701492537313433,0.9848484848484849,0.9848484848484849
domain_anxiety_strict_full,500,0.9924242424242424,0.9878787878787879,1.0,0.9701492537313433,0.9848484848484849,0.9848484848484849
domain_anxiety_research_full,80,0.9924242424242424,0.9878787878787879,1.0,0.9701492537313433,0.9848484848484849,0.9848484848484849
domain_anxiety_research_full,160,0.9924242424242424,0.9878787878787879,1.0,0.9701492537313433,0.9848484848484849,0.9848484848484849
domain_anxiety_research_full,320,0.9924242424242424,0.9878787878787879,1.0,0.9701492537313433,0.9848484848484849,0.9848484848484849
domain_anxiety_research_full,500,0.9924242424242424,0.9878787878787879,1.0,0.9701492537313433,0.9848484848484849,0.9848484848484849
domain_depression_strict_full,80,0.9854651162790697,0.9883040935672515,0.957983193277311,0.9663865546218487,1.0,1.0
domain_depression_strict_full,160,0.9854651162790697,0.9883040935672515,0.957983193277311,0.9663865546218487,1.0,1.0
domain_depression_strict_full,320,0.9854651162790697,0.9883040935672515,0.957983193277311,0.9663865546218487,1.0,1.0
domain_depression_strict_full,500,0.9854651162790697,0.9883040935672515,0.957983193277311,0.9663865546218487,1.0,1.0
domain_depression_strict_compact,80,0.9723072215422277,0.9476735316552249,0.9568965517241379,0.9469026548672567,0.9736842105263158,0.9304347826086956
domain_depression_strict_compact,160,0.9723072215422277,0.9505975082634122,0.9568965517241379,0.9553571428571429,0.9736842105263158,0.9304347826086956
domain_depression_strict_compact,320,0.9723072215422277,0.9476735316552249,0.9568965517241379,0.9469026548672567,0.9736842105263158,0.9304347826086956
domain_depression_strict_compact,500,0.9723072215422277,0.9520213577421816,0.9568965517241379,0.9473684210526315,0.9736842105263158,0.9391304347826087
domain_depression_research_full,80,0.9839861281109751,0.9665649631324689,0.9658119658119658,0.9649122807017544,0.9912280701754386,0.9565217391304348
domain_depression_research_full,160,0.9839861281109751,0.9665649631324689,0.9658119658119658,0.9649122807017544,0.9912280701754386,0.9565217391304348
domain_depression_research_full,320,0.9839861281109751,0.9665649631324689,0.9658119658119658,0.9649122807017544,0.9912280701754386,0.9565217391304348
domain_depression_research_full,500,0.9839861281109751,0.9665649631324689,0.9658119658119658,0.9649122807017544,0.9912280701754386,0.9565217391304348
internal_adhd_strict_compact,80,0.9706832298136645,0.9693664596273293,0.9693251533742331,0.9810126582278481,0.9813664596273292,0.9627329192546584
internal_adhd_strict_compact,160,0.9706832298136645,0.9693664596273293,0.9693251533742331,0.9810126582278481,0.9813664596273292,0.9627329192546584
internal_adhd_strict_compact,320,0.9706832298136645,0.9693664596273293,0.9693251533742331,0.9810126582278481,0.9813664596273292,0.9627329192546584
internal_adhd_strict_compact,500,0.9706832298136645,0.9693664596273293,0.9693251533742331,0.9810126582278481,0.9813664596273292,0.9627329192546584
