domain,role,mode,old_champion,old_model_family,new_rf_champion,champion_final,promoted,old_f1,new_f1,delta_f1,old_recall,new_recall,delta_recall,old_precision,new_precision,delta_precision,old_specificity,new_specificity,delta_specificity,old_balanced_accuracy,new_balanced_accuracy,delta_balanced_accuracy,old_roc_auc,new_roc_auc,delta_roc_auc,old_pr_auc,new_pr_auc,delta_pr_auc,old_brier,new_brier,delta_brier,old_class,new_class,old_confidence_pct,new_confidence_pct,selection_reason
depression,caregiver,caregiver_full,depression__caregiver_full__hybrid_final_model_structural_compliance_v1__hgb__structural_ranked_direct,hgb,depression__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,depression__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.8372093023255814,0.8421052631578947,0.004895960832313251,0.8780487804878049,0.8780487804878049,0.0,0.8,0.8089887640449438,0.008988764044943753,0.9547738693467336,0.957286432160804,0.002512562814070418,0.9164113249172692,0.9176676063243044,0.0012562814070352646,0.9796696899129796,0.9747824488295134,-0.004887241083466276,0.9142734101315824,0.8627960639110135,-0.051477346220568876,0.0791188340451699,0.04158521288289829,-0.0375336211622716,ACTIVE_LIMITED_USE,ACTIVE_MODERATE_CONFIDENCE,63.0,84.9,rf_improves_or_matches_previous_balance
depression,psychologist,psychologist_1_3,depression__psychologist_1_3__hybrid_final_model_structural_compliance_v1__rf__dsm5_core_plus_context,rf,depression__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,depression__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.8466257668711656,0.8554913294797688,0.008865562608603161,0.8414634146341463,0.9024390243902439,0.060975609756097615,0.8518518518518519,0.8131868131868132,-0.038665038665038676,0.9698492462311558,0.957286432160804,-0.012562814070351758,0.905656330432651,0.929862728275524,0.02420639784287293,0.9772030886138008,0.9770498835641622,-0.00015320504963856063,0.887676427359755,0.864188384932249,-0.023488042427506017,0.0671577284343916,0.05064473656435475,-0.016512991870036853,ACTIVE_LIMITED_USE,ACTIVE_MODERATE_CONFIDENCE,63.0,84.3,rf_improves_or_matches_previous_balance
depression,psychologist,psychologist_2_3,depression__psychologist_2_3__hybrid_structural_mode_rescue_v1__extra_trees__structural_compact_2_3,extra_trees,depression__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,depression__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.8491620111731844,0.8604651162790697,0.011303105105885392,0.926829268292683,0.9024390243902439,-0.024390243902439046,0.7835051546391752,0.8222222222222222,0.03871706758304694,0.9472361809045228,0.9597989949748744,0.012562814070351647,0.9370327245986028,0.9311190096825592,-0.005913714916043533,0.9798688564775094,0.9774788577031498,-0.0023899987743596363,0.9104946822140751,0.8457591170679615,-0.06473556514611367,0.0576198375850678,0.05469919705174863,-0.0029206405333191687,ACTIVE_LIMITED_USE,ACTIVE_MODERATE_CONFIDENCE,63.0,84.9,rf_only_mandate_best_valid_rf_even_if_regression
depression,psychologist,psychologist_full,depression__psychologist_full__v6_hotfix_v1__hgb__no_shortcut_v1,hgb,depression__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,depression__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.7878787878787878,0.8342857142857143,0.04640692640692645,0.7926829268292683,0.8902439024390244,0.09756097560975607,0.7831325301204819,0.7849462365591398,0.0018137064386578583,0.9547738693467336,0.949748743718593,-0.005025125628140614,0.8737283980880011,0.9199963230788086,0.04626792499080756,0.9750275769089348,0.9717183478367446,-0.003309229072190223,0.8740526749277387,0.8245791776503679,-0.049473497277370826,0.0494030151469596,0.048751643442085275,-0.0006513717048743234,ACTIVE_LIMITED_USE,ACTIVE_MODERATE_CONFIDENCE,55.3,84.8,rf_improves_or_matches_previous_balance
elimination,caregiver,caregiver_1_3,elimination__caregiver_1_3__hybrid_elimination_structural_audit_rescue_v1__rf__structural_ranked_direct,rf,elimination__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,elimination__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.8518518518518519,0.8363636363636363,-0.015488215488215551,0.8846153846153846,0.8846153846153846,0.0,0.8214285714285714,0.7931034482758621,-0.028325123152709297,0.9766355140186916,0.9719626168224299,-0.004672897196261738,0.930625449317038,0.9282890007189073,-0.002336448598130647,0.9376797268152408,0.9563039180445723,0.018624191229331455,0.8747553222624959,0.889206555569716,0.01445123330722009,0.1097963130608728,0.07581351210595827,-0.03398280095491453,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,63.0,63.0,rf_only_mandate_best_valid_rf_even_if_regression
elimination,caregiver,caregiver_2_3,elimination__caregiver_2_3__hybrid_elimination_structural_audit_rescue_v1__hgb__structural_no_top1_direct,hgb,elimination__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,elimination__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.8440366972477065,0.8214285714285714,-0.022608125819135072,0.8846153846153846,0.8846153846153846,0.0,0.8070175438596491,0.7666666666666667,-0.04035087719298236,0.9742990654205608,0.9672897196261683,-0.007009345794392496,0.9294572250179728,0.9259525521207764,-0.003504672897196359,0.939409597411934,0.9508896477354422,0.011480050323508184,0.8859817813765182,0.8606195074052196,-0.025362273971298532,0.0365859732281304,0.1324794453750367,0.0958934721469063,ACTIVE_MODERATE_CONFIDENCE,ACTIVE_LIMITED_USE,84.5,63.0,rf_only_mandate_best_valid_rf_even_if_regression
elimination,caregiver,caregiver_full,elimination__caregiver_full__hybrid_elimination_structural_audit_rescue_v1__extra_trees__structural_no_top2_direct,extra_trees,elimination__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,elimination__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.8376068376068376,0.8333333333333334,-0.004273504273504258,0.9423076923076924,0.9615384615384616,0.019230769230769162,0.7538461538461538,0.7352941176470589,-0.018552036199094957,0.9626168224299064,0.9579439252336449,-0.004672897196261516,0.9524622573687994,0.9597411933860532,0.007278936017253823,0.979308950395399,0.9782755212077642,-0.0010334291876348267,0.7564961659746969,0.7453696641138292,-0.011126501860867721,0.1216793572676659,0.029487449009540125,-0.09219190825812579,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,63.0,63.0,rf_improves_or_matches_previous_balance
elimination,psychologist,psychologist_1_3,elimination__psychologist_1_3__hybrid_elimination_structural_audit_rescue_v1__hgb__structural_no_top2_direct,hgb,elimination__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,elimination__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.8214285714285714,0.8135593220338984,-0.007869249394673039,0.8846153846153846,0.9230769230769231,0.03846153846153855,0.7666666666666667,0.7272727272727273,-0.039393939393939426,0.9672897196261684,0.9579439252336449,-0.009345794392523477,0.9259525521207764,0.940510424155284,0.014557872034507535,0.9259525521207764,0.9791292235801582,0.053176671459381764,0.6907051282051282,0.7475775360417276,0.056872407836599415,0.0458965211216198,0.031089486969279757,-0.014807034152340044,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,63.0,63.0,rf_improves_or_matches_previous_balance
elimination,psychologist,psychologist_2_3,elimination__psychologist_2_3__hybrid_elimination_structural_audit_rescue_v1__rf__structural_no_top2_direct,rf,elimination__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,elimination__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.8181818181818182,0.8376068376068376,0.019425019425019396,0.8653846153846154,0.9423076923076923,0.07692307692307687,0.7758620689655172,0.7538461538461538,-0.022015915119363405,0.969626168224299,0.9626168224299065,-0.007009345794392496,0.9175053918044572,0.9524622573687994,0.03495686556434219,0.9278172178289,0.9776464773544212,0.0498292595255212,0.724004109030052,0.6970361089101744,-0.026968000119877544,0.1395246775727929,0.03625781718024713,-0.10326686039254579,ACTIVE_LIMITED_USE,ACTIVE_MODERATE_CONFIDENCE,59.9,84.9,rf_improves_or_matches_previous_balance
elimination,psychologist,psychologist_full,elimination__psychologist_full__hybrid_final_model_structural_compliance_v1__extra_trees__legacy_structural_intersection,extra_trees,elimination__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,elimination__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.8547008547008547,0.8403361344537815,-0.014364720247073137,0.9615384615384616,0.9615384615384616,0.0,0.7692307692307693,0.746268656716418,-0.02296211251435132,0.9649532710280374,0.9602803738317757,-0.004672897196261738,0.9632458662832496,0.9609094176851186,-0.00233644859813098,0.9797133357296908,0.9795111430625449,-0.0002021926671458285,0.7335872913847162,0.7669546564992382,0.033367365114521985,0.0457506020631495,0.029570457099249485,-0.016180144963900016,ACTIVE_LIMITED_USE,ACTIVE_MODERATE_CONFIDENCE,63.0,84.8,rf_only_mandate_best_valid_rf_even_if_regression
