trial_id,stage,mode,role,domain,feature_set_id,config_id,seed,calibration,threshold_policy,threshold,n_features,train_precision,train_recall,train_specificity,train_balanced_accuracy,train_f1,train_roc_auc,train_pr_auc,train_brier,val_precision,val_recall,val_specificity,val_balanced_accuracy,val_f1,val_roc_auc,val_pr_auc,val_brier,val_objective,overfit_gap_ba,selected_for_stage2,is_winner_trial
796,stage2_search,caregiver_2_3,caregiver,anxiety,precision_oriented_subset,rf_positive_push_strong,20260729,sigmoid,precision_oriented,0.63,45,0.9958847736625515,0.937984496124031,0.9991539763113367,0.9685692362176839,0.9660678642714571,0.9997704586891223,0.9989385581736945,0.008895774062331758,0.9629629629629629,0.9069767441860465,0.9923857868020305,0.9496812654940385,0.9341317365269461,0.9938023846063038,0.968673060130733,0.021199426184237685,0.9535414475422138,0.018887970723645342,yes,no
797,stage2_search,caregiver_2_3,caregiver,anxiety,precision_oriented_subset,rf_positive_push_strong,20260729,sigmoid,balanced,0.12499999999999999,45,0.9314079422382672,1.0,0.9839255499153976,0.9919627749576988,0.9644859813084112,0.9997704586891223,0.9989385581736945,0.008895774062331758,0.9120879120879121,0.9651162790697675,0.9796954314720813,0.9724058552709244,0.9378531073446328,0.9938023846063038,0.968673060130733,0.021199426184237685,0.9445533285812463,0.01955691968677442,yes,no
798,stage2_search,caregiver_2_3,caregiver,anxiety,precision_oriented_subset,rf_positive_push_strong,20260729,sigmoid,recall_guard,0.12499999999999999,45,0.9314079422382672,1.0,0.9839255499153976,0.9919627749576988,0.9644859813084112,0.9997704586891223,0.9989385581736945,0.008895774062331758,0.9120879120879121,0.9651162790697675,0.9796954314720813,0.9724058552709244,0.9378531073446328,0.9938023846063038,0.968673060130733,0.021199426184237685,0.9445533285812463,0.01955691968677442,yes,no
799,stage2_search,caregiver_2_3,caregiver,anxiety,precision_oriented_subset,rf_positive_push_strong,20260729,sigmoid,precision_min_recall,0.63,45,0.9958847736625515,0.937984496124031,0.9991539763113367,0.9685692362176839,0.9660678642714571,0.9997704586891223,0.9989385581736945,0.008895774062331758,0.9629629629629629,0.9069767441860465,0.9923857868020305,0.9496812654940385,0.9341317365269461,0.9938023846063038,0.968673060130733,0.021199426184237685,0.9535414475422138,0.018887970723645342,yes,no
800,stage2_search,caregiver_2_3,caregiver,anxiety,precision_oriented_subset,rf_positive_push_strong,20260729,isotonic,default_0_5,0.5,45,0.9416058394160584,1.0,0.9864636209813875,0.9932318104906938,0.9699248120300752,0.9995441965398287,0.9963306069586092,0.007186938376582727,0.9120879120879121,0.9651162790697675,0.9796954314720813,0.9724058552709244,0.9378531073446328,0.9956469129972848,0.970334649699369,0.016572312802736532,0.9449952868724786,0.020825955219769376,yes,no
801,stage2_search,caregiver_2_3,caregiver,anxiety,precision_oriented_subset,rf_positive_push_strong,20260729,isotonic,precision_oriented,0.5049999999999999,45,0.9958847736625515,0.937984496124031,0.9991539763113367,0.9685692362176839,0.9660678642714571,0.9995441965398287,0.9963306069586092,0.007186938376582727,0.9629629629629629,0.9069767441860465,0.9923857868020305,0.9496812654940385,0.9341317365269461,0.9956469129972848,0.970334649699369,0.016572312802736532,0.9540849286760856,0.018887970723645342,yes,no
802,stage2_search,caregiver_2_3,caregiver,anxiety,precision_oriented_subset,rf_positive_push_strong,20260729,isotonic,balanced,0.13,45,0.9314079422382672,1.0,0.9839255499153976,0.9919627749576988,0.9644859813084112,0.9995441965398287,0.9963306069586092,0.007186938376582727,0.9120879120879121,0.9651162790697675,0.9796954314720813,0.9724058552709244,0.9378531073446328,0.9956469129972848,0.970334649699369,0.016572312802736532,0.9450968097151181,0.01955691968677442,yes,no
803,stage2_search,caregiver_2_3,caregiver,anxiety,precision_oriented_subset,rf_positive_push_strong,20260729,isotonic,recall_guard,0.13,45,0.9314079422382672,1.0,0.9839255499153976,0.9919627749576988,0.9644859813084112,0.9995441965398287,0.9963306069586092,0.007186938376582727,0.9120879120879121,0.9651162790697675,0.9796954314720813,0.9724058552709244,0.9378531073446328,0.9956469129972848,0.970334649699369,0.016572312802736532,0.9450968097151181,0.01955691968677442,yes,no
804,stage2_search,caregiver_2_3,caregiver,anxiety,precision_oriented_subset,rf_positive_push_strong,20260729,isotonic,precision_min_recall,0.5049999999999999,45,0.9958847736625515,0.937984496124031,0.9991539763113367,0.9685692362176839,0.9660678642714571,0.9995441965398287,0.9963306069586092,0.007186938376582727,0.9629629629629629,0.9069767441860465,0.9923857868020305,0.9496812654940385,0.9341317365269461,0.9956469129972848,0.970334649699369,0.016572312802736532,0.9540849286760856,0.018887970723645342,yes,yes
805,stage2_search,caregiver_2_3,caregiver,anxiety,full_eligible,rf_baseline,20260712,none,default_0_5,0.5,113,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.006880800651266278,0.9176470588235294,0.9069767441860465,0.9822335025380711,0.9446051233620587,0.9122807017543859,0.9922677369850076,0.963635751265385,0.027977196213271816,0.9292514409403071,0.05539487663794129,yes,no
