mode,domain,target_variant,family,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,available
psychologist,adhd,baseline,lightgbm,0.9459120302568866,0.765527950310559,0.942,0.8537639751552795,0.8441773764067315,0.9411987577639752,0.9408233596022788,0.0936668524256069,yes
psychologist,adhd,baseline,rf,0.941963519596431,0.8179347826086957,0.9345,0.8762173913043478,0.8753008504083791,0.9522189440993788,0.9546727752006416,0.0836124924486349,yes
psychologist,adhd,baseline,xgboost,0.9424544920728128,0.8012422360248448,0.936,0.8686211180124224,0.865717375630858,0.9486335403726708,0.950733769882596,0.0866041705012321,yes
psychologist,conduct,baseline,catboost,0.965359725923106,0.875,0.9878640776699028,0.9314320388349514,0.917863593360282,0.9740898058252428,0.9427644847878534,0.0393860149817733,yes
psychologist,conduct,baseline,lightgbm,0.9716297786720324,0.85625,0.9902912621359224,0.9232706310679611,0.9102869757174392,0.9787166262135922,0.9421668936940172,0.0405395575890034,yes
psychologist,conduct,baseline,rf,0.9494520547945206,0.878125,0.9817961165048544,0.9299605582524272,0.9123550495467004,0.9829262742718448,0.9551527624589802,0.0387574052124572,yes
psychologist,conduct,baseline,xgboost,0.9585714285714286,0.86875,0.9854368932038836,0.9270934466019418,0.9111827956989248,0.9781098300970874,0.9498259729990692,0.038399152457714,yes
psychologist,elimination,elimination_any_baseline,catboost,0.932667525773196,0.5590062111801242,0.948,0.7535031055900621,0.6990317618315085,0.8788322981366459,0.892878574614198,0.1452860249720283,yes
psychologist,elimination,elimination_any_baseline,lightgbm,0.9361048875611984,0.639751552795031,0.944,0.7918757763975155,0.7593198168737737,0.8681242236024844,0.8813695842693255,0.1411011112672969,yes
psychologist,elimination,elimination_any_baseline,rf,0.925404043563048,0.6242236024844721,0.9351111111111112,0.7796673567977916,0.7452994522376254,0.8675182884748103,0.8719538350846414,0.1486063221963885,yes
psychologist,elimination,elimination_any_baseline,xgboost,0.9287096774193548,0.6459627329192547,0.936,0.7909813664596274,0.7598306110102844,0.8719378881987577,0.8831382531498317,0.1387868225574493,yes
psychologist,elimination,elimination_union_internal,catboost,0.932667525773196,0.5590062111801242,0.948,0.7535031055900621,0.6990317618315085,0.8788322981366459,0.892878574614198,0.1452860249720283,yes
psychologist,elimination,elimination_union_internal,lightgbm,0.9361048875611984,0.639751552795031,0.944,0.7918757763975155,0.7593198168737737,0.8681242236024844,0.8813695842693255,0.1411011112672969,yes
psychologist,elimination,elimination_union_internal,rf,0.925404043563048,0.6242236024844721,0.9351111111111112,0.7796673567977916,0.7452994522376254,0.8675182884748103,0.8719538350846414,0.1486063221963885,yes
psychologist,elimination,elimination_union_internal,xgboost,0.9287096774193548,0.6459627329192547,0.936,0.7909813664596274,0.7598306110102844,0.8719378881987577,0.8831382531498317,0.1387868225574493,yes
psychologist,elimination,elimination_overlap_strict,catboost,0.8280445969125214,0.4255319148936169,0.9557291666666669,0.6906305407801419,0.5610766045548654,0.866300975177305,0.7539632091043349,0.1394806492983561,yes
psychologist,elimination,elimination_overlap_strict,lightgbm,0.770476545048399,0.601063829787234,0.9114583333333334,0.7562610815602837,0.6743737957610789,0.8391650044326242,0.7319915533697179,0.1423182784915365,yes
psychologist,elimination,elimination_overlap_strict,rf,0.7475000022821627,0.5538563829787234,0.908203125,0.7310297539893617,0.6354010268813588,0.8499504792774822,0.7245839019998477,0.1466053397412356,yes
psychologist,elimination,elimination_overlap_strict,xgboost,0.8133715480568173,0.5345744680851064,0.9388020833333331,0.7366882757092199,0.6408060306318067,0.8406748670212766,0.7354472014669575,0.1401357240974903,yes
psychologist,elimination,elimination_clear_cases,catboost,0.932667525773196,0.5590062111801242,0.948,0.7535031055900621,0.6990317618315085,0.8788322981366459,0.892878574614198,0.1452860249720283,yes
psychologist,elimination,elimination_clear_cases,lightgbm,0.9361048875611984,0.639751552795031,0.944,0.7918757763975155,0.7593198168737737,0.8681242236024844,0.8813695842693255,0.1411011112672969,yes
psychologist,elimination,elimination_clear_cases,rf,0.925404043563048,0.6242236024844721,0.9351111111111112,0.7796673567977916,0.7452994522376254,0.8675182884748103,0.8719538350846414,0.1486063221963885,yes
psychologist,elimination,elimination_clear_cases,xgboost,0.9287096774193548,0.6459627329192547,0.936,0.7909813664596274,0.7598306110102844,0.8719378881987577,0.8831382531498317,0.1387868225574493,yes
psychologist,anxiety,baseline,catboost,0.9849615558570782,0.9924242424242424,0.9954545454545456,0.993939393939394,0.9886648439280018,0.999931129476584,0.9997738579828132,0.0024307181172375,yes
psychologist,anxiety,baseline,lightgbm,0.9487150733603076,0.9772727272727272,0.9828282828282828,0.9800505050505052,0.961644730349431,0.9940924395469848,0.9836155963760556,0.011961219324973,yes
psychologist,anxiety,baseline,rf,0.9220321931589536,0.9848484848484848,0.975,0.9799242424242424,0.9523937312151138,0.9895661157024792,0.9716507795892876,0.01321358276949,yes
psychologist,anxiety,baseline,xgboost,0.9847319347319348,0.9772727272727272,0.9954545454545456,0.9863636363636364,0.980973860744853,0.9974517906336088,0.9833747938491022,0.007835928350687,yes
psychologist,depression,baseline,catboost,0.9350651827032358,0.8445652173913043,0.9568713450292398,0.9007182812102721,0.884213912871577,0.9771024027459956,0.9585535171623902,0.0590978574611153,yes
psychologist,depression,baseline,lightgbm,0.9332369365775828,0.8130434782608695,0.95906432748538,0.8860539028731248,0.8674516908212561,0.972006102212052,0.948037194835169,0.0666088376826922,yes
psychologist,depression,baseline,rf,0.9611721611721612,0.817391304347826,0.9766081871345028,0.8969997457411645,0.8823477493380405,0.9757564200355964,0.9611642425241782,0.0569947210290041,yes
psychologist,depression,baseline,xgboost,0.926007326007326,0.8434782608695652,0.9546783625730996,0.8990783117213323,0.8828144458281444,0.97232392575642,0.9510537856717736,0.0682404730468988,yes
caregiver,adhd,baseline,tabpfn,,,,,,,,,"no:Running on CPU with more than 1000 samples is not allowed by default due to slow performance. To override this behavior, set the environment"
caregiver,conduct,baseline,tabpfn,,,,,,,,,"no:Running on CPU with more than 1000 samples is not allowed by default due to slow performance. To override this behavior, set the environment"
caregiver,elimination,baseline,tabpfn,,,,,,,,,"no:Running on CPU with more than 1000 samples is not allowed by default due to slow performance. To override this behavior, set the environment"
caregiver,anxiety,baseline,tabpfn,,,,,,,,,"no:Running on CPU with more than 1000 samples is not allowed by default due to slow performance. To override this behavior, set the environment"
caregiver,depression,baseline,tabpfn,,,,,,,,,"no:Running on CPU with more than 1000 samples is not allowed by default due to slow performance. To override this behavior, set the environment"
psychologist,adhd,baseline,tabpfn,,,,,,,,,"no:Running on CPU with more than 1000 samples is not allowed by default due to slow performance. To override this behavior, set the environment"
psychologist,conduct,baseline,tabpfn,,,,,,,,,"no:Running on CPU with more than 1000 samples is not allowed by default due to slow performance. To override this behavior, set the environment"
psychologist,elimination,baseline,tabpfn,,,,,,,,,"no:Running on CPU with more than 1000 samples is not allowed by default due to slow performance. To override this behavior, set the environment"
psychologist,anxiety,baseline,tabpfn,,,,,,,,,"no:Running on CPU with more than 1000 samples is not allowed by default due to slow performance. To override this behavior, set the environment"
psychologist,depression,baseline,tabpfn,,,,,,,,,"no:Running on CPU with more than 1000 samples is not allowed by default due to slow performance. To override this behavior, set the environment"
