domain,mode,pass_name,model_family,config_id,feature_set_id,weight_policy,trials,best_val_score,best_holdout_ba,best_holdout_f1,best_holdout_pr_auc
adhd,psychologist_full,pass_a,hgb,hgb_regularized_v3,compact_subset,none,2,0.9051575312307935,0.9378789549112556,0.8947368421052632,0.9708725770916813
adhd,psychologist_full,pass_a,extra_trees,extra_regularized_v3,compact_subset,none,2,0.9047746676284026,0.9472219159960313,0.9015544041450777,0.9674196846830276
adhd,psychologist_full,pass_a,hgb,hgb_regularized_v3,compact_subset,class_minor_boost,2,0.9036143910790938,0.9419027670598611,0.8958333333333334,0.9700475959459278
adhd,psychologist_full,pass_a,hgb,hgb_regularized_v3,engineered_compact,class_minor_boost,2,0.9033776597749624,0.9738176606768824,0.9292929292929293,0.969794179553909
adhd,psychologist_full,pass_c,rf,rf_precision_guard_v4,engineered_full_no_shortcut_v1,none,2,0.90260732555783,0.9232168448903098,0.8817204301075269,0.9613796159559849
adhd,psychologist_full,pass_b,hgb,hgb_conservative_v3,engineered_full_no_eng_v1,mode_fragile,2,0.9022614694739756,0.9245121816778745,0.8864864864864865,0.9714134252362979
adhd,psychologist_full,pass_b,hgb,hgb_conservative_v3,engineered_full_no_eng_v1,none,2,0.9022614694739756,0.9245121816778745,0.8864864864864865,0.9714134252362979
adhd,psychologist_full,pass_c,xgb,xgb_regularized_v2,engineered_full_no_eng_v1,none,2,0.9021693510567985,0.9406074302722963,0.8911917098445595,0.9728425922330006
adhd,psychologist_full,pass_b,rf,rf_recall_guard_v4,stability_pruned_subset,mode_fragile,2,0.9001879862830499,0.921921508102745,0.8770053475935828,0.952585439647603
adhd,psychologist_full,pass_b,rf,rf_recall_guard_v4,stability_pruned_subset,none,2,0.9001879862830499,0.921921508102745,0.8770053475935828,0.952585439647603
adhd,psychologist_full,pass_a,hgb,hgb_regularized_v3,engineered_compact,none,2,0.8991690423755547,0.9684985117407121,0.9238578680203046,0.9652517648904426
adhd,psychologist_full,pass_c,extra_trees,extra_precision_guard_v3,engineered_full_no_eng_v1,combined_aggressive,2,0.8956284995861937,0.9419027670598611,0.8958333333333334,0.9727596642561179
adhd,psychologist_full,pass_c,xgb,xgb_regularized_v2,engineered_full_no_eng_v1,combined_aggressive,2,0.8861588874818639,0.9512457281446367,0.9025641025641026,0.9700947374747391
adhd,psychologist_full,pass_b,rf,rf_recall_guard_v4,engineered_full_no_shortcut_v1,cost_asym,2,0.8815762203958161,0.8900066144857237,0.8397790055248618,0.9309200291055991
adhd,psychologist_full,pass_a,rf,rf_regularized_v4,compact_subset,class_minor_boost,2,0.8810879257410864,0.9393120934847315,0.8865979381443299,0.9675765274965902
adhd,psychologist_full,pass_b,rf,rf_recall_guard_v4,engineered_full_no_shortcut_v1,mode_fragile,2,0.8736584068864195,0.9032355859331938,0.861878453038674,0.9355941254121748
adhd,psychologist_full,pass_b,rf,rf_recall_guard_v4,engineered_full_no_shortcut_v1,none,2,0.8736584068864195,0.9032355859331938,0.861878453038674,0.9355941254121748
adhd,psychologist_full,pass_a,extra_trees,extra_regularized_v3,compact_subset,class_minor_boost,2,0.8709299434161536,0.943335905633337,0.8877551020408163,0.9631210005831267
adhd,psychologist_full,pass_b,rf,rf_recall_guard_v4,engineered_full_no_eng_v1,cost_asym,2,0.8633191574239167,0.9045309227207585,0.8666666666666667,0.9448539684578593
adhd,psychologist_full,pass_a,rf,rf_regularized_v4,precision_oriented_subset,class_minor_boost,2,0.729301760694526,0.9175669716679529,0.7963800904977375,0.7369834466761507
adhd,psychologist_full,pass_a,extra_trees,extra_regularized_v3,precision_oriented_subset,none,2,0.7288894861268235,0.9109524859442177,0.7873303167420814,0.7388122645912835
adhd,psychologist_full,pass_a,hgb,hgb_regularized_v3,precision_oriented_subset,class_minor_boost,2,0.7244851743560418,0.8974479109249256,0.7867298578199052,0.7611091708333971
