domain,mode,weight_policy,best_ba,best_f1,best_pr_auc,best_selection
elimination,caregiver_2_3,mode_fragile,0.9988317757009346,0.9904761904761905,0.9996371552975328,0.9516014156472062
elimination,caregiver_full,combined_aggressive,0.9988317757009346,0.9904761904761905,1.0,0.956627667002231
elimination,caregiver_full,cost_asym,0.9988317757009346,0.9904761904761905,0.9996371552975327,0.956508518605074
elimination,caregiver_full,none,1.0,1.0,1.0000000000000002,0.9538847995921889
elimination,caregiver_full,mode_fragile,0.9988317757009346,0.9904761904761905,1.0000000000000002,0.9537314609759503
elimination,caregiver_full,class_minor_boost,0.9988317757009346,0.9904761904761905,1.0000000000000002,0.9518582919509142
elimination,psychologist_1_3,none,0.9836448598130841,0.8909090909090909,0.9632185142915255,0.9155145362745736
elimination,psychologist_1_3,cost_asym,0.9836448598130841,0.8813559322033898,0.9607982334892393,0.9105782170640847
elimination,psychologist_1_3,mode_fragile,0.9740294751976994,0.8717948717948718,0.9600072026391112,0.9082882896974993
elimination,psychologist_1_3,combined_aggressive,0.9848130841121495,0.8888888888888888,0.9652640313798163,0.9065952683987784
elimination,psychologist_1_3,class_minor_boost,0.9813084112149533,0.8793103448275862,0.9606929617950102,0.8922073298146734
elimination,psychologist_2_3,cost_asym,0.9988317757009346,0.9904761904761905,1.0,0.9559546092389871
elimination,psychologist_2_3,combined_aggressive,0.9988317757009346,0.9904761904761905,1.0000000000000002,0.9559497095235088
elimination,psychologist_2_3,none,1.0,1.0,1.0000000000000002,0.9541912317320764
elimination,psychologist_2_3,mode_fragile,0.9988317757009346,0.9904761904761905,0.9996371552975327,0.9530582402650166
elimination,psychologist_2_3,class_minor_boost,0.9988317757009346,0.9904761904761905,1.0,0.9518654249579807
elimination,psychologist_full,cost_asym,1.0,1.0,1.0,0.9573045514753727
elimination,psychologist_full,combined_aggressive,0.9988317757009346,0.9904761904761905,1.0000000000000002,0.9572972485769444
elimination,psychologist_full,mode_fragile,1.0,1.0,1.0000000000000002,0.9547361011199101
elimination,psychologist_full,none,1.0,1.0,1.0000000000000002,0.9547361011199101
elimination,psychologist_full,class_minor_boost,0.9988317757009346,0.9904761904761905,1.0000000000000002,0.952522450820482
