domain,mode,source_campaign,model_family,feature_set_id,calibration,threshold_policy,threshold,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,quality_label,overfit_gap_train_val_ba,final_class,role,final_operational_class,overfit_flag,generalization_flag,dataset_ease_flag,confidence_pct,confidence_band,operational_caveat,recommended_for_default_use,role_normalized,generalization_risk_flag,overfit_risk_flag,easy_dataset_flag,secondary_metric_anomaly_flag,secondary_metric_peak,secondary_metric_anomaly_reasons,secondary_anomaly_resolution,mode_fragility_flag,shortcut_risk_flag,calibration_concern_flag,legacy_final_class,normalized_final_class,classification_reason_code,classification_rationale,class_transition
depression,caregiver_full,boosted_v3,catboost,full_eligible,none,default_0_5,0.5,0.8409090909090909,0.9487179487179488,0.965174129353234,0.9569460390355912,0.891566265060241,0.9909108304630694,0.9434742112852106,0.0293666393254193,bueno,0.0337226213696777,ROBUST_PRIMARY,caregiver,ACTIVE_HIGH_CONFIDENCE,no,yes,no,91.4,high,none,yes,guardian,no,no,no,yes,0.9909108304630694,"roc_auc_gt_0_98,suspicious_combo_secondary_plus_brier",por_confirmar,no,no,no,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,robust_metrics_blocked_by_unresolved_secondary_anomaly,"metrics[ba=0.957,f1=0.892,p=0.841,r=0.949,brier=0.029]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT",downgrade
depression,psychologist_1_3,rebuild_v2,rf,stability_pruned_subset,isotonic,default_0_5,0.5,0.7974683544303798,0.7682926829268293,0.9597989949748744,0.8640458389508519,0.782608695652174,0.9483852187768108,0.7681311253035743,0.0565304346753685,malo,0.1146533320982389,HOLD_FOR_LIMITATION,psychologist,ACTIVE_LIMITED_USE,yes,no,no,24.5,limited,limited reliability; escalate to richer mode; overfit risk; low precision; short mode fragile,no,psychologist,yes,yes,no,no,0.9597989949748744,none,not_required,yes,no,no,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.864,f1=0.783,p=0.797,r=0.768,brier=0.057]; generalization_risk_flag; overfit_risk_flag; mode_fragility_flag; class=HOLD_FOR_LIMITATION",unchanged
depression,psychologist_2_3,rebuild_v2,rf,full_eligible,isotonic,recall_constrained,0.5049999999999999,0.8271604938271605,0.8170731707317073,0.964824120603015,0.8909486456673612,0.8220858895705522,0.9556777791396004,0.8330408560571644,0.0479028069363223,malo,0.0778349888653642,HOLD_FOR_LIMITATION,psychologist,ACTIVE_LIMITED_USE,no,yes,no,54.1,limited,limited reliability; escalate to richer mode,no,psychologist,no,no,no,no,0.964824120603015,none,not_required,yes,no,no,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.891,f1=0.822,p=0.827,r=0.817,brier=0.048]; mode_fragility_flag; class=HOLD_FOR_LIMITATION",unchanged
depression,psychologist_full,boosted_v3,hgb,full_eligible,sigmoid,balanced,0.4199999999999999,0.8690476190476191,0.935897435897436,0.972636815920398,0.9542671259089168,0.9012345679012346,0.9923140706722796,0.9533076719585644,0.0253330721238639,bueno,0.0294736032291214,ROBUST_PRIMARY,psychologist,ACTIVE_HIGH_CONFIDENCE,no,yes,no,92.8,high,none,yes,psychologist,no,no,no,yes,0.9923140706722796,"roc_auc_gt_0_98,suspicious_combo_secondary_plus_brier",por_confirmar,no,no,no,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,robust_metrics_blocked_by_unresolved_secondary_anomaly,"metrics[ba=0.954,f1=0.901,p=0.869,r=0.936,brier=0.025]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT",downgrade
elimination,caregiver_1_3,boosted_v3,extra_trees,boosted_eng_full,none,balanced,0.4399999999999999,0.8679245283018868,0.9019607843137256,0.9836829836829836,0.9428218839983546,0.8846153846153846,0.9967777320718496,0.9700376570280697,0.0204136197916666,bueno,0.0028735632183908,ROBUST_PRIMARY,caregiver,ACTIVE_HIGH_CONFIDENCE,no,yes,no,92.4,high,none,yes,guardian,no,no,no,yes,0.9967777320718496,"roc_auc_gt_0_98,specificity_gt_0_98,suspicious_combo_secondary_plus_brier",por_confirmar,yes,no,no,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.943,f1=0.885,p=0.868,r=0.902,brier=0.020]; secondary_metric_anomaly_flag; mode_fragility_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT",downgrade
elimination,caregiver_2_3,rebuild_v2,rf,engineered_compact,isotonic,balanced,0.2049999999999999,0.925925925925926,0.9615384615384616,0.9906542056074766,0.9760963335729692,0.9433962264150944,0.9970794392523366,0.955947602524266,0.010039232809337,muy_bueno,0.0100053987977185,ROBUST_PRIMARY,caregiver,ACTIVE_HIGH_CONFIDENCE,no,yes,no,100.0,high,none,yes,guardian,no,no,no,yes,0.9970794392523366,"roc_auc_gt_0_98,specificity_gt_0_98,brier_very_low,suspicious_combo_secondary_plus_brier",por_confirmar,no,no,no,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,robust_metrics_blocked_by_unresolved_secondary_anomaly,"metrics[ba=0.976,f1=0.943,p=0.926,r=0.962,brier=0.010]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98,brier_very_low,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT",downgrade
elimination,caregiver_full,rebuild_v2,rf,engineered_compact,isotonic,precision_min_recall,0.5049999999999999,0.9615384615384616,0.9615384615384616,0.9953271028037384,0.9784327821711,0.9615384615384616,0.997214234363767,0.9582613967229352,0.0081337265474628,muy_bueno,0.0384615384615384,ROBUST_PRIMARY,caregiver,ACTIVE_HIGH_CONFIDENCE,no,yes,no,100.0,high,none,yes,guardian,no,no,no,yes,0.997214234363767,"roc_auc_gt_0_98,specificity_gt_0_98,brier_very_low,suspicious_combo_secondary_plus_brier",por_confirmar,no,no,no,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,robust_metrics_blocked_by_unresolved_secondary_anomaly,"metrics[ba=0.978,f1=0.962,p=0.962,r=0.962,brier=0.008]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98,brier_very_low,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT",downgrade
elimination,psychologist_1_3,boosted_v3,extra_trees,boosted_eng_full,none,balanced,0.4299999999999999,0.9019607843137256,0.9019607843137256,0.9883449883449884,0.9451528863293568,0.9019607843137256,0.9965720553955848,0.9724347146967124,0.0210442838541666,muy_bueno,0.0028735632183908,ROBUST_PRIMARY,psychologist,ACTIVE_HIGH_CONFIDENCE,no,yes,no,96.9,high,none,yes,psychologist,no,no,no,yes,0.9965720553955848,"roc_auc_gt_0_98,specificity_gt_0_98,suspicious_combo_secondary_plus_brier",por_confirmar,yes,no,no,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.945,f1=0.902,p=0.902,r=0.902,brier=0.021]; secondary_metric_anomaly_flag; mode_fragility_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT",downgrade
elimination,psychologist_2_3,rebuild_v2,rf,engineered_pruned,isotonic,precision_min_recall,0.5049999999999999,0.9615384615384616,0.9615384615384616,0.9953271028037384,0.9784327821711,0.9615384615384616,0.997191768511862,0.957704540598432,0.0082233824203011,muy_bueno,0.0384615384615384,ROBUST_PRIMARY,psychologist,ACTIVE_HIGH_CONFIDENCE,no,yes,no,100.0,high,none,yes,psychologist,no,no,no,yes,0.997191768511862,"roc_auc_gt_0_98,specificity_gt_0_98,brier_very_low,suspicious_combo_secondary_plus_brier",por_confirmar,no,no,no,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,robust_metrics_blocked_by_unresolved_secondary_anomaly,"metrics[ba=0.978,f1=0.962,p=0.962,r=0.962,brier=0.008]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98,brier_very_low,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT",downgrade
elimination,psychologist_full,rebuild_v2,rf,engineered_compact,isotonic,precision_min_recall,0.5049999999999999,0.9433962264150944,0.9615384615384616,0.9929906542056076,0.9772645578720344,0.9523809523809524,0.998090402588066,0.9734743104312084,0.009137193084548,muy_bueno,0.0300143781452193,ROBUST_PRIMARY,psychologist,ACTIVE_HIGH_CONFIDENCE,no,yes,no,100.0,high,none,yes,psychologist,no,no,no,yes,0.998090402588066,"roc_auc_gt_0_98,specificity_gt_0_98,brier_very_low,suspicious_combo_secondary_plus_brier",por_confirmar,no,no,no,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,robust_metrics_blocked_by_unresolved_secondary_anomaly,"metrics[ba=0.977,f1=0.952,p=0.943,r=0.962,brier=0.009]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98,brier_very_low,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT",downgrade
