trial_id,scenario,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,brier_score,tn,fp,fn,tp
T09_calibrated_run,contradictory_inputs,0.8881118881118881,0.8880993788819875,0.910828025477707,0.8881987577639752,0.888,0.89937106918239,0.9512049689440993,0.9646218380931194,0.0856268298554405,111,14,18,143
T09_calibrated_run,mixed_comorbidity_signals,0.8916083916083916,0.8903105590062113,0.90625,0.9006211180124224,0.88,0.9034267912772586,0.9536894409937888,0.9657133209921884,0.08416925642087106,110,15,16,145
T10_thesis_defensible_candidate,incomplete_inputs,0.5629370629370629,0.5,0.5629370629370629,1.0,0.0,0.7203579418344519,0.48370186335403725,0.5634789253379597,0.24605763456265306,0,125,0,161
T10_thesis_defensible_candidate,contradictory_inputs,0.5629370629370629,0.5,0.5629370629370629,1.0,0.0,0.7203579418344519,0.47232298136645956,0.5512065812795582,0.24612356044730038,0,125,0,161
T10_thesis_defensible_candidate,mixed_comorbidity_signals,0.5629370629370629,0.5,0.5629370629370629,1.0,0.0,0.7203579418344519,0.472695652173913,0.5592199089548681,0.24610425118841386,0,125,0,161
T11_ultra_strict_candidate,incomplete_inputs,0.8321678321678322,0.8509316770186335,1.0,0.7018633540372671,1.0,0.8248175182481752,0.9468571428571427,0.9656542246926456,0.0907130480032021,125,0,48,113
T11_ultra_strict_candidate,contradictory_inputs,0.7867132867132867,0.81055900621118,1.0,0.6211180124223602,1.0,0.7662835249042146,0.9446708074534161,0.9632714442284909,0.09359830314536886,125,0,61,100
T11_ultra_strict_candidate,mixed_comorbidity_signals,0.8111888111888111,0.82872049689441,0.9652173913043478,0.6894409937888198,0.968,0.8043478260869565,0.9299875776397516,0.9514697790220675,0.10655038237674722,121,4,50,111
T12_best_combined_honest_candidate,incomplete_inputs,0.8566433566433567,0.8610434782608696,0.910958904109589,0.8260869565217391,0.896,0.8664495114006515,0.9482732919254659,0.9638968054123374,0.08976112429327357,112,13,28,133
T12_best_combined_honest_candidate,contradictory_inputs,0.8566433566433567,0.862832298136646,0.9225352112676056,0.8136645962732919,0.912,0.8646864686468647,0.9474285714285715,0.9636507378273638,0.08915578545488093,114,11,30,131
T12_best_combined_honest_candidate,mixed_comorbidity_signals,0.8636363636363636,0.866360248447205,0.9066666666666666,0.84472049689441,0.888,0.8745980707395499,0.9446459627329192,0.9611734250813042,0.09160218101821815,111,14,25,136
