domain,mode,source_campaign,model_family,feature_set_id,calibration,threshold_policy,threshold,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,quality_label,overfit_gap_train_val_ba,final_class,config_id,n_features
depression,caregiver_2_3,hybrid_structural_mode_rescue_v1,extra_trees,structural_compact_2_3,none,f1_recall_structural_target_band,0.61,0.7978723404255319,0.9146341463414634,0.9522613065326632,0.9334477264370632,0.8522727272727273,0.9797156514278712,0.9079978667723728,0.0584251216087021,malo,0.0295357090816352,HOLD_FOR_LIMITATION,extra_trees_structural_regularized_v1,69.0
depression,caregiver_full,hybrid_final_model_structural_compliance_v1,hgb,structural_ranked_direct,none,validation_f1_recall_precision_guard_v1,0.57,0.8,0.8780487804878049,0.9547738693467336,0.9164113249172692,0.8372093023255814,0.9796696899129796,0.9142734101315824,0.0791188340451699,aceptable,-0.0233590696536429,HOLD_FOR_LIMITATION,hgb_structural_guard_v1,27.0
depression,psychologist_1_3,hybrid_final_model_structural_compliance_v1,rf,dsm5_core_plus_context,none,validation_f1_recall_precision_guard_v1,0.8499999999999999,0.8518518518518519,0.8414634146341463,0.9698492462311558,0.905656330432651,0.8466257668711656,0.9772030886138008,0.887676427359755,0.0671577284343916,bueno,-0.0042871082148789,HOLD_FOR_LIMITATION,rf_structural_guard_v1,11.0
depression,psychologist_2_3,hybrid_structural_mode_rescue_v1,extra_trees,structural_compact_2_3,none,f1_recall_structural_target_band,0.6,0.7835051546391752,0.926829268292683,0.9472361809045228,0.9370327245986028,0.8491620111731844,0.9798688564775094,0.9104946822140751,0.0576198375850678,aceptable,0.0283597546873053,HOLD_FOR_LIMITATION,extra_trees_structural_regularized_v1,83.0
depression,psychologist_full,hybrid_v6_quick_champion_guard_hotfix_v1,hgb,no_shortcut_v1,none,f1_recall_target_band,0.388,0.7831325301204819,0.7926829268292683,0.9547738693467336,0.8737283980880011,0.7878787878787878,0.9750275769089348,0.8740526749277387,0.0494030151469596,bueno,0.0747947052334845,HOLD_FOR_LIMITATION,hgb_quick_guard_v1,150.0
elimination,caregiver_1_3,hybrid_elimination_structural_audit_rescue_v1,rf,ranked_direct,none,validation_f1_recall_guard_anti_clone_v1,0.8699999999999999,0.8214285714285714,0.8846153846153846,0.9766355140186916,0.930625449317038,0.8518518518518519,0.9376797268152408,0.8747553222624959,0.1097963130608728,bueno,-0.0048775809307569,HOLD_FOR_LIMITATION,rf_elimination_guard_regularized_v1,4.0
elimination,caregiver_full,hybrid_elimination_structural_audit_rescue_v1,extra_trees,no_top2_direct,none,validation_f1_recall_guard_anti_clone_v1,0.6799999999999999,0.7538461538461538,0.9423076923076924,0.9626168224299064,0.9524622573687994,0.8376068376068376,0.979308950395399,0.7564961659746969,0.1216793572676659,bueno,-0.0102844682734685,HOLD_FOR_LIMITATION,extra_trees_elimination_guard_regularized_v1,9.0
elimination,psychologist_1_3,hybrid_elimination_structural_audit_rescue_v1,hgb,no_top2_direct,none,validation_f1_recall_guard_anti_clone_v1,0.13,0.7666666666666667,0.8846153846153846,0.9672897196261684,0.9259525521207764,0.8214285714285714,0.9259525521207764,0.6907051282051282,0.0458965211216198,bueno,0.0067499093357511,HOLD_FOR_LIMITATION,hgb_elimination_conservative_v1,5.0
elimination,psychologist_2_3,hybrid_elimination_structural_audit_rescue_v1,rf,no_top2_direct,none,validation_f1_recall_guard_anti_clone_v1,0.91,0.7758620689655172,0.8653846153846154,0.969626168224299,0.9175053918044572,0.8181818181818182,0.9278172178289,0.724004109030052,0.1395246775727929,limitado,-0.0154425398911415,HOLD_FOR_LIMITATION,rf_elimination_guard_regularized_v1,9.0
elimination,psychologist_full,hybrid_final_model_structural_compliance_v1,extra_trees,legacy_structural_intersection,none,validation_f1_recall_precision_guard_v1,0.84,0.7692307692307693,0.9615384615384616,0.9649532710280374,0.9632458662832496,0.8547008547008547,0.9797133357296908,0.7335872913847162,0.0457506020631495,bueno,0.014742864098735,HOLD_FOR_LIMITATION,extra_trees_structural_guard_v1,12.0
