route,domain,config_id,seed,n_features,calibration_strategy,threshold,val_balanced_accuracy,test_balanced_accuracy,test_precision,test_recall,test_specificity,test_f1,test_roc_auc,test_pr_auc,test_brier,robustness_missing15_ba,robustness_missing30_ba,robustness_missing15_delta,robustness_missing30_delta,direct_fill_pct,derived_fill_pct,imputed_fill_pct,remaining_missing_pct
B,elimination,rf_stability,29,17,none,0.7850000000000001,0.8677763975155279,0.7785590062111801,0.9259259259259259,0.6211180124223602,0.936,0.7434944237918215,0.8821863354037267,0.9103388794682006,0.1360728058422009,0.7222360248447205,0.6690186335403727,0.056322981366459635,0.1095403726708074,0.9119703825586178,0.0,0.08802961744138214,0.0
B,elimination,rf_stability,47,17,none,0.7750000000000001,0.8637763975155279,0.7754534161490684,0.9252336448598131,0.6149068322981367,0.936,0.7388059701492538,0.8826335403726708,0.9127240134421353,0.13639320609761685,0.7120248447204969,0.6743354037267081,0.0634285714285715,0.10111801242236029,0.9119703825586178,0.0,0.08802961744138214,0.0
B,anxiety,rf_compact,11,260,none,0.405,0.9643939393939394,0.9409090909090909,0.7974683544303798,0.9545454545454546,0.9272727272727272,0.8689655172413793,0.984366391184573,0.9657739473527456,0.03814192888050605,0.8924242424242425,0.825,0.048484848484848464,0.11590909090909096,0.13015061861215707,0.1331091984938139,0.7367401828940291,0.0
B,anxiety,rf_compact,29,260,none,0.385,0.9643939393939394,0.9386363636363637,0.7875,0.9545454545454546,0.9227272727272727,0.863013698630137,0.9834710743801653,0.9658749882549088,0.03859751481995712,0.9106060606060606,0.7856060606060606,0.028030303030303072,0.15303030303030307,0.13015061861215707,0.1331091984938139,0.7367401828940291,0.0
B,anxiety,rf_compact,47,260,none,0.4650000000000001,0.968939393939394,0.9333333333333333,0.7948717948717948,0.9393939393939394,0.9272727272727272,0.8611111111111112,0.9839531680440772,0.9652656829293369,0.03822947379016611,0.8810606060606061,0.825,0.05227272727272725,0.10833333333333339,0.13015061861215707,0.1331091984938139,0.7367401828940291,0.0
B,anxiety,rf_stability,11,260,none,0.36500000000000005,0.9643939393939394,0.9409090909090909,0.7974683544303798,0.9545454545454546,0.9272727272727272,0.8689655172413793,0.984573002754821,0.9662856376237048,0.03430185562905067,0.896969696969697,0.8295454545454546,0.043939393939393945,0.11136363636363633,0.13015061861215707,0.1331091984938139,0.7367401828940291,0.0
B,anxiety,rf_stability,29,260,none,0.31000000000000005,0.9621212121212122,0.9363636363636364,0.7777777777777778,0.9545454545454546,0.9181818181818182,0.8571428571428571,0.9825068870523416,0.9486313586705648,0.03391335702454837,0.9159090909090909,0.8212121212121213,0.020454545454545503,0.11515151515151512,0.13015061861215707,0.1331091984938139,0.7367401828940291,0.0
B,anxiety,rf_stability,47,260,none,0.37000000000000005,0.9666666666666667,0.9409090909090909,0.7974683544303798,0.9545454545454546,0.9272727272727272,0.8689655172413793,0.9860192837465566,0.968628265107509,0.034091301509271546,0.8962121212121212,0.8325757575757575,0.04469696969696968,0.10833333333333339,0.13015061861215707,0.1331091984938139,0.7367401828940291,0.0
B,depression,rf_compact,11,18,platt_val_fitted,0.31500000000000006,0.9533863729090167,0.9183574879227052,0.8515625,0.9478260869565217,0.8888888888888888,0.897119341563786,0.9776760742435799,0.9693441813491723,0.059543485607026256,0.8950419527078566,0.9097381133994407,0.023315535214848637,0.008619374523264556,0.8811188811188811,0.0,0.11888111888111888,0.0
B,depression,rf_compact,29,18,platt_val_fitted,0.265,0.9519583843329253,0.9139333841851005,0.8333333333333334,0.9565217391304348,0.8713450292397661,0.8906882591093117,0.9761505212306129,0.9666815162207398,0.06049892163771735,0.8920416984490211,0.9008136282735825,0.021891685736079358,0.013119755911518038,0.8811188811188811,0.0,0.11888111888111888,0.0
B,depression,rf_compact,47,18,platt_val_fitted,0.29500000000000004,0.9533863729090167,0.9183574879227052,0.8515625,0.9478260869565217,0.8888888888888888,0.897119341563786,0.9768115942028985,0.9677893668174263,0.06020554199816011,0.9139333841851005,0.9053140096618357,0.004424103737604712,0.01304347826086949,0.8811188811188811,0.0,0.11888111888111888,0.0
B,depression,rf_stability,11,18,platt_val_fitted,0.275,0.9548653610771114,0.9110856852275617,0.84375,0.9391304347826087,0.8830409356725146,0.8888888888888888,0.9780320366132723,0.9697695932519751,0.06020463393547081,0.9022374777523519,0.903813882532418,0.008848207475209868,0.007271802695143714,0.8811188811188811,0.0,0.11888111888111888,0.0
B,depression,rf_stability,29,18,platt_val_fitted,0.275,0.9548653610771114,0.9110856852275617,0.84375,0.9391304347826087,0.8830409356725146,0.8888888888888888,0.9785914060513603,0.9703294619579856,0.0590168548141997,0.9037376048817696,0.9169336384439359,0.007348080345792152,-0.005847953216374213,0.8811188811188811,0.0,0.11888111888111888,0.0
B,depression,rf_stability,47,18,platt_val_fitted,0.29000000000000004,0.9548653610771114,0.9183574879227052,0.8515625,0.9478260869565217,0.8888888888888888,0.897119341563786,0.9777777777777777,0.9687547832094803,0.05934240460996495,0.9080854309687262,0.9096618357487922,0.010272056953979036,0.008695652173912993,0.8811188811188811,0.0,0.11888111888111888,0.0
