domain,slot_a,slot_b,active_model_id_a,active_model_id_b,shared_error_overlap
elimination,elimination/caregiver_1_3,elimination/psychologist_2_3,elimination__caregiver_1_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,elimination__psychologist_2_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,0.4583333333333333
elimination,elimination/caregiver_1_3,elimination/psychologist_full,elimination__caregiver_1_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,elimination__psychologist_full__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,0.4583333333333333
elimination,elimination/caregiver_2_3,elimination/caregiver_full,elimination__caregiver_2_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,elimination__caregiver_full__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,0.6333333333333333
elimination,elimination/caregiver_2_3,elimination/psychologist_1_3,elimination__caregiver_2_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,elimination__psychologist_1_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,0.5769230769230769
elimination,elimination/caregiver_2_3,elimination/psychologist_2_3,elimination__caregiver_2_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,elimination__psychologist_2_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,0.6
elimination,elimination/caregiver_2_3,elimination/psychologist_full,elimination__caregiver_2_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,elimination__psychologist_full__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,0.6
elimination,elimination/caregiver_full,elimination/psychologist_1_3,elimination__caregiver_full__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,elimination__psychologist_1_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,0.42857142857142855
elimination,elimination/caregiver_full,elimination/psychologist_2_3,elimination__caregiver_full__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,elimination__psychologist_2_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,0.4411764705882353
elimination,elimination/caregiver_full,elimination/psychologist_full,elimination__caregiver_full__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,elimination__psychologist_full__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,0.4411764705882353
elimination,elimination/psychologist_1_3,elimination/psychologist_2_3,elimination__psychologist_1_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,elimination__psychologist_2_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,0.9523809523809523
elimination,elimination/psychologist_1_3,elimination/psychologist_full,elimination__psychologist_1_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,elimination__psychologist_full__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,0.9523809523809523
elimination,elimination/psychologist_2_3,elimination/psychologist_full,elimination__psychologist_2_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,elimination__psychologist_full__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,0.9047619047619048
