domain,mode,role,source_campaign,feature_set_id,feature_list_pipe,model_family,config_id,calibration,threshold_policy,threshold,seed,n_features,train_balanced_accuracy,val_balanced_accuracy,val_precision,val_score,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,overfit_gap_train_val_ba,generalization_gap_val_holdout_ba,guard_ok,precision_floor_ok
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__social_anxiety_not_due_substance_medical,social_anxiety_not_due_substance_medical,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.44400000000000006,20270439,1,0.5077224255302404,0.516497461928934,0.1841541755888651,0.07198149222677397,0.17735042735042736,0.9651162790697675,0.02284263959390863,0.49397945933183807,0.2996389891696751,0.49397945933183807,0.17741378453587758,0.2509461244099999,-0.008775036398693592,0.02251800259709591,yes,no
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__adhd_impairment_home,adhd_impairment_home,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.44400000000000006,20270421,1,0.6751269035532994,0.7023668988313068,0.3370165745856354,0.31451688577105136,0.3407821229050279,0.7093023255813954,0.700507614213198,0.7049049698972967,0.46037735849056605,0.7219188997757053,0.304220194209629,0.2125735687485985,-0.027239995278007356,0.002538071065989911,yes,no
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__adhd_impairment_home,adhd_impairment_home,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.44400000000000006,20270439,1,0.6751269035532994,0.7023668988313068,0.3370165745856354,0.31451688577105136,0.3407821229050279,0.7093023255813954,0.700507614213198,0.7049049698972967,0.46037735849056605,0.7219188997757053,0.304220194209629,0.2125735687485985,-0.027239995278007356,0.002538071065989911,yes,no
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__adhd_impairment_school,adhd_impairment_school,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.29000000000000004,20270421,1,0.6458702239011529,0.6806457324991146,0.26621160409556316,0.3284315537462437,0.2673992673992674,0.8488372093023255,0.49238578680203043,0.670611498052178,0.40668523676880225,0.720399008381537,0.3082489573958229,0.21392691518149362,-0.034775508597961746,0.01003423444693663,yes,no
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__adhd_impairment_school,adhd_impairment_school,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.29000000000000004,20270439,1,0.6458702239011529,0.6806457324991146,0.26621160409556316,0.3284315537462437,0.2673992673992674,0.8488372093023255,0.49238578680203043,0.670611498052178,0.40668523676880225,0.720399008381537,0.3082489573958229,0.21392691518149362,-0.034775508597961746,0.01003423444693663,yes,no
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__adhd_impairment_social,adhd_impairment_social,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.31800000000000006,20270421,1,0.6592393656789832,0.6815015936725297,0.2740740740740741,0.32024925919473796,0.30837004405286345,0.813953488372093,0.6015228426395939,0.7077381655058435,0.4472843450479233,0.73196789044977,0.3210369497660759,0.2022424358852348,-0.02226222799354649,0.026236571833313738,yes,no
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__adhd_impairment_social,adhd_impairment_social,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.31800000000000006,20270439,1,0.6592393656789832,0.6815015936725297,0.2740740740740741,0.32024925919473796,0.30837004405286345,0.813953488372093,0.6015228426395939,0.7077381655058435,0.4472843450479233,0.73196789044977,0.3210369497660759,0.2022424358852348,-0.02226222799354649,0.026236571833313738,yes,no
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__conduct_impairment_global,conduct_impairment_global,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.4720000000000001,20270421,1,0.6628005351591705,0.6447585881241884,0.30303030303030304,0.24093827700388903,0.3288590604026846,0.5697674418604651,0.7461928934010152,0.6579801676307402,0.41702127659574467,0.6882747019242119,0.28775610966523746,0.21474970330696083,0.018041947034982075,0.013221579506551784,yes,no
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__conduct_impairment_global,conduct_impairment_global,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.4720000000000001,20270439,1,0.6628005351591705,0.6447585881241884,0.30303030303030304,0.24093827700388903,0.3288590604026846,0.5697674418604651,0.7461928934010152,0.6579801676307402,0.41702127659574467,0.6882747019242119,0.28775610966523746,0.21474970330696083,0.018041947034982075,0.013221579506551784,yes,no
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__dmdd_duration_months,dmdd_duration_months,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.44400000000000006,20270421,1,0.6652500688623932,0.5809231495691182,0.2698412698412698,0.14211932525791005,0.37398373983739835,0.5348837209302325,0.8045685279187818,0.6697261244245072,0.44019138755980863,0.6786241293825995,0.3195597176393098,0.21448796321513744,0.08432691929327507,0.08880297485538902,yes,no
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__dmdd_duration_months,dmdd_duration_months,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.44400000000000006,20270439,1,0.6652500688623932,0.5809231495691182,0.2698412698412698,0.14211932525791005,0.37398373983739835,0.5348837209302325,0.8045685279187818,0.6697261244245072,0.44019138755980863,0.6786241293825995,0.3195597176393098,0.21448796321513744,0.08432691929327507,0.08880297485538902,yes,no
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__encopresis_duration_months_consecutive,encopresis_duration_months_consecutive,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.08,20270421,1,0.5,0.5,0.17916666666666667,0.0661286022289107,0.17916666666666667,1.0,0.0,0.5,0.303886925795053,0.506109078030929,0.18539023960535592,0.2496557243732928,0.0,0.0,no,no
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__encopresis_duration_months_consecutive,encopresis_duration_months_consecutive,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.08,20270439,1,0.5,0.5,0.17916666666666667,0.0661286022289107,0.17916666666666667,1.0,0.0,0.5,0.303886925795053,0.506109078030929,0.18539023960535592,0.2496557243732928,0.0,0.0,no,no
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__enuresis_distress_impairment,enuresis_distress_impairment,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.4860000000000001,20270421,1,0.5047416676504152,0.505725416125605,0.18099547511312217,0.27889662038905716,0.18876404494382024,0.9767441860465116,0.08375634517766498,0.5302502656120883,0.3163841807909605,0.5158777003895645,0.1839413166014372,0.24998033168819825,-0.000983748475189783,0.02452484948648337,yes,no
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__enuresis_distress_impairment,enuresis_distress_impairment,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.4860000000000001,20270439,1,0.5047416676504152,0.505725416125605,0.18099547511312217,0.27889662038905716,0.18876404494382024,0.9767441860465116,0.08375634517766498,0.5302502656120883,0.3163841807909605,0.5158777003895645,0.1839413166014372,0.24998033168819825,-0.000983748475189783,0.02452484948648337,yes,no
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__enuresis_duration_months_consecutive,enuresis_duration_months_consecutive,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.4580000000000001,20270421,1,0.5062468028174557,0.4945106835084406,0.1774891774891775,0.28133014965471204,0.18181818181818182,0.9767441860465116,0.04060913705583756,0.5086766615511745,0.30656934306569344,0.5104031401251328,0.18231474673291903,0.25027409665511624,0.011736119309015136,0.014165978042733951,yes,no
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__enuresis_duration_months_consecutive,enuresis_duration_months_consecutive,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.4580000000000001,20270439,1,0.5062468028174557,0.4945106835084406,0.1774891774891775,0.28133014965471204,0.18181818181818182,0.9767441860465116,0.04060913705583756,0.5086766615511745,0.30656934306569344,0.5104031401251328,0.18231474673291903,0.25027409665511624,0.011736119309015136,0.014165978042733951,yes,no
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__mdd_duration_weeks,mdd_duration_weeks,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.24800000000000005,20270421,1,0.8151831739660804,0.8161374099870145,0.5073529411764706,0.4612638415114844,0.45255474452554745,0.7209302325581395,0.8096446700507615,0.7652874513044505,0.5560538116591929,0.7736394758588125,0.42267098854808716,0.1687241037416762,-0.0009542360209340295,0.05084995868256392,yes,no
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__mdd_duration_weeks,mdd_duration_weeks,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.24800000000000005,20270439,1,0.8151831739660804,0.8161374099870145,0.5073529411764706,0.4612638415114844,0.45255474452554745,0.7209302325581395,0.8096446700507615,0.7652874513044505,0.5560538116591929,0.7736394758588125,0.42267098854808716,0.1687241037416762,-0.0009542360209340295,0.05084995868256392,yes,no
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__mdd_impairment,mdd_impairment,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.192,20270421,1,0.763201904537048,0.7684157714555542,0.3404255319148936,0.4316258771830689,0.34513274336283184,0.9069767441860465,0.6243654822335025,0.7656711132097744,0.5,0.8376372329122889,0.4933598724746837,0.1608187747775851,-0.005213866918506227,0.002744658245779741,yes,no
