path,size_bytes,suffix,root_level,mtime_utc
reports/training/dataset_elimination_core__strict_no_leakage/result.json,11449,.json,no,1777166836
reports/training/dataset_elimination_core__strict_no_leakage/subgroup_metrics.csv,1628,.csv,no,1777166836
reports/training/dataset_elimination_core__strict_no_leakage/threshold_metrics_test.csv,1375,.csv,no,1777166836
reports/training/dataset_elimination_core__strict_no_leakage/threshold_metrics_val.csv,1571,.csv,no,1777166836
reports/training/dataset_elimination_core__strict_no_leakage/top_features_impurity.png,90563,.png,no,1774896623
reports/training/dataset_elimination_core__strict_no_leakage/top_features_permutation.png,83404,.png,no,1774896623
reports/training/dataset_elimination_items__research_extended/feature_importance_impurity.csv,6047,.csv,no,1777166836
reports/training/dataset_elimination_items__research_extended/feature_importance_permutation.csv,5791,.csv,no,1777166836
reports/training/dataset_elimination_items__research_extended/local_explanations.json,6121,.json,no,1777166836
reports/training/dataset_elimination_items__research_extended/result.json,11713,.json,no,1777166836
reports/training/dataset_elimination_items__research_extended/subgroup_metrics.csv,2396,.csv,no,1777166836
reports/training/dataset_elimination_items__research_extended/threshold_metrics_test.csv,1518,.csv,no,1777166836
reports/training/dataset_elimination_items__research_extended/threshold_metrics_val.csv,1686,.csv,no,1777166836
reports/training/dataset_elimination_items__research_extended/top_features_impurity.png,88977,.png,no,1774896623
reports/training/dataset_elimination_items__research_extended/top_features_permutation.png,76995,.png,no,1774896623
reports/training/dataset_elimination_items__strict_no_leakage/feature_importance_impurity.csv,5986,.csv,no,1777166836
reports/training/dataset_elimination_items__strict_no_leakage/feature_importance_permutation.csv,9027,.csv,no,1777166836
reports/training/dataset_elimination_items__strict_no_leakage/local_explanations.json,6100,.json,no,1777166836
reports/training/dataset_elimination_items__strict_no_leakage/result.json,11553,.json,no,1777166836
reports/training/dataset_elimination_items__strict_no_leakage/subgroup_metrics.csv,1597,.csv,no,1777166836
reports/training/dataset_elimination_items__strict_no_leakage/threshold_metrics_test.csv,1379,.csv,no,1777166836
reports/training/dataset_elimination_items__strict_no_leakage/threshold_metrics_val.csv,1505,.csv,no,1777166836
reports/training/dataset_elimination_items__strict_no_leakage/top_features_impurity.png,88574,.png,no,1774896623
reports/training/dataset_elimination_items__strict_no_leakage/top_features_permutation.png,70114,.png,no,1774896623
reports/training/master_multilabel_ready__research_extended/comorbidity_pred_test.csv,231,.csv,no,1777166836
reports/training/master_multilabel_ready__research_extended/comorbidity_real_test.csv,236,.csv,no,1777166836
reports/training/master_multilabel_ready__research_extended/feature_importance_impurity.csv,19534,.csv,no,1777166836
reports/training/master_multilabel_ready__research_extended/feature_importance_permutation.csv,27487,.csv,no,1777166836
reports/training/master_multilabel_ready__research_extended/per_label_metrics_test.csv,1520,.csv,no,1777166836
reports/training/master_multilabel_ready__research_extended/result.json,15520,.json,no,1777166836
reports/training/master_multilabel_ready__strict_no_leakage/comorbidity_pred_test.csv,231,.csv,no,1777166836
reports/training/master_multilabel_ready__strict_no_leakage/comorbidity_real_test.csv,238,.csv,no,1777166836
reports/training/master_multilabel_ready__strict_no_leakage/feature_importance_impurity.csv,19199,.csv,no,1777166836
reports/training/master_multilabel_ready__strict_no_leakage/feature_importance_permutation.csv,26005,.csv,no,1777166836
reports/training/master_multilabel_ready__strict_no_leakage/per_label_metrics_test.csv,1597,.csv,no,1777166836
reports/training/master_multilabel_ready__strict_no_leakage/result.json,14744,.json,no,1777166836
reports/training/model_registry.csv,14657,.csv,no,1777166836
reports/training/split_decisions_binary.csv,2068,.csv,no,1777166836
reports/training/split_decisions_multilabel.csv,176,.csv,no,1777166836
reports/training/training_log.md,441,.md,no,1777166836
reports/training_history/calibration_history.csv,2733,.csv,no,1777166836
reports/training_history/calibration_history_generalization.csv,1,.csv,no,1777166836
reports/training_history/feature_importance_history.csv,29590,.csv,no,1777166836
reports/training_history/fold_metrics_generalization.csv,1789,.csv,no,1777166836
reports/training_history/fold_metrics_history.csv,12741,.csv,no,1777166836
reports/training_history/hyperparameter_history_generalization.csv,5248,.csv,no,1777166836
reports/training_history/hyperparameter_search_history.csv,24707,.csv,no,1777166836
reports/training_history/learning_curve_history.csv,3037,.csv,no,1777166836
reports/training_history/model_acceptance_history.csv,1511,.csv,no,1777166836
reports/training_history/model_comparison_history.csv,7886,.csv,no,1777166836
reports/training_history/n_estimators_curve.csv,6490,.csv,no,1777166836
reports/training_history/permutation_importance_history.csv,28237,.csv,no,1777166836
reports/training_history/seed_stability_history.csv,2822,.csv,no,1777166836
reports/training_history/split_stability_history.csv,1789,.csv,no,1777166836
reports/training_history/stress_test_history.csv,6473,.csv,no,1777166836
reports/training_history/threshold_sweep_history.csv,74870,.csv,no,1777166836
reports/training_history/threshold_sweep_history_generalization.csv,2524,.csv,no,1777166836
reports/training_history/training_history_inventory.csv,377,.csv,no,1777166836
reports/training_history/trial_registry.csv,70785,.csv,no,1777166836
reports/training_history/trial_registry_generalization.csv,4830,.csv,no,1777166836
reports/versioning/champion_models.csv,1156,.csv,no,1777166836
reports/versioning/experiment_lineage.csv,8385,.csv,no,1777166836
reports/versioning/model_registry.csv,52698,.csv,no,1777166836
reports/versioning/model_registry.jsonl,70045,.jsonl,no,1774896623
reports/versioning/promotion_decisions.md,1153,.md,no,1777166836
requirements.txt,585,.txt,yes,1777166836
run.py,2423,.py,yes,1774896623
scripts/__pycache__/analyze_adhd.cpython-311.pyc,453,.pyc,no,1776909646
scripts/__pycache__/audit_class_imbalance.cpython-311.pyc,1489,.pyc,no,1776909646
scripts/__pycache__/audit_core_criteria_sufficiency.cpython-311.pyc,1441,.pyc,no,1776909646
scripts/__pycache__/audit_dataset_coverage.cpython-311.pyc,1491,.pyc,no,1776909646
scripts/__pycache__/audit_dsm5_alignment.cpython-311.pyc,1481,.pyc,no,1776909646
scripts/__pycache__/audit_error_patterns.cpython-311.pyc,1485,.pyc,no,1776909646
scripts/__pycache__/audit_feature_modelability.cpython-311.pyc,1439,.pyc,no,1776909646
scripts/__pycache__/audit_feature_quality.cpython-311.pyc,1499,.pyc,no,1776909646
scripts/__pycache__/audit_learning_curves.cpython-311.pyc,1506,.pyc,no,1776909646
scripts/__pycache__/audit_methodological_risk.cpython-311.pyc,1435,.pyc,no,1776909646
scripts/__pycache__/audit_target_quality.cpython-311.pyc,1495,.pyc,no,1776909646
