domain,role,mode,feature_set_id,position,feature
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,32,conduct_11_lies_to_obtain_or_avoid
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,33,conduct_15_truancy_before_13
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,34,conduct_08_fire_setting
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,35,conduct_13_stays_out_at_night_before_13
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,36,conduct_impairment_global
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,37,conduct_12_steals_without_confrontation
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,38,conduct_14_runs_away_overnight
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,39,dmdd_outbursts_frequency_per_week
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,40,adhd_context_home
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,41,encopresis_event_frequency_per_month
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,42,dmdd_irritable_between_outbursts
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,1,adhd_onset_before_12
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,2,adhd_inatt_08_easily_distracted
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,3,adhd_impairment_home
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,4,adhd_impairment_school
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,5,adhd_inatt_02_sustained_attention_difficulty
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,6,adhd_inatt_03_seems_not_listening
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,7,adhd_inatt_09_forgetful_daily_activities
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,8,adhd_inatt_06_avoids_sustained_effort
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,9,adhd_hypimp_02_leaves_seat
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,10,adhd_inatt_01_attention_to_detail_errors
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,11,adhd_hypimp_04_cannot_play_quietly
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,12,adhd_hypimp_03_runs_or_climbs_inappropriately
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,13,adhd_inatt_07_loses_things
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,14,adhd_hypimp_01_fidgets
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,15,adhd_hypimp_07_blurts_out
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,16,adhd_hypimp_05_driven_by_motor
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,17,adhd_hypimp_09_interrupts_intrudes
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,18,adhd_hypimp_06_talks_excessively
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,19,adhd_inatt_04_fails_to_finish_tasks
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,20,adhd_hypimp_08_difficulty_waiting_turn
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,21,adhd_inatt_05_organization_difficulty
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,22,adhd_impairment_social
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,23,adhd_context_home
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,24,adhd_context_school
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,25,adhd_context_other
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,26,conduct_impairment_global
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,27,dmdd_outbursts_frequency_per_week
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,28,encopresis_event_frequency_per_month
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,29,enuresis_event_frequency_per_week
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,30,agor_impairment
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,31,enuresis_distress_impairment
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,32,mdd_impairment
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,33,gad_impairment
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,34,social_anxiety_impairment
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,35,sep_anx_impairment
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,36,dmdd_duration_months
adhd,caregiver,caregiver_1_3,structural_compact_1_3,1,adhd_onset_before_12
adhd,caregiver,caregiver_1_3,structural_compact_1_3,2,adhd_inatt_08_easily_distracted
adhd,caregiver,caregiver_1_3,structural_compact_1_3,3,adhd_impairment_home
adhd,caregiver,caregiver_1_3,structural_compact_1_3,4,adhd_impairment_school
adhd,caregiver,caregiver_1_3,structural_compact_1_3,5,adhd_inatt_02_sustained_attention_difficulty
adhd,caregiver,caregiver_1_3,structural_compact_1_3,6,adhd_inatt_03_seems_not_listening
adhd,caregiver,caregiver_1_3,structural_compact_1_3,7,adhd_inatt_09_forgetful_daily_activities
adhd,caregiver,caregiver_1_3,structural_compact_1_3,8,adhd_inatt_06_avoids_sustained_effort
adhd,caregiver,caregiver_1_3,structural_compact_1_3,9,adhd_hypimp_02_leaves_seat
adhd,caregiver,caregiver_1_3,structural_compact_1_3,10,adhd_inatt_01_attention_to_detail_errors
adhd,caregiver,caregiver_1_3,structural_compact_1_3,11,adhd_hypimp_04_cannot_play_quietly
adhd,caregiver,caregiver_1_3,structural_compact_1_3,12,adhd_hypimp_03_runs_or_climbs_inappropriately
adhd,caregiver,caregiver_1_3,structural_compact_1_3,13,adhd_inatt_07_loses_things
adhd,caregiver,caregiver_1_3,structural_compact_1_3,14,adhd_hypimp_01_fidgets
adhd,caregiver,caregiver_1_3,structural_compact_1_3,15,adhd_hypimp_07_blurts_out
adhd,caregiver,caregiver_1_3,structural_compact_1_3,16,adhd_hypimp_05_driven_by_motor
adhd,caregiver,caregiver_1_3,structural_compact_1_3,17,adhd_hypimp_09_interrupts_intrudes
adhd,caregiver,caregiver_1_3,structural_compact_1_3,18,adhd_hypimp_06_talks_excessively
adhd,caregiver,caregiver_1_3,structural_compact_1_3,19,adhd_inatt_04_fails_to_finish_tasks
adhd,caregiver,caregiver_1_3,structural_compact_1_3,20,adhd_hypimp_08_difficulty_waiting_turn
adhd,caregiver,caregiver_1_3,structural_compact_1_3,21,adhd_inatt_05_organization_difficulty
adhd,caregiver,caregiver_1_3,structural_compact_1_3,22,adhd_impairment_social
adhd,caregiver,caregiver_1_3,structural_compact_1_3,23,conduct_06_steals_confronting_victim
adhd,caregiver,caregiver_1_3,structural_compact_1_3,24,conduct_03_weapon_use
adhd,caregiver,caregiver_1_3,structural_compact_1_3,25,conduct_04_physical_cruelty_people
adhd,caregiver,caregiver_1_3,structural_compact_1_3,26,conduct_02_initiates_fights
adhd,caregiver,caregiver_1_3,structural_compact_1_3,27,conduct_10_breaks_into_house_building_car
adhd,caregiver,caregiver_1_3,structural_compact_1_3,28,conduct_01_bullies_threatens_intimidates
adhd,caregiver,caregiver_1_3,structural_compact_1_3,29,conduct_07_forced_sex
adhd,caregiver,caregiver_1_3,structural_compact_1_3,30,conduct_09_property_destruction
adhd,caregiver,caregiver_1_3,structural_compact_1_3,31,conduct_05_physical_cruelty_animals
adhd,caregiver,caregiver_1_3,structural_compact_1_3,32,conduct_11_lies_to_obtain_or_avoid
adhd,caregiver,caregiver_1_3,structural_compact_1_3,33,conduct_15_truancy_before_13
adhd,caregiver,caregiver_1_3,structural_compact_1_3,34,conduct_08_fire_setting
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,1,adhd_onset_before_12
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,2,adhd_inatt_08_easily_distracted
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,3,adhd_impairment_home
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,4,adhd_impairment_school
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,5,adhd_inatt_02_sustained_attention_difficulty
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,6,adhd_inatt_03_seems_not_listening
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,7,adhd_inatt_09_forgetful_daily_activities
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,8,adhd_inatt_06_avoids_sustained_effort
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,9,adhd_hypimp_02_leaves_seat
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,10,adhd_inatt_01_attention_to_detail_errors
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,11,adhd_hypimp_04_cannot_play_quietly
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,12,adhd_hypimp_03_runs_or_climbs_inappropriately
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,13,adhd_inatt_07_loses_things
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,14,adhd_hypimp_01_fidgets
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,15,adhd_hypimp_07_blurts_out
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,16,adhd_hypimp_05_driven_by_motor
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,17,adhd_hypimp_09_interrupts_intrudes
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,18,adhd_hypimp_06_talks_excessively
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,19,adhd_inatt_04_fails_to_finish_tasks
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,20,adhd_hypimp_08_difficulty_waiting_turn
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,21,adhd_inatt_05_organization_difficulty
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,22,adhd_impairment_social
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,23,conduct_06_steals_confronting_victim
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,24,conduct_03_weapon_use
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,25,conduct_04_physical_cruelty_people
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,26,conduct_02_initiates_fights
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,27,conduct_10_breaks_into_house_building_car
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,28,conduct_01_bullies_threatens_intimidates
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,29,conduct_07_forced_sex
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,30,conduct_09_property_destruction
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,31,conduct_05_physical_cruelty_animals
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,32,conduct_11_lies_to_obtain_or_avoid
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,33,conduct_15_truancy_before_13
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,34,conduct_08_fire_setting
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,35,conduct_13_stays_out_at_night_before_13
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,36,conduct_impairment_global
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,37,conduct_12_steals_without_confrontation
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,38,conduct_14_runs_away_overnight
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,39,dmdd_outbursts_frequency_per_week
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,40,encopresis_event_frequency_per_month
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,41,dmdd_irritable_between_outbursts
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,42,enuresis_event_frequency_per_week
adhd,caregiver,caregiver_1_3,registry_stability_pruned_subset,1,adhd_hypimp_01_fidgets
adhd,caregiver,caregiver_1_3,registry_stability_pruned_subset,2,adhd_hypimp_02_leaves_seat
adhd,caregiver,caregiver_1_3,registry_stability_pruned_subset,3,adhd_hypimp_03_runs_or_climbs_inappropriately
adhd,caregiver,caregiver_1_3,registry_stability_pruned_subset,4,adhd_hypimp_04_cannot_play_quietly
adhd,caregiver,caregiver_1_3,registry_stability_pruned_subset,5,adhd_hypimp_05_driven_by_motor
adhd,caregiver,caregiver_1_3,registry_stability_pruned_subset,6,adhd_hypimp_07_blurts_out
adhd,caregiver,caregiver_1_3,registry_stability_pruned_subset,7,adhd_hypimp_09_interrupts_intrudes
adhd,caregiver,caregiver_1_3,registry_stability_pruned_subset,8,adhd_inatt_01_attention_to_detail_errors
adhd,caregiver,caregiver_1_3,registry_stability_pruned_subset,9,adhd_inatt_02_sustained_attention_difficulty
adhd,caregiver,caregiver_1_3,registry_stability_pruned_subset,10,adhd_inatt_03_seems_not_listening
adhd,caregiver,caregiver_1_3,registry_stability_pruned_subset,11,adhd_inatt_04_fails_to_finish_tasks
adhd,caregiver,caregiver_1_3,registry_stability_pruned_subset,12,adhd_inatt_05_organization_difficulty
adhd,caregiver,caregiver_1_3,registry_stability_pruned_subset,13,adhd_inatt_06_avoids_sustained_effort
adhd,caregiver,caregiver_1_3,registry_stability_pruned_subset,14,adhd_inatt_07_loses_things
adhd,caregiver,caregiver_1_3,registry_stability_pruned_subset,15,adhd_inatt_08_easily_distracted
adhd,caregiver,caregiver_1_3,registry_stability_pruned_subset,16,adhd_inatt_09_forgetful_daily_activities
adhd,caregiver,caregiver_1_3,registry_stability_pruned_subset,17,conduct_02_initiates_fights
adhd,caregiver,caregiver_1_3,registry_stability_pruned_subset,18,conduct_03_weapon_use
adhd,caregiver,caregiver_1_3,registry_stability_pruned_subset,19,conduct_04_physical_cruelty_people
adhd,caregiver,caregiver_1_3,registry_stability_pruned_subset,20,conduct_06_steals_confronting_victim
adhd,caregiver,caregiver_1_3,registry_stability_pruned_subset,21,conduct_09_property_destruction
adhd,caregiver,caregiver_1_3,registry_stability_pruned_subset,22,conduct_10_breaks_into_house_building_car
adhd,caregiver,caregiver_1_3,registry_stability_pruned_subset,23,conduct_15_truancy_before_13
adhd,caregiver,caregiver_1_3,registry_stability_pruned_subset,24,dmdd_outbursts_frequency_per_week
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,1,adhd_onset_before_12
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,2,adhd_inatt_08_easily_distracted
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,3,adhd_impairment_home
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,4,adhd_impairment_school
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,5,adhd_inatt_02_sustained_attention_difficulty
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,6,adhd_inatt_03_seems_not_listening
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,7,adhd_inatt_09_forgetful_daily_activities
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,8,adhd_inatt_06_avoids_sustained_effort
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,9,adhd_hypimp_02_leaves_seat
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,10,adhd_inatt_01_attention_to_detail_errors
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,11,adhd_hypimp_04_cannot_play_quietly
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,12,adhd_hypimp_03_runs_or_climbs_inappropriately
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,13,adhd_inatt_07_loses_things
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,14,adhd_hypimp_01_fidgets
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,15,adhd_hypimp_07_blurts_out
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,16,adhd_hypimp_05_driven_by_motor
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,17,adhd_hypimp_09_interrupts_intrudes
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,18,adhd_hypimp_06_talks_excessively
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,19,adhd_inatt_04_fails_to_finish_tasks
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,20,adhd_hypimp_08_difficulty_waiting_turn
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,21,adhd_inatt_05_organization_difficulty
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,22,adhd_impairment_social
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,23,conduct_06_steals_confronting_victim
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,24,conduct_03_weapon_use
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,25,conduct_04_physical_cruelty_people
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,26,conduct_02_initiates_fights
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,27,conduct_10_breaks_into_house_building_car
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,28,conduct_01_bullies_threatens_intimidates
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,29,conduct_07_forced_sex
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,30,conduct_09_property_destruction
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,31,conduct_05_physical_cruelty_animals
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,32,conduct_11_lies_to_obtain_or_avoid
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,33,conduct_15_truancy_before_13
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,34,conduct_08_fire_setting
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,35,conduct_13_stays_out_at_night_before_13
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,36,conduct_impairment_global
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,37,conduct_12_steals_without_confrontation
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,38,conduct_14_runs_away_overnight
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,39,dmdd_outbursts_frequency_per_week
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,40,adhd_context_home
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,41,encopresis_event_frequency_per_month
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,42,dmdd_irritable_between_outbursts
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,43,enuresis_event_frequency_per_week
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,44,mdd_03_weight_or_appetite_change
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,45,mdd_01_depressed_or_irritable_mood
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,46,gad_excessive_worry_multiple_areas
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,47,gad_difficulty_controlling_worry
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,48,mdd_02_loss_of_interest_or_pleasure
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,49,adhd_context_school
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,50,mdd_07_worthlessness_or_excessive_guilt
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,51,adhd_context_other
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,52,mdd_05_psychomotor_change
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,53,mdd_04_sleep_change
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,54,mdd_08_concentration_or_decision_difficulty
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,55,mdd_06_fatigue_or_low_energy
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,56,sep_anx_01_distress_on_separation
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,57,mdd_09_death_or_suicidal_thoughts
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,58,sep_anx_02_worry_losing_attachment_figures
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,59,sep_anx_03_worry_event_causing_separation
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,60,sep_anx_08_physical_complaints_on_separation
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,61,sep_anx_04_refuses_leaving_home_school
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,62,sep_anx_07_separation_nightmares
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,63,sep_anx_05_fear_being_alone_without_attachment
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,64,social_anxiety_fear_being_observed
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,65,social_anxiety_almost_always_triggered
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,66,sep_anx_06_refuses_sleep_away_or_alone
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,67,social_anxiety_avoid_or_endure_intense
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,68,social_anxiety_fear_interactions
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,69,social_anxiety_fear_performance
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,70,social_anxiety_fear_negative_evaluation
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,71,agor_escape_help_cognition
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,72,agor_avoid_or_need_companion
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,73,agor_impairment
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,74,enuresis_distress_impairment
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,75,gad_assoc_03_concentration_difficulty
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,76,gad_assoc_01_restlessness
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,77,gad_assoc_02_fatigue
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,78,gad_assoc_04_irritability
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,79,gad_assoc_05_muscle_tension
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,80,mdd_impairment
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,81,gad_assoc_06_sleep_problems
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,82,gad_impairment
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,83,social_anxiety_impairment
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,84,sep_anx_impairment
adhd,caregiver,caregiver_2_3,structural_dsm5_plus_context_2_3,1,adhd_onset_before_12
adhd,caregiver,caregiver_2_3,structural_dsm5_plus_context_2_3,2,adhd_inatt_08_easily_distracted
adhd,caregiver,caregiver_2_3,structural_dsm5_plus_context_2_3,3,adhd_impairment_home
adhd,caregiver,caregiver_2_3,structural_dsm5_plus_context_2_3,4,adhd_impairment_school
adhd,caregiver,caregiver_2_3,structural_dsm5_plus_context_2_3,5,adhd_inatt_02_sustained_attention_difficulty
adhd,caregiver,caregiver_2_3,structural_dsm5_plus_context_2_3,6,adhd_inatt_03_seems_not_listening
adhd,caregiver,caregiver_2_3,structural_dsm5_plus_context_2_3,7,adhd_inatt_09_forgetful_daily_activities
adhd,caregiver,caregiver_2_3,structural_dsm5_plus_context_2_3,8,adhd_inatt_06_avoids_sustained_effort
adhd,caregiver,caregiver_2_3,structural_dsm5_plus_context_2_3,9,adhd_hypimp_02_leaves_seat
adhd,caregiver,caregiver_2_3,structural_dsm5_plus_context_2_3,10,adhd_inatt_01_attention_to_detail_errors
adhd,caregiver,caregiver_2_3,structural_dsm5_plus_context_2_3,11,adhd_hypimp_04_cannot_play_quietly
adhd,caregiver,caregiver_2_3,structural_dsm5_plus_context_2_3,12,adhd_hypimp_03_runs_or_climbs_inappropriately
adhd,caregiver,caregiver_2_3,structural_dsm5_plus_context_2_3,13,adhd_inatt_07_loses_things
adhd,caregiver,caregiver_2_3,structural_dsm5_plus_context_2_3,14,adhd_hypimp_01_fidgets
adhd,caregiver,caregiver_2_3,structural_dsm5_plus_context_2_3,15,adhd_hypimp_07_blurts_out
adhd,caregiver,caregiver_2_3,structural_dsm5_plus_context_2_3,16,adhd_hypimp_05_driven_by_motor
adhd,caregiver,caregiver_2_3,structural_dsm5_plus_context_2_3,17,adhd_hypimp_09_interrupts_intrudes
adhd,caregiver,caregiver_2_3,structural_dsm5_plus_context_2_3,18,adhd_hypimp_06_talks_excessively
adhd,caregiver,caregiver_2_3,structural_dsm5_plus_context_2_3,19,adhd_inatt_04_fails_to_finish_tasks
adhd,caregiver,caregiver_2_3,structural_dsm5_plus_context_2_3,20,adhd_hypimp_08_difficulty_waiting_turn
adhd,caregiver,caregiver_2_3,structural_dsm5_plus_context_2_3,21,adhd_inatt_05_organization_difficulty
adhd,caregiver,caregiver_2_3,structural_dsm5_plus_context_2_3,22,adhd_impairment_social
adhd,caregiver,caregiver_2_3,structural_dsm5_plus_context_2_3,23,adhd_context_home
adhd,caregiver,caregiver_2_3,structural_dsm5_plus_context_2_3,24,adhd_context_school
