domain,role,feature,model_importance_score,questionnaire_rank,rank_score,domain_score,core_score,composite_importance,feature_type,selection_rationale
elimination,caregiver,dmdd_outbursts_severity,0.0020591255969543017,101.0,0.31506849315068497,0.7,1.0,0.30404326142861415,symptom_item,feature DSM-5 explícita; prioridad DSM-5 medium; capa core_symptom; respondible por ambos roles
elimination,caregiver,pdd_depressed_or_irritable_mood,0.0033068783204848757,102.0,0.3082191780821918,0.7,1.0,0.3032972747766808,symptom_item,feature DSM-5 explícita; prioridad DSM-5 medium; capa core_symptom; respondible por ambos roles
elimination,caregiver,gad_excessive_worry_multiple_areas,0.004480386362596772,39.0,0.7397260273972603,0.25,1.0,0.30018539866075045,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
elimination,caregiver,mdd_02_loss_of_interest_or_pleasure,0.005088199915720906,41.0,0.726027397260274,0.25,1.0,0.2977495794099153,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
elimination,caregiver,enuresis_secondary_course,0.10451168545342049,147.0,0.0,1.0,0.45,0.29725584272671024,course_item,feature DSM-5 explícita; prioridad DSM-5 low; capa course; respondible por ambos roles
elimination,caregiver,mdd_08_concentration_or_decision_difficulty,0.0012900817301951454,47.0,0.6849315068493151,0.25,1.0,0.28763134223496056,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
elimination,caregiver,pdd_01_appetite_change,0.012528507900859114,124.0,0.15753424657534243,0.7,1.0,0.27777110326549803,symptom_item,feature DSM-5 explícita; prioridad DSM-5 medium; capa associated_symptom; respondible por ambos roles
elimination,caregiver,social_anxiety_fear_interactions,0.013447461824289575,60.0,0.595890410958904,0.25,1.0,0.2759018131039256,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
elimination,caregiver,pdd_03_low_energy,0.01252618198357632,126.0,0.14383561643835618,0.7,1.0,0.2750302142794594,symptom_item,feature DSM-5 explícita; prioridad DSM-5 medium; capa associated_symptom; respondible por ambos roles
elimination,caregiver,pdd_02_sleep_change,0.0046580489971386405,125.0,0.15068493150684936,0.7,1.0,0.27246601079993915,symptom_item,feature DSM-5 explícita; prioridad DSM-5 medium; capa associated_symptom; respondible por ambos roles
elimination,caregiver,pdd_04_low_self_esteem,0.0027564061586924657,127.0,0.136986301369863,0.7,1.0,0.2687754633533188,symptom_item,feature DSM-5 explícita; prioridad DSM-5 medium; capa associated_symptom; respondible por ambos roles
elimination,caregiver,pdd_impairment,0.005265194919758225,130.0,0.11643835616438358,0.7,1.0,0.2659202686927558,impairment_item,feature DSM-5 explícita; prioridad DSM-5 medium; capa criteria_support; respondible por ambos roles
elimination,caregiver,adhd_impairment_school,0.0007733031313893948,68.0,0.5410958904109588,0.25,1.0,0.2586058296478865,impairment_item,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
elimination,caregiver,adhd_impairment_social,0.0034210411726339146,69.0,0.5342465753424658,0.25,1.0,0.2585598356548101,impairment_item,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
elimination,caregiver,adhd_context_home,0.0022169292415511327,83.0,0.4383561643835616,0.25,1.0,0.23877969749748792,context_flag,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
