domain,mode,role,feature_order,feature,feature_semantic_bucket
elimination,caregiver_2_3,caregiver,72,conduct_04_physical_cruelty_people,cross_domain
elimination,caregiver_2_3,caregiver,73,conduct_05_physical_cruelty_animals,cross_domain
elimination,caregiver_2_3,caregiver,74,age_years,cross_domain
elimination,caregiver_2_3,caregiver,75,conduct_06_steals_confronting_victim,cross_domain
elimination,caregiver_2_3,caregiver,76,conduct_07_forced_sex,cross_domain
elimination,caregiver_2_3,caregiver,77,encopresis_constipation_present,elimination_direct
elimination,caregiver_2_3,caregiver,78,mdd_duration_weeks,cross_domain
elimination,caregiver_2_3,caregiver,79,gad_duration_months,cross_domain
elimination,caregiver_2_3,caregiver,80,conduct_09_property_destruction,cross_domain
elimination,caregiver_2_3,caregiver,81,pdd_duration_months_child,cross_domain
elimination,caregiver_2_3,caregiver,82,conduct_10_breaks_into_house_building_car,cross_domain
elimination,caregiver_2_3,caregiver,83,sep_anx_duration_weeks,cross_domain
elimination,caregiver_2_3,caregiver,84,social_anxiety_duration_months,cross_domain
elimination,caregiver_full,caregiver,1,enuresis_distress_impairment,elimination_direct
elimination,caregiver_full,caregiver,2,enuresis_event_frequency_per_week,elimination_direct
elimination,caregiver_full,caregiver,3,enuresis_duration_months_consecutive,elimination_direct
elimination,caregiver_full,caregiver,4,encopresis_event_frequency_per_month,elimination_direct
elimination,caregiver_full,caregiver,5,enuresis_nocturnal,elimination_direct
elimination,caregiver_full,caregiver,6,encopresis_duration_months_consecutive,elimination_direct
elimination,caregiver_full,caregiver,7,adhd_hypimp_01_fidgets,cross_domain
elimination,caregiver_full,caregiver,8,adhd_hypimp_02_leaves_seat,cross_domain
elimination,caregiver_full,caregiver,9,adhd_hypimp_04_cannot_play_quietly,cross_domain
elimination,caregiver_full,caregiver,10,adhd_hypimp_05_driven_by_motor,cross_domain
elimination,caregiver_full,caregiver,11,adhd_hypimp_06_talks_excessively,cross_domain
elimination,caregiver_full,caregiver,12,adhd_hypimp_08_difficulty_waiting_turn,cross_domain
elimination,caregiver_full,caregiver,13,adhd_hypimp_09_interrupts_intrudes,cross_domain
elimination,caregiver_full,caregiver,14,adhd_inatt_02_sustained_attention_difficulty,cross_domain
elimination,caregiver_full,caregiver,15,adhd_inatt_03_seems_not_listening,cross_domain
elimination,caregiver_full,caregiver,16,adhd_inatt_07_loses_things,cross_domain
elimination,caregiver_full,caregiver,17,adhd_inatt_06_avoids_sustained_effort,cross_domain
elimination,caregiver_full,caregiver,18,adhd_inatt_08_easily_distracted,cross_domain
elimination,caregiver_full,caregiver,19,adhd_inatt_09_forgetful_daily_activities,cross_domain
elimination,caregiver_full,caregiver,20,conduct_01_bullies_threatens_intimidates,cross_domain
elimination,caregiver_full,caregiver,21,enuresis_primary_course,elimination_direct
elimination,caregiver_full,caregiver,22,conduct_08_fire_setting,cross_domain
elimination,caregiver_full,caregiver,23,dmdd_irritable_between_outbursts,cross_domain
elimination,caregiver_full,caregiver,24,dmdd_outbursts_frequency_per_week,cross_domain
elimination,caregiver_full,caregiver,25,gad_difficulty_controlling_worry,cross_domain
elimination,caregiver_full,caregiver,26,mdd_01_depressed_or_irritable_mood,cross_domain
elimination,caregiver_full,caregiver,27,mdd_03_weight_or_appetite_change,cross_domain
elimination,caregiver_full,caregiver,28,mdd_05_psychomotor_change,cross_domain
elimination,caregiver_full,caregiver,29,mdd_04_sleep_change,cross_domain
elimination,caregiver_full,caregiver,30,mdd_06_fatigue_or_low_energy,cross_domain
elimination,caregiver_full,caregiver,31,mdd_07_worthlessness_or_excessive_guilt,cross_domain
elimination,caregiver_full,caregiver,32,mdd_09_death_or_suicidal_thoughts,cross_domain
elimination,caregiver_full,caregiver,33,sep_anx_02_worry_losing_attachment_figures,cross_domain
elimination,caregiver_full,caregiver,34,sep_anx_01_distress_on_separation,cross_domain
elimination,caregiver_full,caregiver,35,sep_anx_04_refuses_leaving_home_school,cross_domain
elimination,caregiver_full,caregiver,36,sep_anx_03_worry_event_causing_separation,cross_domain
elimination,caregiver_full,caregiver,37,sep_anx_05_fear_being_alone_without_attachment,cross_domain
elimination,caregiver_full,caregiver,38,sep_anx_06_refuses_sleep_away_or_alone,cross_domain
elimination,caregiver_full,caregiver,39,sep_anx_07_separation_nightmares,cross_domain
elimination,caregiver_full,caregiver,40,social_anxiety_almost_always_triggered,cross_domain
elimination,caregiver_full,caregiver,41,sep_anx_08_physical_complaints_on_separation,cross_domain
elimination,caregiver_full,caregiver,42,social_anxiety_avoid_or_endure_intense,cross_domain
elimination,caregiver_full,caregiver,43,social_anxiety_fear_being_observed,cross_domain
elimination,caregiver_full,caregiver,44,social_anxiety_fear_performance,cross_domain
elimination,caregiver_full,caregiver,45,social_anxiety_fear_negative_evaluation,cross_domain
elimination,caregiver_full,caregiver,46,agor_escape_help_cognition,cross_domain
elimination,caregiver_full,caregiver,47,agor_avoid_or_need_companion,cross_domain
elimination,caregiver_full,caregiver,48,adhd_impairment_home,cross_domain
elimination,caregiver_full,caregiver,49,adhd_hypimp_03_runs_or_climbs_inappropriately,cross_domain
elimination,caregiver_full,caregiver,50,agor_impairment,cross_domain
elimination,caregiver_full,caregiver,51,conduct_impairment_global,cross_domain
elimination,caregiver_full,caregiver,52,gad_assoc_02_fatigue,cross_domain
elimination,caregiver_full,caregiver,53,adhd_hypimp_07_blurts_out,cross_domain
elimination,caregiver_full,caregiver,54,gad_assoc_03_concentration_difficulty,cross_domain
elimination,caregiver_full,caregiver,55,gad_assoc_01_restlessness,cross_domain
elimination,caregiver_full,caregiver,56,gad_assoc_04_irritability,cross_domain
elimination,caregiver_full,caregiver,57,adhd_inatt_01_attention_to_detail_errors,cross_domain
elimination,caregiver_full,caregiver,58,gad_assoc_05_muscle_tension,cross_domain
elimination,caregiver_full,caregiver,59,encopresis_visible_deposition_pattern,elimination_direct
elimination,caregiver_full,caregiver,60,gad_impairment,cross_domain
elimination,caregiver_full,caregiver,61,adhd_inatt_05_organization_difficulty,cross_domain
elimination,caregiver_full,caregiver,62,gad_assoc_06_sleep_problems,cross_domain
elimination,caregiver_full,caregiver,63,adhd_inatt_04_fails_to_finish_tasks,cross_domain
elimination,caregiver_full,caregiver,64,sep_anx_impairment,cross_domain
elimination,caregiver_full,caregiver,65,mdd_impairment,cross_domain
elimination,caregiver_full,caregiver,66,enuresis_diurnal,elimination_direct
elimination,caregiver_full,caregiver,67,social_anxiety_impairment,cross_domain
elimination,caregiver_full,caregiver,68,conduct_02_initiates_fights,cross_domain
elimination,caregiver_full,caregiver,69,agor_duration_months,cross_domain
elimination,caregiver_full,caregiver,70,dmdd_duration_months,cross_domain
elimination,caregiver_full,caregiver,71,conduct_03_weapon_use,cross_domain
elimination,caregiver_full,caregiver,72,conduct_04_physical_cruelty_people,cross_domain
elimination,caregiver_full,caregiver,73,conduct_05_physical_cruelty_animals,cross_domain
elimination,caregiver_full,caregiver,74,age_years,cross_domain
elimination,caregiver_full,caregiver,75,conduct_06_steals_confronting_victim,cross_domain
elimination,caregiver_full,caregiver,76,conduct_07_forced_sex,cross_domain
elimination,caregiver_full,caregiver,77,encopresis_constipation_present,elimination_direct
elimination,caregiver_full,caregiver,78,mdd_duration_weeks,cross_domain
elimination,caregiver_full,caregiver,79,gad_duration_months,cross_domain
elimination,caregiver_full,caregiver,80,conduct_09_property_destruction,cross_domain
elimination,caregiver_full,caregiver,81,pdd_duration_months_child,cross_domain
elimination,caregiver_full,caregiver,82,conduct_10_breaks_into_house_building_car,cross_domain
elimination,caregiver_full,caregiver,83,sep_anx_duration_weeks,cross_domain
elimination,caregiver_full,caregiver,84,social_anxiety_duration_months,cross_domain
elimination,caregiver_full,caregiver,85,conduct_11_lies_to_obtain_or_avoid,cross_domain
elimination,caregiver_full,caregiver,86,conduct_12_steals_without_confrontation,cross_domain
elimination,caregiver_full,caregiver,87,agor_fear_03_enclosed_spaces,cross_domain
elimination,caregiver_full,caregiver,88,conduct_15_truancy_before_13,cross_domain
elimination,caregiver_full,caregiver,89,conduct_13_stays_out_at_night_before_13,cross_domain
elimination,caregiver_full,caregiver,90,conduct_14_runs_away_overnight,cross_domain
elimination,caregiver_full,caregiver,91,agor_fear_04_crowds_queues,cross_domain
elimination,caregiver_full,caregiver,92,agor_fear_05_outside_home_alone,cross_domain
elimination,caregiver_full,caregiver,93,dmdd_outbursts_severity,cross_domain
elimination,caregiver_full,caregiver,94,pdd_depressed_or_irritable_mood,cross_domain
elimination,caregiver_full,caregiver,95,gad_excessive_worry_multiple_areas,cross_domain
elimination,caregiver_full,caregiver,96,mdd_02_loss_of_interest_or_pleasure,cross_domain
elimination,caregiver_full,caregiver,97,enuresis_secondary_course,elimination_direct
elimination,caregiver_full,caregiver,98,mdd_08_concentration_or_decision_difficulty,cross_domain
elimination,caregiver_full,caregiver,99,pdd_01_appetite_change,cross_domain
elimination,caregiver_full,caregiver,100,social_anxiety_fear_interactions,cross_domain
elimination,caregiver_full,caregiver,101,pdd_03_low_energy,cross_domain
elimination,caregiver_full,caregiver,102,pdd_02_sleep_change,cross_domain
elimination,caregiver_full,caregiver,103,pdd_04_low_self_esteem,cross_domain
elimination,caregiver_full,caregiver,104,pdd_impairment,cross_domain
elimination,caregiver_full,caregiver,105,adhd_impairment_school,cross_domain
elimination,caregiver_full,caregiver,106,adhd_impairment_social,cross_domain
elimination,caregiver_full,caregiver,107,adhd_context_home,cross_domain
elimination,caregiver_full,caregiver,108,adhd_context_school,cross_domain
elimination,caregiver_full,caregiver,109,agor_fear_01_public_transport,cross_domain
elimination,caregiver_full,caregiver,110,agor_fear_02_open_spaces,cross_domain
elimination,caregiver_full,caregiver,111,adhd_onset_before_12,cross_domain
elimination,caregiver_full,caregiver,112,agor_almost_always_triggered,cross_domain
elimination,caregiver_full,caregiver,113,pdd_05_concentration_difficulty,cross_domain
elimination,caregiver_full,caregiver,114,dmdd_onset_before_10,cross_domain
elimination,caregiver_full,caregiver,115,pdd_06_hopelessness,cross_domain
elimination,caregiver_full,caregiver,116,adhd_context_other,cross_domain
elimination,caregiver_full,caregiver,117,dmdd_context_home,cross_domain
elimination,caregiver_full,caregiver,118,dmdd_context_peers,cross_domain
elimination,caregiver_full,caregiver,119,dmdd_context_school,cross_domain
elimination,caregiver_full,caregiver,120,conduct_onset_before_10,cross_domain
elimination,caregiver_full,caregiver,121,social_anxiety_children_peer_only_flag,cross_domain
elimination,caregiver_full,caregiver,122,conduct_lpe_01_lack_remorse_guilt,cross_domain
elimination,caregiver_full,caregiver,123,pdd_no_gap_gt_2_months,cross_domain
elimination,caregiver_full,caregiver,124,conduct_lpe_02_callous_lack_empathy,cross_domain
elimination,caregiver_full,caregiver,125,conduct_lpe_04_shallow_deficient_affect,cross_domain
elimination,caregiver_full,caregiver,126,conduct_lpe_03_unconcerned_performance,cross_domain
elimination,psychologist_1_3,psychologist,1,enuresis_distress_impairment,elimination_direct
elimination,psychologist_1_3,psychologist,2,enuresis_duration_months_consecutive,elimination_direct
elimination,psychologist_1_3,psychologist,3,enuresis_event_frequency_per_week,elimination_direct
elimination,psychologist_1_3,psychologist,4,encopresis_event_frequency_per_month,elimination_direct
elimination,psychologist_1_3,psychologist,5,encopresis_duration_months_consecutive,elimination_direct
elimination,psychologist_1_3,psychologist,6,enuresis_nocturnal,elimination_direct
elimination,psychologist_1_3,psychologist,7,enuresis_primary_course,elimination_direct
elimination,psychologist_1_3,psychologist,8,adhd_hypimp_01_fidgets,cross_domain
elimination,psychologist_1_3,psychologist,9,adhd_hypimp_02_leaves_seat,cross_domain
elimination,psychologist_1_3,psychologist,10,adhd_hypimp_04_cannot_play_quietly,cross_domain
elimination,psychologist_1_3,psychologist,11,adhd_hypimp_06_talks_excessively,cross_domain
elimination,psychologist_1_3,psychologist,12,adhd_hypimp_05_driven_by_motor,cross_domain
elimination,psychologist_1_3,psychologist,13,adhd_hypimp_08_difficulty_waiting_turn,cross_domain
elimination,psychologist_1_3,psychologist,14,adhd_hypimp_09_interrupts_intrudes,cross_domain
elimination,psychologist_1_3,psychologist,15,adhd_inatt_02_sustained_attention_difficulty,cross_domain
elimination,psychologist_1_3,psychologist,16,adhd_inatt_03_seems_not_listening,cross_domain
elimination,psychologist_1_3,psychologist,17,adhd_inatt_07_loses_things,cross_domain
elimination,psychologist_1_3,psychologist,18,adhd_inatt_06_avoids_sustained_effort,cross_domain
elimination,psychologist_1_3,psychologist,19,adhd_inatt_08_easily_distracted,cross_domain
elimination,psychologist_1_3,psychologist,20,adhd_inatt_09_forgetful_daily_activities,cross_domain
elimination,psychologist_1_3,psychologist,21,conduct_01_bullies_threatens_intimidates,cross_domain
elimination,psychologist_1_3,psychologist,22,conduct_08_fire_setting,cross_domain
elimination,psychologist_1_3,psychologist,23,dmdd_irritable_between_outbursts,cross_domain
elimination,psychologist_1_3,psychologist,24,dmdd_outbursts_frequency_per_week,cross_domain
elimination,psychologist_1_3,psychologist,25,mdd_01_depressed_or_irritable_mood,cross_domain
elimination,psychologist_1_3,psychologist,26,gad_difficulty_controlling_worry,cross_domain
elimination,psychologist_1_3,psychologist,27,mdd_03_weight_or_appetite_change,cross_domain
elimination,psychologist_1_3,psychologist,28,mdd_05_psychomotor_change,cross_domain
elimination,psychologist_1_3,psychologist,29,mdd_04_sleep_change,cross_domain
elimination,psychologist_1_3,psychologist,30,mdd_06_fatigue_or_low_energy,cross_domain
