domain,mode,seed,precision,recall,balanced_accuracy,pr_auc,brier
depression,caregiver_1_3,20270439,0.7411764705882353,0.7682926829268293,0.8565081505086407,0.8016351587998618,0.06261349644593663
depression,caregiver_2_3,20270421,0.7789473684210526,0.9024390243902439,0.9248376026473832,0.9185052705693368,0.04398048897286791
depression,caregiver_2_3,20270439,0.7789473684210526,0.9024390243902439,0.9248376026473832,0.9289704548075831,0.04163199629974636
depression,caregiver_full,20270421,0.8695652173913043,0.7317073170731707,0.8545471258732688,0.9107719497152142,0.04483035271273703
depression,caregiver_full,20270439,0.855072463768116,0.7195121951219512,0.8471932834906238,0.9056957711080564,0.04651190438206194
depression,psychologist_1_3,20270421,0.7216494845360825,0.8536585365853658,0.8929096703027332,0.7828191283478818,0.05928689625498437
depression,psychologist_1_3,20270439,0.7252747252747253,0.8048780487804879,0.8710319892143645,0.7916496613064393,0.0649611518832924
depression,psychologist_2_3,20270421,0.76,0.926829268292683,0.9332638803774973,0.9216218513577203,0.04194394009028222
depression,psychologist_2_3,20270439,0.7676767676767676,0.926829268292683,0.9345201617845325,0.9214367038260767,0.0426596674819807
depression,psychologist_full,20270421,0.8955223880597015,0.7317073170731707,0.8570596886873392,0.9303967978564984,0.04453286614803738
depression,psychologist_full,20270439,0.8955223880597015,0.7317073170731707,0.8570596886873392,0.9303967978564984,0.04453286614803738
elimination,caregiver_1_3,20270421,0.7704918032786885,0.9038461538461539,0.9355679367361611,0.934394317624906,0.02349469135163993
elimination,caregiver_1_3,20270439,0.7966101694915254,0.9038461538461539,0.9379043853342919,0.9298133850054884,0.02368141937632063
elimination,caregiver_2_3,20270421,0.9285714285714286,1.0,0.9953271028037383,0.9992673328123255,0.00570379528436429
elimination,caregiver_2_3,20270439,0.9285714285714286,1.0,0.9953271028037383,0.9985056435212244,0.005639378754729322
elimination,caregiver_full,20270421,0.9285714285714286,1.0,0.9953271028037383,1.0000000000000002,0.005723418279190726
elimination,caregiver_full,20270439,0.9285714285714286,1.0,0.9953271028037383,0.9988902589058399,0.006056043218522481
elimination,psychologist_1_3,20270421,0.7741935483870968,0.9230769230769231,0.9451833213515457,0.9285374753636498,0.022442918592130875
elimination,psychologist_1_3,20270439,0.7741935483870968,0.9230769230769231,0.9451833213515457,0.9329201014713793,0.022656068478599727
elimination,psychologist_2_3,20270421,0.9122807017543859,1.0,0.9941588785046729,0.9996371552975328,0.005784398018693529
elimination,psychologist_2_3,20270439,0.9122807017543859,1.0,0.9941588785046729,0.9985056435212245,0.005891911978170267
elimination,psychologist_full,20270421,0.9122807017543859,1.0,0.9941588785046729,0.9992673328123255,0.005968844266291582
elimination,psychologist_full,20270439,0.9285714285714286,1.0,0.9953271028037383,0.9981849859763291,0.0059075219520482855
