mode,domain,metric,band,value
psychologist,anxiety,ppv,moderate,1.0
psychologist,anxiety,npv,moderate,0.9718875502008032
psychologist,anxiety,band_rate,high,0.2410958904109589
psychologist,anxiety,calibration_gap,high,0.014345464870309188
psychologist,anxiety,avg_confidence,high,99.0
psychologist,anxiety,ppv,high,1.0
psychologist,anxiety,npv,high,
psychologist,anxiety,band_rate,uncertain,0.07123287671232877
psychologist,anxiety,calibration_gap,uncertain,0.07692307692307693
psychologist,anxiety,avg_confidence,uncertain,29.58791208791209
psychologist,anxiety,ppv,uncertain,1.0
psychologist,anxiety,npv,uncertain,0.92
psychologist,anxiety,uncertainty_rate,all,0.07123287671232877
psychologist,anxiety,caveat_strong_rate,all,0.0
psychologist,anxiety,overconfident_rate,all,0.0
psychologist,conduct,band_rate,low,0.7205479452054795
psychologist,conduct,calibration_gap,low,0.013167026579773665
psychologist,conduct,avg_confidence,low,87.52626614935414
psychologist,conduct,ppv,low,
psychologist,conduct,npv,low,0.9581749049429658
psychologist,conduct,band_rate,moderate,0.0027397260273972603
psychologist,conduct,calibration_gap,moderate,0.5232717031755831
psychologist,conduct,avg_confidence,moderate,40.49379909269053
psychologist,conduct,ppv,moderate,1.0
psychologist,conduct,npv,moderate,
psychologist,conduct,band_rate,high,0.27123287671232876
psychologist,conduct,calibration_gap,high,0.07816889865533128
psychologist,conduct,avg_confidence,high,94.42057942057941
psychologist,conduct,ppv,high,0.9797979797979798
psychologist,conduct,npv,high,
psychologist,conduct,band_rate,uncertain,0.005479452054794521
psychologist,conduct,calibration_gap,uncertain,0.30925018775323454
psychologist,conduct,avg_confidence,uncertain,34.14280349907584
psychologist,conduct,ppv,uncertain,1.0
psychologist,conduct,npv,uncertain,1.0
psychologist,conduct,uncertainty_rate,all,0.005479452054794521
psychologist,conduct,caveat_strong_rate,all,0.0
psychologist,conduct,overconfident_rate,all,0.0
psychologist,depression,band_rate,low,0.0
psychologist,depression,band_rate,moderate,0.5753424657534246
psychologist,depression,calibration_gap,moderate,0.036604976301271915
psychologist,depression,avg_confidence,moderate,37.47060024097042
psychologist,depression,ppv,moderate,
psychologist,depression,npv,moderate,0.9476190476190476
psychologist,depression,band_rate,high,0.40821917808219177
psychologist,depression,calibration_gap,high,0.12272079984958728
psychologist,depression,avg_confidence,high,94.39861675939221
psychologist,depression,ppv,high,0.9530201342281879
psychologist,depression,npv,high,
psychologist,depression,band_rate,uncertain,0.01643835616438356
psychologist,depression,calibration_gap,uncertain,0.2222222222222222
psychologist,depression,avg_confidence,uncertain,17.75335775335775
psychologist,depression,ppv,uncertain,0.5
psychologist,depression,npv,uncertain,1.0
psychologist,depression,uncertainty_rate,all,0.01643835616438356
psychologist,depression,caveat_strong_rate,all,0.0
psychologist,depression,overconfident_rate,all,0.005479452054794521
psychologist,elimination,band_rate,low,0.3726027397260274
psychologist,elimination,calibration_gap,low,0.12269423206098722
psychologist,elimination,avg_confidence,low,84.1048024472947
psychologist,elimination,ppv,low,
psychologist,elimination,npv,low,0.9485294117647058
psychologist,elimination,band_rate,moderate,0.12876712328767123
psychologist,elimination,calibration_gap,moderate,0.09351866901695599
psychologist,elimination,avg_confidence,moderate,21.724177099465695
psychologist,elimination,ppv,moderate,1.0
psychologist,elimination,npv,moderate,0.48888888888888893
psychologist,elimination,band_rate,high,0.4657534246575342
psychologist,elimination,calibration_gap,high,0.04193617547273476
psychologist,elimination,avg_confidence,high,98.66206562761303
psychologist,elimination,ppv,high,0.9882352941176471
psychologist,elimination,npv,high,
psychologist,elimination,band_rate,uncertain,0.03287671232876712
psychologist,elimination,calibration_gap,uncertain,0.41611633411004856
psychologist,elimination,avg_confidence,uncertain,13.35835828762554
psychologist,elimination,ppv,uncertain,1.0
psychologist,elimination,npv,uncertain,0.09090909090909094
psychologist,elimination,uncertainty_rate,all,0.03287671232876712
psychologist,elimination,caveat_strong_rate,all,1.0
psychologist,elimination,overconfident_rate,all,0.0136986301369863
